image_id,cluster,link,host,title,clusterLabel
511870819,deforestation_fire,https://www.fao.org/fileadmin/user_upload/GSP/eleventh_PA/Presentations/Soil_Pollution_and_One_Health_-_Ravi_12_July.pdf,www.fao.org,The Importance of Soil Health for a Sustainable Agrifood Systems ...,Deforestation fire
511870819,deforestation_fire,https://www.thecooldown.com/green-tech/soil-contamination-electrical-pulses-clean-toxic/,www.thecooldown.com,Scientists develop technology to 'zap' pollutants out of soil rapidly,Deforestation fire
511870819,deforestation_fire,https://edu.svet.gob.gt/soil-pollution-definition-causes-effects-and-solutions-conserve-energy-hh-20JqwXs7,edu.svet.gob.gt,"Soil Pollution: Definition, Causes, Effects And Solutions",Deforestation fire
511870819,deforestation_fire,https://fil-armonia.org/?o=soil-pollution-definition-causes-effects-and-solutions-conserve-energy-vv-5ovnO0Ck,fil-armonia.org,"Soil Pollution: Definition, Causes, Effects And Solutions, 44% OFF",Deforestation fire
511870819,deforestation_fire,https://informacionpublica.svet.gob.gt/soil-pollution-definition-causes-effects-and-solutions-conserve-energy-mm-woz9D4iL,informacionpublica.svet.gob.gt,"Soil Pollution: Definition, Causes, Effects And Solutions - SVET",Deforestation fire
172166662,deforestation_fire,https://www.independent.co.uk/climate-change/news/amazon-tipping-point-deforestation-climate-change-b1782126.html,www.independent.co.uk,"Amazon to reach critical tipping point 'by 2064', study suggests",Deforestation fire
172166662,deforestation_fire,https://www.gettyimages.ae/photos/flame-of-the-forest,www.gettyimages.ae,11353 Flame Of The Forest Stock Photos and High-res Pictures,Deforestation fire
172166662,deforestation_fire,https://www.gettyimages.ie/photos/earth-destruction,www.gettyimages.ie,12063 Earth Destruction Stock Photos and High-res Pictures,Deforestation fire
172166662,deforestation_fire,https://www.theguardian.com/world/2017/sep/28/brazil-forest-fires-deforestation-september-record-amazon,www.theguardian.com,Brazil's worst month ever for forest fires blamed on human activity,Deforestation fire
172166662,deforestation_fire,https://www.gettyimages.ae/photos/brazil-forest-fire,www.gettyimages.ae,2678 Brazil Forest Fire Stock Photos and High-res Pictures,Deforestation fire
172166662,deforestation_fire,https://www.gettyimages.ae/photos/destroying-forests,www.gettyimages.ae,14832 Destroying Forests Stock Photos and High-res Pictures,Deforestation fire
536660158,deforestation_fire,https://www.ebay.com.au/itm/256009994758,www.ebay.com.au,3D Alone Tree Dark Cloud Sunset Wallpaper Wall Mural Peel and ...,Deforestation fire
517726195,soil_analysis,https://phys.org/news/2019-09-york-chile-contamination-citizen-science.html,phys.org,"From New York to Chile, lead contamination project develops citizen ...",Soil analysis
517726195,soil_analysis,https://news.rpi.edu/content/2019/09/10/new-york-chile-lead-contamination-project-develops-citizen-science,news.rpi.edu,"From New York to Chile, Lead Contamination Project Develops ...",Soil analysis
517726195,soil_analysis,https://www.eurekalert.org/news-releases/899111,www.eurekalert.org,"From New York to Chile, lead contamination pr | EurekAlert!",Soil analysis
