image_id,cluster,link,host,title,clusterLabel
956840986,urban_farms,https://stock.adobe.com/search?k=%22urban%20farming%22,stock.adobe.com,"14802 results for ""urban farming"" in all - Adobe Stock",Urban farms
956840986,urban_farms,https://www.undp.org/blog/how-cities-can-fight-food-loss-and-waste,www.undp.org,How cities can fight food loss and waste,Urban farms
956840986,urban_farms,https://www.planetizen.com/node/46163,www.planetizen.com,Warehouses to Urban Farms | Planetizen Features,Urban farms
956840986,urban_farms,https://www.dreamstime.com/photos-images/urban-farming.html,www.dreamstime.com,"Urban Farming Stock Photos, Images & Pictures - Dreamstime",Urban farms
1248582254,urban_farms,https://portico.urban-initiative.eu/,portico.urban-initiative.eu,"Portico, EU platform on Sustainable Urban Development",Urban farms
1248582254,urban_farms,https://www.frontiersin.org/research-topics/50236/sustainable-food-networks-in-urban-and-rural-territories-as-chains-of-values-for-agroecological-and-food-transitions,www.frontiersin.org,Sustainable Food Networks in Urban and Rural Territories as ...,Urban farms
1248582254,urban_farms,https://www.neefusa.org/story/health-and-environment/how-greening-communities-can-reduce-violence-and-promote-health,www.neefusa.org,How Greening Communities Can Reduce Violence and Promote ...,Urban farms
1248582254,urban_farms,https://portico.urban-initiative.eu/european-commission/quality-life-european-cities-2023-report,portico.urban-initiative.eu,Quality of life in European cities - 2023 report | Portico,Urban farms
1248582254,urban_farms,https://www.frontiersin.org/journals/sustainable-food-systems/sections/urban-agriculture/research-topics,www.frontiersin.org,Frontiers in Sustainable Food Systems | Urban Agriculture,Urban farms
531628028,urban_farms,http://www.tugcesahin.cloud/,www.tugcesahin.cloud,Tugce Sahin,Urban farms
531628028,urban_farms,https://www.agri-city.info/fr/component/content/article?id=3&Itemid=104,www.agri-city.info,Le média de l'agriculture et de la végétalisation urbaines - Agri-city,Urban farms
531628028,urban_farms,https://agri-city.info/fr/agri-city-a-propos,agri-city.info,"Claire Nioncel, fondatrice et rédactrice en chef d'agri-city.info",Urban farms
1365312226,balconies,https://deacon.co.uk/category/leaseholders/,deacon.co.uk,Leaseholders Archives - Deacon Insurance,Balconies
1365312226,balconies,https://americanlifestylemag.com/decor/crafts-diy-projects/plantpals/,americanlifestylemag.com,3 Ways to Recycle Items into Plant Pals - American Lifestyle Magazine,Balconies
956306584,balconies,https://www.housebeautiful.com/uk/garden/a28411683/city-gardeners-balconies-terraces/,www.housebeautiful.com,7 Ways City Gardeners Can Utilise Space On Balconies And Terraces,Balconies
956306584,balconies,https://www.micoope.com.gt/?o=top-tips-for-balcony-gardening-nn-MWjxqmuW,www.micoope.com.gt,Top Tips for Balcony Gardening - Micoope,Balconies
956306584,balconies,https://www.micoope.com.gt/cajero/agencia-teculutan/?o=top-tips-for-balcony-gardening-nn-MWjxqmuW,www.micoope.com.gt,Top Tips for Balcony Gardening - Micoope,Balconies
956306584,balconies,https://www.setop.cz/koupelny/ohrivac-vody-do-koupelny/?e=turn-your-balcony-into-a-balcony-garden-ikea-dd-0dZ01Pc4,www.setop.cz,"Turn Your Balcony Into A Balcony Garden IKEA, 48% OFF - SETOP",Balconies
956306584,balconies,https://www173.rtaf.mi.th/?a=questions-to-ask-before-starting-a-garden-balcony-ff-kDJkZRtl,www173.rtaf.mi.th,Questions to Ask Before Starting a Garden Balcony,Balconies
956306584,balconies,https://www.evenementsattractions.quebec/?m=top-tips-for-balcony-gardening-cc-xPewLXSv,www.evenementsattractions.quebec,"Top Tips For Balcony Gardening, 54% OFF",Balconies
1140183743,balconies,https://www.scribd.com/presentation/516690833/kitchen-garden-ppt,www.scribd.com,Kitchen Garden | PDF | Mulch - Scribd,Balconies
1140183743,balconies,https://giorafeidman-online.co/what-is-the-importance-of-a-kitchen-garden,giorafeidman-online.co,What Is the Importance of a Kitchen Garden - Giora Fe Idm an Online,Balconies
1140183743,balconies,https://fr.scribd.com/presentation/516690833/kitchen-garden-ppt,fr.scribd.com,Kitchen Garden | PDF | Mulch - Scribd,Balconies
1140183743,balconies,https://fmbb.pro/what-is-the-importance-of-a-kitchen-garden,fmbb.pro,What Is the Importance of a Kitchen Garden - Fm Bb,Balconies
1140183743,balconies,https://fmbb.pro/5-importance-of-kitchen-garden,fmbb.pro,5 Importance of Kitchen Garden - Fm Bb,Balconies
1140183743,balconies,https://fmbb.pro/5-importance-of-kitchen-garden-essay,fmbb.pro,5 Importance of Kitchen Garden Essay - Fm Bb,Balconies
1140183743,balconies,https://roongwit.rtaf.mi.th/?c=entertaining-from-an-ethnic-indian-kitchen-garden-tour-2-ss-xLpA72I8,roongwit.rtaf.mi.th,"Entertaining From An Ethnic Indian Kitchen: Garden Tour 2:, 60% OFF",Balconies
646190406,community_inclusivity,https://unity.edu/careers/what-is-urban-farming/,unity.edu,What Is Urban Farming? - Unity College,Community inclusivity
646190406,community_inclusivity,https://technologymagazine.com/digital-transformation/urban-farming-technology-and-tradition,technologymagazine.com,Urban farming: technology and tradition,Community inclusivity
646190406,community_inclusivity,https://www.flavors.qa/?c=urban-farming-four-reasons-it-should-flourish-post-pandemic-uu-knjkqrTZ,www.flavors.qa,Urban farming: four reasons it should flourish post-pandemic,Community inclusivity
1204236438,community_inclusivity,https://twitter.com/WWF/status/1651196008632557572,twitter.com,"WWF on X: ""Communities worldwide are taking action to protect the ...",Community inclusivity
1204236438,community_inclusivity,https://sustainability.stanford.edu/news/earth-day-and-beyond,sustainability.stanford.edu,Earth Day and beyond | Stanford Doerr School of Sustainability,Community inclusivity
1204236438,community_inclusivity,https://twitter.com/miss_SCherry,twitter.com,Sasha C (@miss_SCherry) / X,Community inclusivity
1204236438,community_inclusivity,https://www.farmgarden.org.uk/news,www.farmgarden.org.uk,News | Social Farms & Gardens,Community inclusivity
1204236438,community_inclusivity,https://www.gettyimages.ca/photos/roof-garden-and-no-people,www.gettyimages.ca,10318 Roof Garden And No People Stock Photos & High-Res Pictures,Community inclusivity
1427848310,community_inclusivity,https://www.gettyimages.no/photos/group-of-people-gardening,www.gettyimages.no,12136 Group Of People Gardening Stock Photos & High-Res Pictures,Community inclusivity
1427848310,community_inclusivity,https://www.gettyimages.co.uk/photos/group-of-people-gardening,www.gettyimages.co.uk,"12421 Group Of People Gardening Stock Photos, High-Res Pictures ...",Community inclusivity
1413475390,vertical,https://oecdcogito.blog/category/buildings/,oecdcogito.blog,Buildings - OECD Cogito,Vertical
1413475390,vertical,https://mz.linkedin.com/posts/zaneta-s_losing-the-natural-world-comes-with-major-activity-7028648237456617473-5qxd,mz.linkedin.com,Publicação de Zaneta Sedilekova,Vertical
1413475390,vertical,https://actu.epfl.ch/news/cities-offer-an-array-of-opportunties-for-a-sust-2/,actu.epfl.ch,Cities offer an array of opportunties for a sustainable future - EPFL,Vertical
1413475390,vertical,https://www.linkedin.com/posts/zaneta-s_nature-related-risk-activity-7150410894957522947-isPv,www.linkedin.com,Zaneta Sedilekova on LinkedIn: Nature-related risk,Vertical
1161174041,vertical,https://lens.monash.edu/@design-architecture/2019/10/18/1376788/the-greening-of-melbourne-urban-forest-plan-faces-obstacles,lens.monash.edu,The greening of Melbourne: urban forest plan faces growth obstacles,Vertical
1161174041,vertical,https://assets.ey.com/content/dam/ey-sites/ey-com/nl_nl/topics/tax/tax-updates/2023/ey-executive-remuneration-brochure-20231204.pdf?download,assets.ey.com,Executive Remuneration in the Netherlands 2023 | EY,Vertical
1161174041,vertical,https://stjamesdoha.com/?w=steps-to-an-easy-urban-living-in-the-city-cc-7kzD7gf4,stjamesdoha.com,"Steps To An Easy Urban Living In The City Offers, 59% OFF",Vertical
519679922,vertical,https://www.siemens.com/us/en/products/buildingtechnologies/energy.html,www.siemens.com,Energy and Sustainability - Building Technologies - Siemens USA,Vertical
519679922,vertical,https://www.siemens.com/bg/en/products/buildings/energy-sustainability.html,www.siemens.com,Energy and sustainability - Building Technologies - Bulgaria - Siemens,Vertical
519679922,vertical,https://www.siemens.com/us/en/company/topic-areas/digitalization/smart-infrastructure/digitalization-journey-commercial-buildings/sustainability.html,www.siemens.com,Sustainability - Digitalization Journey for Commercial Buildings,Vertical
519679922,vertical,https://www.siemens.com/uk/en/products/buildingtechnologies/energy-sustainability.html,www.siemens.com,Energy and sustainability - Building Technology - Siemens,Vertical
519679922,vertical,https://www.linkedin.com/posts/siemens-financial-services_dig-in-green-investments-to-feed-the-future-activity-6855787024960638976-OB7Q?trk=public_profile_like_view,www.linkedin.com,Siemens Financial Services on LinkedIn: Dig in,Vertical
519679922,vertical,https://www.facebook.com/Siemens/photos/a.415448225182924/4621843254543379/?type=3,www.facebook.com,Siemens - Facebook,Vertical
519679922,vertical,https://www.linkedin.com/posts/siemens-industry-_robotics-cloudcomputing-verticalfarming-activity-6860478196660482048-9R9O,www.linkedin.com,Siemens Industry on LinkedIn: #robotics #cloudcomputing ...,Vertical
