username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count,link
odchyolliromrid,ang mabisang panlinis ng hangin#snakeplant #fypシ゚viral #pinaynorwegiancouple🇵🇭🇳🇴,"snakeplant,fypシ゚viral,pinaynorwegiancouple🇵🇭🇳🇴",7272951101689826565,2,6857685023206672386,PH,0,1693365892,0,82,https://www.tiktok.com/@odchyolliromrid/video/7272951101689826565
bern0538,"Uso ubo at sipon ngayon , panlinis hangin sa kwarto",,7303533554837769478,0,7303533571346598661,PH,0,1700486421,4,186,https://www.tiktok.com/@bern0538/video/7303533554837769478
babyannortegatiangson,Budol again hehe.. Kelangan to lalo may baby sa bahay🥰🥰 #budol #shopee #airpurifier,"budol,shopee,airpurifier",7059318563571584283,23,7016480699205045018,PH,4,1643625685,1,1093,https://www.tiktok.com/@babyannortegatiangson/video/7059318563571584283
xpesuvclight,#XPES#UVC#uvclight#uv#uvsanitizer#bts#uvlamp#uvcleaning#uvdefender #watertreatment#uvdisinfectionlamp#airpurifier#disinfection#kitchenexhaust,"bts,uv,uvlamp,uvc,kitchenexhaust,disinfection,airpurifier,watertreatment,xpes,uvcleaning,uvsanitizer,uvclight,uvdisinfectionlamp,uvdefender",7059213342635805954,2,7059213333748337410,PH,0,1643601189,0,15,https://www.tiktok.com/@xpesuvclight/video/7059213342635805954
baeprincesagwen,air purifier challenge!!! #foryoupage,foryoupage,7059203924540083482,23,7059203927064972059,PH,1,1643598994,0,184,https://www.tiktok.com/@baeprincesagwen/video/7059203924540083482
mgaaclabayne,"Plant Air Purifier. Clean Air in your home and office! - Stylish Decorative Design- Fresher Air with Anions, a healthy treat to your body and soul - Remove air pollutants such as dust, pollen, smoke and PM2.5- Simple & Hassle freePackage includes:- 1 Plant Air Purifier- 1 USB cable- 1 User GuideOrder now!! http://bit.ly/35CvMib Kindly visit and follor our SHOPPEE shop https://bit.ly/32D713G  for discounted price po. #marijachoice #gifts #homebuddies #shoppeefeeds #shoppee #shoppe","gifts,shoppe,homebuddies,shoppee,shoppeefeeds,marijachoice",7059011588581362970,0,6930457588358187010,PH,0,1643554212,1,10,https://www.tiktok.com/@mgaaclabayne/video/7059011588581362970
imperial.royalty,"""Air purifier MR900"" for more healthier, clean, fresh environment for the health of our pomeranians, beloved clients and future fur parents 🥰🙏  #health is our number 1 Priority! ❤️  #airHealthQuality #NegativeIon #purification #filterVirus #nomoreallergy #fyp  Imperial Royalty : Palace of Quality White  Pomeranian","health,fyp,purification,filtervirus,negativeion,nomoreallergy,airhealthquality",7058990657926384923,1,7058990694098062106,PH,0,1643549339,0,583,https://www.tiktok.com/@imperial.royalty/video/7058990657926384923
fluffystormskyesnow,"PLATES & RUG:SHOPEE. They used stainless plates pag bfast & dinner, pag lunch ceramic plates😻 AIR PURIFIER&HUMIDIFIER:HUAWEI #catsoftiktok #catlover","catlover,catsoftiktok",7058980068000894235,5,6769046027488987137,PH,0,1643546873,0,463,https://www.tiktok.com/@fluffystormskyesnow/video/7058980068000894235
donna.maeee,✨Link in Bio mga mare! This is your sign to Get your own portable Air purifier na !! ✨#gastosbuddies,gastosbuddies,7058975663277034779,55,6722656094272883458,PH,0,1643545848,1,1718,https://www.tiktok.com/@donna.maeee/video/7058975663277034779
leexxwyn,Unboxing Personal Air Purifier 💟,,7058804363552197914,1,6910675399857702913,PH,0,1643505965,2,25,https://www.tiktok.com/@leexxwyn/video/7058804363552197914
xpesuvclight,#XPES#UVC#uvclight#uv#uvsanitizer#bts#uvlamp#uvcleaning#uvdefender #watertreatment#uvdisinfectionlamp#airpurifier#disinfection#kitchenexhaust,"bts,uv,uvlamp,uvc,kitchenexhaust,disinfection,airpurifier,watertreatment,xpes,uvcleaning,uvsanitizer,uvclight,uvdisinfectionlamp,uvdefender",7058540797074935041,4,7058540790133426945,PH,0,1643444598,0,137,https://www.tiktok.com/@xpesuvclight/video/7058540797074935041
mgaaclabayne,👉Perfect gift idea for family and friends for this coming Valentines day dahil sa panahon ngayon mahirap magkasakit Wearable Air Purifier💯 AuthenticProtect yourself with a style Buy now!!http://bit.ly/3u9jMPqKindly visit and follow our Shoppee shop https://bit.ly/32D713G  for discounted price.#ionkinidirectph#wearableairpurifier #marijachoice #gifts #homebuddies #shoppeefeeds #shoppee #shoppeefinds #shopping #shoponline #shoppeeph,"gifts,shopping,shoponline,homebuddies,shoppee,wearableairpurifier,shoppeeph,shoppeefinds,shoppeefeeds,marijachoice,ionkinidirectph",7058440184337108250,0,6715551625550776321,PH,0,1643421172,1,9,https://www.tiktok.com/@mgaaclabayne/video/7058440184337108250
waki_smdowntownolongapo,Waki hepa air purifier☘️🌲🌲🌱If you want please message or contact my personal info 09387202375 or 09956349121,,7058280982213856538,6,7058281072970173210,PH,0,1643384105,0,67,https://www.tiktok.com/@waki_smdowntownolongapo/video/7058280982213856538
rbsedna,Looking for a Car Air Purifier? DM us. #rbsedna #carairpurifier #foryou #foryourpage #fyp,"foryou,fyp,foryourpage,carairpurifier,rbsedna",7058246607686405402,2,7058246629979163419,PH,1,1643376101,1,65,https://www.tiktok.com/@rbsedna/video/7058246607686405402
hmrfairviewterraces_23,"Coway Airmega150W Air purifier  3,999 Srp 📣#newarrival #affordableprice #foryou #foryoupage #fyi #bestfind","foryou,fyi,bestfind,newarrival,affordableprice,foryoupage",7058205148018969882,6,7058205189727177498,PH,0,1643366448,3,174,https://www.tiktok.com/@hmrfairviewterraces_23/video/7058205148018969882
