name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
XFGdJM8LlUk,other,Dr. Joe Schwarcz on the science of frizzy hair,no,,no,1689447611,2023-07-15 19:07:11,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,Howto & Style,,en-US,1218,37,,,0,0,https://i.ytimg.com/vi/XFGdJM8LlUk/mqdefault.jpg,EN,Other
tw_DjR0R2bE,other,Dr. Joe Schwarcz on cows  screw worms and X-rays.,no,,no,1686505268,2023-06-11 17:06:08,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,People & Blogs,,en-US,2862,110,,,0,8,https://i.ytimg.com/vi/tw_DjR0R2bE/mqdefault.jpg,EN,Other
ZrQAQn-NyZY,other,Dr. Joe Schwarcz on the origins of carbon fibre,no,,no,1688136559,2023-06-30 14:06:19,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,People & Blogs,,en-US,1530,54,,,0,4,https://i.ytimg.com/vi/ZrQAQn-NyZY/mqdefault.jpg,EN,Other
GRgjUqFUjcQ,other,Dr. Joe Schwarcz discusses galvanized steel,no,,no,1689947201,2023-07-21 13:07:41,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,People & Blogs,,en-US,1011,39,,,0,0,https://i.ytimg.com/vi/GRgjUqFUjcQ/mqdefault.jpg,EN,Other
oYwNB0fajmw,other,Dr. Joe Schwarcz discusses DNA,no,,no,1687537435,2023-06-23 16:06:55,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,People & Blogs,,en-US,1408,49,,,0,6,https://i.ytimg.com/vi/oYwNB0fajmw/mqdefault.jpg,EN,Other
NNMgD1A-tNs,other,Dr Joe Schwarcz: The benefits of dates,no,,no,1567780100,2019-09-06 14:09:20,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,Science & Technology,en-CA,en-US,406669,3700,,,0,325,https://i.ytimg.com/vi/NNMgD1A-tNs/mqdefault.jpg,EN,Other
PE7aODw5EuM,other,The Science of Treadmill Training - What is best practice and main limitations?,no,,no,1690661239,2023-07-29 20:07:19,Kote s Medical Animations,UCLXjINL1hfayHfX7oOy7--Q,Education,en,en,41,1,,,0,0,https://i.ytimg.com/vi/PE7aODw5EuM/mqdefault.jpg,EN,Other
ocssuZfcRFU,other,Dr. Timothy Tiutan on sharing health tips on social media,no,,no,1690810825,2023-07-31 13:07:25,CBS Mornings,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,,en,2054,52,,,0,3,https://i.ytimg.com/vi/ocssuZfcRFU/mqdefault.jpg,EN,Other
xLj7SgqHuoE,other,OATS - Dr Chan highlights 5 Mistakes many make with Oats,no,,yes,1637563292,2021-11-22 06:11:32,The Habits Pharmacy,UCNgFo9I1C4S4ph5hIlsrgRg,People & Blogs,,en-GB,21347,595,,,0,16,https://i.ytimg.com/vi/xLj7SgqHuoE/mqdefault.jpg,EN,Other
RyhLUj9DtX0,other,Dr Chan s 5 Habits for Better Sleep - Fall Asleep Faster,no,,no,1629266516,2021-08-18 06:08:56,The Habits Doctor,UCbfBOJrRX6nXFyvRqaX2Qsg,Education,,en,30134,1092,,,0,65,https://i.ytimg.com/vi/RyhLUj9DtX0/mqdefault.jpg,EN,Other
ki8dDocvPX8,other,Why Accountability is Not a Dirty Word | Christi Scarrow | TEDxWestoverHills,no,,no,1690905478,2023-08-01 15:08:58,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,en,4,0,,,0,0,https://i.ytimg.com/vi/ki8dDocvPX8/mqdefault.jpg,EN,Other
oQJtEbzqoc4,other,Po co nam przerwy kawowe? | Maria Kubara | TEDxUniversityofWarsaw,no,,no,1690905045,2023-08-01 15:08:45,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,pl,4,0,,,0,0,https://i.ytimg.com/vi/oQJtEbzqoc4/mqdefault.jpg,EN,Other
qAAuREx6pYw,other,Federal cabinet shuffle brings in first ever Filipina-Canadian minister,no,,no,1690771977,2023-07-31 02:07:57,CBC News: The National,UCKjU3KzdbJE1EFcHVqXC3_g,News & Politics,en,en-CA,17511,120,,,0,,https://i.ytimg.com/vi/qAAuREx6pYw/mqdefault.jpg,EN,Other
ZPOtNOxhMkg,other,How Do Cancer Cells Move?,no,,no,1484931517,2017-01-20 16:01:37,Guarini School of Graduate & Advanced Studies,UCSP58pIKAvEoQLxxOL7Xt9Q,Education,,,1104,14,,,0,0,https://i.ytimg.com/vi/ZPOtNOxhMkg/mqdefault.jpg,EN,Other
-R41YFcX8e4,other,Why Americans and Brits say  cider  to mean very different things,no,,no,1637607601,2021-11-22 19:11:01,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,1402991,45524,,,0,5098,https://i.ytimg.com/vi/-R41YFcX8e4/mqdefault.jpg,EN,Other
ryqOVOsr7ns,other,Friday Favorites: Type 1 Diabetes Treatment - A Plant-Based Diet,no,,no,1689335994,2023-07-14 11:07:54,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,en,en,13423,455,,,0,43,https://i.ytimg.com/vi/ryqOVOsr7ns/mqdefault.jpg,EN,Other
hqRbNVSfp60,other,Targeting Angiogenesis to Lose Weight,no,,no,1690372797,2023-07-26 11:07:57,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,en,en,34556,1052,,,0,60,https://i.ytimg.com/vi/hqRbNVSfp60/mqdefault.jpg,EN,Other
GEnYLt0-6vU,other,Dr Kelly Parsons - guiding principles and what works for diet shift,no,,no,1686574509,2023-06-12 12:06:09,FoodStandardsAgency,UCg82OwlyeOPjrHwHy8cvNfg,Science & Technology,,en-GB,74,1,,,0,0,https://i.ytimg.com/vi/GEnYLt0-6vU/mqdefault.jpg,EN,Other
