name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
TaKnaARor8Q,other,Être Accro à la  Coco  Pendant 5 ans : ÇA FAIT QUOI ?!,no,,no,1689246747,2023-07-13 11:07:27,Poisson Fécond,UC4ii4_aeS8iOFzsHuhJTq2w,Education,,fr,876245,36618,,,0,1927,https://i.ytimg.com/vi/TaKnaARor8Q/mqdefault.jpg,FR,Other
xThodaVWD_E,other,+2 Mehdi Maïzi : Fianso et Mister V  racontent leurs success stories,no,,no,1667134838,2022-10-30 13:10:38,Booska-P,UCczuNg-bajJgZLYhrY7FpfA,Entertainment,,,606359,10991,,,0,233,https://i.ytimg.com/vi/xThodaVWD_E/mqdefault.jpg,FR,Other
CaFkO8Cjq9Y,other,[Mon Datasulting #5] - by Gael & Zhoulin,no,,no,1689948014,2023-07-21 14:07:14,Datasulting,UCiqJgO6uTFrCy9la9fmIQtQ,Science & Technology,,,42,3,,,0,0,https://i.ytimg.com/vi/CaFkO8Cjq9Y/mqdefault.jpg,FR,Other
WehqjQTiwgI,other,COMMENT SE SEVRER DU SUCRE DURABLEMENT (5 ÉTAPES) ? ❌🍪🍫🍬,no,,yes,1663516817,2022-09-18 16:09:17,Guillaume Feelgood,UCFvzFLTCf8LpHiyBTL5R-JA,People & Blogs,,fr,19188,1494,,,0,167,https://i.ytimg.com/vi/WehqjQTiwgI/mqdefault.jpg,FR,Other
pAiv1Vi-Bfc,other,5 ALIMENTS QUI PEUVENT VOUS TUER et vous en mangez ! 💀,no,,yes,1580662815,2020-02-02 17:02:15,Guillaume Feelgood,UCFvzFLTCf8LpHiyBTL5R-JA,People & Blogs,,fr,8724,742,,,0,90,https://i.ytimg.com/vi/pAiv1Vi-Bfc/mqdefault.jpg,FR,Other
E0JgYoOZfSE,other,Harry Potter - EP.5 - Être un élève à Poudlard  c est quoi ?,no,,no,1688893206,2023-07-09 09:07:06,Warner Bros. France,UCZ0o1IeuSSceEixZbSATWtw,Film & Animation,,fr,61979,39,,,0,0,https://i.ytimg.com/vi/E0JgYoOZfSE/mqdefault.jpg,FR,Other
XwgVCf2_sqc,other,Lac de Montbel mai 2023,no,,no,1687957602,2023-06-28 13:06:42,the- magician-fly,UC5HoL3s_Lo8aVXF588bgu_w,Gaming,,,138,2,,,0,2,https://i.ytimg.com/vi/XwgVCf2_sqc/mqdefault.jpg,FR,Other
mQWx6OCq19g,other,Fermées depuis 5 ans  les gorges les plus étroites du monde rouvriront-elles un jour au public ?,no,,no,1690386858,2023-07-26 15:07:18,France 3 Occitanie,UC20dglUTkVqzY9ipx_iOnng,News & Politics,fr,fr-FR,9093,,,,0,,https://i.ytimg.com/vi/mQWx6OCq19g/mqdefault.jpg,FR,Other
xCPGtDi-bwM,other,#144 LeChairman & Vicelow parlent Famille  Dépression  KLR  Saïan  Bénin  Business  Héritage  93.,no,,no,1687968710,2023-06-28 16:06:50,Oui Hustle,UCcgvK9S6fAg3TR2k2GFfIQw,News & Politics,,fr,60556,1338,,,0,213,https://i.ytimg.com/vi/xCPGtDi-bwM/mqdefault.jpg,FR,Other
ZUFe-Hi9lOg,other,La loutre d Europe n est pas en Europe ? @AMDE,no,,no,1690304418,2023-07-25 17:07:18,CurieuxLive,UCROvbH8y8N0nY3CKt7DIK9A,Pets & Animals,,fr,10280,1326,,,0,12,https://i.ytimg.com/vi/ZUFe-Hi9lOg/mqdefault.jpg,FR,Other
