name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
kOFji7zRqN8,other,Strikedown: As Above So Below,no,,no,1690513219,2023-07-28 03:07:19,Strikedown,UC0Q8TVIkEBUTl4ur-uRV-mA,Music,,en,1165,104,,,0,24,https://i.ytimg.com/vi/kOFji7zRqN8/mqdefault.jpg,NL,Other
wID6G0cq5W4,other,Fanum Goes Sneaker Shopping With Complex,no,,no,1690812041,2023-07-31 14:07:41,Complex,UCE_--R1P5-kfBzHTca0dsnw,Entertainment,,en,541185,35166,,,0,1874,https://i.ytimg.com/vi/wID6G0cq5W4/mqdefault.jpg,NL,Other
HhKzRsP1Wc0,other,skibidi toilet 54,no,,no,1690812600,2023-07-31 14:07:00,DaFuq!?Boom!,UCsSsgPaZ2GSmO6il8Cb5iGA,Entertainment,,en,21111927,934229,,,0,87993,https://i.ytimg.com/vi/HhKzRsP1Wc0/mqdefault.jpg,NL,Other
H6P2coLRm_c,other,Hoeveel stereo isomeren heeft....,no,,no,1684592797,2023-05-20 14:05:37,Wouter Renkema,UCDHEcqJSW57EqHFZqhsysHw,Education,,nl-NL,3697,81,,,0,30,https://i.ytimg.com/vi/H6P2coLRm_c/mqdefault.jpg,NL,Other
MwuTsErAN2M,other,Scooter - Weekend! (Club Mix) | Beat Nation,no,,no,1645192825,2022-02-18 14:02:25,Beat Nation,UCS8OMVEq2W5WmIgP18TpeNg,Music,,de,78186,1165,,,0,7,https://i.ytimg.com/vi/MwuTsErAN2M/mqdefault.jpg,NL,Other
WTilE_rjUkA,other,Friday stream,no,,no,1672389898,2022-12-30 08:12:58,Hardstyle Promotion,UCFCZMDEPRfMVhb37CQiTsBw,Music,,,875,24,,,0,0,https://i.ytimg.com/vi/WTilE_rjUkA/mqdefault.jpg,NL,Other
iIQn9wd6OGM,other,Showtek - Dutch Green Stuff (Remix) @ Dediqated 2020-02-08,no,,no,1581858845,2020-02-16 13:02:05,edm-live-clips,UCP00PfmR3Vp6Y6ur1bedjNA,Music,,,286,4,,,0,0,https://i.ytimg.com/vi/iIQn9wd6OGM/mqdefault.jpg,NL,Other
LBejQ8VKvjU,other,Pfirter - Resolution [ASR017],no,,no,1561194371,2019-06-22 09:06:11,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,Music,,,7189,164,,,0,7,https://i.ytimg.com/vi/LBejQ8VKvjU/mqdefault.jpg,NL,Other
bbuMwnWg0dc,other,Scøpe - Spawning Season [SPV011],no,,no,1690879789,2023-08-01 08:08:49,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,Music,,,319,19,,,0,0,https://i.ytimg.com/vi/bbuMwnWg0dc/mqdefault.jpg,NL,Other
TKUElrQC5xc,other,Scøpe - Interfusion [SPV011],no,,no,1690879842,2023-08-01 08:08:42,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,Music,,,407,26,,,0,0,https://i.ytimg.com/vi/TKUElrQC5xc/mqdefault.jpg,NL,Other
