name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
nw8KRjG9MdA,other,This is my favorite liquid carcinogen,no,,yes,1619372279,2021-04-25 17:04:59,NileRed Shorts,UCA0mlN90EHCizvo101nbr-g,Science & Technology,en,en,2415186,161199,,,0,1296,https://i.ytimg.com/vi/nw8KRjG9MdA/mqdefault.jpg,PH,Other
G3NI9Y6nDZQ,other,Making test tube liquid rockets,no,,no,1619807863,2021-04-30 18:04:43,NileRed Shorts,UCA0mlN90EHCizvo101nbr-g,Science & Technology,en,en,1240044,96284,,,0,692,https://i.ytimg.com/vi/G3NI9Y6nDZQ/mqdefault.jpg,PH,Other
h9AwuA4797E,other,Making a vodka popsicle with liquid nitrogen,no,,no,1620662431,2021-05-10 16:05:31,NileRed Shorts,UCA0mlN90EHCizvo101nbr-g,Science & Technology,en,en,1570459,109183,,,0,1556,https://i.ytimg.com/vi/h9AwuA4797E/mqdefault.jpg,PH,Other
wE-cNpIxn40,other,I love what happens when I shake this bottle,no,,no,1654708262,2022-06-08 17:06:02,NileRed Shorts,UCA0mlN90EHCizvo101nbr-g,Science & Technology,en,en,5807114,365914,,,0,8216,https://i.ytimg.com/vi/wE-cNpIxn40/mqdefault.jpg,PH,Other
CRTjZTwIyI0,other,Something weird grows from this liquid,no,,no,1655568554,2022-06-18 16:06:14,NileRed Shorts,UCA0mlN90EHCizvo101nbr-g,Science & Technology,en,en,4704095,308771,,,0,7861,https://i.ytimg.com/vi/CRTjZTwIyI0/mqdefault.jpg,PH,Other
AIbhXK2UJ6w,other,Drink 1 CUP PER DAY to Shrink an Enlarged Prostate,no,,no,1690020007,2023-07-22 10:07:07,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en-US,en-US,1641575,20864,,,0,1265,https://i.ytimg.com/vi/AIbhXK2UJ6w/mqdefault.jpg,PH,Other
-R41YFcX8e4,other,Why Americans and Brits say  cider  to mean very different things,no,,no,1637607601,2021-11-22 19:11:01,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,1402991,45524,,,0,5098,https://i.ytimg.com/vi/-R41YFcX8e4/mqdefault.jpg,PH,Other
yPj2uTuv2Rg,other,Secrets of my favorite soft ice cream,no,,no,1685642432,2023-06-01 18:06:32,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,266945,14346,,,0,717,https://i.ytimg.com/vi/yPj2uTuv2Rg/mqdefault.jpg,PH,Other
1BGGU3KeprU,other,Original Bavarian pretzels made at home,no,,no,1617720900,2021-04-06 14:04:00,Mike Schilli,UC4UlBOISsNy4HcQFWSrnV5Q,People & Blogs,,,13993,302,,,0,28,https://i.ytimg.com/vi/1BGGU3KeprU/mqdefault.jpg,PH,Other
pIFNyh0npAo,other,Strangely Delicious Sounding Alcoholic Drinks From Ancient Societies,no,,no,1641135623,2022-01-02 15:01:23,Weird History,UCc-N24Y5OA0gqbjBwe1ttfA,Entertainment,,en,263763,7586,,,0,343,https://i.ytimg.com/vi/pIFNyh0npAo/mqdefault.jpg,PH,Other
