name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
ztMDWylQWnY,mesothelioma,Filing a Mesothelioma Lawsuit | Mesothelioma Veterans Center,no,,yes,1687357823,2023-06-21 14:06:23,Mesothelioma Veterans Center,UCwfLz2a0Y4nt3ebnoGNg_Gw,Education,,,3106,26,,,0,,https://i.ytimg.com/vi/ztMDWylQWnY/mqdefault.jpg,PH,Mesothelioma
fc40fR63SEE,other,Top 3 New Rules of Veteran Aid & Attendance Benefits,no,,no,1607654415,2020-12-11 02:12:15,Stephanie Schneider,UCHiDM7vECQR1S32F2wys31Q,People & Blogs,,,30960,393,,,0,13,https://i.ytimg.com/vi/fc40fR63SEE/mqdefault.jpg,PH,Other
hZzL7L0sobk,other,How Veteran-Owned Small Businesses Can Access Federal Surplus Property,no,,no,1651256086,2022-04-29 18:04:46,WVPurchasingDivision,UCmyGifnpuCLqrliCGYug97g,Education,,,2367,64,,,0,3,https://i.ytimg.com/vi/hZzL7L0sobk/mqdefault.jpg,PH,Other
CdMOG9uprRs,other,What is the Veteran Advantage ?,no,,no,1647874694,2022-03-21 14:03:14,Roger Schlueter,UCZqQ7feWQoLQ3nTHcbwOuwg,Education,,en-US,12337,213,,,0,10,https://i.ytimg.com/vi/CdMOG9uprRs/mqdefault.jpg,PH,Other
foMItBO2XpU,other,Veteran s Aid and Attendance Benefit The Hidden Secret,no,,no,1657897147,2022-07-15 14:07:07,SeniorLivingGuide.com: Senior Housing Directory,UCOEflC39CpZA91pftSEXGkQ,Education,,,6114,118,,,0,5,https://i.ytimg.com/vi/foMItBO2XpU/mqdefault.jpg,PH,Other
-fd4T1XSZUU,other,Pact Act - a Short Guide for Veterans,no,,no,1684946407,2023-05-24 16:05:07,VA Made Easy by Ed Farmer,UCYmg0s83A2XV09gRRVnA0Tw,People & Blogs,,,15715,345,,,0,35,https://i.ytimg.com/vi/-fd4T1XSZUU/mqdefault.jpg,PH,Other
Sir5pf9bmG8,other,Unlock Student Loan Forgiveness As A Veteran,no,,no,1689867007,2023-07-20 15:07:07,Hill and Ponton  P.A.,UCU-M1eXHEVrscZcg9q1vF2Q,Education,,en,1787,78,,,0,2,https://i.ytimg.com/vi/Sir5pf9bmG8/mqdefault.jpg,PH,Other
VA4rzrm65zg,other,VAs Misunderstanding of SMC Claims Sparks Frustration Among Veterans,no,,no,1690491614,2023-07-27 21:07:14,Hill and Ponton  P.A.,UCU-M1eXHEVrscZcg9q1vF2Q,Education,,en,2544,102,,,0,2,https://i.ytimg.com/vi/VA4rzrm65zg/mqdefault.jpg,PH,Other
cDk8Fo8ss8M,other,How the Viet Cong Smoked American Soldiers,no,,no,1682708887,2023-04-28 19:04:07,GDF,UCylNpQCufmDdAhs8CdLmUXQ,People & Blogs,,,477003,23463,,,0,3608,https://i.ytimg.com/vi/cDk8Fo8ss8M/mqdefault.jpg,PH,Other
JyQ_NHwA0QI,other,What is Cloud Security and Why Do You Need It?,no,,no,1615989605,2021-03-17 14:03:05,Eye on Tech,UC-e2aGRMGMl67MDJoqcj19Q,Science & Technology,,en-US,32422,332,,,0,4,https://i.ytimg.com/vi/JyQ_NHwA0QI/mqdefault.jpg,PH,Other
x3l1jcxCG4w,other,Why Do Half of All Mars Missions Fail? | SciShow Compilation,no,,no,1684270828,2023-05-16 21:05:28,SciShow,UCZYTClx2T1of7BRZ86-8fow,Education,en,en,143140,3806,,,0,229,https://i.ytimg.com/vi/x3l1jcxCG4w/mqdefault.jpg,PH,Other
r5gbVonx37Q,other,Most Planets Don t Orbit Stars!?,no,,no,1689627619,2023-07-17 21:07:19,SciShow,UCZYTClx2T1of7BRZ86-8fow,Education,en,en,290141,12697,,,0,973,https://i.ytimg.com/vi/r5gbVonx37Q/mqdefault.jpg,PH,Other
FV5dgHJEYHM,other,Ukrainian City Removes Soviet-Era Monument Of Russian Poet,no,,yes,1690471146,2023-07-27 15:07:06,Newsweek,UC2a35q7eyzkfoIusBzdH4Hw,News & Politics,en,en,1034,28,,,0,10,https://i.ytimg.com/vi/FV5dgHJEYHM/mqdefault.jpg,PH,Other
1hhIV9m1f7k,other,French Embassy Attacked In Wake Of Niger Coup,no,,no,1690903118,2023-08-01 15:08:38,Newsweek,UC2a35q7eyzkfoIusBzdH4Hw,News & Politics,en,en,1292,16,,,0,5,https://i.ytimg.com/vi/1hhIV9m1f7k/mqdefault.jpg,PH,Other
f6kcJKmOkmg,other,Ukraine War: ‘I saw bodies just lying in the street,no,,no,1677232999,2023-02-24 10:02:19,BBC News NI,UCNaWa-jK5ehH0od-KiGNeDw,News & Politics,,en-GB,608,14,,,0,0,https://i.ytimg.com/vi/f6kcJKmOkmg/mqdefault.jpg,PH,Other
SPC-XrryC9s,other,Heroic Doses That Ended Horribly,no,,no,1647723608,2022-03-19 21:03:08,Tales From The Trip!,UCCP9kLHek4OHp6Y3DwLOWJA,Entertainment,en,,117483,3403,,,0,723,https://i.ytimg.com/vi/SPC-XrryC9s/mqdefault.jpg,PH,Other
