name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
jQb-34mV-E4,other,Mulheres Plenas,no,,no,1690029077,2023-07-22 12:07:17,Desperta-me Church,UC7Zcc3VJXkE3n0EYMrHCf1w,People & Blogs,,en-US,114,19,,,0,0,https://i.ytimg.com/vi/jQb-34mV-E4/mqdefault.jpg,EN,Other
cgD9w0MWLBY,other,Windows 11 Screen Recorder | FREE & No Install,no,,no,1664434815,2022-09-29 07:09:15,Kevin Stratvert,UCfJT_eYDTmDE-ovKaxVE1ig,Science & Technology,en,en,146641,3484,,,0,303,https://i.ytimg.com/vi/cgD9w0MWLBY/mqdefault.jpg,EN,Other
YNqo4Un2uZI,other,It Is Well - Kristene DiMarco | You Make Me Brave,no,,no,1398665097,2014-04-28 06:04:57,Bethel Music,UCbertc-gMbkkHuSmg0qwnxw,Music,en-US,en,94372590,350498,,,0,10133,https://i.ytimg.com/vi/YNqo4Un2uZI/mqdefault.jpg,EN,Other
9W74aeuqsiU,other,PFAS: Last Week Tonight with John Oliver (HBO),no,,no,1633329003,2021-10-04 06:10:03,LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,Entertainment,,en-US,5596424,146992,,,0,9393,https://i.ytimg.com/vi/9W74aeuqsiU/mqdefault.jpg,EN,Other
WGXiNNBc82k,other,Graphic Design - Promotional Video | Grafiko Studio Production,no,,no,1632458575,2021-09-24 04:09:55,Grafiko studio,UCOWOhJJxF52SYnVTq5xWF1g,Film & Animation,,,8490,164,,,0,31,https://i.ytimg.com/vi/WGXiNNBc82k/mqdefault.jpg,EN,Other
By8Iv_TpxCI,other,I Will Go To You Like The First Snow - Ailee Lyrics [Han Rom Eng],no,,no,1483749070,2017-01-07 00:01:10,TamTam Lyrics,UCS_mfx7sMWlMSZPsqZSpBPg,People & Blogs,,,35000878,237452,,,0,3431,https://i.ytimg.com/vi/By8Iv_TpxCI/mqdefault.jpg,EN,Other
hydV2UbNT1s,other,Tips for Producing a Promotional Video for Your Small Business | The Journey,no,,no,1609946994,2021-01-06 15:01:54,GoDaddy,UCgH_SmWw9WianYyOB5Y6tEA,Howto & Style,,en-US,7820,85,,,0,6,https://i.ytimg.com/vi/hydV2UbNT1s/mqdefault.jpg,EN,Other
RjrnlzXKBrA,other,Hape Kerkeling - Cafe Korten,no,,no,1353078011,2012-11-16 15:11:11,comedyde,UCtCPwLAul47kTKlhIuHYXAw,Comedy,,,10697006,76033,,,0,2071,https://i.ytimg.com/vi/RjrnlzXKBrA/mqdefault.jpg,EN,Other
Ckom3gf57Yw,other,Metallica - The Unforgiven (Official Music Video),no,,no,1256608555,2009-10-27 01:10:55,Warner Records Vault,UCv5emLGrYcQAmbpeFVlzjdg,Music,,,438033838,1851442,,,0,47648,https://i.ytimg.com/vi/Ckom3gf57Yw/mqdefault.jpg,EN,Other
w9gOQgfPW4Y,other,M|A|R|R|S - Pump Up The Volume (Official Video),no,,no,1236790120,2009-03-11 16:03:40,4AD,UC-T3JrzHtDeHAmspt1Zn40A,Music,,en-US,14155211,119915,,,0,6266,https://i.ytimg.com/vi/w9gOQgfPW4Y/mqdefault.jpg,EN,Other
jx96Twg-Aew,other,Childish Gambino - Sober,no,,no,1420893326,2015-01-10 12:01:26,ChildishGambinoVEVO,UCjYO25ZVJT523TD1iYHzcbw,Music,,en-US,117397860,836178,,,0,21005,https://i.ytimg.com/vi/jx96Twg-Aew/mqdefault.jpg,EN,Other
Rui0hzN-EFE,other,AIR - Kelly Watch the Stars (from 𝑀𝑜𝑜𝑛 𝑆𝑎𝑓𝑎𝑟𝑖 - Official Video),no,,no,1207252275,2008-04-03 19:04:15,AIRfrenchbandofficial,UCjXmNnJm9jwtGg094LRoFOw,Music,,,3332255,18518,,,0,979,https://i.ytimg.com/vi/Rui0hzN-EFE/mqdefault.jpg,EN,Other
FpF8Wa2yQH0,other,Metallica: Here Comes Revenge (Official Music Video),no,,no,1479399669,2016-11-17 16:11:09,Metallica,UCbulh9WdLtEXiooRcYK7SWw,Music,,,14245675,125600,,,0,6319,https://i.ytimg.com/vi/FpF8Wa2yQH0/mqdefault.jpg,EN,Other
7jSqLJsDJgw,other,monochrome set - hes frank (orig),no,,yes,1255565674,2009-10-15 00:10:34,johnpeelclassics,UCc5XDrkxXzsuFffmagL_JCg,Music,,,79271,682,,,0,59,https://i.ytimg.com/vi/7jSqLJsDJgw/mqdefault.jpg,EN,Other
YlUKcNNmywk,other,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],no,,no,1256610959,2009-10-27 02:10:59,Red Hot Chili Peppers,UCEuOwB9vSL1oPKGNdONB4ig,Music,,en,1074658044,4646620,,,0,123444,https://i.ytimg.com/vi/YlUKcNNmywk/mqdefault.jpg,EN,Other
iZ9vkd7Rp-g,other,Emilíana Torrini - Jungle Drum (Official Video),no,,no,1235630284,2009-02-26 06:02:04,Rough Trade Records,UCdkAfTtNN2b4JAXKKrxjsHg,Music,,en-US,24709642,132100,,,0,7200,https://i.ytimg.com/vi/iZ9vkd7Rp-g/mqdefault.jpg,EN,Other
knjjtVfgOcg,other,Cry to Me  - the finale!,no,,no,1681062890,2023-04-09 17:04:50,Lisa Nagy Isaacson,UCE_ZCQ2XrvKRd9FyTLLt04A,Music,,,49311,453,,,0,10,https://i.ytimg.com/vi/knjjtVfgOcg/mqdefault.jpg,EN,Other
a_426RiwST8,other,The Black Keys - Lonely Boy [Official Music Video],no,,no,1319616578,2011-10-26 08:10:38,The Black Keys,UCJL3h2-wEOB6EigQOBZ3ryg,Music,,,152954245,1020277,,,0,41751,https://i.ytimg.com/vi/a_426RiwST8/mqdefault.jpg,EN,Other
NH_z7Hj9G_k,other,Susanna Hoffs - Eternal Flame (Live Video Version),no,,no,1589644810,2020-05-16 16:05:10,The Susanna Hoffs Fan Channel,UCsIIoV4pASyfcjypbKCQu6g,Music,,,1139810,18413,,,0,2284,https://i.ytimg.com/vi/NH_z7Hj9G_k/mqdefault.jpg,EN,Other
aGN3CJ40XCU,other,Alanis Morissette - So Pure (Video),no,,no,1256608420,2009-10-27 01:10:40,Alanis Morissette,UCrTC0tOY5aujQFYDRf65xiw,Music,,en-US,872095,5534,,,0,419,https://i.ytimg.com/vi/aGN3CJ40XCU/mqdefault.jpg,EN,Other
OxTPfd8cL1E,other,David Byrne - Dance on vaseline - Sessions at West 54th Street 10131998.avi,no,,no,1270072133,2010-03-31 21:03:53,doudforever,UCXmLc57MVWujArN1S1oXRRg,Music,,,301466,2685,,,0,121,https://i.ytimg.com/vi/OxTPfd8cL1E/mqdefault.jpg,EN,Other
