name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
T_rGjzaU0Zc,other,Pourquoi ce garde forestier s inquiète pour sa profession et la forêt,no,,no,1602593050,2020-10-13 12:10:10,LeHuffPost,UC9GGzAhhvhJO1hL10-BcgNA,News & Politics,fr,fr-FR,203846,7172,,,0,643,https://i.ytimg.com/vi/T_rGjzaU0Zc/mqdefault.jpg,FR,Other
MxQRYDNvCzs,other,Entrepreneurs de Travaux Forestiers  un vrai métier,no,,no,1303134417,2011-04-18 13:04:57,ETF Nouvelle-Aquitaine,UC99_jdoFNRf3RLNgK067bqw,Film & Animation,,,395719,1053,,,0,60,https://i.ytimg.com/vi/MxQRYDNvCzs/mqdefault.jpg,FR,Other
irO8MgLKnaw,other,When Tigers And Lions Face Each Other,no,,no,1617389678,2021-04-02 18:04:38,4 Ever Green,UCRpNVpZoW56rOsV-6wFK3lg,Pets & Animals,en,en,4415745,39893,,,0,2286,https://i.ytimg.com/vi/irO8MgLKnaw/mqdefault.jpg,FR,Other
G13Pqf_ASu8,other,Roger Moore pour la pub Swisscom:  c est ringard,no,,no,1452871800,2016-01-15 15:01:00,RTS - Radio Télévision Suisse,UCQyyY2Izw8hin7c8T5YY4sg,People & Blogs,fr,,4159,13,,,0,0,https://i.ytimg.com/vi/G13Pqf_ASu8/mqdefault.jpg,FR,Other
bgraYntcjw8,other,group_inou / MAYBE (LIVE),no,,no,1446209774,2015-10-30 12:10:14,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,256276,1497,,,0,66,https://i.ytimg.com/vi/bgraYntcjw8/mqdefault.jpg,FR,Other
Cir_GxI8Y6Y,other,group_inou / COIN (great escape mix),no,,no,1180531257,2007-05-30 13:05:57,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,196797,854,,,0,42,https://i.ytimg.com/vi/Cir_GxI8Y6Y/mqdefault.jpg,FR,Other
H8_q0gFreLI,other,group_inou / COMING OUT,no,,no,1208103744,2008-04-13 16:04:24,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,777380,2847,,,0,115,https://i.ytimg.com/vi/H8_q0gFreLI/mqdefault.jpg,FR,Other
w_os8HqfxHc,other,group_inou / HEART (single mix),no,,no,1299423254,2011-03-06 14:03:14,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,5833851,45163,,,0,3077,https://i.ytimg.com/vi/w_os8HqfxHc/mqdefault.jpg,FR,Other
Ty2h9XZB6-o,other,group_inou / CATCH,no,,no,1460638496,2016-04-14 12:04:56,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,2073296,13632,,,0,417,https://i.ytimg.com/vi/Ty2h9XZB6-o/mqdefault.jpg,FR,Other
3KSYXCdc6Hs,other,group_inou / SAFE,no,,no,1462452839,2016-05-05 12:05:59,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,419067,3047,,,0,123,https://i.ytimg.com/vi/3KSYXCdc6Hs/mqdefault.jpg,FR,Other
SwypeFoB9C0,other,group_inou / EYE (LIVE),no,,no,1475067677,2016-09-28 13:09:17,galtv,UC3t-LmzZ-ATfhb4vCNstRxg,Music,,,176847,2009,,,0,70,https://i.ytimg.com/vi/SwypeFoB9C0/mqdefault.jpg,FR,Other
