name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
pJJwIJAJfG0,chemicals-and-cancer,Common Everyday Chemicals Leading to Deadly Brain Cancer,yes,2,no,1679157903,2023-03-18 16:03:03,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,Education,en,en,44422,1666,,,0,232,https://i.ytimg.com/vi/pJJwIJAJfG0/mqdefault.jpg,EN,Chemicals and cancer
R_MLl3O4dKo,chemicals-and-cancer,Which Chemical is the Worst Carcinogen?,yes,3,no,1673406108,2023-01-11 03:01:48,That Chemist,UC0nEDA3uRd5YuvBfMwQNteg,Education,en,en,845112,25458,,,0,2407,https://i.ytimg.com/vi/R_MLl3O4dKo/mqdefault.jpg,EN,Chemicals and cancer
XTYT2ei2K-c,chemicals-and-cancer,Carcinogenic Chemicals,yes,4,yes,1598490625,2020-08-27 01:08:25,Dirty Medicine,UCZaDAUF7UEcRXIFvGZu3O9Q,Education,,en,23497,824,,,0,40,https://i.ytimg.com/vi/XTYT2ei2K-c/mqdefault.jpg,EN,Chemicals and cancer
UBcpZsb2DWI,chemicals-and-cancer,EWG Explains: Chemicals and Cancer,yes,6,yes,1465827838,2016-06-13 14:06:58,Environmental Working Group (EWG),UC0HuASskjV3jhgj2ONLc8VA,Nonprofits & Activism,,,15114,160,,,0,8,https://i.ytimg.com/vi/UBcpZsb2DWI/mqdefault.jpg,EN,Chemicals and cancer
qZ8Wr2T4BIE,chemicals-and-cancer,How to protect your family from products containing cancer-causing chemicals,yes,18,yes,1652096773,2022-05-09 11:05:13,WBNS 10TV,UCAKK8dbcSmckr2sWJhv5ezA,News & Politics,en,en,482,7,,,0,2,https://i.ytimg.com/vi/qZ8Wr2T4BIE/mqdefault.jpg,EN,Chemicals and cancer
I1JPtZN5H14,chemicals-and-cancer,Canada considers “forever chemicals” ban of cancer-causing agents,yes,19,no,1684634406,2023-05-21 02:05:06,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,,en-CA,62613,281,,,0,150,https://i.ytimg.com/vi/I1JPtZN5H14/mqdefault.jpg,EN,Chemicals and cancer
Kt-E50ybRUw,chemicals-and-cancer,Can chemicals in deodorants cause cancer.,yes,20,no,1669660229,2022-11-28 18:11:29,Apollo Hospitals Hyderabad,UCTT4fw0JLkiDJmEJs3rPdAg,Education,,en-GB,43,2,,,0,0,https://i.ytimg.com/vi/Kt-E50ybRUw/mqdefault.jpg,EN,Chemicals and cancer
nB1RRdNxK3k,chemicals-and-cancer,Taking action to fight cancer-causing chemicals,yes,22,yes,1612433547,2021-02-04 10:02:27,EUchemicals,UCV6IkCp9rRO1sBUYPD_CuJw,Science & Technology,en-GB,en-GB,446,10,,,0,1,https://i.ytimg.com/vi/nB1RRdNxK3k/mqdefault.jpg,EN,Chemicals and cancer
w4zsUAVO3k0,chemicals-and-cancer,Chemicals In Sanitary Pads May Cause Cancer And Infertility: Study,yes,23,no,1669121671,2022-11-22 12:11:31,editorji,UCyri-PL3l4Dn9IooWXQAqfA,News & Politics,en-IN,en-IN,5362,57,,,0,8,https://i.ytimg.com/vi/w4zsUAVO3k0/mqdefault.jpg,EN,Chemicals and cancer
ZrqJTVnjNGE,chemicals-and-cancer,High levels of cancer-causing chemicals found at local federal complex,yes,24,no,1555730959,2019-04-20 03:04:19,KMOV St. Louis,UCwHKLYLfz6M14SbBahFH5VA,News & Politics,,,333,9,,,0,2,https://i.ytimg.com/vi/ZrqJTVnjNGE/mqdefault.jpg,EN,Chemicals and cancer
_XSRcpYkc84,chemicals-and-cancer,Cancer by chemical materials; monomers or polymers?,yes,31,no,1675441807,2023-02-03 16:02:07,PolyMotion,UCqrjHVhgrSgTHRVlWsFTSrg,Science & Technology,,,136,5,,,0,1,https://i.ytimg.com/vi/_XSRcpYkc84/mqdefault.jpg,EN,Chemicals and cancer
ec_ZNZIToso,chemicals-and-cancer,Chemicals  trick  your body and may cause cancer | Everything you need to know about Xenoestrogens,yes,33,no,1677165303,2023-02-23 15:02:03,Doctor P,UCntWUw15fW3r_IFCoMXqaZg,Education,,en,106,10,,,0,0,https://i.ytimg.com/vi/ec_ZNZIToso/mqdefault.jpg,EN,Chemicals and cancer
UbYt2gVTXxk,chemicals-and-cancer,Workplace Chemicals and Cancer: How are they identified and managed,yes,36,yes,1580459721,2020-01-31 08:01:21,Cancer Council WA,UCqV1knGZzlEsv8saDRd-yZg,Nonprofits & Activism,,en,227,3,,,0,0,https://i.ytimg.com/vi/UbYt2gVTXxk/mqdefault.jpg,EN,Chemicals and cancer
