name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
iIszCgfR8Q8,other,Marie-Christine Boutron-Ruault  lauréate 2020 de la bourse de recherche  coeurs de femmes,no,,no,1653223984,2022-05-22 12:05:04,Fondation Recherche Cardio-Vasculaire,UCuIDWI9O6GfIKYijV8G1d6g,Nonprofits & Activism,,fr,367,3,,,0,1,https://i.ytimg.com/vi/iIszCgfR8Q8/mqdefault.jpg,FR,Other
vNuKGsWk-I0,other,Mort de Geneviève de Fontenay :  C était une grande dame comme on en fait peu,no,,no,1690976542,2023-08-02 11:08:22,Europe 1,UCIMGfEAERXjmWwQeg15BFsg,News & Politics,,,228,8,,,0,3,https://i.ytimg.com/vi/vNuKGsWk-I0/mqdefault.jpg,FR,Other
MbiIkG24_eA,other,Enquête du M 2015 : Cedric Villani vous pose un problème de Math !,no,,no,1442240516,2015-09-14 14:09:56,RATP group,UCEMmsix52Pa6f1PgE-QflPw,Entertainment,,,310303,3487,,,0,,https://i.ytimg.com/vi/MbiIkG24_eA/mqdefault.jpg,FR,Other
9KAbhBiS8F8,other,France Inter passe à l’heure d’été - C à Vous - 30/06/2023,no,,no,1688150150,2023-06-30 18:06:50,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,9598,53,,,0,5,https://i.ytimg.com/vi/9KAbhBiS8F8/mqdefault.jpg,FR,Other
UlVm87tApO4,other,Thomas VDB convertit France inter à la flûte - C à Vous - 30/06/2023,no,,no,1688149873,2023-06-30 18:06:13,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,92771,600,,,0,67,https://i.ytimg.com/vi/UlVm87tApO4/mqdefault.jpg,FR,Other
qWB4PeQ3FdU,other,Ron Howard  l enfant star d Hollywood - C à vous - 04/12/2015,no,,no,1690566302,2023-07-28 17:07:02,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,3184,32,,,0,0,https://i.ytimg.com/vi/qWB4PeQ3FdU/mqdefault.jpg,FR,Other
ZZPm2ynwmlk,other,« Anatomie d’une chute »  une grande Palme d’or - C à Vous - 30/06/2023,no,,no,1688148951,2023-06-30 18:06:51,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,9070,45,,,0,23,https://i.ytimg.com/vi/ZZPm2ynwmlk/mqdefault.jpg,FR,Other
dF0JKdYIr_4,other,Village People - “YMCA” - C à vous - 30/06/2023,no,,no,1688151791,2023-06-30 19:06:11,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,9421,124,,,0,27,https://i.ytimg.com/vi/dF0JKdYIr_4/mqdefault.jpg,FR,Other
0AmJR2XDWE8,other,C’est la fin  le tout dernier festin - L’ABC - C à Vous - 30/06/2023,no,,no,1688151733,2023-06-30 19:06:13,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,100160,1681,,,0,118,https://i.ytimg.com/vi/0AmJR2XDWE8/mqdefault.jpg,FR,Other
dDxbI5elw0k,other,Eddy Mitchell se confie - C à vous - 19/05/2016,no,,no,1689961501,2023-07-21 17:07:01,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,16525,41,,,0,0,https://i.ytimg.com/vi/dDxbI5elw0k/mqdefault.jpg,FR,Other
PWH0wnD0GHc,other,Ilan Halimi et le gang des barbares : Richard Berry raconte - C à Vous 26/04/2016,no,,no,1689615900,2023-07-17 17:07:00,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,6610,51,,,0,0,https://i.ytimg.com/vi/PWH0wnD0GHc/mqdefault.jpg,FR,Other
-Y5V0yWwlfU,other,Les baguettes jazz-rock de Charlie Watts - L’Oeil de Pierre - C à Vous - 30/06/2023,no,,no,1688150302,2023-06-30 18:06:22,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,2942,28,,,0,1,https://i.ytimg.com/vi/-Y5V0yWwlfU/mqdefault.jpg,FR,Other
VDpLXsokYow,other,Réchauffement climatique : le glaciologue Claude Lorius alerte - C à Vous 25/04/2016,no,,no,1690220701,2023-07-24 17:07:01,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,57119,92,,,0,0,https://i.ytimg.com/vi/VDpLXsokYow/mqdefault.jpg,FR,Other
s_XVptQuBg0,other,Franck Dubosc et Elsa Zylberstein présentent la comédie  Les têtes de l emploi  -C à vous-08/11/2016,no,,no,1690393504,2023-07-26 17:07:04,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,7203,25,,,0,0,https://i.ytimg.com/vi/s_XVptQuBg0/mqdefault.jpg,FR,Other
tdAISl2fnJc,other,Marseille et les fusillades meurtrières : Samia Ghali témoigne - C à vous 26/10/2015,no,,no,1689011101,2023-07-10 17:07:01,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,11359,69,,,0,0,https://i.ytimg.com/vi/tdAISl2fnJc/mqdefault.jpg,FR,Other
wCqYalyWR3Y,other,Les Village People  cultissime - Victor Willis - C à vous - 30/06/2023,no,,no,1688150877,2023-06-30 18:06:57,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,3608,38,,,0,0,https://i.ytimg.com/vi/wCqYalyWR3Y/mqdefault.jpg,FR,Other
lk5ge5o42dA,other,Virus Zika : l état d urgence mondial ? C à vous - 02/02/2016,no,,no,1689183902,2023-07-12 17:07:02,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,4749,43,,,0,0,https://i.ytimg.com/vi/lk5ge5o42dA/mqdefault.jpg,FR,Other
WO1s_FAd-x0,other,COP21 : le témoignage d une rescapée climatique - C à vous - 01/12/2015,no,,no,1690825500,2023-07-31 17:07:00,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,1860,24,,,0,0,https://i.ytimg.com/vi/WO1s_FAd-x0/mqdefault.jpg,FR,Other
Ch_qTzcaUUo,other,Discrimination positive  déception pour les fans de Mylène Farmer - Le 5/5 - C à Vous - 30/06/2023,no,,no,1688147514,2023-06-30 17:06:54,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,,17326,45,,,0,40,https://i.ytimg.com/vi/Ch_qTzcaUUo/mqdefault.jpg,FR,Other
YUptUiK4cdQ,other,Quand le réchauffement climatique nous menace - C à vous - 30/11/2015,no,,no,1689356701,2023-07-14 17:07:01,C à vous,UCejTWYquMXD_MFHRZiqo_Aw,Entertainment,,fr,3353,41,,,0,0,https://i.ytimg.com/vi/YUptUiK4cdQ/mqdefault.jpg,FR,Other
jNVxrUgEvJw,other,Marie Trintignant est morte il y a 20 ans... l historienne Florence Montreynaud est l invitée de RMC,no,,no,1690715034,2023-07-30 11:07:54,RMC,UCgGb7tN3tIH5_Kk05D1J_bA,News & Politics,,,1328,28,,,0,33,https://i.ytimg.com/vi/jNVxrUgEvJw/mqdefault.jpg,FR,Other
Jzzd5s1XyRM,other,Viandes et cancer - 2 minutes pour comprendre,yes,2,yes,1636444806,2021-11-09 08:11:06,Médecine TV,UCEmtmaRvD3lRdT_hhzS0BcQ,Education,fr,fr,1804,37,,,0,6,https://i.ytimg.com/vi/Jzzd5s1XyRM/mqdefault.jpg,FR,Other
