name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
ibfAF66JzFE,0,Endocrine Disrupting Chemicals (EDCs),yes,2,yes,1474917200,2016-09-26 19:09:20,Hormone Health Network,UCKQD-cc5ytcg3mAY6GRTiAQ,People & Blogs,,en,129694,1355,,,0,77,https://i.ytimg.com/vi/ibfAF66JzFE/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
cOgz1HgHqGM,0,Phytoestrogens and Endocrine Disrupting Chemicals (EDCs),yes,5,yes,1641502809,2022-01-06 21:01:09,Demystifying Medicine McMaster,UCEwEYnO7yey-oBzyNu-AauQ,Education,,en,3280,94,,,0,,https://i.ytimg.com/vi/cOgz1HgHqGM/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
UW8ttkEOPBc,0,Endocrine-Disrupting Chemicals | ENDO 2023 Press Conference,yes,6,yes,1687099147,2023-06-18 14:06:07,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,690,10,,,0,0,https://i.ytimg.com/vi/UW8ttkEOPBc/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
GFOVv2uHktk,0,Endocrine-disrupting Chemicals (EDCS) | ENDO 2022 Press Conference,yes,8,yes,1655062611,2022-06-12 19:06:51,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,en,2013,52,,,0,1,https://i.ytimg.com/vi/GFOVv2uHktk/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
Xl_SbR394KA,0,ENDO 2018 - News Conference on Endocrine-Disrupting Chemicals,yes,10,yes,1521494913,2018-03-19 21:03:33,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,5222,109,,,0,5,https://i.ytimg.com/vi/Xl_SbR394KA/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
0pnqemJ1GuU,0,EDCs | Endocrine Disrupting Chemicals and Aging [2020],yes,11,yes,1582027200,2020-02-18 12:02:00,Lance Hitchings,UCM5hf97Y7N8cEI6bc74Mp2g,Science & Technology,,en,10632,413,,,0,23,https://i.ytimg.com/vi/0pnqemJ1GuU/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
k9A-oTf-mxo,0,Endocrine Disrupting Chemicals (EDCs) | Dr. Arpitha Komanapalli,yes,13,yes,1622638441,2021-06-02 12:06:01,Dr. Arpitha Komanapalli,UCZ0yoA-VvcQJu5Q1JuSDv0g,Education,,en,3514,189,,,0,17,https://i.ytimg.com/vi/k9A-oTf-mxo/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
7q5mjp5ICjk,0,Endocrine Disrupting Chemicals and COVID19,yes,19,yes,1592523585,2020-06-18 23:06:45,Collaborative for Health & Environment,UCdY7qeUM25ENUzgjWp5zDDQ,People & Blogs,,,1447,23,,,0,3,https://i.ytimg.com/vi/7q5mjp5ICjk/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
VzVZ_aVobtw,0,Endocrine-disrupting chemicals (EDCs),yes,31,yes,1636534604,2021-11-10 08:11:44,Toxics Link,UCXeSVsJ9sjNXcpEeChqn80Q,Nonprofits & Activism,en,en-IN,5960,31,,,0,0,https://i.ytimg.com/vi/VzVZ_aVobtw/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
eXE44G7UE-w,0,A brief overview on ENDOCRINE DISRUPTING CHEMICALS,yes,32,yes,1552209119,2019-03-10 09:03:59,Rie Bags,UCEECmrcPZO93pREg8RlUCJg,People & Blogs,,,1085,74,,,0,21,https://i.ytimg.com/vi/eXE44G7UE-w/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
45Ov31O9Yp4,0,ESE Talks... Endocrine Disrupting Chemicals (Part 1),yes,48,no,1686830855,2023-06-15 12:06:35,European Society of Endocrinology,UCusj1KKStUyFLV_SH5HvArQ,Science & Technology,,es-ES,125,4,,,0,1,https://i.ytimg.com/vi/45Ov31O9Yp4/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
rG4_lG854Xw,0,Norwex: EDCs (Endocrine-Disrupting Chemicals),yes,50,yes,1466956704,2016-06-26 15:06:24,Norwex,UCW5yzhF0ByXjX5_RQTQVUSg,People & Blogs,,,27476,315,,,0,3,https://i.ytimg.com/vi/rG4_lG854Xw/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
3se4K045avQ,0,Endocrine Disrupting Chemicals (EDCs),no,,yes,1677503519,2023-02-27 13:02:59,Dr. Francesca LeBlanc,UCpk1hk4LFMzK9g03yZdHrGg,People & Blogs,,en-US,1338,22,,,0,0,https://i.ytimg.com/vi/3se4K045avQ/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
jbcFtiOZmBw,0,Diabetes | ENDO 2022 Press Conference,no,,yes,1655076359,2022-06-12 23:06:59,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,1891,25,,,0,1,https://i.ytimg.com/vi/jbcFtiOZmBw/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
ywlVC22GYyE,0,Webinar: Endocrine-Disrupting Chemicals (EDCs) – Implications for Human Health (August 13  2020),no,,yes,1597364881,2020-08-14 00:08:01,IGS Learning Green,UChs271hv5xzhyx50PHtGrPg,Science & Technology,,,322,3,,,0,0,https://i.ytimg.com/vi/ywlVC22GYyE/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
6pDuBgvtpFw,0,Hyperglycemia Symposium | ENDO 2022,no,,no,1659563899,2022-08-03 21:08:19,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,en,5484,48,,,0,1,https://i.ytimg.com/vi/6pDuBgvtpFw/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
_51aXIWRjmA,0,What are EDCs? | Breast Cancer UK,no,,yes,1652958525,2022-05-19 11:05:45,Breast Cancer UK,UCZ8n1ZICx17aro5TfSmRSmQ,Nonprofits & Activism,,en-GB,492,5,,,0,0,https://i.ytimg.com/vi/_51aXIWRjmA/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
p7Qv3_NF48k,0,ESE Talks... Endocrine Disrupting Chemicals (Part 2),no,,yes,1686932923,2023-06-16 16:06:43,European Society of Endocrinology,UCusj1KKStUyFLV_SH5HvArQ,Science & Technology,,es-ES,58,2,,,0,1,https://i.ytimg.com/vi/p7Qv3_NF48k/mqdefault.jpg,EN,Endocrine disrupting chemicals awarness
_aFFkEp81eE,other,Obesity in America: What You Need to Know About the Impact of COVID-19  Disparities  and Policy,no,,no,1678844068,2023-03-15 01:03:28,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,129,1,,,0,0,https://i.ytimg.com/vi/_aFFkEp81eE/mqdefault.jpg,EN,Other
wQopVYbUmzE,other,Obesity in America: Prevention  Coverage  and Impact on National Security,no,,yes,1684789463,2023-05-22 21:05:23,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,126,4,,,0,0,https://i.ytimg.com/vi/wQopVYbUmzE/mqdefault.jpg,EN,Other
A8G2mONnyU8,other,Misuse of  therapy language  online can negatively impact mental health outcomes,no,,no,1679018405,2023-03-17 02:03:05,NBC News,UCeY0bbntWzzVIaj2z3QigXg,News & Politics,,en,24839,415,,,0,139,https://i.ytimg.com/vi/A8G2mONnyU8/mqdefault.jpg,EN,Other
2Wz7KvLFgYQ,other,Dave Chappelle Discusses the Philosophical Implications of COVID  Lockdowns,no,,no,1605809223,2020-11-19 18:11:03,JRE Clips,UCnxGkOGNMqQEUMvroOWps6Q,People & Blogs,en,en,5422414,89192,,,0,17036,https://i.ytimg.com/vi/2Wz7KvLFgYQ/mqdefault.jpg,EN,Other
P9yQnwpVcsQ,other,Joe Rogan s Life Advice Will Change Your Life (MUST WATCH) | Joe Rogan Motivation,no,,no,1520852402,2018-03-12 11:03:02,Motivation Madness,UCHbq_l1qnuomfJCYQTsWf_Q,Education,en,en,7321958,139763,,,0,3268,https://i.ytimg.com/vi/P9yQnwpVcsQ/mqdefault.jpg,EN,Other
2xdYkUpFwAM,other,The Lasting Effects of Long COVID on Hormone Health,no,,no,1639616400,2021-12-16 01:12:00,Precision Analytical  Creators of the DUTCH Test,UCauTDzKu4VS74PMiYgda-PQ,Education,,en,3537,54,,,0,16,https://i.ytimg.com/vi/2xdYkUpFwAM/mqdefault.jpg,EN,Other
