name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
6JJ3QNFc9JA,other,Voeding Tips en Boodschappen inspiratie,yes,14,no,1564956624,2019-08-04 22:08:24,The Lifting Dermatologist,UCxKk5chK5XbqnUuGmFuhcYA,Education,,nl,641,68,,,0,51,https://i.ytimg.com/vi/6JJ3QNFc9JA/mqdefault.jpg,NL,Other
jEd_faa9a14,other,Why You Should Publish in Endocrinology,no,,no,1678884026,2023-03-15 12:03:26,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,184,3,,,0,0,https://i.ytimg.com/vi/jEd_faa9a14/mqdefault.jpg,NL,Other
w4jHtPUNg6E,other,Endocrinology | Pancreas: Insulin Function,no,,no,1494535233,2017-05-11 20:05:33,Ninja Nerd,UC6QYFutt9cluQ3uSM963_KQ,Education,,en,683298,18586,,,0,725,https://i.ytimg.com/vi/w4jHtPUNg6E/mqdefault.jpg,NL,Other
emvHaBiRY8Q,other,Endocrine System,no,,no,1663288213,2022-09-16 00:09:13,Amoeba Sisters,UCb2GCoLSBXjmI_Qj1vk-44g,Education,,en,322612,6766,,,0,177,https://i.ytimg.com/vi/emvHaBiRY8Q/mqdefault.jpg,NL,Other
vLCg_kyuyw4,other,Overview of the Endocrine System,no,,no,1597123806,2020-08-11 05:08:06,Dr Matt & Dr Mike,UCH6Oc4MAJzzmK0SM805ZnjQ,Education,,en,1318732,22613,,,0,704,https://i.ytimg.com/vi/vLCg_kyuyw4/mqdefault.jpg,NL,Other
Uc4nq4Lazo4,other,The Complement System: Classical  Lectin  and Alternative Pathways,no,,no,1631806047,2021-09-16 15:09:27,Professor Dave Explains,UC0cd_-e49hZpWLH3UIwoWRA,Education,,en,189399,5043,,,0,141,https://i.ytimg.com/vi/Uc4nq4Lazo4/mqdefault.jpg,NL,Other
Gh2P5CmCC0M,other,Cellular Respiration,no,,no,1333544595,2012-04-04 13:04:15,Bozeman Science,UCEik-U3T6u6JA0XiHLbNbOw,Education,,en,2516720,21980,,,0,1283,https://i.ytimg.com/vi/Gh2P5CmCC0M/mqdefault.jpg,NL,Other
CgYHU2SptTo,other,Endocrine System Made Easy,no,,no,1442602638,2015-09-18 18:09:18,PicmonicVideo,UCqud2JSlc2qY0EazWPQl9Ig,Education,,,315887,3027,,,0,131,https://i.ytimg.com/vi/CgYHU2SptTo/mqdefault.jpg,NL,Other
BIvHrC_mS_M,other,Food Plastics = Estrogens in Your Body,no,,no,1569866402,2019-09-30 18:09:02,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,484654,24986,,,0,3088,https://i.ytimg.com/vi/BIvHrC_mS_M/mqdefault.jpg,NL,Other
L4VWxY8bIQw,other,What your Stomach makes | Gastric Secretions (Exocrine & Endocrine) | GI Physiology,no,,no,1677036416,2023-02-22 03:02:56,Medicosis Perfectionalis,UCl-J-ovSJhA3or73Q2uVpow,Education,en,en,5624,166,,,0,14,https://i.ytimg.com/vi/L4VWxY8bIQw/mqdefault.jpg,NL,Other
nurZ2nNovp8,other,Metabolism | Cholesterol Metabolism,no,,no,1496082588,2017-05-29 18:05:48,Ninja Nerd,UC6QYFutt9cluQ3uSM963_KQ,Education,,en,496993,14157,,,0,441,https://i.ytimg.com/vi/nurZ2nNovp8/mqdefault.jpg,NL,Other
YVfyYrEmzgM,other,How does your body know you re full? - Hilary Coller,no,,no,1510588807,2017-11-13 16:11:07,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,Education,,en,2367458,52838,,,0,1467,https://i.ytimg.com/vi/YVfyYrEmzgM/mqdefault.jpg,NL,Other
Lf4irlyN1eE,other,Metabolism Overview,no,,no,1639058410,2021-12-09 14:12:10,Dr Matt & Dr Mike,UCH6Oc4MAJzzmK0SM805ZnjQ,Education,,en,87796,3267,,,0,128,https://i.ytimg.com/vi/Lf4irlyN1eE/mqdefault.jpg,NL,Other
VWaWHKpXIr0,other,Breinvoer,no,,yes,1636039287,2021-11-04 15:11:27,Rineke Dijkinga,UCHUmPoY_cVRJRgzPUxkeIBA,Film & Animation,,,1130,35,,,0,0,https://i.ytimg.com/vi/VWaWHKpXIr0/mqdefault.jpg,NL,Other
_Jf5ZWJ5lyI,other,Voeding voor een vitaal brein,no,,yes,1663592173,2022-09-19 12:09:13,Rineke Dijkinga,UCHUmPoY_cVRJRgzPUxkeIBA,Film & Animation,,,3222,63,,,0,1,https://i.ytimg.com/vi/_Jf5ZWJ5lyI/mqdefault.jpg,NL,Other
8snLbR2oTBw,other,How To Build Rounder Glutes,no,,no,1687864855,2023-06-27 11:06:55,The Lifting Dermatologist,UCxKk5chK5XbqnUuGmFuhcYA,Education,,en,268,32,,,0,8,https://i.ytimg.com/vi/8snLbR2oTBw/mqdefault.jpg,NL,Other
P03jO4bM9Hg,other,The ONLY 3 Chest Exercises You Need,no,,no,1685894197,2023-06-04 15:06:37,The Lifting Dermatologist,UCxKk5chK5XbqnUuGmFuhcYA,Education,,en,1371,61,,,0,7,https://i.ytimg.com/vi/P03jO4bM9Hg/mqdefault.jpg,NL,Other
-uwd6Z6HXH0,other,How many chocolates can you eat a day WITHOUT Gaining Weight?,no,,no,1680887057,2023-04-07 17:04:17,The Lifting Dermatologist,UCxKk5chK5XbqnUuGmFuhcYA,Education,,en,642,47,,,0,18,https://i.ytimg.com/vi/-uwd6Z6HXH0/mqdefault.jpg,NL,Other
vLdNX5Te1Xo,other,The Endocrine System  Overview  Animation,no,,no,1541442004,2018-11-05 18:11:04,Alila Medical Media,UCiTGKA9W0G0TL8Hm7Uf_u9A,Education,,en,788385,10506,,,0,196,https://i.ytimg.com/vi/vLdNX5Te1Xo/mqdefault.jpg,NL,Other
wGD7tUmfCFY,other,Certificat électronique - Het elektronisch getuigschrift,no,,no,1656593446,2022-06-30 12:06:46,Mutualités Libres/Onafhankelijke Ziekenfondsen,UC5f24egx1gLN44ByAiwaDJQ,Nonprofits & Activism,,nl-BE,48,0,,,0,0,https://i.ytimg.com/vi/wGD7tUmfCFY/mqdefault.jpg,NL,Other
mAwqqlDEoRs,other,De biomechanica achter de forehandloop of lus,no,,no,1670248169,2022-12-05 13:12:29,Oscar Eggen,UCtedeOJImQA7Wvu0GGt-Cyw,Education,,nl,226,3,,,0,0,https://i.ytimg.com/vi/mAwqqlDEoRs/mqdefault.jpg,NL,Other
ehMP34hXTyk,other,zenuwstelsel - onderdelen zenuwstelsel,no,,no,1439910757,2015-08-18 15:08:37,BiologieAcademie,UCbjdrjfx2aqgYAnNSsuHDlA,Education,,,212901,1584,,,0,102,https://i.ytimg.com/vi/ehMP34hXTyk/mqdefault.jpg,NL,Other
T92aZz84BHk,other,Zuurstof in het bloed: Zo werkt het | Sanquin,no,,no,1649788232,2022-04-12 18:04:32,Stichting Sanquin,UCUYCcuWMR3VOzRceuoVXoSg,Science & Technology,,nl,2111,12,,,0,0,https://i.ytimg.com/vi/T92aZz84BHk/mqdefault.jpg,NL,Other
RMV130vU8gA,other,Endocrinology | Receptor Pathways,no,,no,1494527169,2017-05-11 18:05:09,Ninja Nerd,UC6QYFutt9cluQ3uSM963_KQ,Education,,en,985793,18835,,,0,476,https://i.ytimg.com/vi/RMV130vU8gA/mqdefault.jpg,NL,Other
WVrlHH14q3o,other,Great Glands - Your Endocrine System: CrashCourse Biology #33,no,,no,1347307223,2012-09-10 20:09:23,CrashCourse,UCX6b17PVsYBQ0ip5gyeme-Q,Education,en,en,1868746,18479,,,0,1176,https://i.ytimg.com/vi/WVrlHH14q3o/mqdefault.jpg,NL,Other
pMn4nlYzTm8,other,Endocrine lesson 1  Introduction and pituitary,no,,no,1396900226,2014-04-07 19:04:26,Dr. John Campbell,UCF9IOB2TExg3QIBupFtBDxg,Education,,,244897,3713,,,0,207,https://i.ytimg.com/vi/pMn4nlYzTm8/mqdefault.jpg,NL,Other
V_KBU8RGfNA,other,Wat Is Flexibel Diëten ?,no,,no,1686650703,2023-06-13 10:06:03,Droog Trainen Academie,UC4HMITFscdmK2O4OJosEy5Q,Entertainment,,,242,9,,,0,2,https://i.ytimg.com/vi/V_KBU8RGfNA/mqdefault.jpg,NL,Other
