name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
W_OTCnbsZvQ,other,L’entrée sur scène de Michou au festival Lollapalooza.,no,,no,1690379312,2023-07-26 13:07:32,Brut,UCSKdvgqdnj72_SLggp7BDTg,News & Politics,,fr,37840,922,,,0,42,https://i.ytimg.com/vi/W_OTCnbsZvQ/mqdefault.jpg,FR,Other
-Yf256X7nZc,other,Vegedream sur scène avec Michou à Lollapalooza.,no,,no,1690379965,2023-07-26 13:07:25,Brut,UCSKdvgqdnj72_SLggp7BDTg,News & Politics,,fr,11252,251,,,0,10,https://i.ytimg.com/vi/-Yf256X7nZc/mqdefault.jpg,FR,Other
aDmjkC2SMNw,other,Clash Rachida Dati / Mathieu Kassovitz - On n est pas couché #ONPC,no,,no,1416097651,2014-11-16 00:11:31,On n est pas couché,UC4Euikzr0bLKsnNuIKW6Sfg,News & Politics,,,1980530,,,,0,,https://i.ytimg.com/vi/aDmjkC2SMNw/mqdefault.jpg,FR,Other
zS3VpldIL3g,other,Elise Lucet - On n est pas couché - 22 novembre 2014 #ONPC,no,,no,1416706024,2014-11-23 01:11:04,On n est pas couché,UC4Euikzr0bLKsnNuIKW6Sfg,Entertainment,,,253324,1111,,,0,,https://i.ytimg.com/vi/zS3VpldIL3g/mqdefault.jpg,FR,Other
IGRObu1mENQ,other,Danièle Obono (LFI):  Bien sûr que ça va être une bagarre  à l Assemblée,no,,no,1655683832,2022-06-20 00:06:32,BFMTV,UCXwDLMDV86ldKoFVc_g8P0g,Entertainment,,,19266,355,,,0,454,https://i.ytimg.com/vi/IGRObu1mENQ/mqdefault.jpg,FR,Other
mu5vT69WpjI,other,Salvador : En prison pour une fausse couche,no,,no,1517595250,2018-02-02 18:02:10,Konbini,UCHQda5vLxrH0Ff0I0kMq4zw,Entertainment,,,884398,33081,,,0,2673,https://i.ytimg.com/vi/mu5vT69WpjI/mqdefault.jpg,FR,Other
7BogT6434Y8,other,Oxlade revient sur son plus grand hit et sur sa mission en tant qu artiste. 🎶,no,,no,1690712100,2023-07-30 10:07:00,Konbini,UCHQda5vLxrH0Ff0I0kMq4zw,Entertainment,,fr-FR,6357,345,,,0,5,https://i.ytimg.com/vi/7BogT6434Y8/mqdefault.jpg,FR,Other
OH-nL5x1SaE,other,World Day To Combat Desertification & Drought | UN Convention To Combat Desertification (UNCCD),no,,no,1655451366,2022-06-17 07:06:06,BYJU S IAS,UC1pfsmDBnMQB8sOuQvmTvRQ,Education,en,en,7826,415,,,0,14,https://i.ytimg.com/vi/OH-nL5x1SaE/mqdefault.jpg,FR,Other
3vMYCW7gw1c,other,Jessie Inchauspé : Faire son ménage après le dîner  la solution pour mieux dormir,no,,no,1690614003,2023-07-29 07:07:03,RTL,UCzBoVtUqSyAyr0kF5ABW7gQ,News & Politics,,fr,2327,42,,,0,9,https://i.ytimg.com/vi/3vMYCW7gw1c/mqdefault.jpg,FR,Other
Ark2A_mkLdY,other,12 Nastiest Nellie Lowlights | Little House on the Prairie | COZI Dozen,no,,no,1570120277,2019-10-03 16:10:17,COZI TV,UCLqnydZxy7JNsPN2E0Ze1Yg,Entertainment,,en-US,1055951,7458,,,0,1457,https://i.ytimg.com/vi/Ark2A_mkLdY/mqdefault.jpg,FR,Other
