name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
rHg62CQ37Hg,other,How to Detox Your Body in 4 Simple Steps,no,,yes,1669037516,2022-11-21 13:11:56,Goodness Lover,UCITkQMWPri8MxjIXTre5j8Q,Education,,en-GB,6991,279,,,0,27,https://i.ytimg.com/vi/rHg62CQ37Hg/mqdefault.jpg,PH,Other
daQRdL9dEKA,other,Which is Better?Difference between Amine and Ester Formulations of 2 4-D,no,,no,1643277610,2022-01-27 10:01:10,AGRI-CROPS DOC,UCQeDVm5NlHYl72FZejLrDdg,Entertainment,,,46159,492,,,0,96,https://i.ytimg.com/vi/daQRdL9dEKA/mqdefault.jpg,PH,Other
Lhd7WbWV8aw,other,C4 CYCLE,no,,no,1515743636,2018-01-12 07:01:56,Neural Academy,UCqKiDBaeIA61KZxUqWHNb6w,Education,en,en,197630,3327,,,0,100,https://i.ytimg.com/vi/Lhd7WbWV8aw/mqdefault.jpg,PH,Other
JLyGqsLSbK0,other,2 4-D: The Bigger Picture,no,,no,1531416202,2018-07-12 17:07:22,lovelandproducts,UC7zxM_JMxqKH_7klbYm6lWg,Science & Technology,,,99268,456,,,0,41,https://i.ytimg.com/vi/JLyGqsLSbK0/mqdefault.jpg,PH,Other
bSJ3u8KjhlA,other,CALIFORNIA - WINE IN 10,no,,no,1597842009,2020-08-19 13:08:09,Konstantin Baum - Master of Wine,UCQmISjJHQ-__vXw18I65Pjg,People & Blogs,,,20764,784,,,0,62,https://i.ytimg.com/vi/bSJ3u8KjhlA/mqdefault.jpg,PH,Other
-v1AV97E3oo,other,Vitamins We Take EVERY DAY At 44 Years Old,no,,no,1668350098,2022-11-13 14:11:58,FlavCity with Bobby Parrish,UCnq1w-56tAvMdDup-CL6Vtg,Howto & Style,en,en,250570,7504,,,0,663,https://i.ytimg.com/vi/-v1AV97E3oo/mqdefault.jpg,PH,Other
9-pfo35733A,other,14 Reversing Damage in Bees,no,,yes,1521570971,2018-03-20 18:03:11,Bio Minerals Technologies  Inc.,UCkwkB9AWFrb9tPcEjW1TFbQ,Science & Technology,,,2427,91,,,0,7,https://i.ytimg.com/vi/9-pfo35733A/mqdefault.jpg,PH,Other
Vn4O6wrs72M,other,Peripheral NEUROPATHY (Causes and Cures) 2023,no,,no,1593557403,2020-06-30 22:06:03,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Education,en,en-US,1693942,51182,,,0,3071,https://i.ytimg.com/vi/Vn4O6wrs72M/mqdefault.jpg,PH,Other
43LYyaTwov8,other,Big Bud Tractors @ Alvordton  OH Plow Day 2023.,no,,no,1690761042,2023-07-30 23:07:42,Clark Electric,UC-ny3b9TXcbUde6XjfFOa-g,People & Blogs,,,703,9,,,0,0,https://i.ytimg.com/vi/43LYyaTwov8/mqdefault.jpg,PH,Other
Dp2YfS5J_t4,other,Get Ready with Me! Big Green Machines Planting Season 2023,no,,no,1682168409,2023-04-22 13:04:09,Millennial Farmer,UCp0rRUsMDlJ1meYAQ6_37Dw,People & Blogs,,en,452268,26924,,,0,830,https://i.ytimg.com/vi/Dp2YfS5J_t4/mqdefault.jpg,PH,Other
6SbHsmWb1iw,other,epiktibong herbicide  ubos Ang damo | 36 days old yellow corn,no,,yes,1669292088,2022-11-24 12:11:48,Jamo Mix TV,UCcaxn8jEEZAlH_b6AbxJqpg,Education,,,2749,28,,,0,34,https://i.ytimg.com/vi/6SbHsmWb1iw/mqdefault.jpg,PH,Other
eF_fbTbHdyg,other,How Safe Are Pesticides  Really?,no,,no,1528923602,2018-06-13 21:06:02,SciShow,UCZYTClx2T1of7BRZ86-8fow,Education,,en,216821,7120,,,0,916,https://i.ytimg.com/vi/eF_fbTbHdyg/mqdefault.jpg,PH,Other
FGCCNB2Pr0Y,other,I Tested the World’s CHEAPEST Liquid Fertilizer,no,,no,1657540806,2022-07-11 12:07:06,Princess Cut Lawn Care,UCq0p8LiC9_xsSi_3qrcvm1w,Howto & Style,,en,790153,17404,,,0,1483,https://i.ytimg.com/vi/FGCCNB2Pr0Y/mqdefault.jpg,PH,Other
YX8g16R4iws,other,Does Roundup Harm Soil? 🧿️🌽🧿️ How Soon Can You Plant After Spraying?,no,,yes,1594423741,2020-07-10 23:07:01,Garden Fundamentals,UCJfYCNSWCIuOB2sltDh5ZjQ,Howto & Style,,en-US,36801,927,,,0,180,https://i.ytimg.com/vi/YX8g16R4iws/mqdefault.jpg,PH,Other
hvx8GGW0KqA,other,DIY Lawn Care - Which Spreader Setting To Use For Fertilizer Applications,no,,no,1552283857,2019-03-11 05:03:37,The Lawn Care Nut,UCSjF378bQhLKO-ISsrHE7ng,Howto & Style,,en-US,258958,2180,,,0,289,https://i.ytimg.com/vi/hvx8GGW0KqA/mqdefault.jpg,PH,Other
