name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
PY5aOxS7-o0,0,Océans : des méduses pour lutter contre la pollution des microplastiques ?,yes,20,yes,1513695441,2017-12-19 14:12:21,L Obs,UC1ObaaFz4XHVPN2T5IFsU4w,People & Blogs,,,266,1,,,0,0,https://i.ytimg.com/vi/PY5aOxS7-o0/mqdefault.jpg,FR,Microplastics in the ocean and recycling
MkU_G20cyp0,0,La biodiversité est-elle impactée par la pollution microplastique ?,yes,36,yes,1570463789,2019-10-07 15:10:29,Fondation Tara Océan,UC5qWGW-5oRn91eAd2zmT5XQ,Nonprofits & Activism,fr,fr,1761,30,,,0,4,https://i.ytimg.com/vi/MkU_G20cyp0/mqdefault.jpg,FR,Microplastics in the ocean and recycling
MXFweeXCUJM,0,Vraiment fantastique  le plastique ? Plutôt dramatique pour les océans,yes,45,no,1531906600,2018-07-18 09:07:40,Les Echos,UChZWs6PJY0hND384d2_RrhQ,News & Politics,,,157184,1518,,,0,91,https://i.ytimg.com/vi/MXFweeXCUJM/mqdefault.jpg,FR,Microplastics in the ocean and recycling
fsjvwQclGLo,0,Why 99% of ocean plastic pollution is  missing,no,,no,1619524815,2021-04-27 12:04:15,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,en-US,en,5208235,99757,,,0,7230,https://i.ytimg.com/vi/fsjvwQclGLo/mqdefault.jpg,FR,Microplastics in the ocean and recycling
F8OfTv0INTM,0,The 7 BEST Technologies to Remove Microplastics and Plastics from the Ocean and the Environment,no,,no,1620759615,2021-05-11 19:05:15,Imari Walker,UCoiqwAaGW6-xANs3XOCO_Pg,Science & Technology,,,4389,154,,,0,18,https://i.ytimg.com/vi/F8OfTv0INTM/mqdefault.jpg,FR,Microplastics in the ocean and recycling
LBD_9UGPj28,0,Un monde SANS plastique : c est possible ? ft @poissonfecond42,no,,no,1687683609,2023-06-25 09:06:09,Jamy - Epicurieux,UCG9G2dyRv04FDSH1FSYuLBg,Education,,fr,385282,16102,,,0,658,https://i.ytimg.com/vi/LBD_9UGPj28/mqdefault.jpg,FR,Microplastics in the ocean and recycling
-1T_uJFDtiI,0,Océan de plastique,no,,yes,1506095042,2017-09-22 15:09:02,Organisation des Nations Unies - ONU,UC7XitSvFZ7SozvqgMHCvmFA,News & Politics,,fr,244856,1850,,,0,,https://i.ytimg.com/vi/-1T_uJFDtiI/mqdefault.jpg,FR,Microplastics in the ocean and recycling
rtmLPc31VcE,0,Le problème du plastique dans l’océan | Canadian Geographic,no,,no,1581433330,2020-02-11 15:02:10,Canadian Geographic,UC5TYbgxLYrsYgcrKyUshfGw,Travel & Events,,,27822,238,,,0,0,https://i.ytimg.com/vi/rtmLPc31VcE/mqdefault.jpg,FR,Microplastics in the ocean and recycling
REh-GAV1cfA,0,COMMENT RECYCLER LE PLASTIQUE ? - Les essentiels de Jamy,no,,no,1526997601,2018-05-22 14:05:01,Lumni,UCR9raBqPQisip_qnuCaUL1w,Education,,fr,207611,2035,,,0,103,https://i.ytimg.com/vi/REh-GAV1cfA/mqdefault.jpg,FR,Microplastics in the ocean and recycling
KMxf1Dqih-A,0,Journée mondiale de l environnement 🌍,no,,yes,1685961329,2023-06-05 10:06:29,Ifremer,UCLgt_wd7yKySEXdWAbbNE3Q,Science & Technology,,fr,116,7,,,0,0,https://i.ytimg.com/vi/KMxf1Dqih-A/mqdefault.jpg,FR,Microplastics in the ocean and recycling
1h__CanssWc,0,La semaine verte | Plastique : L urgence d agir,no,,yes,1618335900,2021-04-13 17:04:00,Radio-Canada Info,UClxaaAzHu1B5EoTtBYea7ig,News & Politics,fr-CA,fr-CA,13199,,,,0,16,https://i.ytimg.com/vi/1h__CanssWc/mqdefault.jpg,FR,Microplastics in the ocean and recycling
Yomf5pBN8dY,0,POWERFUL VIDEO: Why We Need to Stop Plastic Pollution in Our Oceans FOR GOOD | Oceana,no,,no,1570646479,2019-10-09 18:10:19,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Nonprofits & Activism,,,1865722,36613,,,0,1262,https://i.ytimg.com/vi/Yomf5pBN8dY/mqdefault.jpg,FR,Microplastics in the ocean and recycling
QFMggbBrMk8,0,France : le recyclage du plastique  c’est pas fantastique !,no,,no,1520420031,2018-03-07 10:03:51,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,News & Politics,,fr,89982,657,,,0,36,https://i.ytimg.com/vi/QFMggbBrMk8/mqdefault.jpg,FR,Microplastics in the ocean and recycling
7F5OSlREOI8,0,C est quoi le recyclage plastique ?,no,,no,1585129377,2020-03-25 09:03:57,Curionautes des sciences,UC_0ATiOvBECZSvH67-6IBYA,Science & Technology,fr,,74423,343,,,0,0,https://i.ytimg.com/vi/7F5OSlREOI8/mqdefault.jpg,FR,Microplastics in the ocean and recycling
kFMQXktHNO8,0,Cameroun : les start-up s attaquent au recyclage des déchets plastiques • FRANCE 24,no,,no,1666874885,2022-10-27 12:10:05,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,News & Politics,,fr,46188,579,,,0,74,https://i.ytimg.com/vi/kFMQXktHNO8/mqdefault.jpg,FR,Microplastics in the ocean and recycling
IVEl92s0VUc,0,Plastiques agricoles : vers le 100 % de recyclage en 2025,no,,yes,1644838326,2022-02-14 11:02:06,Actu-Environnement,UCegHY3YnuweGR-OYr82XG1A,News & Politics,,fr,2154,26,,,0,2,https://i.ytimg.com/vi/IVEl92s0VUc/mqdefault.jpg,FR,Microplastics in the ocean and recycling
tupawNK0XCg,0,Bâche plastique et Permaculture : Le duo EXPLOSIF !,no,,no,1591617527,2020-06-08 11:06:47,La Ferme de Cagnolle,UCdxoKgrL0f8F4OVoC38B4rg,Education,,fr-FR,98118,2070,,,0,390,https://i.ytimg.com/vi/tupawNK0XCg/mqdefault.jpg,FR,Microplastics in the ocean and recycling
cFoOIuk4dAM,0,Experiment Plastik: Wie schädlich ist Kunststoff für Körper und Umwelt? | Quarks,no,,yes,1631714414,2021-09-15 14:09:14,Quarks,UC1Y7onDsPyfP-lu--SXF-ew,Science & Technology,de,de,66715,1743,,,0,271,https://i.ytimg.com/vi/cFoOIuk4dAM/mqdefault.jpg,FR,Microplastics in the ocean and recycling
RFVC85kJOkI,0,100% des baleines sont contaminées par le plastique - SUR LE FRONT avec Hugo Clément,no,,no,1575478807,2019-12-04 17:12:07,francetv slash / enquêtes,UCCNW4Qbv3N0oEB2oVu2BUtw,Entertainment,,fr,24567,468,,,0,25,https://i.ytimg.com/vi/RFVC85kJOkI/mqdefault.jpg,FR,Microplastics in the ocean and recycling
