name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
D-Tv3xGZSq0,other,,MPART Citizen s Advisory Workgroup Meeting - June 2023,no,,no,1686837159,2023-06-15 13:06:39,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,en,78,1,,,0,0,https://i.ytimg.com/vi/D-Tv3xGZSq0/mqdefault.jpg,EN,Other
y5uyjRwPQ8Q,other,,Informational Session for Investor-Owned Utilities - Grid Resilience Grants - June 15  2023,no,,no,1687805247,2023-06-26 18:06:27,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,en,28,0,,,0,0,https://i.ytimg.com/vi/y5uyjRwPQ8Q/mqdefault.jpg,EN,Other
xDVqdvFfzLw,other,Water filters,3M Reaches Settlement Over Contaminated Water | June 23  2023 | News 19 at 5 p.m.,no,,yes,1687558339,2023-06-23 22:06:19,WHNT News 19,UCV8mxYCe-Tauwd09rS9cOVg,News & Politics,,en,2611,9,,,0,5,https://i.ytimg.com/vi/xDVqdvFfzLw/mqdefault.jpg,EN,Other
Fub3Z_P77eE,other,Water filters,The BEST Water Filter Pitcher in 2023...That Brita Doesn t Want You Knowing About,no,,yes,1662606586,2022-09-08 03:09:46,Water Filter Guru,UCs_wwjJQkH13dHcnDQV6aLw,Science & Technology,,en-US,41548,1812,,,0,475,https://i.ytimg.com/vi/Fub3Z_P77eE/mqdefault.jpg,EN,Other
c2vTjHzyh8Q,other,Water filters,The Best Salt-Free Water Softener for Dealing With Limescale in 2023,no,,yes,1670093934,2022-12-03 18:12:54,Water Filter Guru,UCs_wwjJQkH13dHcnDQV6aLw,Science & Technology,,en-US,4482,158,,,0,23,https://i.ytimg.com/vi/c2vTjHzyh8Q/mqdefault.jpg,EN,Other
Pg31Hj360og,other,,A Nuclear 9/11 on the US? | CBN NewsWatch - July 12  2023,no,,no,1689176701,2023-07-12 15:07:01,CBN News,UCYI_ychRnL7sJrG6PUSBpQA,News & Politics,,,514817,9572,,,0,1686,https://i.ytimg.com/vi/Pg31Hj360og/mqdefault.jpg,EN,Other
SDJChLGGq8Q,other,,SKINCARE I LOVED & HATED | JULY 2023 @DrDrayzday,no,,no,1690905629,2023-08-01 16:08:29,Dr Dray,UCnxmUrGMtpQT844Yd_l7Zyg,Howto & Style,en,en,2179,207,,,0,85,https://i.ytimg.com/vi/SDJChLGGq8Q/mqdefault.jpg,EN,Other
eIOy0aaG6q0,other,,*NEW* CERAVE SKINCARE REVIEWS 2023 @DrDrayzday,no,,no,1690819233,2023-07-31 16:07:33,Dr Dray,UCnxmUrGMtpQT844Yd_l7Zyg,Howto & Style,en,en,47982,3025,,,0,448,https://i.ytimg.com/vi/eIOy0aaG6q0/mqdefault.jpg,EN,Other
TsahOFPibco,other,Water filters,Top 5 Under Sink Water Filters in 2023 👌,no,,no,1647917017,2022-03-22 02:03:37,Consumer Buddy,UCMVSVjx5SjGWlLoF3m8feRw,Education,,en,104160,1369,,,0,24,https://i.ytimg.com/vi/TsahOFPibco/mqdefault.jpg,EN,Other
6lKqQk3Ss80,other,Water filters,The Best Whole House Water Filter in 2023...That Nobody Knows About,no,,no,1657742813,2022-07-13 20:07:53,Water Filter Guru,UCs_wwjJQkH13dHcnDQV6aLw,Science & Technology,,en-US,301778,8831,,,0,779,https://i.ytimg.com/vi/6lKqQk3Ss80/mqdefault.jpg,EN,Other
8b7d3I9C2Qc,other,,Beavers in Minnesota January 2023 Water Exchange,no,,no,1674486959,2023-01-23 15:01:59,Minnesota Pollution Control Agency,UCGU_0yj95W6DRcExC0-MBdg,Education,,en-US,350,3,,,0,,https://i.ytimg.com/vi/8b7d3I9C2Qc/mqdefault.jpg,EN,Other
5y-7RZpdH5M,other,,Thursday  July 13  2023 evening forecast,no,,no,1689292247,2023-07-13 23:07:47,Denver7,UC-2MJlKSq9_pYk5-bdvMhnw,News & Politics,,en-US,1355,13,,,0,0,https://i.ytimg.com/vi/5y-7RZpdH5M/mqdefault.jpg,EN,Other
S4nTUbBFGMg,other,,Parade of Ships | Grand Haven Coast Guard Festival 2023,no,,no,1690870980,2023-08-01 06:08:00,13 ON YOUR SIDE,UCuveMoRCsg7-W6ePw6lq7tA,Entertainment,,en-US,491,19,,,0,1,https://i.ytimg.com/vi/S4nTUbBFGMg/mqdefault.jpg,EN,Other
BmV9u9dPRYM,other,,Ferris State football wants to stop hearing the phrase  three-peat  ahead of their 2023 season,no,,no,1690844819,2023-07-31 23:07:59,13 ON YOUR SIDE,UCuveMoRCsg7-W6ePw6lq7tA,News & Politics,en,en,38,0,,,0,0,https://i.ytimg.com/vi/BmV9u9dPRYM/mqdefault.jpg,EN,Other
cnTBnKHUMeM,other,,TRASH TALK JUNE 12  2023,no,,no,1689614220,2023-07-17 17:07:00,TOWN OF KENT CT MEETINGS,UCFJci08_V79oZQl_dfbvhpw,News & Politics,,en,93,0,,,0,,https://i.ytimg.com/vi/cnTBnKHUMeM/mqdefault.jpg,EN,Other
UnIMwCtzNqQ,other,,2023 M&A Market May Return to Pre-Pandemic Levels,no,,no,1674583545,2023-01-24 18:01:45,Bloomberg Law,UCJL_gIOVp2fjfsKH4kbeEwA,News & Politics,,en-US,346,4,,,0,0,https://i.ytimg.com/vi/UnIMwCtzNqQ/mqdefault.jpg,EN,Other
H3nvBpHcmBs,other,,Get a sneak peek inside the 2023 Mecum Auctions at Pa. Farm Show Complex,no,,no,1690398850,2023-07-26 19:07:10,PennLive.com,UC5yvng1eSgffmybUM-51fTw,News & Politics,en,en-US,1007,10,,,0,0,https://i.ytimg.com/vi/H3nvBpHcmBs/mqdefault.jpg,EN,Other
OyqIjRWEk-Y,other,,CU Anschutz and CU Boulder HPC Celebration Event 6 2023,no,,no,1690517172,2023-07-28 04:07:12,CU Denver|Anschutz OIT,UCjjdO-qYXwBJShaaht7r9kQ,Education,en,en-US,9,0,,,0,0,https://i.ytimg.com/vi/OyqIjRWEk-Y/mqdefault.jpg,EN,Other
y3kzHc-eV88,other,PFAS explained,The PFAS Cover-up,yes,4,yes,1688050316,2023-06-29 14:06:56,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,96337,2534,,,0,591,https://i.ytimg.com/vi/y3kzHc-eV88/mqdefault.jpg,EN,Other
