name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
CpN4NWsra10,other,Wingnut Roundup - February 2023,yes,21,no,1677464011,2023-02-27 02:02:31,Jeff Holiday,UCAldq8BAAGdsX9UyK_09-ZA,Entertainment,,en,7025,445,,,0,59,https://i.ytimg.com/vi/CpN4NWsra10/mqdefault.jpg,EN,Other
7qHk2AKoRI8,other,Red Power Roundup 2023 Day 1: Getting the Lay of the Land,yes,28,yes,1687199069,2023-06-19 18:06:29,Just a Few Acres Farm,UCkOTo20XS1LL95g2p6CcE3A,People & Blogs,en-US,en-US,153302,12604,,,0,493,https://i.ytimg.com/vi/7qHk2AKoRI8/mqdefault.jpg,EN,Other
6bTRGuqxCwk,other,Red Power Roundup 2023 Day 3: Tractor Nerding and Meeting LOTS of Viewers,yes,33,yes,1687370401,2023-06-21 18:06:01,Just a Few Acres Farm,UCkOTo20XS1LL95g2p6CcE3A,People & Blogs,en-US,en-US,108676,10750,,,0,604,https://i.ytimg.com/vi/6bTRGuqxCwk/mqdefault.jpg,EN,Other
sftJxHS7qXo,other,Wingnut Roundup - March 2023,yes,35,no,1680225393,2023-03-31 01:03:33,Jeff Holiday,UCAldq8BAAGdsX9UyK_09-ZA,Entertainment,,en,6830,356,,,0,54,https://i.ytimg.com/vi/sftJxHS7qXo/mqdefault.jpg,EN,Other
awpDl9eB6Tg,other,WARHORSE ONE Official Trailer (2023),no,,no,1684869676,2023-05-23 19:05:16,Movie Trailers Source,UCpJN7kiUkDrH11p0GQhLyFw,Film & Animation,,en,973867,8052,,,0,520,https://i.ytimg.com/vi/awpDl9eB6Tg/mqdefault.jpg,EN,Other
kQEiCE2Mo6g,other,TOP UPCOMING ACTION MOVIES 2023 (Trailers),no,,no,1678366835,2023-03-09 13:03:35,FilmSpot Trailer,UCWOSgEKGpS5C026lY4Y4KGw,Film & Animation,en,en,3372751,13621,,,0,486,https://i.ytimg.com/vi/kQEiCE2Mo6g/mqdefault.jpg,EN,Other
-SjNzBDhRXE,other,Loki Season 2 Trailer (2023),no,,no,1690809121,2023-07-31 13:07:01,KinoCheck.com,UCLRlryMfL8ffxzrtqv0_k_w,Entertainment,en,en,26074,1421,,,0,111,https://i.ytimg.com/vi/-SjNzBDhRXE/mqdefault.jpg,EN,Other
1dK5rT196JI,other,Invasion Season 2 Trailer (2023) Apple TV+,no,,no,1690380733,2023-07-26 14:07:13,KinoCheck.com,UCLRlryMfL8ffxzrtqv0_k_w,Entertainment,en,en,24214,479,,,0,41,https://i.ytimg.com/vi/1dK5rT196JI/mqdefault.jpg,EN,Other
fjGUdiO_Brw,other,The Marvels - 4 Minutes Trailers (2023),no,,no,1690376974,2023-07-26 13:07:34,KinoCheck.com,UCLRlryMfL8ffxzrtqv0_k_w,Entertainment,en,en,51251,699,,,0,73,https://i.ytimg.com/vi/fjGUdiO_Brw/mqdefault.jpg,EN,Other
sBQaY-Id5nc,other,God is a Bullet 2023 - Official Trailer,no,,no,1683824726,2023-05-11 17:05:26,XYZ FILMS,UC82a54ONoesmTcQInXvFl9A,Film & Animation,,,1073945,734,,,0,99,https://i.ytimg.com/vi/sBQaY-Id5nc/mqdefault.jpg,EN,Other
iQPxd8MXzx4,other,SAW X Official Trailer (2023),no,,no,1690693232,2023-07-30 05:07:32,Rapid Trailer,UC1cVTv6C0Unv6TtadjBvYRA,Film & Animation,en,en,102057,1999,,,0,303,https://i.ytimg.com/vi/iQPxd8MXzx4/mqdefault.jpg,EN,Other
