name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
NPBOUd_RrWg,other,Wild Violets,no,,no,1658161018,2022-07-18 16:07:58,Farison Lawn Care,UC_We1VUXrrqwHUoA9MoHUjw,People & Blogs,,,1883,19,,,0,4,https://i.ytimg.com/vi/NPBOUd_RrWg/mqdefault.jpg,NL,Other
vpx6EUSdu58,0,Wild violets control,no,,no,1664828721,2022-10-03 20:10:21,Western Mass Turf,UChq2urEJIYeBaeO5Bdeyhog,People & Blogs,,en-US,2010,40,,,0,19,https://i.ytimg.com/vi/vpx6EUSdu58/mqdefault.jpg,NL,Using Roundup
viZqqUHiv94,other,Kei met fluoriserende verf schilderen met AVIS Biglo,no,,no,1690197529,2023-07-24 11:07:49,Avis Professional,UCuEKWKUSKskvCJvhL_4Yi3g,Howto & Style,,,1289,1,,,0,0,https://i.ytimg.com/vi/viZqqUHiv94/mqdefault.jpg,NL,Other
VPDfVQvGmrE,other,EXPENSIVE FERTILIZER VS. CHEAP FERTILIZER,no,,no,1618920010,2021-04-20 12:04:10,Princess Cut Lawn Care,UCq0p8LiC9_xsSi_3qrcvm1w,Howto & Style,,en,119160,2894,,,0,357,https://i.ytimg.com/vi/VPDfVQvGmrE/mqdefault.jpg,NL,Other
SW-aIutIuhQ,other,🔥🔥The secret of all plumbers for 1 dollar   It s very simple,no,,no,1689710409,2023-07-18 20:07:09,Women s DIY,UCklutbk7fUMFBNcG7OKLcig,People & Blogs,en,en,100356,859,,,0,14,https://i.ytimg.com/vi/SW-aIutIuhQ/mqdefault.jpg,NL,Other
UInEZtKAN4U,other,6.0 Power Stroke won t Start after $7500 in Repairs,no,,no,1687712235,2023-06-25 16:06:15,Watch Wes Work,UC2kEuLCRUrWAvHlupobn4aw,Autos & Vehicles,,en-US,339437,21108,,,0,1631,https://i.ytimg.com/vi/UInEZtKAN4U/mqdefault.jpg,NL,Other
0Ff44-O2DoA,other,Drawing Portraits Of Random Strangers On The Subway,no,,no,1641928500,2022-01-11 19:01:00,UNILAD Adventure,UCMvWPTqO9riBIHdB3U59ObQ,Travel & Events,,en-GB,1504478,21902,,,0,866,https://i.ytimg.com/vi/0Ff44-O2DoA/mqdefault.jpg,NL,Other
g6QvTk08qM8,other,Cheap Paint vs Paint With Primer - A Quick Test,no,,no,1670796351,2022-12-11 22:12:51,Tom s Home Improvement Videos,UCbTBXm0cPeRGu2UNMNC_UwQ,Howto & Style,en,en-US,234,8,,,0,2,https://i.ytimg.com/vi/g6QvTk08qM8/mqdefault.jpg,NL,Other
IlXCFyoLjNE,other,How much primer do you need for painting drywall?,no,,no,1668892392,2022-11-19 21:11:12,Tom s Home Improvement Videos,UCbTBXm0cPeRGu2UNMNC_UwQ,Howto & Style,en,en-US,1555,23,,,0,1,https://i.ytimg.com/vi/IlXCFyoLjNE/mqdefault.jpg,NL,Other
WOfsbjQvJEw,other,MERV vs MPR vs FPR - Choosing the Best 🏠 Home Filter By Rating,no,,no,1675028096,2023-01-29 21:01:56,Tom s Home Improvement Videos,UCbTBXm0cPeRGu2UNMNC_UwQ,Howto & Style,en,en-US,2143,42,,,0,4,https://i.ytimg.com/vi/WOfsbjQvJEw/mqdefault.jpg,NL,Other
