name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
NO0eKiIUcBg,Carcinogenesis: The transformation of normal cells to cancer cells,yes,1,yes,1384375021,2013-11-13 20:11:01,Breast Cancer Prevention Partners - BCPP,UCMf1mvGD12UoOevW3xtH3SA,Nonprofits & Activism,,,116952,629,,,0,5,https://i.ytimg.com/vi/NO0eKiIUcBg/mqdefault.jpg,EN
pJJwIJAJfG0,Common Everyday Chemicals Leading to Deadly Brain Cancer,yes,2,no,1679157903,2023-03-18 16:03:03,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,Education,en,en,44422,1666,,,0,232,https://i.ytimg.com/vi/pJJwIJAJfG0/mqdefault.jpg,EN
R_MLl3O4dKo,Which Chemical is the Worst Carcinogen?,yes,3,no,1673406108,2023-01-11 03:01:48,That Chemist,UC0nEDA3uRd5YuvBfMwQNteg,Education,en,en,845112,25458,,,0,2407,https://i.ytimg.com/vi/R_MLl3O4dKo/mqdefault.jpg,EN
XTYT2ei2K-c,Carcinogenic Chemicals,yes,4,yes,1598490625,2020-08-27 01:08:25,Dirty Medicine,UCZaDAUF7UEcRXIFvGZu3O9Q,Education,,en,23497,824,,,0,40,https://i.ytimg.com/vi/XTYT2ei2K-c/mqdefault.jpg,EN
U_zwv8d60ag,Cancer & Carcinogens Part 1 - Four Common Cancer-Causing Substances & Your Exposure,yes,5,yes,1409423896,2014-08-30 18:08:16,Safety Memos,UCDwsNpdq8nR4a4mcxOEsigw,People & Blogs,,,26375,211,,,0,22,https://i.ytimg.com/vi/U_zwv8d60ag/mqdefault.jpg,EN
UBcpZsb2DWI,EWG Explains: Chemicals and Cancer,yes,6,yes,1465827838,2016-06-13 14:06:58,Environmental Working Group (EWG),UC0HuASskjV3jhgj2ONLc8VA,Nonprofits & Activism,,,15114,160,,,0,8,https://i.ytimg.com/vi/UBcpZsb2DWI/mqdefault.jpg,EN
EzVaUH8Mu1I,Cancer-Causing Substances | Research Alert,yes,7,yes,1666653568,2022-10-24 23:10:28,Norwex,UCW5yzhF0ByXjX5_RQTQVUSg,Howto & Style,en,en,3155,95,,,0,0,https://i.ytimg.com/vi/EzVaUH8Mu1I/mqdefault.jpg,EN
5TYLCRt2H5c,Carcinogenic Substances,yes,8,yes,1579607704,2020-01-21 11:01:04,AUVA,UCzoYzbM2iqfy7RrWy-oHdzg,Nonprofits & Activism,,en,4690,43,,,0,0,https://i.ytimg.com/vi/5TYLCRt2H5c/mqdefault.jpg,EN
ZEdu4_syxek,FirstU Sunday - July 30th   Reflections on My Journey with Cancer ,yes,9,no,1690774896,2023-07-31 03:07:36,First Unitarian Congregation of Ottawa - Official,UCgCoRy84rCt5tMqbd_TLksw,Nonprofits & Activism,,en,88,1,,,0,1,https://i.ytimg.com/vi/ZEdu4_syxek/mqdefault.jpg,EN
EPxv90W0iJo,4 MAIN Reasons our Food is CAUSING CANCER,yes,10,yes,1675455309,2023-02-03 20:02:09,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,Education,en,en,393759,7389,,,0,903,https://i.ytimg.com/vi/EPxv90W0iJo/mqdefault.jpg,EN
A4r4GEEPvuw,Cancers Part 2 - Metals: Cancer & Carcinogens - Common Cancer-Causing Substances & Your Exposure,yes,11,yes,1409776493,2014-09-03 20:09:53,Safety Memos,UCDwsNpdq8nR4a4mcxOEsigw,Science & Technology,,,8864,77,,,0,5,https://i.ytimg.com/vi/A4r4GEEPvuw/mqdefault.jpg,EN
wGuqcUhSUOg,4 Common Causes Of CANCER That Most People Don’t Know About,yes,12,yes,1675015209,2023-01-29 18:01:09,Doctor Mike Hansen,UCMSsLqxqvZsNXi0Z-VjN89A,Education,en,en,294703,7218,,,0,715,https://i.ytimg.com/vi/wGuqcUhSUOg/mqdefault.jpg,EN
fObY80hzDJI,Carcinogenic Substances - Dräger Safety Hacks,yes,13,yes,1592315365,2020-06-16 13:06:25,Dräger Global,UCR2KXjsxbGgj_1LHwuOWKJg,Science & Technology,,en,3741,,,,0,,https://i.ytimg.com/vi/fObY80hzDJI/mqdefault.jpg,EN
_Q9LpFRX71Q,Study Links Hair-Straightening Chemicals To Increased Risk Of Uterine Cancer,yes,14,no,1666131004,2022-10-18 22:10:04,CBS Miami,UCXJryYh6xcW5iEeJGzK191A,News & Politics,en-US,en-US,3154,31,,,0,10,https://i.ytimg.com/vi/_Q9LpFRX71Q/mqdefault.jpg,EN
PqSWT3PD-GE,Cancer causing agents | carcinogenic agents | causes of cancer | Cancer reasons,yes,15,yes,1646388417,2022-03-04 10:03:57,3 Min Pharmacy,UCPodpzjq-fgrdWpGk1KG0CQ,Education,,hi,4120,64,,,0,3,https://i.ytimg.com/vi/PqSWT3PD-GE/mqdefault.jpg,EN
CZymIB8vzBo,Beauty Products  Hair Chemicals  and Uterine Cancer,yes,16,no,1674831176,2023-01-27 14:01:56,Healthcare Triage,UCabaQPYxxKepWUsEVQMT4Kw,Education,en,en,7485,563,,,0,38,https://i.ytimg.com/vi/CZymIB8vzBo/mqdefault.jpg,EN
XhTFGHSRZ1A,Carcinogens at work: better protection from harmful substances,yes,17,yes,1544518852,2018-12-11 09:12:52,European Parliament,UCvU4p_w08osQsrNi_I4ZtDA,News & Politics,,,698,18,,,0,,https://i.ytimg.com/vi/XhTFGHSRZ1A/mqdefault.jpg,EN
qZ8Wr2T4BIE,How to protect your family from products containing cancer-causing chemicals,yes,18,yes,1652096773,2022-05-09 11:05:13,WBNS 10TV,UCAKK8dbcSmckr2sWJhv5ezA,News & Politics,en,en,482,7,,,0,2,https://i.ytimg.com/vi/qZ8Wr2T4BIE/mqdefault.jpg,EN
I1JPtZN5H14,Canada considers “forever chemicals” ban of cancer-causing agents,yes,19,no,1684634406,2023-05-21 02:05:06,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,,en-CA,62613,281,,,0,150,https://i.ytimg.com/vi/I1JPtZN5H14/mqdefault.jpg,EN
Kt-E50ybRUw,Can chemicals in deodorants cause cancer.,yes,20,no,1669660229,2022-11-28 18:11:29,Apollo Hospitals Hyderabad,UCTT4fw0JLkiDJmEJs3rPdAg,Education,,en-GB,43,2,,,0,0,https://i.ytimg.com/vi/Kt-E50ybRUw/mqdefault.jpg,EN
10mmjJ0zonI,Coffee Is No Longer On WHO s List Of Cancer-Causing Substances,yes,21,no,1465999609,2016-06-15 14:06:49,Scripps News,UCTln5ss6h6L_xNfMeujfPbg,Science & Technology,,,5822,13,,,0,5,https://i.ytimg.com/vi/10mmjJ0zonI/mqdefault.jpg,EN
nB1RRdNxK3k,Taking action to fight cancer-causing chemicals,yes,22,yes,1612433547,2021-02-04 10:02:27,EUchemicals,UCV6IkCp9rRO1sBUYPD_CuJw,Science & Technology,en-GB,en-GB,446,10,,,0,1,https://i.ytimg.com/vi/nB1RRdNxK3k/mqdefault.jpg,EN
w4zsUAVO3k0,Chemicals In Sanitary Pads May Cause Cancer And Infertility: Study,yes,23,no,1669121671,2022-11-22 12:11:31,editorji,UCyri-PL3l4Dn9IooWXQAqfA,News & Politics,en-IN,en-IN,5362,57,,,0,8,https://i.ytimg.com/vi/w4zsUAVO3k0/mqdefault.jpg,EN
ZrqJTVnjNGE,High levels of cancer-causing chemicals found at local federal complex,yes,24,no,1555730959,2019-04-20 03:04:19,KMOV St. Louis,UCwHKLYLfz6M14SbBahFH5VA,News & Politics,,,333,9,,,0,2,https://i.ytimg.com/vi/ZrqJTVnjNGE/mqdefault.jpg,EN
6OWQjYaT1f8,Treating Cancer Cells and Immune Issues with Cannabis Chemicals,yes,25,no,1535399447,2018-08-27 19:08:47,University of Northern Colorado,UCmf99lZNypd0ccCxm1nTZ8A,Education,,en,6416,,,,0,11,https://i.ytimg.com/vi/6OWQjYaT1f8/mqdefault.jpg,EN
Q_WB1tf8e3Y,Implantable materials for cancer detection | Brian Aguado | TEDxNorthwesternU,yes,26,no,1432844542,2015-05-28 20:05:22,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,,728,10,,,0,1,https://i.ytimg.com/vi/Q_WB1tf8e3Y/mqdefault.jpg,EN
pdYbz79g3B8,Study Estimates 15K Cancer Cases Could Stem From Chemicals In California Tap Water,yes,27,no,1556638017,2019-04-30 15:04:57,WJZ,UClYiny8IhDsIk5SivucNl7g,News & Politics,,en,109,3,,,0,0,https://i.ytimg.com/vi/pdYbz79g3B8/mqdefault.jpg,EN
