id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
1425232352,"Expired Organic bio waste. Mix Vegetables and fruits in a huge container, in a rubbish bin. Heap of Compost from vegetables or food for animals.",1,Israel,,fruit_vegetables_production,Fruit vegetables production
1160205101,Making compost from vegetable leftovers,2,Serbia,,household_waste,Household waste
1355684614,Throwing Away Leftover Food In Trash,3,Germany,,leftovers,Leftovers
187676687,Fresh Food In Garbage Can To Illustrate Waste,4,,,household_waste,Household waste
1302728677,Uneaten spoiled vegetables are thrown in the trash. Food Loss and Food Waste. Reducing Wasted Food At Home,5,USA,,household_waste,Household waste
1151382168,"Food waste problem, leftovers Thrown into into the trash can. Spoiled food in refuse bin. Spoiled oranges and apples close up. Ecological issues. Garbage. Concept of food waste reduction. From above.",6,Poland,,fruit_vegetables_consumption,Fruit vegetables consumption
1127769214,Zero waste shopping concept,7,Ukraine,,other,Other
1166079489,Person Throwing Pepperoni Pizza In Dustbin,8,Germany,,leftovers,Leftovers
1208241405,Discarded and spoiled food on a rubbish heap,9,Germany,,fruit_vegetables_consumption,Fruit vegetables consumption
1160204081,Making compost from leftovers,10,Serbia,,compost,Compost
172284556,After the meal,11,,,leftovers,Leftovers
1299487657,Throwing Away Leftover Food In Trash,12,Germany,,leftovers,Leftovers
845816364,Garbage pile in trash dump or landfill. Pollution concept.,13,Czech Republic,,dumpsites,Dumpsites
1339792056,Food leftovers after dinner,14,UK,,leftovers,Leftovers
1057790090,Domestic waste for compost from fruits and vegetables. Woman  throws garbage.,15,Canada,,fruit_vegetables_consumption,Fruit vegetables consumption
547150468,Fresh bio-waste and compost,16,,,fruit_vegetables_consumption,Fruit vegetables consumption
660153840,man throwing leftovers to the trash bin,17,Spain,,leftovers,Leftovers
482615861,Fruit and vegetable waste recycle background,18,,,fruit_vegetables_consumption,Fruit vegetables consumption
1153472601,Garbage sorting. Organic food waste from vegetable ready for recycling and to compost on the dark background,19,Italy,,fruit_vegetables_consumption,Fruit vegetables consumption
1094170862,Woman Throwing Vegetables In Trash Bin,20,Germany,,leftovers,Leftovers
1214986411,Peeled vegetables in white compost bin on blue background. Trash bin for composting with leftover from kitchen on blue background. Top view. Recycling scarps concept. Sustainable and zero waste lifestyle.,21,,,other,Other
1157131008,"Fruits and Vegetables in a cotton mesh reusable bag, Zero Waste Shopping concept",22,Italy,,other,Other
172481514,Domestic compost heap,23,,,fruit_vegetables_consumption,Fruit vegetables consumption
1272152582,Waste is useful,24,Serbia,,other,Other
479440915,Compost with composted earth,25,,,fruit_vegetables_consumption,Fruit vegetables consumption
1160204521,Making compost from leftovers,26,Serbia,,household_waste,Household waste
843259360,Woman composting organic kitchen waste,27,Poland,,other,Other
1346746010,Food Waste,28,Brazil,,other,Other
1176948944,Different trash. Garbage sorting. Domestic waste for compost from fruits and vegetables.,29,Canada,,fruit_vegetables_consumption,Fruit vegetables consumption
1213480705,Zero waste shopping concept,30,Serbia,,compost,Compost
1225253924,Food waste in iron bowl and female hands,31,Ukraine,,fruit_vegetables_consumption,Fruit vegetables consumption
1217083841,Banana peel was thrown into the garbage bag for disposal. Look from the inside of the basket.,32,Thailand,,other,Other
185068965,Close-Up of Peeling Apple.,33,,,other,Other
1171440648,Throw the garbage bag into the trash can,34,China - East Asia,,other,Other
1154805099,Zero waste and eco friendly shopping with vegetables and fruits in textile and paper bags top view. Plastic free and reuse concept.,35,Belarus,,other,Other
172517827,Windfall,36,,,fruit_vegetables_production,Fruit vegetables production
1335023821,Organic food waste in garbage bin bucket with lid in home on floor to be composted.,37,Estonia,,household_waste,Household waste
1051140080,Domestic waste for compost from fruits and vegetables in the garbage bag on the table.,38,Canada,,fruit_vegetables_consumption,Fruit vegetables consumption
136258139,trash,39,,,other,Other
1157016402,"wastage of food, mostly seeing in hotels and party events",40,United Arab Emirates|Persian Gulf Countries,,leftovers,Leftovers
1460446693,Woman putting organic waste in the recycling bin,41,Italy,,other,Other
97578205,Compost,42,,,other,Other
1160204520,Making compost from vegetable leftovers,43,Serbia,,household_waste,Household waste
1031916848,Food waste is a major problem.,44,,,household_waste,Household waste
858765924,Person Throwing Cooked Pasta In Trash Bin,45,Germany,,leftovers,Leftovers
497479184,grocery store garbage,46,,,other,Other
1212178940,Container full of domestic food waste ready to be composted,47,Poland,,household_waste,Household waste
521023979,Woman Scraping Food Leftovers Into Garbage Bin,48,,,leftovers,Leftovers
1342229204,A lake in the shape of a recycling sign in the middle of untouched nature. An ecological metaphor for ecological waste management and a sustainable and economical lifestyle. 3d rendering.,49,,,other,Other
