id,title,rank,keyword_Location,cluster,clusterLabel
1317882487,Close up side shot of microplastics lay on people hand.Concept of water pollution and global warming. Climate change idea.,1,Thailand,hands,Hands
1393825220,"Microplastics at hand, microplastics, air pollution, aquatic microplastics, food microplastics.",2,Thailand,other,Other
1150805328,Hands with microplastics on the beach,3,Spain,recycle_cleaning,Recycle cleaning
1390981309,Close-up side shot of hands shows microplastic waste contaminated with the seaside sand. Microplastics are contaminated in the sea. Concept of water pollution and global warming.,4,Thailand|Oceania|Pacific Islands|Hawaii Islands,hands,Hands
1331594926,Microplastic pollution of the sea and the ocean. Plastic trash and waste in the water of the world's oceans.,5,Lanzarote|USA|Famara,waste_beach,Waste beach
1391055907,"traces of plastic and microplastic in petri dish, analyzed in laboratory, study of environmental problem",6,USA,other,Other
1170923784,Small Plastic pellets on the finger.Micro plastic.air pollution,7,Thailand,hands,Hands
1140976290,"Young woman cleaning microplastics from sand on the beach - Environmental problem, pollution and ecolosystem warning concept - Focus on hand",8,Asia|Australia|Spain|Africa,other,Other
1184973301,"plastic pollution in ocean water, microplastics in the current",9,Germany,waste_underwater,Waste underwater
1211649774,Microplastic in a spoon on blue background. microplastic in water and food. Microplastic problem. Dangerous additives. Toxic substances.,10,,plastic_in_food,Plastic in food
1184972195,"fish swarm swimming through plastic pollution, micro plastic particles in ocean water",11,Germany,fishes,Fishes
1073171494,Environmental Issue underwater image of plastic pollution in the Ocean garbage patch,12,Southeast Asia|Thailand|Krabi Province,waste_underwater,Waste underwater
1193095410,Plastic Ocean Pollution And Microplastics,13,UK,other,Other
1208182476,Waves pushing plastic waste to the beach,14,Malaysia|Dominican Republic|Asia,waste_beach,Waste beach
1189450395,Environmental pollution and water microplastic. Micro plastic with spoon,15,,plastic_in_food,Plastic in food
1380614635,Microplastics in hand of man over water Environmental pollution and water microplastics.,16,USA,hands,Hands
1296716316,Spoon with microplastics,17,Spain,plastic_in_food,Plastic in food
1175409485,"microplastics floating in ocean water, micro plastic pollution",18,Germany,waste_underwater,Waste underwater
1380327673,Macro shot of authentic real microplastics,19,Bulgaria,other,Other
1304705790,Microplastic Water Pollution,20,,other,Other
1362554361,Detailed photography of sea water contaminated with micro plastic. Environment pollution concept.,21,West Asia|Egypt,waste_underwater,Waste underwater
1298177570,A bunch of plastic rubbish that cannot be recycled.,22,Bulgaria,hands,Hands
1150805313,Hands with microplastics on the beach,23,Spain,recycle_cleaning,Recycle cleaning
1443472073,Close up side shot of microplastics lay on people hand. Concept of water pollution and global warming. Climate change idea. micro plastics concept in food and water or sea,24,Thailand,hands,Hands
1036767280,Sea water contaminated by micro plastic.,25,West Asia|Egypt,waste_underwater,Waste underwater
1186643015,"plastic pollution, micro plastic particle and nurdles in ocean water",26,Germany,waste_underwater,Waste underwater
1313817688,Fish and plastic granules,27,Netherlands,fishes,Fishes
1409308613,Macro shot on a bunch of microplastics that cannot be recycled,28,Bulgaria,other,Other
1150684786,"Plastic pollution of food concept
Plastic pollution of food concept
Plastic pollution of food concept",29,Slovenia,plastic_in_food,Plastic in food
1491039486,Macro shot of a person with medical gloves and tweezers inspecting a pile of micro plastics. Concept of water pollution and global warming.,30,Bulgaria,other,Other
1391055920,"hand of traces of plastic and microplastic in petri dish, analyzed in laboratory, study of environmental problem",31,USA,other,Other
1366377475,Tiny atomic particles close up view in abstract space,32,Georgia - Country,waste_underwater,Waste underwater
1183694961,Coral reef being destroyed by Fishing ghost net pollution underwater,33,Thailand,waste_underwater,Waste underwater
1312263655,Microplastics Laboratory Analysis. Scientist Observing Microplastics Or Tiny Plastic Particles,34,Serbia|Belgrade - Serbia,other,Other
1305921384,Microplastic Pollution Concept,35,Serbia|Belgrade - Serbia,other,Other
