id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
833284634,Crop sprayer,1,Slovenia,,tractors,Tractors
958953510,Agricultural worker takes care of his estate,2,Serbia,,cultivations,Cultivations
1253886250,"Farmer spraying vegetable green plants in the garden with herbicides, pesticides or insecticides",3,Bulgaria,,cultivations,Cultivations
486394135,farmer spraying pesticide in the rice field,4,,,cultivations,Cultivations
1174599995,spraying pesticide with portable sprayer to eradicate garden weeds in the lawn. weedicide spray on the weeds in the garden. Pesticide use is hazardous to health.,5,Germany,,spry_gardens,Spry gardens
1253061953,an asian chinese female farmer with protective suit spraying on bitter groud plants in the farm for disinfection,6,Malaysia|Asia,,cultivations,Cultivations
1329309807,"Application of water-soluble fertilizers, pesticides or herbicides in the field. View from the drone.",7,,,tractors,Tractors
1339417347,Gun target on ant at home. Pest control,8,Ukraine,,insects,Insects
1324890919,Tractor spraying pesticides on vegetable field  with sprayer at spring,9,Serbia,,tractors,Tractors
1131909254,Man wearing protective suit spraying plants. Young man spraying vineyard.,10,Serbia,,cultivations,Cultivations
1200708256,Farm worker spraying pesticide and insecticide on lemon plantation.,11,Spain,,cultivations,Cultivations
1347856504,"Pest control worker spraying pesticide around furniture indoors, closeup",12,Ukraine,,house_disinfestation,House disinfestation
1333278219,"Spraying, disinfection and decontamination",13,Serbia,,house_disinfestation,House disinfestation
1351445474,"Worker spraying pesticide onto green bush outdoors, closeup. Pest control",14,Ukraine,,spry_gardens,Spry gardens
1282328221,Back yard disinfection for viruses,15,Serbia,,spry_gardens,Spry gardens
1321305555,Caucasian Men Fighting Grass Lawn Weeds,16,,,spry_gardens,Spry gardens
1002823828,Plantation spraying,17,,,cultivations,Cultivations
1301665553,It has to be protected,18,Serbia,,other,Other
155415266,Tractor working in field of wheat,19,,,tractors,Tractors
907966126,Tractor spraying pesticides on vegetable field with sprayer at spring,20,Serbia,,tractors,Tractors
1233466447,Detail of a sanitation worker in protective suit holding a sprayer,21,Italy,,house_disinfestation,House disinfestation
1249522339,Tractor spray fertilizer on green field.,22,USA,,tractors,Tractors
928307424,Looking down on a crop duster,23,Israel,,planes,Planes
506164764,Tractor spraying soybean field,24,,,tractors,Tractors
1471872630,Spray ecological pesticide. Farmer fumigate in protective suit and mask lemon trees,25,Spain,,cultivations,Cultivations
507279814,Tractor spraying soybean field,26,,,tractors,Tractors
1201461261,Tractor spraying pesticides on soy field  with sprayer at spring,27,Serbia,,tractors,Tractors
1308788813,"Fumigator sanitizing, cleaning and disinfection. Coronavirus pandemic professional control.",28,Spain,,house_disinfestation,House disinfestation
136265152,Agricultural chemistry,29,,,cultivations,Cultivations
1358944500,"Pest control worker spraying pesticide indoors, closeup",30,Ukraine,,house_disinfestation,House disinfestation
1240360373,The farmer reads the instructions for spraying the fruit against parasites,31,Serbia,,cultivations,Cultivations
185254270,Spraying crops,32,,,cultivations,Cultivations
1092812454,Woman spraying flowers in the garden,33,Serbia,,spry_gardens,Spry gardens
1318850180,Tractor spraying pesticides on corn field  with sprayer at spring,34,Serbia,,tractors,Tractors
1159443165,Garden Plants Insecticide,35,USA,,cultivations,Cultivations
1154958041,Taking care of the Crop. Aerial view of a Tractor fertilizing a cultivated agricultural field.,36,Bulgaria,,tractors,Tractors
1337600812,"Pest control worker spraying pesticide indoors, closeup",37,Ukraine,,house_disinfestation,House disinfestation
528979270,Tractor spraying wheat field,38,,,tractors,Tractors
1362707323,Worker with insecticide sprayer near green bush outdoors. Pest control,39,Ukraine,,spry_gardens,Spry gardens
925754094,Aerosol for the control of insects.,40,Ukraine,,spry_products,Spry products
1134239382,Plantation spraying,41,,,cultivations,Cultivations
1325463116,Young adult woman hand holding spray bottle and spraying chemical liquid on cherry leaves with aphids in summer day. Fruit trees treatment from parasites attack. Garden problems and solution. Closeup.,42,Latvia,,other,Other
1155266001,Tractor spraying insecticide or fungicide on pomegranate trees in garden,43,Türkiye - Country,,tractors,Tractors
120920756,Crop Duster in Action,44,,,planes,Planes
896013740,Tractor spraying pesticides on soybean field  with sprayer,45,Serbia,,tractors,Tractors
1351445035,"Worker spraying pesticide onto green lawn outdoors, closeup. Pest control",46,Ukraine,,spry_gardens,Spry gardens
1308788817,"Fumigator sanitizing, cleaning and disinfection. Coronavirus pandemic professional control.",47,Spain,,other,Other
1219104089,Man in protective suit disinfecting steps in building stock photo,48,Serbia,,house_disinfestation,House disinfestation
1224507024,"Hand holding Cockroach on house background, eliminate cockroach in house",49,Thailand,,insects,Insects
147316969,Sprayer in an apple orchard,50,,,other,Other
1263452722,Treating powdery mildew on a zucchini plant.,51,Germany,,other,Other
174868875,Pest Control,52,,,other,Other
1274283238,"common ant on the kitchen table, close to food, need for pest control",53,China - East Asia,,other,Other
1157291363,Pesticide spraying - protection,54,Serbia,,cultivations,Cultivations
1131909366,Agriculture worker. Young farmer spraying pesticides. Taking care about vineyard.,55,Serbia,,cultivations,Cultivations
157284758,Crop duster plane banking over a field while spraying,56,,,planes,Planes
1278640196,"aerial view of a crop duster or aerial applicator, flying low, and spraying agricultural chemicals, over lush green potato fields in Idaho.",57,Idaho|UK,,planes,Planes
1335029399,"Male worker in protective suit spraying insecticide on window sill indoors, closeup. Pest control",58,Ukraine,,house_disinfestation,House disinfestation
1224290959,Tractor spraying young corn with pesticides,59,Serbia,,tractors,Tractors
1147995998,Tractor spraying pesticides at corn fields,60,Serbia,,tractors,Tractors
934498558,Spraying a blooming fruit tree against pests,61,Czech Republic,,spry_gardens,Spry gardens
1214253818,Man in protective suit disinfecting office work space,62,Europe|Serbia,,house_disinfestation,House disinfestation
1267189690,Pest control concept. Garden spray bottle with pesticides spraying on roses flowers.,63,,,spry_gardens,Spry gardens
1347514619,"Woman spraying insecticide onto cockroaches, closeup. Pest control",64,Ukraine,,spry_products,Spry products
1214263790,Man in protective suit disinfecting and spraying every room in the building,65,Europe|Serbia,,house_disinfestation,House disinfestation
183267919,Pouring Chemical,66,,,other,Other
1344233648,Apple fruit tree spraying with a tractor and agricultural machinery,67,Serbia,,cultivations,Cultivations
472779220,Analyzing food,68,,,other,Other
1340716611,A tube-shaped pond in the middle of a lush virgin rainforest.  3d rendering.,69,,,other,Other
185253969,Spraying field,70,,,cultivations,Cultivations
1050668698,Spraying weeds in the garden,71,Germany,,spry_gardens,Spry gardens
678486960,"Gardener applying an insecticide fertilizer to his fruit shrubs, using a sprayer",72,Serbia,,other,Other
518482209,Agriculture,73,,,planes,Planes
943797780,Using pesticide against pests on walnut tree,74,Czech Republic,,spry_gardens,Spry gardens
805658820,Food safety concept,75,USA,,other,Other
1395312667,"Orchard spraying, chemical protection",76,Serbia,,tractors,Tractors
1172434121,Asian Thailand termite staff company is spraying the destroy chemical liquid in to white ant nest in the wood around human house.,77,Thailand,,house_disinfestation,House disinfestation
1255605171,Agriculture sprinkles,78,Italy,,tractors,Tractors
1248595508,"Tractor spraying wheat field, aerial view",79,Germany,,tractors,Tractors
845535068,Cockroach in house on background of toilet,80,Thailand,,insects,Insects
1206925096,Protection of crops from pests and diseases. Bottle with a pesticide in the hand of an agronomist.,81,Ukraine,,other,Other
505722125,Woman spraying flowers in the garden,82,,,spry_gardens,Spry gardens
1336292673,Pest control worker spraying insecticide near chest of drawers indoors,83,Ukraine,,house_disinfestation,House disinfestation
973809618,gardener spraying cherry tree against pests and diseases,84,Latvia,,other,Other
1015263228,Worker,85,,,other,Other
1385680850,Protection of crops from pests and diseases. pesticide bottle at agriculture field.,86,India,,cultivations,Cultivations
1175685780,low angle view of small rat in white kitchen cabinet,87,,,other,Other
170618381,"Agricultural machinery spraying the crops with pesticides in springtime, Belgium.",88,Belgium,,tractors,Tractors
175419357,Pesticide warning sign on fertile farm land,89,California|City of Monterey - California|USA|Salinas - California|Monterey Peninsula,,other,Other
146906914,Large spray container and nozzle used for spraying chemicals,90,,,other,Other
1346252134,indoor plant spray bottle,91,Costa Rica,,spry_products,Spry products
937812852,Hand holding mosquito spray. Human using mosquito spray from bottle.,92,Thailand,,spry_products,Spry products
177558322,Protecting plant from vermin,93,,,spry_gardens,Spry gardens
1284056031,Plastic spray bottle with toxic liquid and hazard symbol stock images,94,Czech Republic,,spry_products,Spry products
