id,title,rank,keyword_Location,cluster,clusterLabel
950679732,Discharge of sewage into a river,1,Ukraine,pipes,Pipes
876880612,water pollution in river.,2,Thailand,pipes,Pipes
1173097194,Scientist examining toxic water samples,3,Slovenia,experts_analysing,Experts analysing
1221241911,Water pollution.,4,Russia,other,Other
174683735,Scientist sampling creek's polluted water,5,,other,Other
1391028833,Measuring PH levels of Contaminated Water With Chemicals,6,,other,Other
543559998,Hand in glove holding a retort with clear water,7,,experts_analysing,Experts analysing
1331964373,"Slow Motion Flowing Water And Water Droplets And Close-up Tap, Water Shortage, Don't Waste Water And Food",8,Türkiye - Country,other,Other
104684406,Oil slick in water,9,,oil_in_water,Oil in water
157588637,Water Pollution,10,,pipes,Pipes
1463876725,"Foam in polluted water, abstract texture, water abstraction. Concept of nature pollution and ecology problems of environment",11,Belarus,other,Other
497798055,Health Warning - No Direct  Water Contact Activities,12,,other,Other
1002940646,Plastic pollution on marine environment,13,South Asia|Maldives,waste_underwater,Waste underwater
172777395,Colorful patterns in an oil slick on water,14,,oil_in_water,Oil in water
1131217734,Plastic Pollution In Ocean - Turtle Eat Plastic Bag - Environmental Problem,15,Italy,waste_underwater,Waste underwater
1044610482,"Dirty sewage from the pipe, environmental pollution",16,USA,pipes,Pipes
607653484,Scientist examing toxic water,17,,experts_analysing,Experts analysing
957979984,A Texas waterway with an oily polluted film covering it.,18,USA,oil_in_water,Oil in water
1344747953,Bright green polluted effluent flowing through a drainage pipe,19,,pipes,Pipes
1153638500,chemical waste drums in front of heavy industry,20,Netherlands,other,Other
150021846,Global Warming,21,North Africa|Morocco|Africa,pipes,Pipes
1193095410,Plastic Ocean Pollution And Microplastics,22,UK,waste_underwater,Waste underwater
1152088235,Industrial and factory waste water discharge pipe into the canal and sea,23,Thailand,pipes,Pipes
472885902,Scientist analyze the water of a river,24,,experts_analysing,Experts analysing
685803144,Petrol Oil In Water Running Down the Drain,25,UK,other,Other
