name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
QI4BdIE5FSc,other,Manti Michael Nota 2021 Leslie Nickels International Health & Safety Awardee OHS Section APHA Oct 27,no,,no,1635620192,2021-10-30 18:10:32,markdcatlin,UC-gdcLFOAFSZ85Jf1wWK0hQ,Education,,,180,6,,,0,1,https://i.ytimg.com/vi/QI4BdIE5FSc/mqdefault.jpg,EN,Other
y0KiDgSdJcg,other,Debra Coyle McFadden 2021 Eula Bingham Awardee OHS Section APHA October 2021,no,,no,1635776560,2021-11-01 14:11:40,markdcatlin,UC-gdcLFOAFSZ85Jf1wWK0hQ,Education,,,197,5,,,0,2,https://i.ytimg.com/vi/y0KiDgSdJcg/mqdefault.jpg,EN,Other
Aku6nxkCdn0,other,Marysel Pagán SantanaMarysel Pagán Santana 2021 Lorin Kerr Awardee OHS Section APHA October 27,no,,no,1635696817,2021-10-31 16:10:37,markdcatlin,UC-gdcLFOAFSZ85Jf1wWK0hQ,Education,,,83,2,,,0,0,https://i.ytimg.com/vi/Aku6nxkCdn0/mqdefault.jpg,EN,Other
uTxpCwJbx08,other,Eileen Storey 2021 Alice Hamilton Awardee OHS Section APHA October 27,no,,no,1635696171,2021-10-31 16:10:51,markdcatlin,UC-gdcLFOAFSZ85Jf1wWK0hQ,Education,,,110,1,,,0,0,https://i.ytimg.com/vi/uTxpCwJbx08/mqdefault.jpg,EN,Other
n8a2__QljPE,other,OSHA assists Massachusetts,no,,no,1688054490,2023-06-29 16:06:30,GotSafety,UC5Ui5xTXauqZWw31egxCEcw,People & Blogs,,,15,1,,,0,0,https://i.ytimg.com/vi/n8a2__QljPE/mqdefault.jpg,EN,Other
xw1vcCGrgDI,other,Audiometric Testing - Commencement of Clause 58 of the NSW WHS Regulation 2017,no,,yes,1677722495,2023-03-02 02:03:35,SafeWork NSW,UCYJl8iQcwN05W8ugR4jaZMw,Education,,en,1007,4,,,0,,https://i.ytimg.com/vi/xw1vcCGrgDI/mqdefault.jpg,EN,Other
MHIh9SgZRU8,other,An Introduction to Hypersensitivity Pneumonitis webinar,no,,no,1683844676,2023-05-11 22:05:56,Lung Foundation Australia,UC1jdxQi0pQDYBG3iN1duYng,Nonprofits & Activism,,en-GB,267,6,,,0,0,https://i.ytimg.com/vi/MHIh9SgZRU8/mqdefault.jpg,EN,Other
sMSwuB3o-BI,other,Chronic breathlessness: An inexpensive and effective intervention health professionals can provide,no,,no,1688597806,2023-07-05 22:07:46,Lung Foundation Australia,UC1jdxQi0pQDYBG3iN1duYng,Nonprofits & Activism,,en-GB,128,5,,,0,1,https://i.ytimg.com/vi/sMSwuB3o-BI/mqdefault.jpg,EN,Other
8_DV8uhR3no,other,Spotlight on Pulmonary Fibrosis (PF) research webinar,no,,no,1681253565,2023-04-11 22:04:45,Lung Foundation Australia,UC1jdxQi0pQDYBG3iN1duYng,Nonprofits & Activism,,en-GB,297,7,,,0,0,https://i.ytimg.com/vi/8_DV8uhR3no/mqdefault.jpg,EN,Other
JP1hkFGORGI,other,Pulmonary Arterial Hypertension Webinar : Championing your care,no,,no,1684303128,2023-05-17 05:05:48,Lung Foundation Australia,UC1jdxQi0pQDYBG3iN1duYng,Nonprofits & Activism,,en-GB,165,0,,,0,0,https://i.ytimg.com/vi/JP1hkFGORGI/mqdefault.jpg,EN,Other
aBGCilVetbY,other,Understanding Pneumonia,no,,no,1684300513,2023-05-17 05:05:13,Lung Foundation Australia,UC1jdxQi0pQDYBG3iN1duYng,Nonprofits & Activism,,en-GB,102,0,,,0,0,https://i.ytimg.com/vi/aBGCilVetbY/mqdefault.jpg,EN,Other
