name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
SCVdM6XW5QU,other,Episode 2 - Votre projet de vie Auvergne - Serge Vieira,no,,no,1648566203,2022-03-29 15:03:23,Marque Auvergne,UCUpbX42XV_zbvFlEipMYjsw,Travel & Events,,,1095,9,,,0,0,https://i.ytimg.com/vi/SCVdM6XW5QU/mqdefault.jpg,FR,Other
f-vA9YpCtcc,other,CLASSES DE SYMÉTRIE II,no,,no,1690643708,2023-07-29 15:07:08,LIBRO-ALICIA,UCVW7nzsi8f7eqSOjuUPYvYQ,Education,,es,20,3,,,0,0,https://i.ytimg.com/vi/f-vA9YpCtcc/mqdefault.jpg,FR,Other
lAT_3KQDW04,other,02.EB.25 - Gersdorffite - #B96 - Minéraux,no,,no,1690437614,2023-07-27 06:07:14,Naturae Lapides,UCNFzG2qiND57RHnRi_OXQ2g,People & Blogs,,,98,4,,,0,0,https://i.ytimg.com/vi/lAT_3KQDW04/mqdefault.jpg,FR,Other
NtFoyZWPAdc,other,Journée Portes Ouvertes - Spéciale ALUMNI,no,,no,1674300450,2023-01-21 11:01:30,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,707,14,,,0,1,https://i.ytimg.com/vi/NtFoyZWPAdc/mqdefault.jpg,FR,Other
oMWlgQ0HlmA,other,Rejoignez l ESAIP  Ecole d Ingénieurs de l Avenir Responsable,no,,no,1671530702,2022-12-20 10:12:02,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,291,0,,,0,0,https://i.ytimg.com/vi/oMWlgQ0HlmA/mqdefault.jpg,FR,Other
mnPK1dMog4s,other,Soirée Portes Ouvertes ESAIP Spéciale Parcoursup PARTIE I Présentation Générale,no,,no,1685959710,2023-06-05 10:06:30,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,65,0,,,0,0,https://i.ytimg.com/vi/mnPK1dMog4s/mqdefault.jpg,FR,Other
8rCXzDI5GBM,other,BORN TO BE AN ENGINEER Club ANT (Accessibilité Numérique pour Tous),no,,no,1685971920,2023-06-05 13:06:00,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,141,1,,,0,0,https://i.ytimg.com/vi/8rCXzDI5GBM/mqdefault.jpg,FR,Other
3DFwEBldVgA,other,Science participative 2.0 : big quality data et intelligence artificielle collective,no,,no,1686578980,2023-06-12 14:06:40,Université de Strasbourg,UCdrq17AhGO_yWZNRPB-X5sA,Education,,fr,127,1,,,0,1,https://i.ytimg.com/vi/3DFwEBldVgA/mqdefault.jpg,FR,Other
ND6H_u4LXww,other,Table ronde : nouveaux challenges et nouvelles tendances en vente directe (en anglais),no,,no,1683274744,2023-05-05 08:05:04,Université de Strasbourg,UCdrq17AhGO_yWZNRPB-X5sA,Education,,fr,56,1,,,0,0,https://i.ytimg.com/vi/ND6H_u4LXww/mqdefault.jpg,FR,Other
QaxzK7yboTs,other,Table ronde : digitalisation des processus en vente,no,,no,1683275321,2023-05-05 08:05:41,Université de Strasbourg,UCdrq17AhGO_yWZNRPB-X5sA,Education,,fr,60,0,,,0,0,https://i.ytimg.com/vi/QaxzK7yboTs/mqdefault.jpg,FR,Other
mXtQYCrZbeQ,other,Table ronde : formation tout au long de la vie en vente et management commercial,no,,no,1683275577,2023-05-05 08:05:57,Université de Strasbourg,UCdrq17AhGO_yWZNRPB-X5sA,Education,,fr,79,0,,,0,0,https://i.ytimg.com/vi/mXtQYCrZbeQ/mqdefault.jpg,FR,Other
VHIF3zOLrW4,other,Table ronde : Sales Enablement,no,,no,1683275678,2023-05-05 08:05:38,Université de Strasbourg,UCdrq17AhGO_yWZNRPB-X5sA,Education,,fr,75,0,,,0,0,https://i.ytimg.com/vi/VHIF3zOLrW4/mqdefault.jpg,FR,Other
-3cpZNTPxkY,other,Rejoignez l ESAIP et formez-vous aux métiers de l économie circulaire !,no,,no,1675424860,2023-02-03 11:02:40,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,88,1,,,0,0,https://i.ytimg.com/vi/-3cpZNTPxkY/mqdefault.jpg,FR,Other
A0arwuRQxPU,other,Table ronde - La cybersécurité dans les relations internationales aujourd’hui,no,,no,1680250064,2023-03-31 08:03:44,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,198,5,,,0,0,https://i.ytimg.com/vi/A0arwuRQxPU/mqdefault.jpg,FR,Other
kJ3K1dSDoPI,other,Soirée de recherche #CIHbyESAIP |  Les technologies numériques.  💡,no,,no,1678302087,2023-03-08 19:03:27,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Entertainment,,fr-FR,95,3,,,0,0,https://i.ytimg.com/vi/kJ3K1dSDoPI/mqdefault.jpg,FR,Other
16ZLXuzLbWs,other,Soirée Portes Ouvertes ESAIP Spéciale Parcoursup PARTIE II Phase d Admission Principale,no,,no,1685960849,2023-06-05 10:06:29,ESAIP École d Ingénieurs,UCaPW-OQ3pgxx-DtfxtOQ93g,Education,,fr-FR,50,0,,,0,0,https://i.ytimg.com/vi/16ZLXuzLbWs/mqdefault.jpg,FR,Other
DXT-ocKNnWA,other,🏭 Rubriques ICPE & nomenclatures,no,,no,1681048807,2023-04-09 14:04:07,PREVEDIA,UCT_MemWmQ0RdiDIfDhuDgsQ,Education,,fr,262,6,,,0,0,https://i.ytimg.com/vi/DXT-ocKNnWA/mqdefault.jpg,FR,Other
VdWWCQNp_lg,other,Animation Juin 2021 - Port des EPI,no,,no,1624870427,2021-06-28 08:06:47,QSE Senlis,UCPMWDq_FwujNfI6HXq8QuTw,Film & Animation,,,600,5,,,0,0,https://i.ytimg.com/vi/VdWWCQNp_lg/mqdefault.jpg,FR,Other
