name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
1p3lCiHpU7Q,other,❓ cómo se hace una suculenta variegada ❓,yes,1,no,1687080606,2023-06-18 09:06:06,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,62,4,,,0,4,https://i.ytimg.com/vi/1p3lCiHpU7Q/mqdefault.jpg,NL,Other
jz-IxO7Pa4s,other,⚠️ ORIGEN de las suculentas variegadas ¿Cómo producen variegación quimérica en plantas ornamentales?,no,,no,1674838826,2023-01-27 17:01:26,Tu Jardín Desde Cero,UCJnCE_mcijKbUakAGYHkGoA,Education,es,es,8040,259,,,0,18,https://i.ytimg.com/vi/jz-IxO7Pa4s/mqdefault.jpg,NL,Other
1vnHr-yQ_Fo,other,😱 Formas de producir plantas variegadas | Origen de plantas mutadas | Producir variegaciones,no,,no,1675011601,2023-01-29 17:01:01,Tu Jardín Desde Cero,UCJnCE_mcijKbUakAGYHkGoA,Education,es,es,3670,241,,,0,6,https://i.ytimg.com/vi/1vnHr-yQ_Fo/mqdefault.jpg,NL,Other
9aQvJfjlG4s,other,Cómo cuidar la suculenta con forma de empanada 🥟,no,,no,1676836804,2023-02-19 20:02:04,Gris Moreno plantas,UCqOn9PjrW18lfbNOCPzHQGQ,People & Blogs,es,en-US,1537,178,,,0,115,https://i.ytimg.com/vi/9aQvJfjlG4s/mqdefault.jpg,NL,Other
YMcGAZXJeTs,other,COMO se HACE el QUESO CHEDDAR industrial🧀| Como se FABRICA el QUESO CHEDDAR,no,,no,1680396007,2023-04-02 00:04:07,Fabricando,UCuWPgnnrQPZDue_VLoh7cew,Science & Technology,es,es,1686514,20081,,,0,254,https://i.ytimg.com/vi/YMcGAZXJeTs/mqdefault.jpg,NL,Other
pwA-MSPAD1Q,other,¿Qué es la Variegación?,no,,no,1617005648,2021-03-29 08:03:08,Christoforooo,UCjlpcLuNIl7Njoeone2Z6Lg,Entertainment,,,2096,88,,,0,6,https://i.ytimg.com/vi/pwA-MSPAD1Q/mqdefault.jpg,NL,Other
DbWhc7IfMUY,other,Crassula Multicava variegata,no,,no,1690561803,2023-07-28 16:07:03,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,1474,22,,,0,0,https://i.ytimg.com/vi/DbWhc7IfMUY/mqdefault.jpg,NL,Other
_wOh5GA6QUA,other,GRAVES ERRORES QUE MATAN A TUS SUCULENTAS || TU JARDINERO EL CITADINO,no,,no,1610670958,2021-01-15 00:01:58,Tu Jardinero El Citadino,UC5_wiN5-5rGPCIQfe44d7Xw,People & Blogs,,es-MX,1116436,36982,,,0,1224,https://i.ytimg.com/vi/_wOh5GA6QUA/mqdefault.jpg,NL,Other
1J71WFrtZfU,other,HAZ ESTO PARA TENER UNA SUCULENTA PERFECTA || EL HUERTO CITADINO,no,,no,1534973829,2018-08-22 21:08:09,El Huerto De Un Citadino,UCWqmjvgoVydQYUuHVYLCQIQ,Education,,es-419,267570,10723,,,0,423,https://i.ytimg.com/vi/1J71WFrtZfU/mqdefault.jpg,NL,Other
TA9EfK0Ozo0,other,RIEGA así tus SUCULENTAS y CACTUS y me darás las Gracias! Como y cada Cuanto Regar Plantas en Maceta,no,,no,1663513228,2022-09-18 15:09:28,Huerta Forestal De Jaime,UCuMhxEBSi-GrjDHhiULxdsQ,Education,,es-ES,620946,16756,,,0,209,https://i.ytimg.com/vi/TA9EfK0Ozo0/mqdefault.jpg,NL,Other
LWvTIk4Qwzk,other,COMO REGAR SUCULENTAS Y CACTUS Y CADA CUANTO SE RIEGAN,no,,no,1533325659,2018-08-03 19:08:39,Cosas del Jardin,UCTXy0hGmwjnoCPYn7zJ4RyQ,Howto & Style,es-419,es-419,1711027,60426,,,0,1137,https://i.ytimg.com/vi/LWvTIk4Qwzk/mqdefault.jpg,NL,Other
KqCqlw3EZjY,other,¿Qué es la variegación (variegata) en las suculentas? Y mi colección de ellas,no,,no,1640578386,2021-12-27 04:12:06,Verania Torres,UCzKAX3_5-VckQHOi6ZAp7Jg,Education,es-419,es-MX,42478,,,,0,254,https://i.ytimg.com/vi/KqCqlw3EZjY/mqdefault.jpg,NL,Other
QP1-EgsK8f4,other,como hacer suculentas variegadas donsuculento,no,,no,1671489974,2022-12-19 22:12:14,suculentas donsuculento,UCczZQ-FChuOHaY2u23F12tA,People & Blogs,,es-MX,48448,,,,0,76,https://i.ytimg.com/vi/QP1-EgsK8f4/mqdefault.jpg,NL,Other
9LVE-OUYb1Y,other,Kalanchoe Blossfeldiana Calandiva color lila,no,,no,1690735500,2023-07-30 16:07:00,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,156,1,,,0,0,https://i.ytimg.com/vi/9LVE-OUYb1Y/mqdefault.jpg,NL,Other
bYe3Q0_gk0s,other,Kalanchoe Blossfeldiana Calandiva color rojo,no,,no,1690907411,2023-08-01 16:08:11,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,372,3,,,0,0,https://i.ytimg.com/vi/bYe3Q0_gk0s/mqdefault.jpg,NL,Other
ZIJZKANZ6xY,other,Crassula Cornuta florece,no,,no,1690839901,2023-07-31 21:07:01,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,2091,28,,,0,0,https://i.ytimg.com/vi/ZIJZKANZ6xY/mqdefault.jpg,NL,Other
8clSr9Nmlnw,other,Aloinopsis Malherbei,no,,no,1690476300,2023-07-27 16:07:00,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,2064,32,,,0,0,https://i.ytimg.com/vi/8clSr9Nmlnw/mqdefault.jpg,NL,Other
6hJhVoug-KY,other,Aloinopsis Orpenii,no,,no,1690488900,2023-07-27 20:07:00,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,2069,17,,,0,0,https://i.ytimg.com/vi/6hJhVoug-KY/mqdefault.jpg,NL,Other
z3OmAQ35N4U,other,Sedum Multiceps,no,,no,1690821902,2023-07-31 16:07:02,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,2458,36,,,0,0,https://i.ytimg.com/vi/z3OmAQ35N4U/mqdefault.jpg,NL,Other
AVN74z6DljA,other,Sedum Spurium tricolor,no,,no,1690705803,2023-07-30 08:07:03,Succulent Best,UCT8PKMt5R6XUZDoyRScC2sw,Howto & Style,,es,2093,26,,,0,0,https://i.ytimg.com/vi/AVN74z6DljA/mqdefault.jpg,NL,Other
j31LKUaCD6c,other,Como Reproducir suculentas en Agua y Tierra || VLOG DIY,no,,no,1570118406,2019-10-03 16:10:06,Andrea Vlogger Gt,UC7_aL22vuYlTy9wQ4BE91bg,People & Blogs,,,85849,1973,,,0,88,https://i.ytimg.com/vi/j31LKUaCD6c/mqdefault.jpg,NL,Other
