name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
qh_oqAJEl-8,food-habits-and-cancer,Saksi: Ban sa anim na Korean noodles na may nakaka-cancer umanong sangkap  binawi na ng DOH at FDA,yes,37,no,1352735532,2012-11-12 15:11:12,GMA Integrated News,UCqYw-CTd1dU2yGI71sEyqNw,News & Politics,,,506,2,,,0,1,https://i.ytimg.com/vi/qh_oqAJEl-8/mqdefault.jpg,PH,Food habits and cancer
GTWTFt3LgPc,food-habits-and-cancer,Yakult: Safe Bang Inumin Araw-araw?,no,,no,1678707005,2023-03-13 11:03:05,Gabay sa Kalusugan - Dr. Gary Sy,UCe67GKTyvTQmpCb6Qn_fLKQ,Education,,en,694937,22444,,,0,1355,https://i.ytimg.com/vi/GTWTFt3LgPc/mqdefault.jpg,PH,Food habits and cancer
PvgDP1a26tU,food-habits-and-cancer,Oatmeal: Ano Ang Mangyayari Kapag KUMAIN KA NG OATS ARAW ARAW?,no,,yes,1610814578,2021-01-16 16:01:38,Clever U,UCGOHWtxIpvBn16ciKqxskYw,Howto & Style,fil,fil,3358320,91714,,,0,3063,https://i.ytimg.com/vi/PvgDP1a26tU/mqdefault.jpg,PH,Food habits and cancer
RPrVKK-wIM4,food-habits-and-cancer,Everything I ate today as a breast cancer patient. breast cancer vlog -pia besmonte,no,,yes,1690109416,2023-07-23 10:07:16,Pia Besmonte - Kusina Ni Nenoy,UCG0xFH0EaSgkSZbtldoTORA,Howto & Style,,,5955,228,,,0,80,https://i.ytimg.com/vi/RPrVKK-wIM4/mqdefault.jpg,PH,Food habits and cancer
G-r9pII38M0,food-habits-and-cancer,Lee s Summit man used food as medicine to fight Stage 4 cancer,no,,no,1530981878,2018-07-07 16:07:38,KCTV5 News,UCie7RmdcnvXA1FXHRJa7WtA,News & Politics,,en,1214517,31971,,,0,8808,https://i.ytimg.com/vi/G-r9pII38M0/mqdefault.jpg,PH,Food habits and cancer
KEA43e3Y_QY,food-habits-and-cancer,Starving away  cancer: One of our reporters tried it,no,,no,1447806328,2015-11-18 00:11:28,WCPO 9,UCQaDjAIpg-pd44ats-HXCyA,News & Politics,,,922801,14309,,,0,3244,https://i.ytimg.com/vi/KEA43e3Y_QY/mqdefault.jpg,PH,Food habits and cancer
HBn2P9b3umA,food-habits-and-cancer,PAGKAIN DURING CHEMO:Bakit sabi ni Maritess bawal daw ang gulay at prutas? 😁,no,,yes,1666426029,2022-10-22 08:10:09,Glenda Resurreccion,UC99WYPeFPthAG4PYN-6QDrw,People & Blogs,,,6873,292,,,0,55,https://i.ytimg.com/vi/HBn2P9b3umA/mqdefault.jpg,PH,Food habits and cancer
N23dLLdxtiQ,food-habits-and-cancer,The #1 Food That STOPS Your Immune System from Working - Dr. Berg,no,,no,1657707359,2022-07-13 10:07:59,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en-US,en-US,1118389,35908,,,0,1880,https://i.ytimg.com/vi/N23dLLdxtiQ/mqdefault.jpg,PH,Food habits and cancer
yhu1KAHb318,food-habits-and-cancer,Alam Niyo Ba? Episode 75 | Food That Can Harm You If You Eat them at the Wrong Time,no,,no,1563963702,2019-07-24 10:07:42,Health Forum with Doc Atoie,UCX7-Tq-5m_f1WqdCMkSfpOA,People & Blogs,,,593571,15641,,,0,383,https://i.ytimg.com/vi/yhu1KAHb318/mqdefault.jpg,PH,Food habits and cancer
XRUo_zX_9mM,food-habits-and-cancer,Alam Niyo Ba? Episode 137 | 5 Food That Can Fight Cancer,no,,no,1587612765,2020-04-23 03:04:45,Health Forum with Doc Atoie,UCX7-Tq-5m_f1WqdCMkSfpOA,People & Blogs,,zxx,232392,12069,,,0,599,https://i.ytimg.com/vi/XRUo_zX_9mM/mqdefault.jpg,PH,Food habits and cancer
ptgIldRSoG8,food-habits-and-cancer,bawal kainin pag may goiter,no,,no,1596155370,2020-07-31 00:07:30,pinoy endocrinologist,UCAT9SHKHFbyk1yjpE3s7CmA,Education,,,265966,10541,,,0,1156,https://i.ytimg.com/vi/ptgIldRSoG8/mqdefault.jpg,PH,Food habits and cancer
f6rSuJ2YheQ,food-habits-and-cancer,Starving cancer away | Sophia Lunt | TEDxMSU,no,,no,1460734152,2016-04-15 15:04:12,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,,2148534,31460,,,0,4419,https://i.ytimg.com/vi/f6rSuJ2YheQ/mqdefault.jpg,PH,Food habits and cancer
3B9Cl6MnTRE,food-habits-and-cancer,Batang Cancer Survivors Napaiyak si Paolo | Bawal Judgmental | August 18  2022,no,,no,1660822210,2022-08-18 11:08:10,Eat Bulaga!,UCi623vUlmMZGgZbVcmzHc7Q,Entertainment,fil,fil,232715,,,,0,90,https://i.ytimg.com/vi/3B9Cl6MnTRE/mqdefault.jpg,PH,Food habits and cancer
