name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
ChntJVuErlg,other,The 7 WARNING Signs of a B12 Deficiency - Dr. Berg,no,,no,1643367606,2022-01-28 11:01:06,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en-US,en-US,1762364,37339,,,0,2013,https://i.ytimg.com/vi/ChntJVuErlg/mqdefault.jpg,PH,Other
TBSrk5skIH0,other,COVID Long Haulers and the Connection to ME/CFS by Dr. Bateman,no,,no,1631553102,2021-09-13 17:09:42,Bateman Horne Center,UCjdso7oUeJT90mL0PdHr0vQ,Education,,en-US,11094,345,,,0,55,https://i.ytimg.com/vi/TBSrk5skIH0/mqdefault.jpg,PH,Other
xjEFo3a1AnI,other,Dr. Chris Palmer: Diet & Nutrition for Mental Health | Huberman Lab Podcast #99,no,,no,1669035642,2022-11-21 13:11:42,Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg,Science & Technology,en,en,4205287,46534,,,0,3460,https://i.ytimg.com/vi/xjEFo3a1AnI/mqdefault.jpg,PH,Other
J21f6SV1U7Y,other,February 16  2021 [Live] Supplements in Acute Concussion,no,,no,1613536535,2021-02-17 04:02:35,Dr. Mark Heisig,UCFdSZvOx4o5ORSmgrAXUXZg,People & Blogs,,,393,17,,,0,8,https://i.ytimg.com/vi/J21f6SV1U7Y/mqdefault.jpg,PH,Other
3mVSW-iNreU,other,Food Is Health: What’s Your Fix? feat. Dr. Robert Lustig | Crusonia BKLYN 2021,no,,no,1649167220,2022-04-05 14:04:20,Crusonia,UCBa_HyhAVbc_l0hKKOpY2DA,Education,,,95006,2228,,,0,287,https://i.ytimg.com/vi/3mVSW-iNreU/mqdefault.jpg,PH,Other
puSEoy51jOI,other,Part 2 Final Exam Viva Demonstration - The obese patient with Stephany,yes,7,no,1633773618,2021-10-09 10:10:18,ABCs of Anaesthesia,UCs1fy2n5Ey0c9VZRBL7UCsg,Education,en,en,2251,53,,,0,2,https://i.ytimg.com/vi/puSEoy51jOI/mqdefault.jpg,PH,Other
iQUJ1HV0PWc,other,Obesity  Causes  SIgns and Symptoms  Diagnosis and Treatment.,no,,no,1562920200,2019-07-12 08:07:00,Medical Centric,UC-_aWEhUBpH86D1VR0OhVrw,People & Blogs,en,,259238,3454,,,0,224,https://i.ytimg.com/vi/iQUJ1HV0PWc/mqdefault.jpg,PH,Other
8GNjFs03iSw,other,Anaesthesia for the obese parturient.,no,,yes,1663047900,2022-09-13 05:09:00,District Anaesthesia Education,UC5RyvotEzpFIKFYozpKUgAw,People & Blogs,,,413,8,,,0,0,https://i.ytimg.com/vi/8GNjFs03iSw/mqdefault.jpg,PH,Other
FWsx9ufPG_o,other,OBESITY AND ANESTHESIA 8 FEB 2022 PROFESSOR NAGASAMY PPT PRESENTATION,no,,no,1644329943,2022-02-08 14:02:03,RAISACON 2020,UCCCY2DcXbLMSZF3H1cIJiBw,People & Blogs,,,2174,45,,,0,4,https://i.ytimg.com/vi/FWsx9ufPG_o/mqdefault.jpg,PH,Other
GQhWJPIXCwc,other,TOTALTRACK. MORBID OBESE PATIENT 260 KG (BMI 73),no,,no,1428003919,2015-04-02 19:04:19,fibroanestesia,UCXdBah0hrf1768LLz73FYLg,Education,,,12969,60,,,0,2,https://i.ytimg.com/vi/GQhWJPIXCwc/mqdefault.jpg,PH,Other
-vNVG7XJpVE,other,What is obesity? - Mia Nacamulli,no,,no,1467298940,2016-06-30 15:06:20,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,Education,en,en,1059634,14978,,,0,1411,https://i.ytimg.com/vi/-vNVG7XJpVE/mqdefault.jpg,PH,Other
rl3pLcSZBgQ,other,下半身肥胖的卵巢體型 3種荷爾蒙過高的病症 難減肥 柏格醫生dr berg,no,,no,1626057414,2021-07-12 02:07:54,柏格醫生中文 健康知識,UCUXi5mmqbvIithAs9AaxEtw,People & Blogs,,,253951,4299,,,0,158,https://i.ytimg.com/vi/rl3pLcSZBgQ/mqdefault.jpg,PH,Other
LxiK0KlBN_E,other,[雑学聞き流し]寝ながら聞ける痛いおいらの雑学,yes,12,no,1685440815,2023-05-30 10:05:15,雑学皆さんありがとう,UCyJx1nhLicZfeQcZymZ4LRQ,Education,,ja,495,,,,0,2,https://i.ytimg.com/vi/LxiK0KlBN_E/mqdefault.jpg,PH,Other
IAgj3DLN8p8,other,WHY YOU RE ALWAYS TIRED! - It All Begins With Your EVENING ROUTINE | Rangan Chatterjee,no,,no,1670590809,2022-12-09 13:12:09,Dr Rangan Chatterjee,UCDnwlb3IQDPJtFysPUJbDFQ,Education,en-GB,en-GB,400623,6550,,,0,345,https://i.ytimg.com/vi/IAgj3DLN8p8/mqdefault.jpg,PH,Other
hJk95SQvyNM,other,Do This and You will Stop Snoring Completely Naturally || Easy and Quick Ways,no,,no,1678452973,2023-03-10 12:03:13,The Guiding Shrink,UCay4IIz4P4KthWhc_54ar9Q,Howto & Style,en,en,91,4,,,0,1,https://i.ytimg.com/vi/hJk95SQvyNM/mqdefault.jpg,PH,Other
HURkihlOROc,other,【睡眠導入用雑学】超熟睡できる雑学1時間【合成音声】,no,,no,1687093212,2023-06-18 13:06:12,眠れるトリビア【雑学・睡眠】,UCKqL_FQogzPoHHAdGQh6HQA,People & Blogs,,,4329,,,,0,1,https://i.ytimg.com/vi/HURkihlOROc/mqdefault.jpg,PH,Other
nQlb1kdgfM8,other,【睡眠導入】なぜか寝れる雑学【リラックス】いつもより深い睡眠を♪,no,,no,1671368419,2022-12-18 13:12:19,たにがわ 良質睡眠用の雑学,UCuP0oTLTn1dKi_Sv_z1PZlA,News & Politics,,,363415,1681,,,0,29,https://i.ytimg.com/vi/nQlb1kdgfM8/mqdefault.jpg,PH,Other
uE3EHdZcYVc,other,【逆から再生】少し大人の雑学 Vol.4【睡眠導入】しっかり解説付き♪,no,,no,1685797244,2023-06-03 13:06:44,たにがわ 良質睡眠用の雑学,UCuP0oTLTn1dKi_Sv_z1PZlA,People & Blogs,,,12618,107,,,0,2,https://i.ytimg.com/vi/uE3EHdZcYVc/mqdefault.jpg,PH,Other
a46ojmeTwwY,other,Post-Concussion Dysautonomia - Dr. Glen Cook,yes,5,no,1596193234,2020-07-31 11:07:34,Dysautonomia International,UCO5M4DiVydA_cgNAlslUwNw,People & Blogs,,en,661,16,,,0,,https://i.ytimg.com/vi/a46ojmeTwwY/mqdefault.jpg,PH,Other
BuFPIDylLJY,other,ME/CFS - An Overview of an Underappreciated Disease,no,,no,1680429609,2023-04-02 10:04:09,Strong Medicine,UCFq5vPnNRNNNysLrktz4aSw,Education,en,en,8487,272,,,0,20,https://i.ytimg.com/vi/BuFPIDylLJY/mqdefault.jpg,PH,Other
_lcS-ta1EQ0,other,The Cupboard of Autonomic Disorders: Dishes Besides POTS: Glen Cook  MD,no,,yes,1595161739,2020-07-19 12:07:59,Dysautonomia International,UCO5M4DiVydA_cgNAlslUwNw,People & Blogs,,en,699,13,,,0,,https://i.ytimg.com/vi/_lcS-ta1EQ0/mqdefault.jpg,PH,Other
nTaTnfWfvr8,other,What is Dysautonomia to Me? with Glen Cook  MD,no,,no,1592175807,2020-06-14 23:06:27,The Dysautonomia Project,UC1oKoExMTvC-RjKQ6ApjGLw,Nonprofits & Activism,en,,10767,271,,,0,,https://i.ytimg.com/vi/nTaTnfWfvr8/mqdefault.jpg,PH,Other
niCE3WQ8pZ8,other,Autonomic Dysfunction in Multiple Sclerosis - Dr. Mark Gudesblatt,no,,no,1596199282,2020-07-31 12:07:22,Dysautonomia International,UCO5M4DiVydA_cgNAlslUwNw,People & Blogs,,en,1124,33,,,0,,https://i.ytimg.com/vi/niCE3WQ8pZ8/mqdefault.jpg,PH,Other
G9FCNcsJcwU,other,Cardiologist Discusses Dysautonomia & POTS | Palm Beach Health Network,no,,no,1610457966,2021-01-12 13:01:06,Palm Beach Gardens Medical Center,UCmWq1zdXp-WrqPV--HQd7qA,Science & Technology,,en,83507,,,,0,,https://i.ytimg.com/vi/G9FCNcsJcwU/mqdefault.jpg,PH,Other
xAS8-33C_xA,other,POTS: Therapeutic Options: Blair Grubb  MD,no,,no,1595110813,2020-07-18 22:07:13,Dysautonomia International,UCO5M4DiVydA_cgNAlslUwNw,People & Blogs,,en,2879,87,,,0,,https://i.ytimg.com/vi/xAS8-33C_xA/mqdefault.jpg,PH,Other
bNXTJpdhmPI,other,What is PCOS  symptoms  causes  and available treatments,no,,no,1689951828,2023-07-21 15:07:48,DOCHealthChannel,UCXNAIK0r3J09zQbVuiAQlDA,People & Blogs,,,44,0,,,0,0,https://i.ytimg.com/vi/bNXTJpdhmPI/mqdefault.jpg,PH,Other
_y97VF5UJcc,other,Mental Health: In Our Own Words,no,,no,1412783190,2014-10-08 15:10:30,Mind  the mental health charity,UCarWBJYMNqJxgn6n8_htCTQ,Nonprofits & Activism,,en-GB,828899,6885,,,0,256,https://i.ytimg.com/vi/_y97VF5UJcc/mqdefault.jpg,PH,Other
E76-PgE14u0,other,Alzheimer’s Disease FTD and Parkinson’s Disease,no,,yes,1456001044,2016-02-20 20:02:04,University of California Television (UCTV),UCh6KFtW4a4Ozr81GI1cxaBQ,Education,,,34999,382,,,0,14,https://i.ytimg.com/vi/E76-PgE14u0/mqdefault.jpg,PH,Other
rlW2jXqfJdY,other,Can I Blind Guess Which Coffee is Mine?,no,,no,1690992044,2023-08-02 16:08:44,jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,Entertainment,,en,349159,41144,,,0,1809,https://i.ytimg.com/vi/rlW2jXqfJdY/mqdefault.jpg,PH,Other
T6Zi3nwlY8c,other,一日只一餐「飢餓醫師」劉乂鳴 看板人物 20171126 (完整版),no,,no,1511846748,2017-11-28 05:11:48,TVBS 優選頻道,UCmgDmqjxbkqIXu4rNbrKodA,News & Politics,,zh-TW,2957943,20606,,,0,2107,https://i.ytimg.com/vi/T6Zi3nwlY8c/mqdefault.jpg,PH,Other
LpYwcTFVnv8,other,Healthy  (Nutrient) Wealthy and Wise: Diet for Healthy Aging - Research on Aging,yes,10,no,1443736469,2015-10-01 21:10:29,University of California Television (UCTV),UCh6KFtW4a4Ozr81GI1cxaBQ,Education,,en,2139342,26773,,,0,2445,https://i.ytimg.com/vi/LpYwcTFVnv8/mqdefault.jpg,PH,Other
kicBljKsUuE,other,Scientists Uncover How to Reverse Aging,no,,no,1646147727,2022-03-01 15:03:27,Sciencerely,UCKcFCFCbwDEiipcYvatGXcQ,Education,en-GB,en,751924,20451,,,0,1427,https://i.ytimg.com/vi/kicBljKsUuE/mqdefault.jpg,PH,Other
orJa62raA4w,other,Why Diet WON’T Increase Your Lifespan! (LONGEVITY MYTHS) | Peter Attia,no,,no,1685008843,2023-05-25 10:05:43,Tom Bilyeu,UCnYMOamNKLGVlJgRUbamveA,News & Politics,,en,521577,9240,,,0,1206,https://i.ytimg.com/vi/orJa62raA4w/mqdefault.jpg,PH,Other
RwUs6pLo0ag,other,Dizziness and Vertigo  Part I - Research on Aging,no,,no,1492855202,2017-04-22 10:04:02,University of California Television (UCTV),UCh6KFtW4a4Ozr81GI1cxaBQ,Education,,en,3265969,33191,,,0,1448,https://i.ytimg.com/vi/RwUs6pLo0ag/mqdefault.jpg,PH,Other
