name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
Z8xuyoKZv4s,0,Glyphosate - A Global Health Threat  with Stephanie Seneff | The Empowering Neurologist EP. 127,yes,13,yes,1624899615,2021-06-28 17:06:15,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,71236,3276,,,0,644,https://i.ytimg.com/vi/Z8xuyoKZv4s/mqdefault.jpg,EN,Glyphosate and health
i6j0wIhUr1M,0,Impact of Glyphosate on Our Health - with Dr. Stefanie Seneff | The Empowering Neurologist EP. 20,yes,37,yes,1464811122,2016-06-01 19:06:42,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,340925,9592,,,0,1751,https://i.ytimg.com/vi/i6j0wIhUr1M/mqdefault.jpg,EN,Glyphosate and health
x0S8T81h8H0,other,Why “snot” is crucial for your health | Ep174,no,,no,1632236426,2021-09-21 15:09:26,The Dr. Gundry Podcast,UCtxo0nTZjzlKJq5-vJq6s6g,Education,,en,71613,2461,,,0,59,https://i.ytimg.com/vi/x0S8T81h8H0/mqdefault.jpg,EN,Other
i0b3cSHJ0ro,other,The Truth About Mold in the Home - with Michael Rubino | The Empowering Neurologist EP. 160,no,,no,1679331633,2023-03-20 17:03:33,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,175842,4559,,,0,512,https://i.ytimg.com/vi/i0b3cSHJ0ro/mqdefault.jpg,EN,Other
i3E_yyxG5RU,other,Is Sodium Bad For You? - with Dr. James DiNicolantonio | The Empowering Neurologist EP. 77,no,,no,1542650570,2018-11-19 18:11:50,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,62859,1453,,,0,67,https://i.ytimg.com/vi/i3E_yyxG5RU/mqdefault.jpg,EN,Other
AU3Fp7R11KQ,other,Nitric Oxide and Functional Health - with Dr. Nathan Bryan | The Empowering Neurologist EP. 166,no,,no,1686589205,2023-06-12 17:06:05,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,309731,9783,,,0,757,https://i.ytimg.com/vi/AU3Fp7R11KQ/mqdefault.jpg,EN,Other
6FNaKOEYG6M,other,Preventing Obesity: The Myth of Calorie Counting - with Dr. Fung | The Empowering Neurologist EP.156,no,,no,1673892002,2023-01-16 18:01:02,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,140522,3848,,,0,328,https://i.ytimg.com/vi/6FNaKOEYG6M/mqdefault.jpg,EN,Other
BljmvKd20oo,other,Science Behind Improving Mitochondria Function - with Dr. Singh | The Empowering Neurologist EP. 144,no,,no,1645463528,2022-02-21 17:02:08,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,92730,2827,,,0,168,https://i.ytimg.com/vi/BljmvKd20oo/mqdefault.jpg,EN,Other
YxHGI5n8OkY,other,Oral Bacteria And Your Health - with Dr. Mark Burhenne | The Empowering Neurologist EP. 162,no,,no,1681750826,2023-04-17 17:04:26,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,367755,8581,,,0,916,https://i.ytimg.com/vi/YxHGI5n8OkY/mqdefault.jpg,EN,Other
EUzgUSmkjcc,other,Safety and Risk of GMO Foods - with Jeffrey Smith | The Empowering Neurologist EP. 91,no,,yes,1582423777,2020-02-23 02:02:37,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,6810,281,,,0,59,https://i.ytimg.com/vi/EUzgUSmkjcc/mqdefault.jpg,EN,Other
nfsZOmSYJoo,other,The Alarming Rise in Parkinson’s Disease with Dr. Ray Dorsey | The Empowering Neurologist EP. 167,no,,no,1687817969,2023-06-26 22:06:29,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,366943,9532,,,0,1669,https://i.ytimg.com/vi/nfsZOmSYJoo/mqdefault.jpg,EN,Other
zx_tYNcpcQc,other,How to prevent & reverse cognitive decline: Neurologist Dale Bredesen  M.D. | mbg Podcast,no,,no,1664787633,2022-10-03 09:10:33,mindbodygreen,UCxAB39SRMVabVZEOKTo6iVA,Entertainment,,en,173058,4078,,,0,252,https://i.ytimg.com/vi/zx_tYNcpcQc/mqdefault.jpg,EN,Other
wTBSGgbIvsY,other,How Meditation Works & Science-Based Effective Meditations | Huberman Lab Podcast #96,no,,no,1667217648,2022-10-31 12:10:48,Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg,Science & Technology,en,en,2610831,57363,,,0,3021,https://i.ytimg.com/vi/wTBSGgbIvsY/mqdefault.jpg,EN,Other
gXvuJu1kt48,other,The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92,no,,no,1664798425,2022-10-03 12:10:25,Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg,Science & Technology,en,en,2365313,58172,,,0,8432,https://i.ytimg.com/vi/gXvuJu1kt48/mqdefault.jpg,EN,Other
15R2pMqU2ok,other,How to Enhance Your Gut Microbiome for Brain & Overall Health | Huberman Lab Podcast #61,no,,no,1646053200,2022-02-28 13:02:00,Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg,Science & Technology,en,en,647113,15768,,,0,1236,https://i.ytimg.com/vi/15R2pMqU2ok/mqdefault.jpg,EN,Other
SwQhKFMxmDY,other,Change Your Brain: Neuroscientist Dr. Andrew Huberman | Rich Roll Podcast,no,,no,1595232005,2020-07-20 08:07:05,Rich Roll,UCpjlh0e319ksmoOD7bQFSiw,People & Blogs,en,en,14703975,302083,,,0,11846,https://i.ytimg.com/vi/SwQhKFMxmDY/mqdefault.jpg,EN,Other
r1dXGLyu1gM,other,Doctor explains how Alzheimer s Reversal is Real-with Dr.Bredesen | The Empowering Neurologist EP130,no,,no,1628528423,2021-08-09 17:08:23,DavidPerlmutterMD,UCDRl_UAXxbHyOOjklnA0dxQ,Science & Technology,,en,525514,11458,,,0,873,https://i.ytimg.com/vi/r1dXGLyu1gM/mqdefault.jpg,EN,Other
98l-Y5TTqkM,other,NUTRITION MASTERCLASS: Foods You Need To Eat & Avoid For LONGEVITY | Dr. Mark Hyman,no,,no,1685710810,2023-06-02 13:06:10,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,Entertainment,,en,50997,2361,,,0,178,https://i.ytimg.com/vi/98l-Y5TTqkM/mqdefault.jpg,EN,Other
5FpdqsBntNM,other,Gluten Is DESTROYING Your Health (Stop Eating It TODAY!) | Mark Hyman,no,,no,1563530400,2019-07-19 10:07:00,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,People & Blogs,,en,784000,18133,,,0,2631,https://i.ytimg.com/vi/5FpdqsBntNM/mqdefault.jpg,EN,Other
-VmsyWuwp50,other,These FOODS & HABITS Boost Brain Health & REDUCE INFLAMMATION | Mark Hyman,no,,no,1638194400,2021-11-29 14:11:00,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,Entertainment,,en,1752473,34484,,,0,1594,https://i.ytimg.com/vi/-VmsyWuwp50/mqdefault.jpg,EN,Other
3dppG0JwPag,other,Use These 7 FOOD FACTS To Heal Your BODY & MIND Today! | Mark Hyman,no,,no,1622984400,2021-06-06 13:06:00,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,Entertainment,,en,1914172,15497,,,0,850,https://i.ytimg.com/vi/3dppG0JwPag/mqdefault.jpg,EN,Other
v85Zf0DxTbU,other,The BIGGEST Health Epidemic Making Us Sick! (FOOD INDUSTRY LIES),no,,no,1677247237,2023-02-24 14:02:37,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,Entertainment,,en,209302,4202,,,0,683,https://i.ytimg.com/vi/v85Zf0DxTbU/mqdefault.jpg,EN,Other
HN0yEn4vbRw,other,Detoxify 1000s of Chemicals From Your Body Just With Food,no,,no,1606735803,2020-11-30 11:11:03,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en,en,966232,36447,,,0,1853,https://i.ytimg.com/vi/HN0yEn4vbRw/mqdefault.jpg,EN,Other
xyQY8a-ng6g,other,How the food you eat affects your brain - Mia Nacamulli,no,,no,1466521237,2016-06-21 15:06:37,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,Education,en,en,18123617,406860,,,0,5334,https://i.ytimg.com/vi/xyQY8a-ng6g/mqdefault.jpg,EN,Other
