name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
EjyrJJyYIEk,other,Esther Ouwehand roept kabinet op Roundup en bijengif nu echt te verbieden,no,,yes,1432817887,2015-05-28 12:05:07,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,1050,,,,0,,https://i.ytimg.com/vi/EjyrJJyYIEk/mqdefault.jpg,NL,Other
kY3i9snrPoE,other,‘De klimaatdiscussie neemt psychotische vormen aan ’ zegt klinisch psycholoog Gert Reedijk,no,,no,1689882922,2023-07-20 19:07:22,blckbx,UCf4SA-3i1MCLPmNjtNHcm1Q,News & Politics,nl,nl-NL,30707,1026,,,0,268,https://i.ytimg.com/vi/kY3i9snrPoE/mqdefault.jpg,NL,Other
aGkolnhO4us,other,Esther Ouwehand:  Het enige dat nodig is om de stikstofcrisis op te lossen is politieke moed,no,,no,1680704940,2023-04-05 14:04:00,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,1154,131,,,0,23,https://i.ytimg.com/vi/aGkolnhO4us/mqdefault.jpg,NL,Other
b8YWWt3Sw5o,other,Ines Kostic:  Het is tijd voor politiek met lef en compassie,no,,no,1680867178,2023-04-07 11:04:58,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,661,65,,,0,8,https://i.ytimg.com/vi/b8YWWt3Sw5o/mqdefault.jpg,NL,Other
ZNH9OvzmzLg,other,Esther Ouwehand Live - Je kunt nu nog kiezen!,no,,no,1677485574,2023-02-27 08:02:54,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,7470,91,,,0,15,https://i.ytimg.com/vi/ZNH9OvzmzLg/mqdefault.jpg,NL,Other
oJh2YTqvLBc,other,OFM voorzitter wil gesprek met gemeentesecretaris Jaap Zwaan,no,,no,1634454984,2021-10-17 07:10:24,Overal Actueel,UCcETUZIsyfh3Lp2EP5EVbQw,News & Politics,,nl,104,0,,,0,0,https://i.ytimg.com/vi/oJh2YTqvLBc/mqdefault.jpg,NL,Other
uM_AZeO_Cmw,other,Terugkijken raadsvergadering 28 oktober,no,,no,1635587936,2021-10-30 09:10:56,Overal Actueel,UCcETUZIsyfh3Lp2EP5EVbQw,News & Politics,,nl,53,0,,,0,0,https://i.ytimg.com/vi/uM_AZeO_Cmw/mqdefault.jpg,NL,Other
OEmIQTw3BH0,other,Esther Ouwehand:  Dat mensen actie moeten voeren voor het klimaat  is falen van politieke systeem,no,,no,1678467581,2023-03-10 16:03:41,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,2729,179,,,0,46,https://i.ytimg.com/vi/OEmIQTw3BH0/mqdefault.jpg,NL,Other
zTHHCMNTEys,other,Esther Ouwehand is terug!,no,,no,1675317631,2023-02-02 06:02:31,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,20564,280,,,0,77,https://i.ytimg.com/vi/zTHHCMNTEys/mqdefault.jpg,NL,Other
kIhbYw_bPWs,other,1 maart 2023; Schijveneggen van de groenbemester op Harrysfarm,no,,no,1677839205,2023-03-03 10:03:45,Harrysfarm,UCC6WuVhcMEqUM0jGTvwNnlg,Autos & Vehicles,,nl,1388,20,,,0,0,https://i.ytimg.com/vi/kIhbYw_bPWs/mqdefault.jpg,NL,Other
WB0brZ-ZnYI,other,Velddemonstratie mechanisch onderwerken groenbemester in Hezingen,no,,no,1586512246,2020-04-10 09:04:46,LTO Noord,UCPfY1smig1mGGgu7Zdvu53w,Nonprofits & Activism,nl,nl,1887,4,,,0,0,https://i.ytimg.com/vi/WB0brZ-ZnYI/mqdefault.jpg,NL,Other
y9zhgb6M_XM,other,Velddemonstratie verkleinen groenbemesters,no,,yes,1541427465,2018-11-05 14:11:45,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,3623,7,,,0,1,https://i.ytimg.com/vi/y9zhgb6M_XM/mqdefault.jpg,NL,Other
Zx39xTKDbSE,other,Kuhn GF 13003: Brede machine die compact achter trekker zit,no,,no,1690192825,2023-07-24 10:07:25,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,8615,56,,,0,3,https://i.ytimg.com/vi/Zx39xTKDbSE/mqdefault.jpg,NL,Other
KAlglC5KzZc,other,Melken in de weide  met zelfbouw melkstal,no,,no,1687180485,2023-06-19 13:06:45,Agrio,UCOuARUcEfmWs5PdqFgCEA2A,News & Politics,,nl,38463,268,,,0,24,https://i.ytimg.com/vi/KAlglC5KzZc/mqdefault.jpg,NL,Other
tF-MjiBTe9Q,other,Holaras strooiseldoseercontainer van Heusinkveld Farms,no,,no,1690898395,2023-08-01 13:08:55,Trekkerweb.nl,UCAEK1ln4mv8LDGG6Y4qq3ow,Autos & Vehicles,nl,en,1143,39,,,0,0,https://i.ytimg.com/vi/tF-MjiBTe9Q/mqdefault.jpg,NL,Other
AbfJ4VwHIqw,other,Monsanto Lobbyist Claims Roundup Is Safe To Drink – Refuses To Drink It,no,,no,1427745453,2015-03-30 19:03:33,AJ+,UCV3Nm3T-XAgVhKH9jT0ViRg,News & Politics,,,47890,645,,,0,122,https://i.ytimg.com/vi/AbfJ4VwHIqw/mqdefault.jpg,NL,Other
KAZmHIiN8VI,other,Monsanto: The Company that Owns the World’s Food Supply,no,,no,1474313557,2016-09-19 19:09:37,Business Casual,UC_E4px0RST-qFwXLJWBav8Q,Education,en,en-US,2271208,46669,,,0,4492,https://i.ytimg.com/vi/KAZmHIiN8VI/mqdefault.jpg,NL,Other
tqEWZpB1Z6M,other,Hoe foute soja op jouw bord eindigt | Zembla,no,,no,1639580433,2021-12-15 15:12:33,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,16216,378,,,0,119,https://i.ytimg.com/vi/tqEWZpB1Z6M/mqdefault.jpg,NL,Other
UJ1HVE-id_I,other,You ll Never Buy Roundup Again!,no,,no,1652649934,2022-05-15 21:05:34,Linda Vater,UC8cHt-SAeWJ5En1TNnryCVA,Howto & Style,,en,385176,5906,,,0,485,https://i.ytimg.com/vi/UJ1HVE-id_I/mqdefault.jpg,NL,Other
e6z2c6CuYzQ,other,Is biologische voeding gezonder?,no,,no,1604314366,2020-11-02 10:11:46,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,600904,3861,,,0,914,https://i.ytimg.com/vi/e6z2c6CuYzQ/mqdefault.jpg,NL,Other
5FpdqsBntNM,other,Gluten Is DESTROYING Your Health (Stop Eating It TODAY!) | Mark Hyman,no,,no,1563530400,2019-07-19 10:07:00,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,People & Blogs,,en,784000,18133,,,0,2631,https://i.ytimg.com/vi/5FpdqsBntNM/mqdefault.jpg,NL,Other
23i8HNdTRV4,other,The 8 Foods That Negatively Impact Your Skin Health,no,,no,1689069602,2023-07-11 10:07:02,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en-US,en-US,348726,13898,,,0,833,https://i.ytimg.com/vi/23i8HNdTRV4/mqdefault.jpg,NL,Other
1B98PDEe4vU,other,7 Foods That RUIN Your Liver,no,,no,1648121298,2022-03-24 11:03:18,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en-US,en-US,9927089,156819,,,0,9935,https://i.ytimg.com/vi/1B98PDEe4vU/mqdefault.jpg,NL,Other
kl0tncoKuFY,other,The 6 Foods You Should NEVER EAT Again! | Mark Hyman,no,,no,1647262831,2022-03-14 13:03:31,Mark Hyman  MD,UC5IuDMmKWSsBFB0iKky6aEQ,Entertainment,,en,1846184,26693,,,0,1995,https://i.ytimg.com/vi/kl0tncoKuFY/mqdefault.jpg,NL,Other
J_AVvzuw_p4,other,Melkveehouder Dedde Jan Tilma ‘erg tevreden’ met mais,no,,no,1690970415,2023-08-02 10:08:15,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,64,5,,,0,0,https://i.ytimg.com/vi/J_AVvzuw_p4/mqdefault.jpg,NL,Other
3V-E2BtFjbI,other,Trots op de bij!,no,,no,1678177189,2023-03-07 08:03:49,Partij voor de Dieren,UCxYi4LA6lLGURr5-dxem36Q,News & Politics,,nl,4534,105,,,0,20,https://i.ytimg.com/vi/3V-E2BtFjbI/mqdefault.jpg,NL,Other
eXwUNLhk188,other,Mais op proefveld bijbemest met kunstmestkorrel,no,,no,1689156029,2023-07-12 10:07:29,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,6179,29,,,0,0,https://i.ytimg.com/vi/eXwUNLhk188/mqdefault.jpg,NL,Other
VKDLAsQc8NI,other,Jonge Nederlandse boer vertrekt naar Denemarken:  Hier is alles prima,no,,no,1662128559,2022-09-02 14:09:39,WNL,UCUSrVHoJrz68z3Q5qHZZC4w,News & Politics,,nl,19028,72,,,0,53,https://i.ytimg.com/vi/VKDLAsQc8NI/mqdefault.jpg,NL,Other
