name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
tG4AYagBz9Q,microplastics-in-the-ocean,What Are Microplastics And How Are They Harming Our Oceans? Plastic Pollution - Behind the News,yes,11,yes,1458708492,2016-03-23 04:03:12,Behind the News,UCcbE7twlpJfQVF2dO21fB1A,Education,en-GB,en-GB,51609,240,,,0,0,https://i.ytimg.com/vi/tG4AYagBz9Q/mqdefault.jpg,EN,Microplastics in the ocean
LiH3f6AKFbc,microplastics-in-the-ocean,Microplastics in the ocean: A deep dive on plastic pollution in Monterey Bay,yes,31,yes,1559826008,2019-06-06 13:06:08,MBARI (Monterey Bay Aquarium Research Institute),UCFXww6CrLAHhyZQCDnJ2g2A,Science & Technology,,en,78646,1014,,,0,85,https://i.ytimg.com/vi/LiH3f6AKFbc/mqdefault.jpg,EN,Microplastics in the ocean
fsjvwQclGLo,microplastics-in-the-ocean,Why 99% of ocean plastic pollution is  missing,yes,42,yes,1619524815,2021-04-27 12:04:15,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,en-US,en,5208235,99757,,,0,7230,https://i.ytimg.com/vi/fsjvwQclGLo/mqdefault.jpg,EN,Microplastics in the ocean
UpGt5L3GC7o,microplastics-in-the-ocean,Micro-Plastics | Toxins in our seafood?,yes,45,yes,1458099804,2016-03-16 03:03:24,ABC Science,UCR_kFbcwWy1cKLCkmcMf4lg,Science & Technology,,,56863,,,,0,,https://i.ytimg.com/vi/UpGt5L3GC7o/mqdefault.jpg,EN,Microplastics in the ocean
Our5CZz5qoU,microplastics-in-the-ocean,How does plastic end up in our oceans?,no,,yes,1503574780,2017-08-24 11:08:40,Greenpeace UK,UCDYkJZXrR9gv6sQ2FQMeYYw,Nonprofits & Activism,,en-GB,216569,1325,,,0,104,https://i.ytimg.com/vi/Our5CZz5qoU/mqdefault.jpg,EN,Microplastics in the ocean
rlPk5y9Bvqg,microplastics-in-the-ocean,Deep-sea currents are behind the ocean’s thickest piles of microplastics,no,,yes,1591980384,2020-06-12 16:06:24,Science Magazine,UCv0aU2eKry3kdSTnFa8QAWA,Science & Technology,,en-US,13455,222,,,0,6,https://i.ytimg.com/vi/rlPk5y9Bvqg/mqdefault.jpg,EN,Microplastics in the ocean
MNFUwVcpZAI,microplastics-in-the-ocean,Plastic pollution crisis: How waste ends up in our oceans,no,,no,1529150402,2018-06-16 12:06:02,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,,en-GB,156475,770,,,0,49,https://i.ytimg.com/vi/MNFUwVcpZAI/mqdefault.jpg,EN,Microplastics in the ocean
Yomf5pBN8dY,microplastics-in-the-ocean,POWERFUL VIDEO: Why We Need to Stop Plastic Pollution in Our Oceans FOR GOOD | Oceana,no,,no,1570646479,2019-10-09 18:10:19,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Nonprofits & Activism,,,1865722,36613,,,0,1262,https://i.ytimg.com/vi/Yomf5pBN8dY/mqdefault.jpg,EN,Microplastics in the ocean
HGxBRTV3ejo,microplastics-in-the-ocean,The Hidden Dangers of Plastics Pollution for Marine Animals,no,,yes,1645138805,2022-02-17 23:02:05,Brut America,UCFZ1Dv_jsdIIUgnJVVcbqKQ,Education,en,en,37782,311,,,0,14,https://i.ytimg.com/vi/HGxBRTV3ejo/mqdefault.jpg,EN,Microplastics in the ocean
TiktyVXRVA8,microplastics-in-the-ocean,What Happens to Plastic in the Ocean | The Mystery of Missing Plastic | ENDEVR Documentary,no,,yes,1642600811,2022-01-19 14:01:11,ENDEVR,UCuw0GgMlZlAsWvpI8PgCN8g,Science & Technology,,en,159876,1850,,,0,228,https://i.ytimg.com/vi/TiktyVXRVA8/mqdefault.jpg,EN,Microplastics in the ocean
HQTUWK7CM-Y,microplastics-in-the-ocean,How We Can Keep Plastics Out of Our Ocean | National Geographic,no,,no,1474070144,2016-09-16 23:09:44,National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,Entertainment,,en-US,3003661,26782,,,0,1153,https://i.ytimg.com/vi/HQTUWK7CM-Y/mqdefault.jpg,EN,Microplastics in the ocean
_tFWhetuTZw,microplastics-in-the-ocean,Plastic Free Oceans | The Gravity Wave,no,,no,1579530572,2020-01-20 14:01:32,The Gravity Wave,UCR-tilcjtKIf7kepOSObgiQ,People & Blogs,,,11835,164,,,0,8,https://i.ytimg.com/vi/_tFWhetuTZw/mqdefault.jpg,EN,Microplastics in the ocean
rGjMx9w2DIc,microplastics-in-the-ocean,Sea of shame (2008) - Plastic bags are choking our oceans | 60 Minutes Australia,no,,yes,1529496004,2018-06-20 12:06:04,60 Minutes Australia,UC0L1suV8pVgO4pCAIBNGx5w,Entertainment,,en-GB,22020,195,,,0,,https://i.ytimg.com/vi/rGjMx9w2DIc/mqdefault.jpg,EN,Microplastics in the ocean
iDKRA0fAz-k,microplastics-in-the-ocean,Everything We Know About Ocean Plastic Pollution So Far | The Ocean Cleanup,no,,no,1683810028,2023-05-11 13:05:28,The Ocean Cleanup,UCYXGHivsMPVU-h-M_wd9m3Q,Science & Technology,en,en,59426,2934,,,0,106,https://i.ytimg.com/vi/iDKRA0fAz-k/mqdefault.jpg,EN,Microplastics in the ocean
XI0AeRUb__E,microplastics-in-the-ocean,NOAA Scientists address the alarming rise of microplastics in the ocean,no,,yes,1688745633,2023-07-07 16:07:33,Esri,UCJ203R9PsZn6wF_zYfsp1SA,Science & Technology,,en,459,23,,,0,1,https://i.ytimg.com/vi/XI0AeRUb__E/mqdefault.jpg,EN,Microplastics in the ocean
mT4Qbp89nIQ,microplastics-in-the-ocean,The surprising solution to ocean plastic | David Katz,no,,no,1518797471,2018-02-16 16:02:11,TED,UCAuUUnT6oDeKwE6v1NGQxug,People & Blogs,,en,726209,16697,,,0,1348,https://i.ytimg.com/vi/mT4Qbp89nIQ/mqdefault.jpg,EN,Microplastics in the ocean
du5d5PUrH0I,microplastics-in-the-ocean,How we will rid the oceans of plastic - Boyan Slat | LIVE | The Ocean Cleanup,no,,no,1494783118,2017-05-14 17:05:58,The Ocean Cleanup,UCYXGHivsMPVU-h-M_wd9m3Q,Science & Technology,,en,1058777,16523,,,0,1407,https://i.ytimg.com/vi/du5d5PUrH0I/mqdefault.jpg,EN,Microplastics in the ocean
4o9-FkSHGWA,microplastics-in-the-ocean,Why recycled ocean plastic is (often) a lie,no,,yes,1616770801,2021-03-26 15:03:01,DW Planet A,UCb72Gn5LXaLEcsOuPKGfQOg,Education,,en,801113,25169,,,0,1532,https://i.ytimg.com/vi/4o9-FkSHGWA/mqdefault.jpg,EN,Microplastics in the ocean
gyLUJaq2s6A,microplastics-in-the-ocean,Pausing at 194 092 kg of Plastic - Why System 002 Is Taking a Winter Break | The Ocean Cleanup,no,,no,1671116070,2022-12-15 14:12:30,The Ocean Cleanup,UCYXGHivsMPVU-h-M_wd9m3Q,Science & Technology,en,en,351139,5706,,,0,439,https://i.ytimg.com/vi/gyLUJaq2s6A/mqdefault.jpg,EN,Microplastics in the ocean
KN8yW_gisrs,microplastics-in-the-ocean,Plastic Waste & OCEAN POLLUTION 🛍️🌊 Causes  Consequences and Solutions!,no,,yes,1617483607,2021-04-03 21:04:07,thedailyECO,UCzsm280etMuYFY57prYf6KA,Howto & Style,,,35205,363,,,0,16,https://i.ytimg.com/vi/KN8yW_gisrs/mqdefault.jpg,EN,Microplastics in the ocean
geSNK5pqT7s,microplastics-in-the-ocean,Plastic oceans: a true global emergency | Craig Leeson | TEDxPitic,no,,no,1535664124,2018-08-30 21:08:04,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,en,32352,677,,,0,28,https://i.ytimg.com/vi/geSNK5pqT7s/mqdefault.jpg,EN,Microplastics in the ocean
DZ32lSQjWU0,microplastics-in-the-ocean,The Problem of Plastic Pollution in the Rio Motagua  Guatemala | Rivers | The Ocean Cleanup,no,,no,1659018602,2022-07-28 14:07:02,The Ocean Cleanup,UCYXGHivsMPVU-h-M_wd9m3Q,Science & Technology,en,en,489286,13418,,,0,1974,https://i.ytimg.com/vi/DZ32lSQjWU0/mqdefault.jpg,EN,Microplastics in the ocean
3QanIXeU_k0,microplastics-in-the-ocean,Mussels and Microplastics | Ocean Up Close | Ocean Wise,no,,yes,1521151720,2018-03-15 22:03:40,Ocean Wise,UC0hLWXESQRctgaVPT-8N7Rw,Nonprofits & Activism,,en,33188,163,,,0,14,https://i.ytimg.com/vi/3QanIXeU_k0/mqdefault.jpg,EN,Microplastics in the ocean
ASloNrDkSZk,microplastics-in-the-ocean,The Impact Of Plastic Pollution On Wildlife (And What We Can Do To Help)! #TeamSeas,no,,yes,1635537607,2021-10-29 20:10:07,The Wild Report,UCfMKLcjPJQSuNlIqQ-ZR-lg,Education,,en,5309,114,,,0,21,https://i.ytimg.com/vi/ASloNrDkSZk/mqdefault.jpg,EN,Microplastics in the ocean
aS8IBxi2xJE,microplastics-in-the-ocean,Plastic in paradise: the battle for the Galápagos Islands  future,no,,no,1554280674,2019-04-03 08:04:54,The Guardian,UCHpw8xwDNhU9gdohEcJu4aA,News & Politics,,en-US,234876,3390,,,0,376,https://i.ytimg.com/vi/aS8IBxi2xJE/mqdefault.jpg,EN,Microplastics in the ocean
cwTDvqaqPlM,microplastics-in-the-ocean,Plastic Oceans | What is the impact of pollution in the sea?,no,,yes,1347242272,2012-09-10 01:09:52,ABC Science,UCR_kFbcwWy1cKLCkmcMf4lg,Science & Technology,,,1490034,,,,0,697,https://i.ytimg.com/vi/cwTDvqaqPlM/mqdefault.jpg,EN,Microplastics in the ocean
