name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
7kiomlVXs5Q,other,Omesteren,no,,no,1574708575,2019-11-25 19:11:55,N. Judkins,UCLrBqTYVRJSUIDfNipB7YDw,Education,,nl,750,19,,,0,0,https://i.ytimg.com/vi/7kiomlVXs5Q/mqdefault.jpg,NL,Other
9CYskAixxbQ,other,Why Is the Dead Sea Called the Dead Sea,no,,no,1640801452,2021-12-29 18:12:52,EcoMastery Project,UCGQiOa51kaSuFr_6OwWAgIg,People & Blogs,,en-US,10021,73,,,0,10,https://i.ytimg.com/vi/9CYskAixxbQ/mqdefault.jpg,NL,Other
2hzphSXFWXk,other,Would you swim in this water this for 1 MILLION DOLLARS?,no,,no,1686573619,2023-06-12 12:06:19,Walt (oneminmicro),UCGmfsRVSM9FG5VIoxEmn-DQ,People & Blogs,,,3758070,181067,,,0,4805,https://i.ytimg.com/vi/2hzphSXFWXk/mqdefault.jpg,NL,Other
_-oFDMYPbbo,other,Caribbean Reef Octopuses Like to Stay Out of Sight | Oceana,no,,no,1683563000,2023-05-08 16:05:20,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Pets & Animals,,,419,40,,,0,1,https://i.ytimg.com/vi/_-oFDMYPbbo/mqdefault.jpg,NL,Other
eLZ48fSQRa0,other,15 MOST DANGEROUS Ocean Creatures In The World,no,,no,1595174412,2020-07-19 16:07:12,Top Fives,UCbAlVnKhbGLK78GsSemQXxw,Entertainment,,,4966490,29926,,,0,899,https://i.ytimg.com/vi/eLZ48fSQRa0/mqdefault.jpg,NL,Other
VDFm0ncxvHU,other,One of the most venomous fish in the world: Stonefish | Oceana,no,,no,1687110934,2023-06-18 17:06:34,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Pets & Animals,,,745,16,,,0,2,https://i.ytimg.com/vi/VDFm0ncxvHU/mqdefault.jpg,NL,Other
WR_0C3VQYHU,other,Tiger Sharks Will Eat Almost Anything | Oceana,no,,no,1682855909,2023-04-30 11:04:29,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Pets & Animals,,,1638,23,,,0,1,https://i.ytimg.com/vi/WR_0C3VQYHU/mqdefault.jpg,NL,Other
lNmiMRvpzDI,other,Harbor Seals Shine Underwater | Oceana,no,,no,1686068729,2023-06-06 16:06:29,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Pets & Animals,,,328,30,,,0,1,https://i.ytimg.com/vi/lNmiMRvpzDI/mqdefault.jpg,NL,Other
QnX-2h8fOuc,other,Blue whales are ocean giants | Oceana,no,,no,1686241342,2023-06-08 16:06:22,Oceana,UCfGiG69KkK0rzX9HYwJMbsw,Pets & Animals,,,1083,25,,,0,0,https://i.ytimg.com/vi/QnX-2h8fOuc/mqdefault.jpg,NL,Other
7ZHUlAmnJnU,other,Kunststoffen - Micro en macro,yes,5,yes,1449170714,2015-12-03 19:12:14,N. Judkins,UCLrBqTYVRJSUIDfNipB7YDw,Education,,,3198,21,,,0,0,https://i.ytimg.com/vi/7ZHUlAmnJnU/mqdefault.jpg,NL,Other
q93NJeWWv9o,other,Micro meso macro,yes,16,yes,1470241461,2016-08-03 16:08:21,Scheikundehulp Havo Vwo Uitleg Oefenen Examens,UC93tK658tvw1zQ1Vh3mcZNQ,Education,,,17923,80,,,0,10,https://i.ytimg.com/vi/q93NJeWWv9o/mqdefault.jpg,NL,Other
VQJPJ6osTVE,other,Macro en microniveau,yes,23,yes,1574887795,2019-11-27 20:11:55,W. Rebel,UCguAJbruI2tAHBSUBCs2otg,Education,,nl,10698,,,,0,2,https://i.ytimg.com/vi/VQJPJ6osTVE/mqdefault.jpg,NL,Other
-oioxaf1e5A,other,micro  meso en macroniveau in de scheikunde,yes,30,no,1519081628,2018-02-19 23:02:08,Wouter Renkema,UCDHEcqJSW57EqHFZqhsysHw,Education,,,10998,99,,,0,5,https://i.ytimg.com/vi/-oioxaf1e5A/mqdefault.jpg,NL,Other
U3EFPkCXVLA,other,Oplosmiddelen: Micro- en macroniveau,no,,yes,1558970805,2019-05-27 15:05:45,KEMIA,UCZI2-SLVOR4lkzXS0BcS52A,Education,,,2515,24,,,0,6,https://i.ytimg.com/vi/U3EFPkCXVLA/mqdefault.jpg,NL,Other
f2p_6DhnOf4,other,3.1 3 havo/vwo Macro en microniveau,no,,no,1605426888,2020-11-15 07:11:48,Podverdrie,UCLcExBx3ioSBFlbrTOGlbuA,People & Blogs,,,3225,45,,,0,4,https://i.ytimg.com/vi/f2p_6DhnOf4/mqdefault.jpg,NL,Other
g6FfFbVViac,other,4A H3 - vraag 32,no,,no,1600287816,2020-09-16 20:09:36,N. Judkins,UCLrBqTYVRJSUIDfNipB7YDw,Education,,,156,4,,,0,0,https://i.ytimg.com/vi/g6FfFbVViac/mqdefault.jpg,NL,Other
_j7EfVK9idA,other,6VWO H18 - Opgave 23,no,,no,1481211325,2016-12-08 15:12:25,N. Judkins,UCLrBqTYVRJSUIDfNipB7YDw,Education,,,723,3,,,0,0,https://i.ytimg.com/vi/_j7EfVK9idA/mqdefault.jpg,NL,Other
obCYEaZfo5M,other,Frank PES 63 buisschiller 32-63,no,,yes,1567782421,2019-09-06 15:09:01,Almond Techniek met You-Tube,UCixdb99mgWSGzwRH3FmVlAg,Science & Technology,,,118,0,,,0,0,https://i.ytimg.com/vi/obCYEaZfo5M/mqdefault.jpg,NL,Other
Vb890c8fGqA,other,July 30 2023,no,,no,1690760983,2023-07-30 23:07:43,RudeDoggOG,UCg1P0A-qVbsIlK4jj-XTIYg,People & Blogs,,,4,0,,,0,0,https://i.ytimg.com/vi/Vb890c8fGqA/mqdefault.jpg,NL,Other
4EHcn3EDHYI,other,Les 3 functionele groepen,no,,no,1586365597,2020-04-08 17:04:37,Michel Van Den Hoek,UCMdMLayOo2gFOGT-LcyU4wg,Science & Technology,,nl,847,10,,,0,1,https://i.ytimg.com/vi/4EHcn3EDHYI/mqdefault.jpg,NL,Other
azN0ljFwWtU,other,Brandstof & Milieu,no,,yes,1585750919,2020-04-01 14:04:59,Chemie Online,UCpTnUojfeYi_xuuUOJzzy0Q,People & Blogs,,,961,11,,,0,2,https://i.ytimg.com/vi/azN0ljFwWtU/mqdefault.jpg,NL,Other
IDFVxoJ6k3I,other,Ionen 3 Verhoudingsformules met samengestelde ionen,no,,no,1471024679,2016-08-12 17:08:59,Scheikundehulp Havo Vwo Uitleg Oefenen Examens,UC93tK658tvw1zQ1Vh3mcZNQ,Education,,,5703,74,,,0,4,https://i.ytimg.com/vi/IDFVxoJ6k3I/mqdefault.jpg,NL,Other
Bs8sXnQ68dM,other,MICRO  MEZZO  and MACRO SOCIAL WORK: The Different Levels of Social Work,no,,no,1645734601,2022-02-24 20:02:01,Anna Bea,UCraGxahEReuSxD-yCLEwv2Q,Education,en-US,en-US,7079,248,,,0,29,https://i.ytimg.com/vi/Bs8sXnQ68dM/mqdefault.jpg,NL,Other
aaaCMWV5x3g,other,Micro meso en macro analyse,no,,no,1605607923,2020-11-17 10:11:03,Wouter Gorter,UCLIXUPKQMGB_Z3a-iTV5HrA,Education,,,5101,51,,,0,6,https://i.ytimg.com/vi/aaaCMWV5x3g/mqdefault.jpg,NL,Other
oWzQsJcgYJc,other,Macro  micro en meso economie ??? - BAES Education,no,,no,1597852706,2020-08-19 15:08:26,BAES Education,UChTVhRJWpwClTkuM5-a7bnw,Education,,nl-NL,9417,52,,,0,1,https://i.ytimg.com/vi/oWzQsJcgYJc/mqdefault.jpg,NL,Other
VHjYal1l8BY,other,pH berekeningen 5 Havo,no,,yes,1667318637,2022-11-01 16:11:57,Scheikunde met Marcel,UC7ldI7mesPWxmtWIBKA-wcw,Science & Technology,,,168,4,,,0,4,https://i.ytimg.com/vi/VHjYal1l8BY/mqdefault.jpg,NL,Other
b_zwzBtBrno,other,Nieuwjaarsvideo 2023,no,,yes,1674139016,2023-01-19 14:01:56,Vink Kunststoffen,UCTY_msm8bDAQDJ0747rvYqA,Science & Technology,,nl-NL,475,4,,,0,0,https://i.ytimg.com/vi/b_zwzBtBrno/mqdefault.jpg,NL,Other
oEh6lLj-Q4k,other,Overmaat en ondermaat,no,,no,1585722547,2020-04-01 06:04:07,W. Rebel,UCguAJbruI2tAHBSUBCs2otg,Education,,nl,7063,,,,0,9,https://i.ytimg.com/vi/oEh6lLj-Q4k/mqdefault.jpg,NL,Other
ZlJefQP-JEU,other,12-3 Structuur & eigenschappen,no,,yes,1612273763,2021-02-02 13:02:23,Leren voor je Diploma,UC7sLBd69VOuS4PcrWIv7vlw,Education,,,158,0,,,0,0,https://i.ytimg.com/vi/ZlJefQP-JEU/mqdefault.jpg,NL,Other
HhCpa_C9O3M,other,13-3 Energie en rendement,no,,yes,1614440910,2021-02-27 15:02:30,Leren voor je Diploma,UC7sLBd69VOuS4PcrWIv7vlw,Education,,,135,1,,,0,2,https://i.ytimg.com/vi/HhCpa_C9O3M/mqdefault.jpg,NL,Other
h-RUL8fYf4o,other,Datenauswertung im Physikalischen Grundpraktikum - Teil 3,no,,no,1690577825,2023-07-28 20:07:05,Jonny Birkhan,UC0aoYDTbHfffLA2_AbmcDJA,Science & Technology,,de,9,1,,,0,0,https://i.ytimg.com/vi/h-RUL8fYf4o/mqdefault.jpg,NL,Other
gxOuMx_qabQ,other,P3000K ATC Modulo de vinco & Faca oscilante,no,,no,1689774020,2023-07-19 13:07:20,WIDINOVATIONS,UCDh8tUctwpFUeVW2kwcDI5w,Science & Technology,pt-PT,pt-PT,48,0,,,0,0,https://i.ytimg.com/vi/gxOuMx_qabQ/mqdefault.jpg,NL,Other
UrI5dSie4MQ,other,Radicaalmechanisme,no,,no,1607720423,2020-12-11 21:12:23,KEMIA,UCZI2-SLVOR4lkzXS0BcS52A,Education,,,7891,71,,,0,6,https://i.ytimg.com/vi/UrI5dSie4MQ/mqdefault.jpg,NL,Other
CjmriZq5xRo,other,GCSE Chemistry - Crude Oil and Fractional Distillation #53,no,,no,1556435542,2019-04-28 07:04:22,Cognito,UCaGEe4KXZrjou9kQx6ezG2w,Education,,en,366477,6282,,,0,199,https://i.ytimg.com/vi/CjmriZq5xRo/mqdefault.jpg,NL,Other
42cOlOlBZO8,other,3V H5.1 Fossiele brandstoffen,no,,no,1586594799,2020-04-11 08:04:39,Jordi Jansen,UCCrpozZOu_opFaZsZ7aJKuw,People & Blogs,,,655,14,,,0,0,https://i.ytimg.com/vi/42cOlOlBZO8/mqdefault.jpg,NL,Other
Xf6aKxiLCGM,other,Widos SPA 6 0 voor alle sleuven spiegellasmachines van Widos GmbH.,no,,yes,1667212898,2022-10-31 10:10:38,Almond Techniek met You-Tube,UCixdb99mgWSGzwRH3FmVlAg,Science & Technology,,,60,1,,,0,0,https://i.ytimg.com/vi/Xf6aKxiLCGM/mqdefault.jpg,NL,Other
CMa0_Xktf7k,other,Everything You Need to Know to Make Spoon Rings Like A Pro,no,,no,1612108805,2021-01-31 16:01:05,GomeowCreations,UCMqZdwNcM_pUNBSTVX5nJLA,Howto & Style,,en,1181835,24799,,,0,764,https://i.ytimg.com/vi/CMa0_Xktf7k/mqdefault.jpg,NL,Other
Q0rPTUwCUIg,other,shree natraj machine products spoon machine,no,,no,1683217846,2023-05-04 16:05:46,Bharat Mistry,UCxyMNAae5p8deiImHdOA_cg,People & Blogs,,,5676,47,,,0,2,https://i.ytimg.com/vi/Q0rPTUwCUIg/mqdefault.jpg,NL,Other
Wa4TZu_rmfI,other,Shannon plastic bending machine HRT,no,,no,1467788846,2016-07-06 07:07:26,ShannonBV,UCSY4OLkVDkqJRUs1qB5i63w,Science & Technology,,,31250,121,,,0,23,https://i.ytimg.com/vi/Wa4TZu_rmfI/mqdefault.jpg,NL,Other
GZmzFhjJAh8,other,3 ways to avoid microplastics.,yes,13,yes,1660763701,2022-08-17 19:08:01,ATTN:,UCX1QptigcsbBubVqtB1JK7g,Howto & Style,,en,13777,533,,,0,34,https://i.ytimg.com/vi/GZmzFhjJAh8/mqdefault.jpg,NL,Other
H8AcqOh0wis,other,How to connect 3D Printed Parts!,yes,50,no,1650212090,2022-04-17 16:04:50,Uncle Jessy,UC8i8e7likh-EYMq1bZ0ttHw,Science & Technology,en,en,23242873,894751,,,0,5856,https://i.ytimg.com/vi/H8AcqOh0wis/mqdefault.jpg,NL,Other
mykaKKtS-zk,other,3D printen van de standaard voor de BAK Weldon,no,,yes,1664885524,2022-10-04 12:10:04,Almond Techniek met You-Tube,UCixdb99mgWSGzwRH3FmVlAg,Science & Technology,,,39,0,,,0,0,https://i.ytimg.com/vi/mykaKKtS-zk/mqdefault.jpg,NL,Other
bVZOQ2PSLmY,other,Master pattern is 3D PRINTED and the plastic parts are made using VACUUM CASTING! 🤯 #shorts,no,,no,1683797409,2023-05-11 09:05:09,Star Rapid,UCa4nrvEmWEUQZRFVfrP2Uww,Science & Technology,,en,577,25,,,0,0,https://i.ytimg.com/vi/bVZOQ2PSLmY/mqdefault.jpg,NL,Other
kq5dw1x05zI,other,3D Printed vs Aluminum Injection Molds,no,,no,1652028224,2022-05-08 16:05:44,JohnSL - Random Products,UCJT6JcjZCttm5PHnW9kWluQ,Education,,en,198268,3890,,,0,256,https://i.ytimg.com/vi/kq5dw1x05zI/mqdefault.jpg,NL,Other
_B6MOMonMNY,other,3M™ Preformed Thermoplastic_Promo_Video,no,,yes,1634268913,2021-10-15 03:10:13,3M,UC6YDuKO3yui0tMpnM8dEKMg,Science & Technology,,en-US,1804,50,,,0,4,https://i.ytimg.com/vi/_B6MOMonMNY/mqdefault.jpg,NL,Other
4fYvDYrqZDI,other,Ascon3 Fertigungstechnik,no,,no,1689663583,2023-07-18 06:07:43,Johannes Sommer,UCXaJ777FMjzRNCMyuqJiWFQ,Entertainment,,,36,0,,,0,0,https://i.ytimg.com/vi/4fYvDYrqZDI/mqdefault.jpg,NL,Other
Tm-fgKEBuUM,other,Three head collapsible core from Pmold,no,,yes,1560931671,2019-06-19 08:06:51,Lisa Qin,UC4KwsGFmg6R0otbvVCtvwvw,People & Blogs,,en-GB,61181,575,,,0,13,https://i.ytimg.com/vi/Tm-fgKEBuUM/mqdefault.jpg,NL,Other
dGE509zjf7E,other,Which glues work on 3D prints? JB Weld / Superglue / VHB tape…,no,,no,1651940229,2022-05-07 16:05:09,Thomas Sanladerer,UCb8Rde3uRL1ohROUVg46h1A,Science & Technology,en,en-US,132826,5936,,,0,449,https://i.ytimg.com/vi/dGE509zjf7E/mqdefault.jpg,NL,Other
dg1iF90sFv4,other,I 3D Printed A YEEZY SLIDE,no,,no,1665510407,2022-10-11 17:10:47,Seth Fowler,UCgtHJiyE6ZwaJO65tdudDfw,Howto & Style,,,7346375,521690,,,0,482,https://i.ytimg.com/vi/dg1iF90sFv4/mqdefault.jpg,NL,Other
xFOBPmyKUQ4,other,Fusing GIANT 3D Printed Swords and Props! - Quick  Easy  Strong!,no,,yes,1622726042,2021-06-03 13:06:02,Frankly Built,UCsnKS1fVNJ1yjCkGOXXDd4A,Entertainment,,,6678117,406001,,,0,2939,https://i.ytimg.com/vi/xFOBPmyKUQ4/mqdefault.jpg,NL,Other
