name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
ri_IYBdjgTE,other,Suzuki SMD Customising the Display,no,,no,1568209445,2019-09-11 13:09:05,Suzuki Marine UK,UC_XGHchiXLKdBxXlN2NrUQQ,People & Blogs,,,746,3,,,0,0,https://i.ytimg.com/vi/ri_IYBdjgTE/mqdefault.jpg,PH,Other
tiCsFpMOJTw,other,Suzuki Marine Servicing & Maintenance - DF300B,no,,no,1645696723,2022-02-24 09:02:43,Suzuki Marine UK,UC_XGHchiXLKdBxXlN2NrUQQ,People & Blogs,,,1231,13,,,0,1,https://i.ytimg.com/vi/tiCsFpMOJTw/mqdefault.jpg,PH,Other
PrpYhF-MuVs,other,Suzuki DF 90 II,no,,no,1648656727,2022-03-30 16:03:07,HPDI250 vmax,UCq2brHhBZLtzhTi9InkOi4Q,People & Blogs,,,4524,19,,,0,1,https://i.ytimg.com/vi/PrpYhF-MuVs/mqdefault.jpg,PH,Other
95XwT0LlcrI,other,2021 Suzuki 140HP Motor,no,,no,1671696895,2022-12-22 08:12:55,Geo4Reels,UCoOHFKsFr4HOFd_NJpTE6Fg,People & Blogs,,,554,5,,,0,,https://i.ytimg.com/vi/95XwT0LlcrI/mqdefault.jpg,PH,Other
w2N0BOo4Ak8,other,Engine warning alarm codes for Df Suzuki Df 100/115/140,no,,no,1600756970,2020-09-22 06:09:50,Fix your boat and more,UCYLoW1hl0IpazBkawBw0i1Q,Howto & Style,en,en-US,27490,93,,,0,38,https://i.ytimg.com/vi/w2N0BOo4Ak8/mqdefault.jpg,PH,Other
7Ir93msyvgo,other,Suzuki Outboard Models DF150AP  DF175AP  and DF200AP,no,,no,1629228071,2021-08-17 19:08:11,Suzuki Marine USA,UCHF1tzd9w60Z9tpLejUSs4w,People & Blogs,,,17615,107,,,0,0,https://i.ytimg.com/vi/7Ir93msyvgo/mqdefault.jpg,PH,Other
TMsFvQwbAxs,other,2021 Suzuki DF140 first start,no,,no,1620693039,2021-05-11 00:05:39,fired up fishing,UCNcQxsk9pA2f1LxtyM5cHlg,People & Blogs,,,3938,29,,,0,0,https://i.ytimg.com/vi/TMsFvQwbAxs/mqdefault.jpg,PH,Other
eGLDueoppvA,other,Suzuki Deluxe tiller handle with troll mode,no,,no,1679018650,2023-03-17 02:03:10,Andy Heath,UCRB5kblpQ4oUNulvBrL2PAQ,Autos & Vehicles,,,2310,11,,,0,1,https://i.ytimg.com/vi/eGLDueoppvA/mqdefault.jpg,PH,Other
i84dZJN8paM,other,The Suzuki DF140B outboard is the ultimate! 🤩 #boatlife,no,,no,1680592010,2023-04-04 07:04:50,SUZUKI Marine South Africa,UChn7mY3vjg6o3Jb7rvE5heg,Sports,,en,983,8,,,0,0,https://i.ytimg.com/vi/i84dZJN8paM/mqdefault.jpg,PH,Other
f400sUqLKZs,other,Interview Moteur Boat : les nouveaux Suzuki DF115 B et DF140 B à commande mécanique.,no,,no,1656426927,2022-06-28 14:06:27,Voile & Moteur,UCLP90bdkFa2N1qYEXltiaqg,Sports,,fr,2274,9,,,0,0,https://i.ytimg.com/vi/f400sUqLKZs/mqdefault.jpg,PH,Other
asfCuO8ii3U,other,DF300AP | Suzuki Marine USA,no,,no,1671532633,2022-12-20 10:12:13,Suzuki Marine USA,UCHF1tzd9w60Z9tpLejUSs4w,People & Blogs,,,1590,44,,,0,0,https://i.ytimg.com/vi/asfCuO8ii3U/mqdefault.jpg,PH,Other
-NptYJsfy0E,other,Restoration Suzuki 125 RG and exhaust OEM VS Jollymoto,no,,no,1645815837,2022-02-25 19:02:57,MrDrifz,UCzX94zdjE2QK8Q3uaEFOyXw,Sports,,,5958,58,,,0,13,https://i.ytimg.com/vi/-NptYJsfy0E/mqdefault.jpg,PH,Other
r278rQ0yK-Y,other,Suzuki DL 1000 V-Strom - Budget Bike Hero!,no,,no,1686948529,2023-06-16 20:06:49,Petroleum Moto,UC5h0J-rK3VwJYCj38O-NsVw,People & Blogs,,,1743,25,,,0,9,https://i.ytimg.com/vi/r278rQ0yK-Y/mqdefault.jpg,PH,Other
SMeDOU9cEYk,other,Motorcycle travelling - Europe - Suzuki DR800,no,,no,1639772935,2021-12-17 20:12:55,Hujeta,UCPYqppg-nLvslw9vG38biMg,Autos & Vehicles,,,8601,115,,,0,24,https://i.ytimg.com/vi/SMeDOU9cEYk/mqdefault.jpg,PH,Other
e7YTOrwT4fY,other,Fishing Monthly - Edencraft 6.0 Offshore with Twin 140HP SPC Suzuki Outboards - Tested,no,,no,1671509459,2022-12-20 04:12:59,Suzuki Marine Australia,UCchT-6cR744ybWLX94rakGA,Autos & Vehicles,,,1629,6,,,0,0,https://i.ytimg.com/vi/e7YTOrwT4fY/mqdefault.jpg,PH,Other
k6ftas5pNGw,other,[ENG] NEW SUZUKI DF 140B on Motor Boat FOCCHI 640 - Outboard Engine Review - The Boat Show,no,,no,1656266414,2022-06-26 18:06:14,THE BOAT SHOW,UCPjFK2AUjXUrWb8XYdzvrTQ,Autos & Vehicles,en,en,6671,90,,,0,1,https://i.ytimg.com/vi/k6ftas5pNGw/mqdefault.jpg,PH,Other
fWSdEi_fxSY,other,Junta warns against armed intervention by ECOWAS,no,,no,1690820933,2023-07-31 16:07:53,TRT World,UC7fWeaHhqgM4Ry-RMpM2YYw,News & Politics,en,en,8790,89,,,0,21,https://i.ytimg.com/vi/fWSdEi_fxSY/mqdefault.jpg,PH,Other
gyImR46uS8s,other,Coup leaders warn ECOWAS against  military intervention,no,,no,1690909355,2023-08-01 17:08:35,TRT World,UC7fWeaHhqgM4Ry-RMpM2YYw,News & Politics,en,en,3589,52,,,0,22,https://i.ytimg.com/vi/gyImR46uS8s/mqdefault.jpg,PH,Other
Z3ugPcXWS-U,other,#Jigani Manchanahalli Bangalore Residential Area,no,,no,1615141172,2021-03-07 18:03:32,SPK VLOG,UC48051bJsNCfqvc-uZ-zDeQ,People & Blogs,,hi,11273,117,,,0,8,https://i.ytimg.com/vi/Z3ugPcXWS-U/mqdefault.jpg,PH,Other
usdoO0Zz0Aw,other,Jambo Bwana | Jambo Bwana Tanzania | Swahili song,no,,no,1679734686,2023-03-25 08:03:06,Anja On Adventure,UC1PCW_KX9230oCH2vITFyOg,Travel & Events,,,7962,84,,,0,8,https://i.ytimg.com/vi/usdoO0Zz0Aw/mqdefault.jpg,PH,Other
