name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
iXYqULCBuD8,other,The Extraordinary Honey Bee | A 360 VR Experience | Häagen-Dazs®,no,,no,1525733765,2018-05-07 22:05:05,Häagen-Dazs US,UCokPdW_udDtALG8Rd_u-hdg,Entertainment,,en,142918,799,,,0,41,https://i.ytimg.com/vi/iXYqULCBuD8/mqdefault.jpg,EN,Other
wID6G0cq5W4,other,Fanum Goes Sneaker Shopping With Complex,no,,no,1690812041,2023-07-31 14:07:41,Complex,UCE_--R1P5-kfBzHTca0dsnw,Entertainment,,en,700919,41155,,,0,2091,https://i.ytimg.com/vi/wID6G0cq5W4/mqdefault.jpg,EN,Other
L41TYxYUqqs,other,The Synapse,no,,no,1486382401,2017-02-06 12:02:01,Bozeman Science,UCEik-U3T6u6JA0XiHLbNbOw,Education,en,en,514075,9007,,,0,217,https://i.ytimg.com/vi/L41TYxYUqqs/mqdefault.jpg,EN,Other
EpIe5-pLSAM,other,Final report,no,,no,1690601938,2023-07-29 03:07:58,Bobak,UCOpHKtccUj1Y1_wPAQusvDA,People & Blogs,,,4,0,,,0,0,https://i.ytimg.com/vi/EpIe5-pLSAM/mqdefault.jpg,EN,Other
hDyTn98tFSc,other,Derailed: East Palestine 6 Months Later,no,,no,1690891324,2023-08-01 12:08:04,News 5 Cleveland,UCAAmkc2sRESFoEtiKRTaTRA,News & Politics,,en-US,226,19,,,0,4,https://i.ytimg.com/vi/hDyTn98tFSc/mqdefault.jpg,EN,Other
QTZcMTnHivI,other,About Issue One,no,,no,1511900055,2017-11-28 20:11:15,Issue One,UCwJdEfGv82ZEZCWdQl3IYlA,People & Blogs,,,559,3,,,0,0,https://i.ytimg.com/vi/QTZcMTnHivI/mqdefault.jpg,EN,Other
hKcuB7Q2jxk,other,Kinlin Program Guide - Student Testimonial - Felicia Brice,no,,no,1690296399,2023-07-25 14:07:39,Fanshawe OER Design Studio,UC5DS3biZRn8fJ3Ut-U1GjRQ,People & Blogs,en-CA,en-CA,24,,,,0,,https://i.ytimg.com/vi/hKcuB7Q2jxk/mqdefault.jpg,EN,Other
lim-EKWFtTk,other,Frenchams Nursery full video,no,,no,1686698807,2023-06-13 23:06:47,Greenlife Industry Australia,UCWvnxVPiaH_LfCLtzxZqfUA,Education,,,224,8,,,0,0,https://i.ytimg.com/vi/lim-EKWFtTk/mqdefault.jpg,EN,Other
6pkJWFrtzu8,other,Frenchams 1 minute,no,,no,1686868370,2023-06-15 22:06:50,Greenlife Industry Australia,UCWvnxVPiaH_LfCLtzxZqfUA,Education,,,69,5,,,0,0,https://i.ytimg.com/vi/6pkJWFrtzu8/mqdefault.jpg,EN,Other
oz1Cz8ko8iY,other,The case of the vanishing honeybees - Emma Bryce,no,,no,1395154820,2014-03-18 15:03:20,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,Education,en,,926663,14543,,,0,835,https://i.ytimg.com/vi/oz1Cz8ko8iY/mqdefault.jpg,EN,Other
pWjmpSD-ph0,other,Música Relaxante - Acalmar a Mente e Relaxar,no,,no,1452468618,2016-01-10 23:01:18,Cassio Toledo,UCK8QPDq9zKnfSEWQImX5Ebg,Music,,pt,113882245,1196948,,,0,54313,https://i.ytimg.com/vi/pWjmpSD-ph0/mqdefault.jpg,EN,Other
