name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
hA85CSWYS8o,other,Glyphosate : pourquoi personne n’est d’accord ?,no,,yes,1530784861,2018-07-05 10:07:01,France Culture,UCd5DKToXYTKAQ6khzewww2g,Sports,,fr,2685,46,,,0,8,https://i.ytimg.com/vi/hA85CSWYS8o/mqdefault.jpg,FR,Other
gGxQV1_OKNo,other,Qu est-ce que la Cour suprême des États-Unis ?,no,,no,1531124116,2018-07-09 08:07:16,Le Figaro,UCCDz_XYeKWd0OIyjp95dqyQ,News & Politics,,en-US,31339,425,,,0,17,https://i.ytimg.com/vi/gGxQV1_OKNo/mqdefault.jpg,FR,Other
621JRiUB5Rs,other,Grève du 31 janvier : Le trafic des trains  très fortement perturbé,no,,no,1675012504,2023-01-29 17:01:04,Europe 1,UCIMGfEAERXjmWwQeg15BFsg,News & Politics,,,89147,220,,,0,216,https://i.ytimg.com/vi/621JRiUB5Rs/mqdefault.jpg,FR,Other
bwIvKeg_n6I,other,Aides sociales : La CAF en fait-elle trop ?,no,,no,1674154806,2023-01-19 19:01:06,Documentaire Société,UCYFI5PGuw_34XaA3SGDkQOQ,Entertainment,fr,fr,217588,2080,,,0,1344,https://i.ytimg.com/vi/bwIvKeg_n6I/mqdefault.jpg,FR,Other
rNiYmrplcAI,other,Quand Verino parle de Guillermo Guiz,no,,no,1632987869,2021-09-30 07:09:29,Humeurs humoristiques - Régis Canon,UCVjU5TfXF2jaQmceX97oPoQ,Comedy,,,10077,231,,,0,1,https://i.ytimg.com/vi/rNiYmrplcAI/mqdefault.jpg,FR,Other
97D4jq3tbdg,other,Le scandale du plastique français exporté en Malaisie,no,,no,1559748661,2019-06-05 15:06:01,Konbini,UCHQda5vLxrH0Ff0I0kMq4zw,Entertainment,,,206093,5940,,,0,562,https://i.ytimg.com/vi/97D4jq3tbdg/mqdefault.jpg,FR,Other
cgiMDIkoQE8,other,Marine Le Pen :  Ce que Macron envisage de faire est bien pire que ce qu il a déjà fait,no,,no,1654670415,2022-06-08 06:06:15,Europe 1,UCIMGfEAERXjmWwQeg15BFsg,News & Politics,fr,fr,55537,984,,,0,484,https://i.ytimg.com/vi/cgiMDIkoQE8/mqdefault.jpg,FR,Other
9_slSoggQlQ,other,Macron et les rois du fric,no,,no,1684171715,2023-05-15 17:05:35,JEAN-LUC MÉLENCHON,UCk-_PEY3iC6DIGJKuoEe9bw,News & Politics,,fr,125069,7079,,,0,1256,https://i.ytimg.com/vi/9_slSoggQlQ/mqdefault.jpg,FR,Other
TaTSv-0itIM,other,Quand la France est grande ?,no,,no,1644050362,2022-02-05 08:02:22,FRANÇOIS RUFFIN,UCIQGSp79vVch0vO3Efqif_w,News & Politics,,fr,55729,4445,,,0,474,https://i.ytimg.com/vi/TaTSv-0itIM/mqdefault.jpg,FR,Other
4SWMRoLWllg,other,Cameroun : Il veut devenir le roi de la tomate,no,,no,1475581054,2016-10-04 11:10:34,Agribusiness TV,UC5-ChYbj_r6mIi5evDD7FzQ,Science & Technology,,,144410,1208,,,0,102,https://i.ytimg.com/vi/4SWMRoLWllg/mqdefault.jpg,FR,Other
apTfa-3-hm0,other,Mais c est quoi ce truc doré à côté d Emmanuel Macron ? 🤔,no,,no,1689956952,2023-07-21 16:07:12,Brut,UCSKdvgqdnj72_SLggp7BDTg,News & Politics,,fr,425533,5863,,,0,481,https://i.ytimg.com/vi/apTfa-3-hm0/mqdefault.jpg,FR,Other
XEJKZIAn9v8,other,Voici tout ce qui change au 1er août en France,no,,no,1690484008,2023-07-27 18:07:28,Brut,UCSKdvgqdnj72_SLggp7BDTg,News & Politics,,fr,40769,708,,,0,36,https://i.ytimg.com/vi/XEJKZIAn9v8/mqdefault.jpg,FR,Other
W09LcB0Ok7s,other,Aveyron : la ténacité des gilets jaunes,no,,yes,1542734038,2018-11-20 17:11:58,France 3 Occitanie,UC20dglUTkVqzY9ipx_iOnng,News & Politics,,,3893,,,,0,,https://i.ytimg.com/vi/W09LcB0Ok7s/mqdefault.jpg,FR,Other
mQWx6OCq19g,other,Fermées depuis 5 ans  les gorges les plus étroites du monde rouvriront-elles un jour au public ?,no,,no,1690386858,2023-07-26 15:07:18,France 3 Occitanie,UC20dglUTkVqzY9ipx_iOnng,News & Politics,fr,fr-FR,11265,,,,0,,https://i.ytimg.com/vi/mQWx6OCq19g/mqdefault.jpg,FR,Other
R0xVny2lUBM,other,Fermeture sucrerie de Cagny : quelles conséquences pour la filière ?,no,,no,1550252412,2019-02-15 17:02:12,France 3 Normandie,UCWiQCbdC05zfzNg83F2kc3A,News & Politics,fr,fr,3665,18,,,0,0,https://i.ytimg.com/vi/R0xVny2lUBM/mqdefault.jpg,FR,Other
ox_ogezxpWE,other,Allocution d Emmanuel Macron avant le Conseil des ministres du 21 juillet,no,,no,1689938185,2023-07-21 11:07:25,Public Sénat,UCTa1bPArjpvNMgSHAb_pflA,News & Politics,,,4044,35,,,0,64,https://i.ytimg.com/vi/ox_ogezxpWE/mqdefault.jpg,FR,Other
LsehCptX2fo,other,Emmanuel Macron:  Nous avons fait passer plus de lois cette année qu il y a six ans,no,,no,1689933226,2023-07-21 09:07:46,Public Sénat,UCTa1bPArjpvNMgSHAb_pflA,Entertainment,,,22034,92,,,0,361,https://i.ytimg.com/vi/LsehCptX2fo/mqdefault.jpg,FR,Other
A2azbjBbokM,other,Mondial de football féminin : face au Panama  les Bleues veulent confirmer,no,,no,1690959928,2023-08-02 07:08:28,Europe 1,UCIMGfEAERXjmWwQeg15BFsg,News & Politics,,,118,2,,,0,1,https://i.ytimg.com/vi/A2azbjBbokM/mqdefault.jpg,FR,Other
YEcFUFNW-70,other,Geoffroy Lejeune au « JDD » : la rédaction met fin à la grève après un accord avec la direction,no,,no,1690903284,2023-08-01 15:08:24,20 Minutes France,UCD25QI36ly-8hWm9OPOz7aw,News & Politics,,fr,291,6,,,0,11,https://i.ytimg.com/vi/YEcFUFNW-70/mqdefault.jpg,FR,Other
_zjuPVMTklA,other,Grève au JDD contre l arrivée de Geoffroy Lejeune : jusqu où vont aller les journalistes ?,no,,no,1690558558,2023-07-28 15:07:58,20 Minutes France,UCD25QI36ly-8hWm9OPOz7aw,News & Politics,,,896,15,,,0,38,https://i.ytimg.com/vi/_zjuPVMTklA/mqdefault.jpg,FR,Other
faI-LY6NTI0,other,Glyphosate : après le feu de l EFSA  que vont décider les États membres dont la France ?,no,,no,1688973949,2023-07-10 07:07:49,Agriculture et Environnement,UCxooxCiflBsJJ3PnGRg69jA,News & Politics,,fr,251,15,,,0,4,https://i.ytimg.com/vi/faI-LY6NTI0/mqdefault.jpg,FR,Other
pbhNuCb4DrQ,other,Éric Dupond-Moretti  un ministre heureux  mais jusqu’à quand ?,no,,no,1690883944,2023-08-01 09:08:04,Le Point,UCQd5LYcykaFeZtjDaP3bNSA,News & Politics,,,1608,27,,,0,46,https://i.ytimg.com/vi/pbhNuCb4DrQ/mqdefault.jpg,FR,Other
aTzucAY137U,other,Disparition d Émile : retour sur l affaire qui a ému la France entière,no,,no,1690813672,2023-07-31 14:07:52,Le Point,UCQd5LYcykaFeZtjDaP3bNSA,News & Politics,,,39972,274,,,0,306,https://i.ytimg.com/vi/aTzucAY137U/mqdefault.jpg,FR,Other
8ROGlQDv2vo,other,Geoffroy Lejeune au « JDD » : accord conclu pour la fin de la grève,no,,no,1690895980,2023-08-01 13:08:40,Le Point,UCQd5LYcykaFeZtjDaP3bNSA,News & Politics,,,7244,70,,,0,242,https://i.ytimg.com/vi/8ROGlQDv2vo/mqdefault.jpg,FR,Other
uDXoCSR9xb8,other,L étable la plus rentable de Franche-Comté est à Marloz  en Haute-Saône,no,,no,1599732019,2020-09-10 10:09:19,France 3 Bourgogne-Franche-Comté,UCMPIMCKpq5TRd92Jwj2D7_Q,News & Politics,fr,fr,87711,764,,,0,,https://i.ytimg.com/vi/uDXoCSR9xb8/mqdefault.jpg,FR,Other
ajEDYHbOs5Q,other,La succession d Henri Konan Bedié fera certainement l objet d une âpre bataille  • FRANCE 24,no,,no,1690950491,2023-08-02 04:08:11,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,News & Politics,fr,fr,7724,81,,,0,16,https://i.ytimg.com/vi/ajEDYHbOs5Q/mqdefault.jpg,FR,Other
ewqIlYajUGg,other,Disparition de Tiphaine Véron:  Cinq ans après  c est maintenant que les choses vont enfin débuter,no,,no,1690610301,2023-07-29 05:07:21,RMC,UCgGb7tN3tIH5_Kk05D1J_bA,News & Politics,,,3995,42,,,0,25,https://i.ytimg.com/vi/ewqIlYajUGg/mqdefault.jpg,FR,Other
cndpt0DOaeU,other,Joron :  Darmanin est dans le même état d esprit que nous,no,,no,1690532033,2023-07-28 08:07:53,RMC,UCgGb7tN3tIH5_Kk05D1J_bA,News & Politics,,,10736,84,,,0,220,https://i.ytimg.com/vi/cndpt0DOaeU/mqdefault.jpg,FR,Other
xwah-PGI4MY,other,Je suis très optimiste : David Douillet face aux GG  l interview intégrale,no,,no,1690375965,2023-07-26 12:07:45,RMC,UCgGb7tN3tIH5_Kk05D1J_bA,Entertainment,,,5341,27,,,0,53,https://i.ytimg.com/vi/xwah-PGI4MY/mqdefault.jpg,FR,Other
o9XOYhlUylo,other,Ukraine : jusqu où ira l aide européenne ? • FRANCE 24,no,,no,1675375632,2023-02-02 22:02:12,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,News & Politics,fr,fr,123269,608,,,0,427,https://i.ytimg.com/vi/o9XOYhlUylo/mqdefault.jpg,FR,Other
WhVIvw6y_bI,other,Quelle est la taille du plus grand trou noir de l’Univers ?,no,,no,1686069632,2023-06-06 16:06:32,Science & Vie,UCKbE7xjCnjKL6_imHvLRqWw,Science & Technology,,fr,1034,11,,,0,0,https://i.ytimg.com/vi/WhVIvw6y_bI/mqdefault.jpg,FR,Other
JqdfwLIfor0,other,Semi de bois enterré je la tire avec mon tracteur  en plus des travaux d’épandage de fumier. N°211,no,,no,1679209213,2023-03-19 07:03:13,Guillaume éleveur de brebis,UCO8EaVgq_Ax_Wd8ZcZsEJoQ,People & Blogs,,fr,141376,5315,,,0,226,https://i.ytimg.com/vi/JqdfwLIfor0/mqdefault.jpg,FR,Other
OiD2vU9QqmQ,other,C est pas sorcier -FRUITS ET LEGUMES : un jardin extraordinaire,no,,no,1369160188,2013-05-21 18:05:28,C est pas sorcier,UCENv8pH4LkzvuSV_qHIcslg,Education,,,1175621,5664,,,0,,https://i.ytimg.com/vi/OiD2vU9QqmQ/mqdefault.jpg,FR,Other
g_R0qZLk2-0,other,Il me reste des têtes de chênes à faire - 2022,no,,no,1671517812,2022-12-20 06:12:12,Chaîne Agricole,UC3l2JpG0vN8xMkvvfCwavcQ,Education,fr,fr,306886,4691,,,0,97,https://i.ytimg.com/vi/g_R0qZLk2-0/mqdefault.jpg,FR,Other
XQzbOboXkiw,other,Portrait de Jacques #DansLesBottes,no,,no,1683471631,2023-05-07 15:05:31,Thierry Agriculteur d Aujourd hui,UCKpXbgTztfWrrNLx4w1EYKw,Education,fr,fr,4081,284,,,0,9,https://i.ytimg.com/vi/XQzbOboXkiw/mqdefault.jpg,FR,Other
qJgYv9WJpKA,other,À 30 ans  Romain change notre vision des dinosaures,no,,no,1690017302,2023-07-22 09:07:02,Brut,UCSKdvgqdnj72_SLggp7BDTg,Science & Technology,,fr,53994,1219,,,0,134,https://i.ytimg.com/vi/qJgYv9WJpKA/mqdefault.jpg,FR,Other
p4ZZTUzgUH4,other,Buttage des pommes de terre à l ancienne,no,,no,1624118374,2021-06-19 15:06:34,stan80179,UCdFY9TrVph5zvAppC82v6CQ,Entertainment,,,8557,70,,,0,6,https://i.ytimg.com/vi/p4ZZTUzgUH4/mqdefault.jpg,FR,Other
h8IpbGRyU60,other,La route des Grandes Alpes avec Jean-Louis Etienne,no,,no,1690653148,2023-07-29 17:07:28,Public Sénat,UCTa1bPArjpvNMgSHAb_pflA,News & Politics,,,819,17,,,0,0,https://i.ytimg.com/vi/h8IpbGRyU60/mqdefault.jpg,FR,Other
fDZWYSRNeM8,other,Ninja Turtles Teenage Years  est la version des Tortues Ninja dont on rêvait,no,,no,1690791455,2023-07-31 08:07:35,20 Minutes France,UCD25QI36ly-8hWm9OPOz7aw,Film & Animation,,,127,7,,,0,1,https://i.ytimg.com/vi/fDZWYSRNeM8/mqdefault.jpg,FR,Other
cpAWIHenun8,other,Insolite : des ours faits en ballots de paille le long des routes,no,,no,1690563620,2023-07-28 17:07:20,France 3 Centre-Val de Loire,UCUwtTJir4sZL06om7-KRl1A,News & Politics,,fr,161,11,,,0,1,https://i.ytimg.com/vi/cpAWIHenun8/mqdefault.jpg,FR,Other
fJjxGDQ73JE,other,Pays basque  le terroir des chefs • FRANCE 24,no,,no,1676034664,2023-02-10 13:02:04,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,Entertainment,,fr,1039,11,,,0,0,https://i.ytimg.com/vi/fJjxGDQ73JE/mqdefault.jpg,FR,Other
kqRydJfeNN0,other,Scolytes dans les forêts du Doubs : agir vite pour utiliser le bois dans des constructions,no,,no,1689956744,2023-07-21 16:07:44,France 3 Bourgogne-Franche-Comté,UCMPIMCKpq5TRd92Jwj2D7_Q,News & Politics,fr,fr,2100,10,,,0,,https://i.ytimg.com/vi/kqRydJfeNN0/mqdefault.jpg,FR,Other
0G_rCrCC8CU,other,Des seniors réalisent leur baptême de l air à l aérodrome de Pont-sur-Yonne,no,,no,1689957976,2023-07-21 16:07:16,France 3 Bourgogne-Franche-Comté,UCMPIMCKpq5TRd92Jwj2D7_Q,News & Politics,fr,fr,1475,5,,,0,,https://i.ytimg.com/vi/0G_rCrCC8CU/mqdefault.jpg,FR,Other
zr11_eyR-S4,other,Ornans : L âge d Or tout l été au musée Courbet,no,,no,1690270588,2023-07-25 07:07:28,France 3 Bourgogne-Franche-Comté,UCMPIMCKpq5TRd92Jwj2D7_Q,News & Politics,fr,fr,348,13,,,0,,https://i.ytimg.com/vi/zr11_eyR-S4/mqdefault.jpg,FR,Other
AY_9csaaSPM,other,BOIS  BOIS  BOIS !!!,no,,no,1674892438,2023-01-28 07:01:58,MarcA2C,UCZ9yHrfKO1gHp5kX-5tjJ0w,People & Blogs,,fr,384830,12366,,,0,375,https://i.ytimg.com/vi/AY_9csaaSPM/mqdefault.jpg,FR,Other
o9x3A8oYOn4,other,Jak określić wiek drzewa? - Telefonem i innymi sposobami. - o Lesie #36,no,,no,1556550302,2019-04-29 15:04:02,Piotr Horzela - Opowiada,UCq9zLQpsq5RoKMVXWTASaGQ,Education,,pl,90409,3394,,,0,174,https://i.ytimg.com/vi/o9x3A8oYOn4/mqdefault.jpg,FR,Other
P22e3I5BijU,other,SZOK! Kupili 120-letni dom! Dadzą radę czy To się nie uuuda??? MUSISZ TO ZOBACZYĆ!!!,no,,no,1615137241,2021-03-07 17:03:01,WIEJSKIE INSPIRACJE - ogród remont kuchnia zdrowie,UCC7sAOWeNmSTOCgF_-YyO-Q,People & Blogs,pl,pl,63028,1530,,,0,199,https://i.ytimg.com/vi/P22e3I5BijU/mqdefault.jpg,FR,Other
oDGYrd-vFjI,other,Q&A z Dominiką  Maćkiem  Michałem i Zdobkiem - część 2 - Oblicza Lasów,no,,no,1520407286,2018-03-07 07:03:26,Echa Leśne,UCJ64kgsc0thZq_6GFUnC5Pg,Education,,pl,36776,1156,,,0,206,https://i.ytimg.com/vi/oDGYrd-vFjI/mqdefault.jpg,FR,Other
sm-z4mTdPWI,other,[Nos plants] Pic d’activité pour l’expédition des 𝐂𝐇𝐎𝐔𝐗 d’été 🚚🌱,no,,no,1690463865,2023-07-27 13:07:45,Groupe Thomas Plants,UCjzYAELJY_2ku_IWa8wVO2Q,News & Politics,,,25,1,,,0,0,https://i.ytimg.com/vi/sm-z4mTdPWI/mqdefault.jpg,FR,Other
RivOHw96nOA,other,ZAN :  Nous redonnons de la souplesse aux élus  et c était tellement attendu,no,,no,1689673809,2023-07-18 09:07:09,Valérie Létard,UCYH5iG-PNlvXtaypQYg0ziA,Comedy,,,156,2,,,0,0,https://i.ytimg.com/vi/RivOHw96nOA/mqdefault.jpg,FR,Other
ZDvPcj-N8DI,other,La pouponnière de Wazemmes reprend vie,no,,no,1690364606,2023-07-26 09:07:26,France 3 Hauts-de-France,UCFC3nJ8GXl5yONe3tB_vhsw,News & Politics,,fr,178,2,,,0,0,https://i.ytimg.com/vi/ZDvPcj-N8DI/mqdefault.jpg,FR,Other
IJ-o-18mifg,other,Une année exceptionnelle pour la betterave sucrière,no,,no,1411796635,2014-09-27 05:09:55,Agriculture innovante,UCwS6XOw-TiYb6eZsY9fgirA,Film & Animation,,,15078,38,,,0,4,https://i.ytimg.com/vi/IJ-o-18mifg/mqdefault.jpg,FR,Other
TMPN6Rc0SfA,other,Betterave-sucre : contexte tendu en Europe,no,,yes,1676021956,2023-02-10 09:02:16,Pleinchamp,UC0VWNduqFrhajYPI7Z6aMgw,News & Politics,,fr,750,11,,,0,2,https://i.ytimg.com/vi/TMPN6Rc0SfA/mqdefault.jpg,FR,Other
6tBWizOBKuM,other,On va tomber! : le coup de gueule d un producteur de betteraves face à Aurore Bergé,no,,no,1675857127,2023-02-08 11:02:07,BFMTV,UCXwDLMDV86ldKoFVc_g8P0g,Entertainment,,,8901,109,,,0,145,https://i.ytimg.com/vi/6tBWizOBKuM/mqdefault.jpg,FR,Other
6_BthOPCUN0,other,Betterave crue : comment la préparer ?,no,,no,1513005142,2017-12-11 15:12:22,Marmiton,UCmKCpHH5ATFMURHTRC2jLyA,Howto & Style,,,75781,164,,,0,2,https://i.ytimg.com/vi/6_BthOPCUN0/mqdefault.jpg,FR,Other
tn2xR0BHP70,other,Jaunisses de la betterave : la lutte phytopharmaceutique  toujours d actualité - VAL EPI,no,,no,1689744883,2023-07-19 05:07:43,VAL EPI,UCtTyUbqyeTnkFqa-1ZZP_ng,Science & Technology,,,26,0,,,0,1,https://i.ytimg.com/vi/tn2xR0BHP70/mqdefault.jpg,FR,Other
_XIjAM-p53I,other,Crise de la filière de la betterave sucrière : rencontre avec un planteur de l Eure,no,,no,1559378659,2019-06-01 08:06:19,France 3 Normandie,UCWiQCbdC05zfzNg83F2kc3A,News & Politics,fr,fr,1026,11,,,0,0,https://i.ytimg.com/vi/_XIjAM-p53I/mqdefault.jpg,FR,Other
aGiCMDRLznc,other,La betterave: rouge  riche  remarquable pour la santé,no,,no,1668696351,2022-11-17 14:11:51,Savoir-Vivre & Santé,UCOW9PPjLmTy2P4aTCjl_e2w,Howto & Style,,fr,43668,1817,,,0,41,https://i.ytimg.com/vi/aGiCMDRLznc/mqdefault.jpg,FR,Other
rHsX0vprLh0,other,Comment fabrique-t-on le sucre ?,no,,no,1506940533,2017-10-02 10:10:33,France 3 Hauts-de-France,UCFC3nJ8GXl5yONe3tB_vhsw,News & Politics,,fr,82796,463,,,0,21,https://i.ytimg.com/vi/rHsX0vprLh0/mqdefault.jpg,FR,Other
T_yztrvU6XA,other,De la betterave au sucre  le procédé sucrier,no,,no,1600333907,2020-09-17 09:09:47,Cultures Sucre,UCfAUiRQV49Yppe2AmDkmcYQ,Howto & Style,fr,,28932,352,,,0,8,https://i.ytimg.com/vi/T_yztrvU6XA/mqdefault.jpg,FR,Other
3zKhFSjFh6M,other,Vidéo n°39: des betteraves fourragères propres...c est possible,no,,no,1641837228,2022-01-10 17:01:48,Laiterie des Ardennes,UCT6rlrfRIKwIzikmGMusdpw,People & Blogs,,nl-BE,9427,130,,,0,0,https://i.ytimg.com/vi/3zKhFSjFh6M/mqdefault.jpg,FR,Other
cs-3CGHuGfM,other,Fin des pesticides dans les cultures de betterave : le bio  c est possible,no,,no,1690194214,2023-07-24 10:07:34,France 3 Hauts-de-France,UCFC3nJ8GXl5yONe3tB_vhsw,News & Politics,,fr,1448,11,,,0,0,https://i.ytimg.com/vi/cs-3CGHuGfM/mqdefault.jpg,FR,Other
IxChC5CM6ks,other,En Seine-Maritime  la récolte de la betterave à sucre commence,no,,no,1631985416,2021-09-18 17:09:56,France 3 Normandie,UCWiQCbdC05zfzNg83F2kc3A,News & Politics,fr,fr,4371,55,,,0,0,https://i.ytimg.com/vi/IxChC5CM6ks/mqdefault.jpg,FR,Other
ntRX9k0D_4k,other,J8 - Semence Mag - Quel avenir pour la filière betterave sucrière ?,no,,no,1677942088,2023-03-04 15:03:28,#VillageSemence,UCKPnCQY-95j-YUB2rT-3abQ,News & Politics,,fr,530,6,,,0,0,https://i.ytimg.com/vi/ntRX9k0D_4k/mqdefault.jpg,FR,Other
kagERSjvN40,other,Alsace : jaunisse de la betterave  les producteurs lancent un cri d’alarme,no,,yes,1596567627,2020-08-04 19:08:27,France 3 Grand Est,UC6kvMQP9gzv6qwwzMLuwZTg,News & Politics,fr,fr,811,19,,,0,3,https://i.ytimg.com/vi/kagERSjvN40/mqdefault.jpg,FR,Other
9S4wlQU13-U,other,ERSTEIN : La betterave  du champ au morceau de sucre.,no,,no,1603911600,2020-10-28 19:10:00,BFM Alsace,UCCvhE7Q2nK7ZVPXXaB6sgTA,News & Politics,,fr,1582,8,,,0,0,https://i.ytimg.com/vi/9S4wlQU13-U/mqdefault.jpg,FR,Other
7jLeOmWMi0o,other,Alsace: la récolte de la betterave s annonce prometteuse,no,,no,1668072625,2022-11-10 09:11:25,BFM Alsace,UCCvhE7Q2nK7ZVPXXaB6sgTA,Entertainment,,,364,3,,,0,0,https://i.ytimg.com/vi/7jLeOmWMi0o/mqdefault.jpg,FR,Other
ds0vd0gI1ZU,other,La betterave à sucre,no,,no,1415047783,2014-11-03 20:11:43,BAnQ Films d archives,UCIKL-REbiD2U18Dpt1tqYIQ,People & Blogs,,,95578,392,,,0,9,https://i.ytimg.com/vi/ds0vd0gI1ZU/mqdefault.jpg,FR,Other
jkTVf-eXwGo,other,La betterave sucrière – une culture faite pour moi? (SVZ-FSB),no,,no,1566490479,2019-08-22 16:08:39,simisFarm Productions,UCxhf9lMjUuHJBCoHsRSROxA,Autos & Vehicles,de-CH,de,5230,55,,,0,4,https://i.ytimg.com/vi/jkTVf-eXwGo/mqdefault.jpg,FR,Other
