name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
yWxw4E4hQCM,other,Funcionamento de uma máquina a vapor,no,,no,1683672220,2023-05-09 22:05:40,Engenharias Doctum JM,UCJYWBSb03KCDJm2V4-jMDMg,Education,,,19340,224,,,0,3,https://i.ytimg.com/vi/yWxw4E4hQCM/mqdefault.jpg,NL,Other
ym25mmzbfqY,other,ReadMe PowerMe Instructiefilm v1,no,,yes,1570613190,2019-10-09 09:10:30,Mauk den Boer,UC6ePRe4xCsd-YI9TiSMnAbA,People & Blogs,,,27,1,,,0,0,https://i.ytimg.com/vi/ym25mmzbfqY/mqdefault.jpg,NL,Other
wmi1MqAaN3I,other,Wonderful cosplay scene on anime convention,no,,no,1590994225,2020-06-01 06:06:25,CoserCos,UCSG2H9pZJheMNqqrBNkitnQ,People & Blogs,,,55005468,994947,,,0,3076,https://i.ytimg.com/vi/wmi1MqAaN3I/mqdefault.jpg,NL,Other
qzW_L6M9QQs,other,Tutorial: Een portfolio maken,no,,no,1684323547,2023-05-17 11:05:07,KUNSTBENDE,UCKUvgNYKFNyfVTI0X8svqTQ,Howto & Style,,en-US,228,6,,,0,0,https://i.ytimg.com/vi/qzW_L6M9QQs/mqdefault.jpg,NL,Other
upf88WbwfWQ,other,Tutorial Maak een filmscène met Mano,no,,no,1678302022,2023-03-08 19:03:22,KUNSTBENDE,UCKUvgNYKFNyfVTI0X8svqTQ,Howto & Style,,en-US,100,4,,,0,0,https://i.ytimg.com/vi/upf88WbwfWQ/mqdefault.jpg,NL,Other
46VX4Jv6sRg,other,Tutorial Ondernemerschap: Netwerken,no,,no,1679647010,2023-03-24 08:03:50,KUNSTBENDE,UCKUvgNYKFNyfVTI0X8svqTQ,Howto & Style,,en-US,99,0,,,0,0,https://i.ytimg.com/vi/46VX4Jv6sRg/mqdefault.jpg,NL,Other
csrLA8cqgSA,other,Oekraïne-vlogger Kees Huizinga: ‘Voor dit geld kun je geen gerst verbouwen’,no,,no,1689328836,2023-07-14 10:07:36,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,115147,616,,,0,82,https://i.ytimg.com/vi/csrLA8cqgSA/mqdefault.jpg,NL,Other
tEiRiM505xg,other,Oekraïne-vlogger Kees Huizinga: ‘Opheffen graandeal treft ons allemaal’,no,,no,1689933647,2023-07-21 10:07:47,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,78417,592,,,0,137,https://i.ytimg.com/vi/tEiRiM505xg/mqdefault.jpg,NL,Other
HKqxZfWXy_4,other,Koekoek was geen domme boer,no,,no,1689847216,2023-07-20 10:07:16,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,5887,37,,,0,1,https://i.ytimg.com/vi/HKqxZfWXy_4/mqdefault.jpg,NL,Other
dB7xKVJPI-c,other,Oekraïne-vlogger Kees Huizinga: ‘Het zullen wel rampen zijn die erbij horen’,no,,no,1690538423,2023-07-28 10:07:23,Nieuwe Oogst,UCg-ukllsJWExOyQqXLTVJlw,News & Politics,,nl,49814,524,,,0,45,https://i.ytimg.com/vi/dB7xKVJPI-c/mqdefault.jpg,NL,Other
XJOsfZEIBbg,other,Granenflits - Europese politiek in rep en roer door Oekraïens graan,no,,no,1681767846,2023-04-17 21:04:06,Boerenbusiness,UC29I7KKtbYtpWJUVcYnE4Lg,News & Politics,nl-NL,nl,32,,,,0,,https://i.ytimg.com/vi/XJOsfZEIBbg/mqdefault.jpg,NL,Other
ZYqFgMi8Ssk,other,huesera para croquetas,no,,no,1689223064,2023-07-13 04:07:44,Foggy control de plagas,UC0UNNEFMvrn_w2k9xENYEhQ,People & Blogs,,,2102,29,,,0,7,https://i.ytimg.com/vi/ZYqFgMi8Ssk/mqdefault.jpg,NL,Other
0WQDu-D5x_0,banning-pesticides,EU Pesticide bans and derogations,yes,6,no,1675095328,2023-01-30 16:01:28,EURACTIV,UCDCgvwyjJqZWYs6j0D2FF6g,News & Politics,en,en-GB,369,6,,,0,0,https://i.ytimg.com/vi/0WQDu-D5x_0/mqdefault.jpg,NL,Banning pesticides
Ht8NbesMT_g,banning-pesticides,Pesticiden en bijensterfte 2/2,yes,31,no,1366703059,2013-04-23 07:04:19,RootmoB,UCYOJze8MTmVlu5_X5J_VnoA,Pets & Animals,,,1025,7,,,0,2,https://i.ytimg.com/vi/Ht8NbesMT_g/mqdefault.jpg,NL,Banning pesticides
yGYKJS9O4Oo,banning-pesticides,Raymedy en ontgifting van landbouwgif,yes,34,no,1570185079,2019-10-04 10:10:19,Mauk den Boer,UC6ePRe4xCsd-YI9TiSMnAbA,People & Blogs,,,27,0,,,0,0,https://i.ytimg.com/vi/yGYKJS9O4Oo/mqdefault.jpg,NL,Banning pesticides
mM18tUCv5qE,banning-pesticides,Imkers en milieuactivisten Beschuldigen EPA Van Hiding Pesticide Files,yes,47,no,1478815381,2016-11-10 22:11:01,Adrianus Vlasveld,UCLNObWJQOjwFhYMDUMjWNew,People & Blogs,,nl,6,1,,,0,1,https://i.ytimg.com/vi/mM18tUCv5qE/mqdefault.jpg,NL,Banning pesticides
UavrCMXP2H0,banning-pesticides,Toxic chemicals - A menace to bees and farmland | DW Documentary,no,,no,1637773232,2021-11-24 17:11:32,DW Documentary,UCW39zufHfsuGgpLviKh297Q,Education,,en,299028,3551,,,0,397,https://i.ytimg.com/vi/UavrCMXP2H0/mqdefault.jpg,NL,Banning pesticides
of2iHbruGL8,banning-pesticides,Are Synthetic Fertilizers Really Petroleum Based?,no,,no,1423440000,2015-02-09 00:02:00,OYR Frugal & Sustainable Organic Gardening,UCv9ITE5nuShQ37Xd-NVkdcg,Howto & Style,,en,25418,714,,,0,248,https://i.ytimg.com/vi/of2iHbruGL8/mqdefault.jpg,NL,Banning pesticides
IlpTvVq3-PA,banning-pesticides,Banned pesticides poison hundreds in Nigeria: Why is there still such a demand? | DW News,no,,no,1633765157,2021-10-09 07:10:17,DW News,UCknLrEdhRCp1aegoMqRaCZg,News & Politics,en-US,en,17103,317,,,0,80,https://i.ytimg.com/vi/IlpTvVq3-PA/mqdefault.jpg,NL,Banning pesticides
GLllZ-qiXJA,banning-pesticides,Do we really need pesticides? - Fernan Pérez-Gálvez,no,,no,1479140044,2016-11-14 16:11:04,TED-Ed,UCsooa4yRKGN_zEE8iknghZA,Education,en,en,517618,6876,,,0,418,https://i.ytimg.com/vi/GLllZ-qiXJA/mqdefault.jpg,NL,Banning pesticides
OvqJ51vAP1Q,banning-pesticides,Unit 6  Lecture 5 - Pesticides,no,,no,1426860115,2015-03-20 14:03:55,Mrs. Morton,UCH0VArocdm4fecyqawhA1cA,Science & Technology,,,19855,209,,,0,,https://i.ytimg.com/vi/OvqJ51vAP1Q/mqdefault.jpg,NL,Banning pesticides
lDzi48p4qLE,banning-pesticides,A story of banned pesticides  international trade and EU Green Deal Promises,no,,yes,1634137233,2021-10-13 15:10:33,CEO | Corporate Europe Observatory,UChfqpvenrT0uqRMPcSNILEw,News & Politics,,en-GB,74,3,,,0,0,https://i.ytimg.com/vi/lDzi48p4qLE/mqdefault.jpg,NL,Banning pesticides
yK_3mKi2whk,banning-pesticides,French farmers hold Paris tractor protest against pesticide ban,no,,no,1675870519,2023-02-08 15:02:19,Agriland,UCBthgiRsARiTzlfTUcng-og,Education,,en-IE,1720,46,,,0,2,https://i.ytimg.com/vi/yK_3mKi2whk/mqdefault.jpg,NL,Banning pesticides
_t5BO5uTTFs,banning-pesticides,Silent Death: Europe’s big pesticide problem and a biodiversity crisis,no,,no,1656051580,2022-06-24 06:06:40,Investigate Europe,UCTcr7MRatEPF8uwwVKoGGIg,News & Politics,en-IN,en,3013,88,,,0,0,https://i.ytimg.com/vi/_t5BO5uTTFs/mqdefault.jpg,NL,Banning pesticides
qNUmbiIvN2A,banning-pesticides,AGRICULTURE AEROPLANE SPRAYER | Aircraft Spraying Pesticides on Agriculture Crops,no,,no,1598688370,2020-08-29 08:08:10,Discover Agriculture,UCRnt3WDhjHT30Xs5h9w3gqg,Science & Technology,en,en,38886,323,,,0,16,https://i.ytimg.com/vi/qNUmbiIvN2A/mqdefault.jpg,NL,Banning pesticides
RGnTUemEUtw,banning-pesticides,EPA bans pesticide tied to neurological damage in kids,no,,no,1629327631,2021-08-18 23:08:31,CBS Evening News,UCAeWdyKJXGWmVAXFpgLNNTg,News & Politics,,en,2827,79,,,0,22,https://i.ytimg.com/vi/RGnTUemEUtw/mqdefault.jpg,NL,Banning pesticides
QPMmaOVyRc4,banning-pesticides,EU cracks down on Dutch eggs contaminated by pesticides,no,,yes,1502386299,2017-08-10 17:08:39,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,News & Politics,,en-US,15578,134,,,0,28,https://i.ytimg.com/vi/QPMmaOVyRc4/mqdefault.jpg,NL,Banning pesticides
Jnng_SrXR-s,banning-pesticides,Traces of banned pesticide found in French drinking water • FRANCE 24 English,no,,no,1680865506,2023-04-07 11:04:06,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,en,en,947,18,,,0,8,https://i.ytimg.com/vi/Jnng_SrXR-s/mqdefault.jpg,NL,Banning pesticides
u93BmEt2Vss,banning-pesticides,Pesticide residues - What are Maximum Residue Levels (MRLs)  and is my food safe?,no,,no,1366023218,2013-04-15 10:04:38,CropLife Europe,UC_Id3L8t-n9_bylc_BD8Oog,Science & Technology,,,32510,120,,,0,12,https://i.ytimg.com/vi/u93BmEt2Vss/mqdefault.jpg,NL,Banning pesticides
dLYEFaG1Iog,banning-pesticides,Stopping Counterfeit and Illegal Pesticides,no,,yes,1352389415,2012-11-08 15:11:35,CropLife Europe,UC_Id3L8t-n9_bylc_BD8Oog,Nonprofits & Activism,,,214978,21,,,0,3,https://i.ytimg.com/vi/dLYEFaG1Iog/mqdefault.jpg,NL,Banning pesticides
iOWTBiigk3o,banning-pesticides,Plant Sickness - Why Do Pests Eat The Sick Plants In Your Garden?,no,,yes,1336219868,2012-05-05 12:05:08,Smiling Gardener,UCbOC8IXduLO0ndwSSxuQ55A,Howto & Style,,,1731,30,,,0,4,https://i.ytimg.com/vi/iOWTBiigk3o/mqdefault.jpg,NL,Banning pesticides
WJewtxan5xE,banning-pesticides,Abeilles et pesticides  l’art de fabriquer du doute | Infox ? Ripostes ! avec Thomas Gauthier,no,,yes,1649231980,2022-04-06 07:04:40,Le Blob,UC3E2DhYIqnoc6H3WXwTVnlA,Science & Technology,fr,fr,1905,89,,,0,4,https://i.ytimg.com/vi/WJewtxan5xE/mqdefault.jpg,NL,Banning pesticides
YAXzsHncGzI,banning-pesticides,Faut-il interdire les pesticides SDHI ?,no,,yes,1579860878,2020-01-24 10:01:38,France Culture,UCd5DKToXYTKAQ6khzewww2g,News & Politics,,,1185,28,,,0,4,https://i.ytimg.com/vi/YAXzsHncGzI/mqdefault.jpg,NL,Banning pesticides
Cqm6Ztr-ndg,banning-pesticides,C est pas sorcier -PESTICIDES,no,,no,1369259223,2013-05-22 21:05:03,C est pas sorcier,UCENv8pH4LkzvuSV_qHIcslg,Education,,,231377,1691,,,0,,https://i.ytimg.com/vi/Cqm6Ztr-ndg/mqdefault.jpg,NL,Banning pesticides
yO4zOvKDvUU,banning-pesticides,Dans les laboratoires confidentiels d un géant de l agrochimie,no,,yes,1505126997,2017-09-11 10:09:57,Samedi à tout prix,UCCuySJIvnUg7Zrbcvb4zlgg,Entertainment,,,894,8,,,0,0,https://i.ytimg.com/vi/yO4zOvKDvUU/mqdefault.jpg,NL,Banning pesticides
