name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
UaNSByf4sLA,0,Bayer and the bees | DW Documentary,yes,10,no,1592330410,2020-06-16 18:06:10,DW Documentary,UCW39zufHfsuGgpLviKh297Q,Education,,en,1916711,16372,,,0,2544,https://i.ytimg.com/vi/UaNSByf4sLA/mqdefault.jpg,PH,All about bees
iXYqULCBuD8,0,The Extraordinary Honey Bee | A 360 VR Experience | Häagen-Dazs®,no,,no,1525733765,2018-05-07 22:05:05,Häagen-Dazs US,UCokPdW_udDtALG8Rd_u-hdg,Entertainment,,en,142919,799,,,0,41,https://i.ytimg.com/vi/iXYqULCBuD8/mqdefault.jpg,PH,All about bees
HLi5htzDd4o,0,Children of the Sun – Wild Bees,no,,no,1679665426,2023-03-24 13:03:46,Free High-Quality Documentaries,UC_g32e3JeECjEuRbk-loywg,Education,en,en,594430,8447,,,0,264,https://i.ytimg.com/vi/HLi5htzDd4o/mqdefault.jpg,PH,All about bees
96h9CBSA14E,0,Jeff Pettis Bees that Survive Varroa,no,,no,1670001300,2022-12-02 17:12:00,National Honey Show,UCiOtIebcpY0Zqqma0H5wLYQ,Education,en-GB,en-GB,8840,205,,,0,20,https://i.ytimg.com/vi/96h9CBSA14E/mqdefault.jpg,PH,All about bees
7X1xIIyZw3M,0,A World Without Bees | History,no,,no,1402164003,2014-06-07 18:06:03,HISTORY,UC9MAhZQQd9egwWCxrwSIsJQ,Entertainment,,en-US,198822,2227,,,0,1,https://i.ytimg.com/vi/7X1xIIyZw3M/mqdefault.jpg,PH,All about bees
dDMBykrogXs,0,This Is Not A Bee,no,,no,1496241475,2017-05-31 14:05:55,MinuteEarth,UCeiYXex_fwgYDonaTcSIk6w,Science & Technology,en,en,1842200,28312,,,0,3010,https://i.ytimg.com/vi/dDMBykrogXs/mqdefault.jpg,PH,All about bees
86C2JKR4k7g,0,The Waggle Dance of Honey Bees,no,,no,1685839932,2023-06-04 00:06:12,Inside The Hive TV,UCy_oMgMW7ImhNNp4T7N3atQ,Education,en,en,2269,117,,,0,0,https://i.ytimg.com/vi/86C2JKR4k7g/mqdefault.jpg,PH,All about bees
7WJj9UmwfKk,0,The Joy of Beekeeping,no,,no,1689178443,2023-07-12 16:07:03,Inside The Hive TV,UCy_oMgMW7ImhNNp4T7N3atQ,Education,en,en,1009,68,,,0,8,https://i.ytimg.com/vi/7WJj9UmwfKk/mqdefault.jpg,PH,All about bees
gKCRfjha5hQ,0,The Waggle Dance of the honey bees,no,,no,1686153635,2023-06-07 16:06:35,Inside The Hive TV,UCy_oMgMW7ImhNNp4T7N3atQ,Education,en,en,1330,61,,,0,3,https://i.ytimg.com/vi/gKCRfjha5hQ/mqdefault.jpg,PH,All about bees
f6mJ7e5YmnE,0,Amazing Time-Lapse: Bees Hatch Before Your Eyes | National Geographic,no,,no,1432128600,2015-05-20 13:05:00,National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,Entertainment,,en-US,19929480,133856,,,0,4502,https://i.ytimg.com/vi/f6mJ7e5YmnE/mqdefault.jpg,PH,All about bees
