name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
UBEjgIyp4FA,other,Forever chemicals in water,How 3M And DuPont Are Being Sued Over ‘Forever Chemicals’ In Water,yes,17,no,1686585615,2023-06-12 16:06:15,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,176273,3317,,,0,651,https://i.ytimg.com/vi/UBEjgIyp4FA/mqdefault.jpg,FR,Other
sZHuZkUUYM4,other,Forever chemicals in water,How “forever chemicals” polluted America’s water,yes,34,yes,1596547804,2020-08-04 13:08:04,Vox,UCLXo7UDZvByw2ixzpQCufnA,News & Politics,,en,831772,31087,,,0,2321,https://i.ytimg.com/vi/sZHuZkUUYM4/mqdefault.jpg,FR,Other
5CUvPykRxHI,other,Forever chemicals in water,The Toxic Legacy of 3M s  Forever Chemicals,yes,38,yes,1671814988,2022-12-23 17:12:08,Bloomberg Originals,UCUMZ7gohGI9HcU9VNsr2FJQ,News & Politics,en,en,211912,4482,,,0,524,https://i.ytimg.com/vi/5CUvPykRxHI/mqdefault.jpg,FR,Other
fOAfDJ43Bgc,other,Forever chemicals in water,Study: US water contaminated with  forever chemicals,no,,yes,1688659001,2023-07-06 15:07:41,CNN,UCupvZG-5ko_eiXAupbDfxWw,News & Politics,en,en,63657,1664,,,0,268,https://i.ytimg.com/vi/fOAfDJ43Bgc/mqdefault.jpg,FR,Other
MmKq-HZFM2M,other,Forever chemicals in water,Technology to eliminate  forever chemicals  showing positive results,no,,yes,1688686252,2023-07-06 23:07:52,CBS Evening News,UCAeWdyKJXGWmVAXFpgLNNTg,News & Politics,,en,3890,79,,,0,12,https://i.ytimg.com/vi/MmKq-HZFM2M/mqdefault.jpg,FR,Other
XwuwThlaq9I,other,Forever chemicals in water,Study found nearly half of all drinking water in the U.S. contains ‘forever chemicals’ #shorts,no,,yes,1688738475,2023-07-07 14:07:15,Yahoo News,UCKY1msUI1iVtnKHPaLOsiQg,News & Politics,,en,271416,2050,,,0,1137,https://i.ytimg.com/vi/XwuwThlaq9I/mqdefault.jpg,FR,Other
mb1nvRrbESo,other,Forever chemicals in water,Potentially cancer-causing  forever chemicals  found in nearly half of US faucets: USGS,no,,yes,1688702155,2023-07-07 03:07:55,ABC11,UCe7cIhm4_RWsThRzBCXtmOQ,News & Politics,,,73326,648,,,0,328,https://i.ytimg.com/vi/mb1nvRrbESo/mqdefault.jpg,FR,Other
oCY3O9tU_gA,other,Forever chemicals in water,US study reveals nearly half of US tap water contains ‘forever chemicals’ #shorts,no,,no,1689123616,2023-07-12 01:07:16,Fox Business,UCCXoCcu9Rp7NPbTzIvogpZg,News & Politics,,en-US,28292,1379,,,0,80,https://i.ytimg.com/vi/oCY3O9tU_gA/mqdefault.jpg,FR,Other
4ammkl3U-iU,other,Forever chemicals in water,Nearly half of tap water in US contains forever chemicals,no,,yes,1688819088,2023-07-08 12:07:48,WUSA9,UCcT6w3xUyVshyR2_2vrMp1w,News & Politics,en,en,665,16,,,0,5,https://i.ytimg.com/vi/4ammkl3U-iU/mqdefault.jpg,FR,Other
oaxsaY9lIWE,other,Forever chemicals in water,The Forever Chemicals -- The Full Show | Great Lakes Now,no,,yes,1553817804,2019-03-29 00:03:24,Detroit Public TV,UCeKem7g09AKfD1KNR1ytjhA,News & Politics,,en,63361,1143,,,0,193,https://i.ytimg.com/vi/oaxsaY9lIWE/mqdefault.jpg,FR,Other
