name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
lL7clLc0yN4,other,Brandgevaar deel 1,no,,no,1667401206,2022-11-02 15:11:06,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,30182,480,,,0,93,https://i.ytimg.com/vi/lL7clLc0yN4/mqdefault.jpg,NL,Other
1LKQauSKLL0,other,Dronebeeld: Rhodos na bosbranden een verschroeid eiland,no,,no,1690696801,2023-07-30 06:07:01,RTL Nieuws,UCv4NUJ5BGSpJz_leIfayDzQ,News & Politics,nl,nl,2661,21,,,0,9,https://i.ytimg.com/vi/1LKQauSKLL0/mqdefault.jpg,NL,Other
u4Bqo6z19LM,other,De afvaldump door Rijkswaterstaat - deel 2,no,,no,1601302134,2020-09-28 14:09:54,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,121282,1520,,,0,510,https://i.ytimg.com/vi/u4Bqo6z19LM/mqdefault.jpg,NL,Other
DmIb4TNyZAQ,other,Brandgevaar deel 2,no,,no,1668006010,2022-11-09 15:11:10,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,21626,350,,,0,63,https://i.ytimg.com/vi/DmIb4TNyZAQ/mqdefault.jpg,NL,Other
fDJJ0--SicM,other,Wie is de beste boer? | RDonTour #2 | RD,no,,no,1689332503,2023-07-14 11:07:43,Reformatorisch Dagblad,UCc9UtFlOAs0jMq-jJoDk7eg,News & Politics,,nl-NL,1364,14,,,0,0,https://i.ytimg.com/vi/fDJJ0--SicM/mqdefault.jpg,NL,Other
E4q2fRmLR2w,other,Wist jij dit over vluchtelingen? | RDactueel #83 | RD,no,,no,1686308499,2023-06-09 11:06:39,Reformatorisch Dagblad,UCc9UtFlOAs0jMq-jJoDk7eg,News & Politics,,nl-NL,1025,20,,,0,1,https://i.ytimg.com/vi/E4q2fRmLR2w/mqdefault.jpg,NL,Other
xtOB6zdIt6M,other,Zijn handicap werd een zegen! | Uit of Thuis #6 | RD,no,,no,1685718041,2023-06-02 15:06:41,Reformatorisch Dagblad,UCc9UtFlOAs0jMq-jJoDk7eg,News & Politics,,nl-NL,10897,104,,,0,7,https://i.ytimg.com/vi/xtOB6zdIt6M/mqdefault.jpg,NL,Other
9Sb2UVI9mXc,other,Is de aanhoudende droogte een groot gevaar? | RDactueel #84 | RD,no,,no,1686841324,2023-06-15 15:06:04,Reformatorisch Dagblad,UCc9UtFlOAs0jMq-jJoDk7eg,News & Politics,,nl-NL,2575,29,,,0,1,https://i.ytimg.com/vi/9Sb2UVI9mXc/mqdefault.jpg,NL,Other
tP8qXGtcJl0,other,Flinke stijging asielaanvragen verwacht: warm welkom door christenen? | RDactueel #83 | RD,no,,no,1686238201,2023-06-08 15:06:01,Reformatorisch Dagblad,UCc9UtFlOAs0jMq-jJoDk7eg,News & Politics,,nl-NL,1587,12,,,0,6,https://i.ytimg.com/vi/tP8qXGtcJl0/mqdefault.jpg,NL,Other
DkXN0dCtYm0,other,Vervolgde kerk special: Zijn wij ons bewust van ons voorrecht als christenen? | RDactueel #82 | RD,no,,no,1685631608,2023-06-01 15:06:08,Reformatorisch Dagblad,UCc9UtFlOAs0jMq-jJoDk7eg,News & Politics,,nl-NL,4313,66,,,0,1,https://i.ytimg.com/vi/DkXN0dCtYm0/mqdefault.jpg,NL,Other
