name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
RmaqGrmA6gs,health-and-nutrition,What’s in your food? | Dig in 2 It,yes,39,yes,1677124029,2023-02-23 03:02:09,WFMY News 2,UC6UcjqhROKEWmz7aGzees9A,News & Politics,en,en,1657488,26811,,,0,5685,https://i.ytimg.com/vi/RmaqGrmA6gs/mqdefault.jpg,PH,Health and nutrition
I0rQNYMwzfY,other,Permaculture: Producing food without destroying the planet,no,,no,1633096805,2021-10-01 14:10:05,DW Planet A,UCb72Gn5LXaLEcsOuPKGfQOg,Education,,en,305073,13237,,,0,690,https://i.ytimg.com/vi/I0rQNYMwzfY/mqdefault.jpg,PH,Other
gvHzGlMCoP4,other,How to make crispy fried hooligan,no,,no,1686873824,2023-06-16 00:06:44,Alaska Public Media,UCYMhbOjuO5z77XH7bfTdmKw,Nonprofits & Activism,en,en,296,6,,,0,3,https://i.ytimg.com/vi/gvHzGlMCoP4/mqdefault.jpg,PH,Other
eDYddBsd4xQ,health-and-nutrition,Sugar from fruit does not have the same effect as added sugar in processed foods and drinks!,no,,no,1686339115,2023-06-09 19:06:55,MedCram - Medical Lectures Explained CLEARLY,UCG-iSMVtWbbwDDXgXXypARQ,Education,en,en-US,34417,,,,0,245,https://i.ytimg.com/vi/eDYddBsd4xQ/mqdefault.jpg,PH,Health and nutrition
Gfi53BjH8j0,health-and-nutrition,STOP snacking so much!!! Even #keto treats…,no,,yes,1690727017,2023-07-30 14:07:37,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Education,en,en-US,33667,3666,,,0,104,https://i.ytimg.com/vi/Gfi53BjH8j0/mqdefault.jpg,PH,Health and nutrition
xjEFo3a1AnI,health-and-nutrition,Dr. Chris Palmer: Diet & Nutrition for Mental Health | Huberman Lab Podcast #99,no,,no,1669035642,2022-11-21 13:11:42,Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg,Science & Technology,en,en,4180339,46339,,,0,3456,https://i.ytimg.com/vi/xjEFo3a1AnI/mqdefault.jpg,PH,Health and nutrition
QbGXTf_o4qM,health-and-nutrition,Dr Berry s Proper Human Diet Q&A feat. Neisha!,no,,yes,1690848675,2023-08-01 00:08:15,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Entertainment,en,en-US,34570,3062,,,0,257,https://i.ytimg.com/vi/QbGXTf_o4qM/mqdefault.jpg,PH,Health and nutrition
aOVAqgDYd5g,health-and-nutrition,Academy of Nutrition & Dietetics sells out to big-food!,no,,yes,1689161365,2023-07-12 11:07:25,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Education,en,en-US,36604,4461,,,0,123,https://i.ytimg.com/vi/aOVAqgDYd5g/mqdefault.jpg,PH,Health and nutrition
WCxmu7poN8Y,health-and-nutrition,Should grownups drink milk?? #dairyfree,no,,yes,1688757883,2023-07-07 19:07:43,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Education,en,en-US,51054,3369,,,0,342,https://i.ytimg.com/vi/WCxmu7poN8Y/mqdefault.jpg,PH,Health and nutrition
sfJ9uKT0sX4,health-and-nutrition,You re On Your Own! Proper Human Diet Enemies & Q&A,no,,yes,1688938431,2023-07-09 21:07:51,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Entertainment,en,en-US,87370,9109,,,0,1170,https://i.ytimg.com/vi/sfJ9uKT0sX4/mqdefault.jpg,PH,Health and nutrition
