name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
3OJlOsKHlnk,other,The Blaseball Roundup: Peace and Prosperity,yes,49,no,1617563589,2021-04-04 19:04:09,Blaseball,UCsDnmZ2Rk_FevNS32DtctEA,Gaming,,en,51764,2777,,,0,167,https://i.ytimg.com/vi/3OJlOsKHlnk/mqdefault.jpg,FR,Other
LAaoyLb1GZo,other,Des pluies diluviennes font au moins 11 morts et 27 disparus en Chine,no,,no,1690877948,2023-08-01 08:08:08,BFMTV,UCXwDLMDV86ldKoFVc_g8P0g,Entertainment,,,4077,56,,,0,17,https://i.ytimg.com/vi/LAaoyLb1GZo/mqdefault.jpg,FR,Other
B41xLqlRaic,other,Pour les amoureux de l’espace  la NASA lance sa propre plateforme de streaming  NASA +,no,,no,1690818976,2023-07-31 15:07:16,LeHuffPost,UC9GGzAhhvhJO1hL10-BcgNA,News & Politics,fr,fr,4185,130,,,0,31,https://i.ytimg.com/vi/B41xLqlRaic/mqdefault.jpg,FR,Other
Khw2iRrvXyI,other,Pressure Washing Business Talk - LIVE,no,,no,1690903969,2023-08-01 15:08:49,MIKEV - All About Pressure Washing,UCJoO6AIpVLkz-7XMQHECX4w,People & Blogs,,en,248,15,,,0,0,https://i.ytimg.com/vi/Khw2iRrvXyI/mqdefault.jpg,FR,Other
RbVW4PMJFeE,other,Live Desk: Weather Alert Monday + Top News Headlines,no,,no,1690819374,2023-07-31 16:07:54,KCTV5 News,UCie7RmdcnvXA1FXHRJa7WtA,News & Politics,en-US,en,207,4,,,0,0,https://i.ytimg.com/vi/RbVW4PMJFeE/mqdefault.jpg,FR,Other
9Bi9wLth5gY,other,Watch Live: Carlee Russell expected to turn herself in,no,,no,1690568071,2023-07-28 18:07:31,KCTV5 News,UCie7RmdcnvXA1FXHRJa7WtA,News & Politics,en-US,en,275,5,,,0,1,https://i.ytimg.com/vi/9Bi9wLth5gY/mqdefault.jpg,FR,Other
0eIi1xMFYWw,other,WATCH LIVE: New Mental Health Benefits Rule,no,,no,1690314092,2023-07-25 19:07:32,KCTV5 News,UCie7RmdcnvXA1FXHRJa7WtA,News & Politics,en-US,en,101,1,,,0,0,https://i.ytimg.com/vi/0eIi1xMFYWw/mqdefault.jpg,FR,Other
JgWx4kgYoIk,other,LIVE : భారత్ కు అమెరికా బంపర్ ఆఫర్..దేనికి వెనుక అమెరికా కుట్ర ఏంటి..? | America Vs India | hmtv,no,,no,1681752080,2023-04-17 17:04:20,hmtv News,UCNZOrs1QBt8cJnv9ud96qRA,News & Politics,en,te,158542,1011,,,0,47,https://i.ytimg.com/vi/JgWx4kgYoIk/mqdefault.jpg,FR,Other
Rn7Jz7tSlls,other,The Blaseball Roundup: Live Bait,no,,yes,1620587207,2021-05-09 19:05:47,Blaseball,UCsDnmZ2Rk_FevNS32DtctEA,Gaming,,en,39767,2109,,,0,187,https://i.ytimg.com/vi/Rn7Jz7tSlls/mqdefault.jpg,FR,Other
9NgdpzVbvrM,other,The Blaseball Roundup: Win(Win),no,,yes,1626626595,2021-07-18 16:07:15,Blaseball,UCsDnmZ2Rk_FevNS32DtctEA,Gaming,,en,30592,1524,,,0,147,https://i.ytimg.com/vi/9NgdpzVbvrM/mqdefault.jpg,FR,Other
