name,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
lqHZlUX9AVE,other,The Gangster The Cop The Devil | The Gangster The Cop The Devil WhatsappStatus |,no,,yes,1662535795,2022-09-07 07:09:55,VIP-CUTS,UCvHaIj9p6nqNQwWvex_SJ_A,People & Blogs,,zxx,11646,232,,,0,5,https://i.ytimg.com/vi/lqHZlUX9AVE/mqdefault.jpg,PH,Other
nwNE6ZXnbTA,other,This grandma bear is an absolute legend 🐻 #grizzly,no,,no,1690210843,2023-07-24 15:07:43,National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,Entertainment,,en,28049,1085,,,0,46,https://i.ytimg.com/vi/nwNE6ZXnbTA/mqdefault.jpg,PH,Other
QS8CyXjOubg,other,Peanut Butter & Banana Sandwich! #elvis had some good taste in #food and #graceland makes them great,no,,no,1682785522,2023-04-29 16:04:22,Jeff Holiday,UCAldq8BAAGdsX9UyK_09-ZA,Entertainment,,en,1220,121,,,0,18,https://i.ytimg.com/vi/QS8CyXjOubg/mqdefault.jpg,PH,Other
6MTbjsl5vWU,other,Visiting the KING! B.B. King is one of my favourite musicians ever.,no,,no,1682881847,2023-04-30 19:04:47,Jeff Holiday,UCAldq8BAAGdsX9UyK_09-ZA,Entertainment,,en,596,68,,,0,6,https://i.ytimg.com/vi/6MTbjsl5vWU/mqdefault.jpg,PH,Other
HKLDaZkl638,other,Chinese zoo s sun bear video triggers debate over man in costume,no,,no,1690889406,2023-08-01 11:08:06,NBC News,UCeY0bbntWzzVIaj2z3QigXg,News & Politics,,en,57851,340,,,0,220,https://i.ytimg.com/vi/HKLDaZkl638/mqdefault.jpg,PH,Other
4kbiP72ImTw,other,BONUS OSINT Email Roundup #3 - Intel Breach  Challenger 2 tank usage and my Journalism setup.,yes,43,no,1681056815,2023-04-09 16:04:35,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,139740,9195,,,0,602,https://i.ytimg.com/vi/4kbiP72ImTw/mqdefault.jpg,PH,Other
Q_5sSF_A9-Y,other,Rapidfire Roundup #13: Special Guest The Chieftain  Floating Landmines and SPAAGs.,yes,49,no,1686938412,2023-06-16 18:06:12,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,165965,12373,,,0,916,https://i.ytimg.com/vi/Q_5sSF_A9-Y/mqdefault.jpg,PH,Other
wnvo53xUxP4,other,How Quinine Fights Malaria  and How That Caused* World War One,no,,no,1660136438,2022-08-10 13:08:38,Reactions,UCdJ9oJ2GUF8Vmb-G63ldGWg,Science & Technology,en,en,11886,643,,,0,37,https://i.ytimg.com/vi/wnvo53xUxP4/mqdefault.jpg,PH,Other
Rrlf3OACrL4,other,What a beast! Today I put the WR6002 Scarifier and raker from Screwfix to the test!,no,,no,1681126301,2023-04-10 11:04:41,TheBaldGardener,UCInG5z-Y7eKNbCr5-F8quWQ,People & Blogs,,,17892,131,,,0,28,https://i.ytimg.com/vi/Rrlf3OACrL4/mqdefault.jpg,PH,Other
kFBQYiz6Wsc,other,How To Diagnose A Sprinkler Problem,no,,no,1689707328,2023-07-18 19:07:48,HomeShowGardenPros,UCk_wZMFLGh4sbB8uLMrodHg,Howto & Style,,en,99,1,,,0,0,https://i.ytimg.com/vi/kFBQYiz6Wsc/mqdefault.jpg,PH,Other
daQRdL9dEKA,other,Which is Better?Difference between Amine and Ester Formulations of 2 4-D,no,,no,1643277610,2022-01-27 10:01:10,AGRI-CROPS DOC,UCQeDVm5NlHYl72FZejLrDdg,Entertainment,,,46005,489,,,0,94,https://i.ytimg.com/vi/daQRdL9dEKA/mqdefault.jpg,PH,Other
E7cBKSXXnn4,other,Post emergent or pre emergent/alin ang mas mabisa?/alin ang mas gusto mo gamitin?pamatay Damo,no,,no,1659016101,2022-07-28 13:07:21,Bespren Vlogs,UCWbrD4VEm65OS3oUCrJbp-w,People & Blogs,,,6842,44,,,0,17,https://i.ytimg.com/vi/E7cBKSXXnn4/mqdefault.jpg,PH,Other
VPDfVQvGmrE,other,EXPENSIVE FERTILIZER VS. CHEAP FERTILIZER,no,,no,1618920010,2021-04-20 12:04:10,Princess Cut Lawn Care,UCq0p8LiC9_xsSi_3qrcvm1w,Howto & Style,,en,119155,2894,,,0,357,https://i.ytimg.com/vi/VPDfVQvGmrE/mqdefault.jpg,PH,Other
AEWSUxBdJIw,other,Microsoft and Meta’s AI Partnership  Explained | WSJ Tech News Briefing,no,,no,1689796807,2023-07-19 20:07:07,Wall Street Journal,UCK7tptUDHh-RYDsdxO1-5QQ,News & Politics,en,en,58917,845,,,0,23,https://i.ytimg.com/vi/AEWSUxBdJIw/mqdefault.jpg,PH,Other
4m6Ydx0TGMY,other,How cyber-crime has become organised warfare | Four Corners,no,,no,1681727401,2023-04-17 10:04:01,ABC News In-depth,UCxcrzzhQDj5zKJbXfIscCtg,News & Politics,en-GB,en-GB,297513,3048,,,0,322,https://i.ytimg.com/vi/4m6Ydx0TGMY/mqdefault.jpg,PH,Other
1JJvLF3ADKE,other,AMACOOL Portable Air Conditioner Neck Fan Review,no,,no,1689948900,2023-07-21 14:07:00,BigC Vlogs,UCYyt6Y7KesddXiK7SZ4uwkA,Entertainment,en-US,en-US,156,11,,,0,3,https://i.ytimg.com/vi/1JJvLF3ADKE/mqdefault.jpg,PH,Other
xIQRjOFNlYs,other,Belavi- the Solo Stove Knock-Off from ALDI,no,,yes,1686016491,2023-06-06 01:06:51,Daddyz Workshop,UCVd_t9OMRrFWlN8wQd-rqcw,Howto & Style,,,66379,532,,,0,97,https://i.ytimg.com/vi/xIQRjOFNlYs/mqdefault.jpg,PH,Other
dgpGsszbF4E,other,This Portable Air Conditioner BLEW me Away - 14 000 BTU Midea Smart Inverter,no,,yes,1690824528,2023-07-31 17:07:48,Silver Cymbal,UC67dKTEwpAhKv2oYDATwR8g,Howto & Style,en,en,17203,919,,,0,90,https://i.ytimg.com/vi/dgpGsszbF4E/mqdefault.jpg,PH,Other
TX3LY4fPNRI,other,Is Higher Octane Fuel Better? Better MPGs? More HP? Let’s find out!,no,,no,1688921404,2023-07-09 16:07:04,Project Farm,UC2rzsm1Qi6N1X-wuOg_p0Ng,Howto & Style,en,en,1415364,52252,,,0,8935,https://i.ytimg.com/vi/TX3LY4fPNRI/mqdefault.jpg,PH,Other
3Ia4htRXzko,other,Email OSINT Roundup #4 - AC-130s  Gundams and Eric Snowden,no,,no,1681493005,2023-04-14 17:04:25,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,124927,9198,,,0,923,https://i.ytimg.com/vi/3Ia4htRXzko/mqdefault.jpg,PH,Other
dbVTlsm9mgA,other,OSINT Rapid Fire Roundup #1 - Bakhmut  TOWs and Train Derailments.,no,,yes,1680293762,2023-03-31 20:03:02,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,276182,15600,,,0,1287,https://i.ytimg.com/vi/dbVTlsm9mgA/mqdefault.jpg,PH,Other
RDJgQErMSdA,other,How the MIM-104 Patriot Missile Works,no,,no,1659110413,2022-07-29 16:07:13,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,355125,28103,,,0,2058,https://i.ytimg.com/vi/RDJgQErMSdA/mqdefault.jpg,PH,Other
hEna9T4zSM0,other,The HATS Method: How to tell a Tank from Not A Tank (and why you should care),no,,no,1674321877,2023-01-21 17:01:37,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,216103,20190,,,0,1467,https://i.ytimg.com/vi/hEna9T4zSM0/mqdefault.jpg,PH,Other
tmM5KSoW2qA,other,Maintainers: The real stars of the Air Force (Featuring the F-16),no,,no,1654286413,2022-06-03 20:06:13,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,en-US,en-US,127441,9816,,,0,1357,https://i.ytimg.com/vi/tmM5KSoW2qA/mqdefault.jpg,PH,Other
ljbsxywpKZw,other,Do the Taiwan Ends Justify The Means (OSINT Bonus Roundup #6),no,,no,1682259639,2023-04-23 14:04:39,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,220622,12926,,,0,2057,https://i.ytimg.com/vi/ljbsxywpKZw/mqdefault.jpg,PH,Other
s39A7qfiBNU,other,Army Stories: The Wrong Kind of Irish,no,,no,1656699462,2022-07-01 18:07:42,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,83772,5711,,,0,921,https://i.ytimg.com/vi/s39A7qfiBNU/mqdefault.jpg,PH,Other
vTopI9g0huc,other,Is the A-10 Warthog Obsolete?,no,,no,1649416578,2022-04-08 11:04:18,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,402148,22419,,,0,4718,https://i.ytimg.com/vi/vTopI9g0huc/mqdefault.jpg,PH,Other
Kux_4KGuj1w,other,How artillery works - Featuring the M777 Howitzer,no,,no,1656100810,2022-06-24 20:06:10,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,Science & Technology,,en-US,793646,48770,,,0,3463,https://i.ytimg.com/vi/Kux_4KGuj1w/mqdefault.jpg,PH,Other
E---T0Lm4SQ,other,The Science of Land Mines - Featuring Combat Engineers (12B) and the Assault Breacher Vehicle,no,,no,1679235801,2023-03-19 14:03:21,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,en-US,en-US,474943,27077,,,0,1147,https://i.ytimg.com/vi/E---T0Lm4SQ/mqdefault.jpg,PH,Other
QgLWNNWdAdg,other,OSINT Rapid Fire Roundup #2 - A-10s and M60s and T-72 s.,no,,yes,1680897609,2023-04-07 20:04:09,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,289163,18851,,,0,1645,https://i.ytimg.com/vi/QgLWNNWdAdg/mqdefault.jpg,PH,Other
WJ6KrHN22vY,other,OSINT Rapid Roundup 5 - Ukrainian Tomcats  Black Hawks  Overwatch and where is the Bayraktar drone?,no,,yes,1682089762,2023-04-21 15:04:22,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,174164,10660,,,0,942,https://i.ytimg.com/vi/WJ6KrHN22vY/mqdefault.jpg,PH,Other
vlQYnp9L9uE,other,(Corrected) Analyzing UFO Misinformation - An Intelligence Approach,no,,no,1690761569,2023-07-30 23:07:29,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,117001,10331,,,0,2591,https://i.ytimg.com/vi/vlQYnp9L9uE/mqdefault.jpg,PH,Other
5p_a9QiL-hA,other,Why Did Hungary and Turkey Stall Sweden’s NATO Entry? Inside the Alliance’s Bizarre Unanimity Rule,no,,no,1687201277,2023-06-19 19:06:17,William Spaniel,UCJDIGW0ywWw9Kh9_vtwqxXA,Education,,en,682731,18253,,,0,3303,https://i.ytimg.com/vi/5p_a9QiL-hA/mqdefault.jpg,PH,Other
mpqW0ZF-TLE,other,NATO Tanks Special: Inside the vehicles fighting Putin on the Frontline | @thetankmuseum,no,,no,1687194729,2023-06-19 17:06:09,Times Radio,UCTjDhFuGXlhx9Us0gq0VK2w,News & Politics,en-GB,en-GB,549407,8860,,,0,1757,https://i.ytimg.com/vi/mpqW0ZF-TLE/mqdefault.jpg,PH,Other
XOTfdjRAYEI,other,Question Roundup 14 : Corrections  Chinese Equipment  Circular Trenches and Special Guest T-SPLY.,no,,no,1687544484,2023-06-23 18:06:24,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,163992,8880,,,0,569,https://i.ytimg.com/vi/XOTfdjRAYEI/mqdefault.jpg,PH,Other
B2RACmx9cbg,other,Tanks and Self-Propelled Artillery: What s the Difference?,no,,no,1689949134,2023-07-21 14:07:54,Ryan McBeth,UC8URMa1fI4rlaLc-Lhev2fQ,News & Politics,,en-US,50291,4206,,,0,212,https://i.ytimg.com/vi/B2RACmx9cbg/mqdefault.jpg,PH,Other
bBQVR4epfBQ,other,How Procurement Destroys Armies - Requirements  Risks & Development gone wrong,no,,no,1687089079,2023-06-18 11:06:19,Perun,UCC3ehuUksTyQ7bbjGntmx3Q,News & Politics,,en,567671,24506,,,0,2313,https://i.ytimg.com/vi/bBQVR4epfBQ/mqdefault.jpg,PH,Other
MQZMb88YBYM,other,The Roundup fight scene,yes,7,no,1659275760,2022-07-31 13:07:00,Thành Nguyễn,UCRvoULkGYNlrqJYhSMXkguQ,People & Blogs,,,128581,1276,,,0,110,https://i.ytimg.com/vi/MQZMb88YBYM/mqdefault.jpg,PH,Other
