name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
7hUw6_t_Y4o,Dr. Joe Schwarcz: All about arsenic,yes,1,yes,1569253386,2019-09-23 15:09:06,Montreal Gazette,UCiiiXY1ue6nb7iqY8o8f62w,Sports,en-CA,en-CA,49290,966,,,0,65,https://i.ytimg.com/vi/7hUw6_t_Y4o/mqdefault.jpg,EN
qXK0j-X1vbM,Arsenic Poisoning -  placing arsenic in his coffee   Symptoms  Causes and treatment,yes,2,yes,1671915725,2022-12-24 21:12:05,Kote s Medical Animations,UCLXjINL1hfayHfX7oOy7--Q,Education,en,en,6029,62,,,0,7,https://i.ytimg.com/vi/qXK0j-X1vbM/mqdefault.jpg,EN
nmupzAGFoQE,Pure arsenic is a scary poisonous rock,yes,3,yes,1624637634,2021-06-25 16:06:54,NileRed Shorts,UCA0mlN90EHCizvo101nbr-g,Science & Technology,en,en,1588573,103462,,,0,762,https://i.ytimg.com/vi/nmupzAGFoQE/mqdefault.jpg,EN
q7OjlgZuBnw,arsenic,yes,4,no,1598954985,2020-09-01 10:09:45,glaive - Topic,UCxv912oIfPiKdPZ5_rPziSg,Music,,,461748,6737,,,0,87,https://i.ytimg.com/vi/q7OjlgZuBnw/mqdefault.jpg,EN
N3zLaDDEQ0E,Heavy metals like arsenic and lead found in 45 packaged fruit juices  report finds,yes,5,no,1548856766,2019-01-30 13:01:26,CBS Mornings,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,,,369678,5058,,,0,1693,https://i.ytimg.com/vi/N3zLaDDEQ0E/mqdefault.jpg,EN
dPsBBl-bkgc,Arsenic in Rice - Is it a Problem? Doctor shares cooking method to reduce Arsenic levels in rice.,yes,6,yes,1615335428,2021-03-10 00:03:08,The Habits Doctor,UCbfBOJrRX6nXFyvRqaX2Qsg,Education,,en,745917,18130,,,0,1186,https://i.ytimg.com/vi/dPsBBl-bkgc/mqdefault.jpg,EN
BVht6JtufYE,Arsenic in Groundwater: A Hidden Health Threat to Many,yes,7,yes,1459174684,2016-03-28 14:03:04,MIT Civil and Environmental Engineering,UCXCgnDaK57yWkKd5UbIMiTw,Education,,,25668,292,,,0,0,https://i.ytimg.com/vi/BVht6JtufYE/mqdefault.jpg,EN
5yGW1e2ia3U,Toxicology- Arsenic Metallic Poisoning MADE EASY!,yes,8,yes,1563736670,2019-07-21 19:07:50,Med Made Sirius-ly easy!,UCIvL77ICfawZmc1fHKzW9yA,Education,,en-US,74101,1055,,,0,82,https://i.ytimg.com/vi/5yGW1e2ia3U/mqdefault.jpg,EN
zRV1zsPmMNM,Arsenic and Old Lace,yes,9,no,1690809497,2023-07-31 13:07:17,KOAM News Now,UCOIy_NcDHSk4uLnpSXMIiDA,News & Politics,,,20,1,,,0,0,https://i.ytimg.com/vi/zRV1zsPmMNM/mqdefault.jpg,EN
9XK66S50oas,How much Arsenic is in Rice? | Dr. Tiffany Berg | TEDxNorthHighSchool,yes,10,no,1467825736,2016-07-06 17:07:16,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,en,37213,511,,,0,166,https://i.ytimg.com/vi/9XK66S50oas/mqdefault.jpg,EN
Dua7POsKQZY,5 Things to Know About Arsenic in Drinking Water,yes,11,yes,1521040844,2018-03-14 15:03:44,Water Nerd TV,UCp88-y4EGD5-sgyGu9eGCWw,People & Blogs,,en,26480,419,,,0,24,https://i.ytimg.com/vi/Dua7POsKQZY/mqdefault.jpg,EN
LnbPZHmA7kc,Arsenic in Foods,yes,12,no,1329532743,2012-02-18 02:02:03,CBC News: The National,UCKjU3KzdbJE1EFcHVqXC3_g,News & Politics,,,1540,7,,,0,4,https://i.ytimg.com/vi/LnbPZHmA7kc/mqdefault.jpg,EN
gzqzY69wbQ8,Best Way to Tell Arsenic Poisoning,yes,13,yes,1595246410,2020-07-20 12:07:10,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en,en-US,56732,2000,,,0,185,https://i.ytimg.com/vi/gzqzY69wbQ8/mqdefault.jpg,EN
