name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
8mXosTkwtYs,Should I Be Afraid of BPA?,yes,1,yes,1484085600,2017-01-10 22:01:00,SciShow,UCZYTClx2T1of7BRZ86-8fow,Education,en,en,347694,9194,,,0,551,https://i.ytimg.com/vi/8mXosTkwtYs/mqdefault.jpg,EN
SRDUQWJgnn0,BPA Free Plastic: Why It Does NOT Protect You | Harvard Professor Joseph Allen,yes,2,yes,1611417074,2021-01-23 15:01:14,MedCram Clips,UCsR06Qx_cG-gZudSJZUkDnw,People & Blogs,en,en,17517,509,,,0,87,https://i.ytimg.com/vi/SRDUQWJgnn0/mqdefault.jpg,EN
HAb5Oe18XHs,What Is Bisphenol A (BPA) & How To Reduce Exposure To It? – Dr.Berg,yes,3,yes,1557144003,2019-05-06 12:05:03,Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,Education,en,en,70565,3250,,,0,212,https://i.ytimg.com/vi/HAb5Oe18XHs/mqdefault.jpg,EN
2_6R0fhGtHQ,The Dangerous Chemicals In Your Plastic Packages,yes,4,yes,1550268000,2019-02-15 22:02:00,Insider Science,UC9uD-W5zQHQuAVT2GdcLCvg,Science & Technology,,en,127278,3140,,,0,284,https://i.ytimg.com/vi/2_6R0fhGtHQ/mqdefault.jpg,EN
n3l0GeHs4Nc,What is BPA?,yes,5,yes,1376083443,2013-08-09 21:08:03,Facts About BPA,UC3cDTf63F-0AlR7K8yf3plA,People & Blogs,,,56288,,,,0,,https://i.ytimg.com/vi/n3l0GeHs4Nc/mqdefault.jpg,EN
BIvHrC_mS_M,Food Plastics = Estrogens in Your Body,yes,6,yes,1569866402,2019-09-30 18:09:02,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,484485,24983,,,0,3088,https://i.ytimg.com/vi/BIvHrC_mS_M/mqdefault.jpg,EN
aj49G9b6xws,The Drastic Life Changes That Come with Living BPA-Free,yes,7,yes,1417755603,2014-12-05 05:12:03,Smithsonian Channel,UCWqPRUsJlZaDp-PVbqEch9g,Entertainment,,,10327,160,,,0,11,https://i.ytimg.com/vi/aj49G9b6xws/mqdefault.jpg,EN
tjhzI_Pc2jk,How to Detox Microplastics From Your Body (BPA  Metals  Pesticides  Xenoestrogens etc),yes,8,yes,1667485585,2022-11-03 14:11:25,Siim Land,UCAohrrjG-3gEp5QF1WlM9_w,Education,,en,12233,805,,,0,96,https://i.ytimg.com/vi/tjhzI_Pc2jk/mqdefault.jpg,EN
VwzC03wlcLU,5 Hidden Sources Of BPA To Avoid: Should You Go BPA Free?,yes,10,yes,1568295715,2019-09-12 13:09:55,Christopher Walker,UCTA1AuuXSVk0u2iXKHe2S3g,Education,,en,12730,653,,,0,91,https://i.ytimg.com/vi/VwzC03wlcLU/mqdefault.jpg,EN
-p713bmVB90,Are Your Receipts Harming You? How to Avoid BPA #bpa #thermal #chemicals #healthylifestyle,yes,11,yes,1653753600,2022-05-28 16:05:00,Dr. Ryan Shelton,UCobm38C7IV6DnxypPcTeMhQ,Education,en,en,3944,215,,,0,,https://i.ytimg.com/vi/-p713bmVB90/mqdefault.jpg,EN
6p2bT8qi5Zc,What is BPA Plastic Additive | Is BPA Safe? Why is it used in Baby Bottles!,yes,14,yes,1654308211,2022-06-04 02:06:31,Plascon Plastics,UClJAMn3Pmd1ja3sDF9M-Ssg,People & Blogs,,,2032,58,,,0,7,https://i.ytimg.com/vi/6p2bT8qi5Zc/mqdefault.jpg,EN
tEfLl3HFddY,BPA and health risks - what does the latest science show?,yes,15,yes,1391444518,2014-02-03 16:02:58,Risk Bites,UC8cxoTk9M0HdZB3gyJNjEtw,Science & Technology,,en-US,61033,454,,,0,66,https://i.ytimg.com/vi/tEfLl3HFddY/mqdefault.jpg,EN
tS9NpmU6PHs,Why BPA Hasn’t Been Banned,yes,16,yes,1479128746,2016-11-14 13:11:46,NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,Science & Technology,,en,100048,2343,,,0,234,https://i.ytimg.com/vi/tS9NpmU6PHs/mqdefault.jpg,EN
