name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
Dn1EWCDrR-Q,Neonicotinoid Insecticides B,yes,1,yes,1398975895,2014-05-01 20:05:55,Burrus Seed,UCWZtdex0cFtht_jEIU69daw,People & Blogs,,,9816,103,,,0,7,https://i.ytimg.com/vi/Dn1EWCDrR-Q/mqdefault.jpg,EN
-UBAMrqRThM,Neonicotinoids: What We Know,yes,2,yes,1461949535,2016-04-29 17:04:35,OklahomaGardening,UCmxBsGrSE3sbCs3eXeoJViw,Howto & Style,,en,9763,104,,,0,27,https://i.ytimg.com/vi/-UBAMrqRThM/mqdefault.jpg,EN
EWLPORypiB8,Neonicotinoids: The New DDT?,yes,3,yes,1413240743,2014-10-13 22:10:23,Link TV,UCuv_Qat49Od-1WiIWlFvn3w,News & Politics,,,31673,273,,,0,42,https://i.ytimg.com/vi/EWLPORypiB8/mqdefault.jpg,EN
a0sw5elo9ic,Neonicotinoid Insecticides: Efficacy  Non-target Effects  and Best Management Practices,yes,4,yes,1495474581,2017-05-22 17:05:21,USDA NRCS East National Technology Support Center,UCSNTGppZx6xMa8MZy64FdiA,Science & Technology,,en,1049,7,,,0,,https://i.ytimg.com/vi/a0sw5elo9ic/mqdefault.jpg,EN
FS5JrQkjdRY,Our impact: Neonicotinoid pesticides,yes,5,yes,1579532088,2020-01-20 14:01:48,LGC Group video,UCDap3xd_Aj9tDndHJmEfPUQ,Science & Technology,,en-GB,862,2,,,0,0,https://i.ytimg.com/vi/FS5JrQkjdRY/mqdefault.jpg,EN
bw6L86G-T4s,Neonicotinoid pesticides proved detrimental to bees,yes,6,yes,1498819046,2017-06-30 10:06:26,Arirang News,UCzznO4xSV8BKnUBPyswtCUw,News & Politics,,en,453,5,,,0,1,https://i.ytimg.com/vi/bw6L86G-T4s/mqdefault.jpg,EN
s_vP_JWfc9Y,The neonicotinoid Story in Repeat,yes,7,yes,1540553806,2018-10-26 11:10:46,BeeLife European Beekeeping Coordination,UCbEkE_u9ftNTc1S7RWZXEFA,People & Blogs,,,45,1,,,0,0,https://i.ytimg.com/vi/s_vP_JWfc9Y/mqdefault.jpg,EN
U-4XVdVrv3I,Neonics  the Toxic Truth,yes,8,yes,1649102429,2022-04-04 20:04:29,NRDCflix,UCNia_X3a7HLxBSN-z57UGQw,Nonprofits & Activism,,en-US,4282,59,,,0,5,https://i.ytimg.com/vi/U-4XVdVrv3I/mqdefault.jpg,EN
Bd798LzS2mY, Neonicotinoid Pesticides,yes,9,yes,1685306678,2023-05-28 20:05:38,Coltiva Technologies Inc,UC6txmtMaMMXG5DPZbhLJEwA,People & Blogs,,,11,1,,,0,0,https://i.ytimg.com/vi/Bd798LzS2mY/mqdefault.jpg,EN
UaNSByf4sLA,Bayer and the bees | DW Documentary,yes,10,no,1592330410,2020-06-16 18:06:10,DW Documentary,UCW39zufHfsuGgpLviKh297Q,Education,,en,1916711,16372,,,0,2544,https://i.ytimg.com/vi/UaNSByf4sLA/mqdefault.jpg,EN
