name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
PDEl1rw_Vn0,The Roundup - Official Trailer,yes,1,no,1668743613,2022-11-18 03:11:33,Madman Films,UCuF-f_kairxTjOyHSItrmtg,Film & Animation,en,en,161283,560,,,0,8,https://i.ytimg.com/vi/PDEl1rw_Vn0/mqdefault.jpg,EN
aeZXhy6mIyE,THE ROUNDUP Trailer (2022),yes,2,no,1651830902,2022-05-06 09:05:02,KinoCheck.com,UCLRlryMfL8ffxzrtqv0_k_w,Entertainment,en,en,687477,5363,,,0,334,https://i.ytimg.com/vi/aeZXhy6mIyE/mqdefault.jpg,EN
1tnEzjL-fIs,(not sponsored) Easiest Weed Control for Beginners // RoundUp You Can Use Safely On Your Lawn,yes,3,yes,1681677900,2023-04-16 20:04:00,The Lawn Care Nut,UCSjF378bQhLKO-ISsrHE7ng,Education,,en-US,48966,1257,,,0,204,https://i.ytimg.com/vi/1tnEzjL-fIs/mqdefault.jpg,EN
vsbYyUfLwh8,How Roundup Kills Weeds (And How Weeds are Fighting Back),yes,4,yes,1663160437,2022-09-14 13:09:37,Reactions,UCdJ9oJ2GUF8Vmb-G63ldGWg,Science & Technology,en,en,14246,717,,,0,122,https://i.ytimg.com/vi/vsbYyUfLwh8/mqdefault.jpg,EN
U6TfBBN8vqs,Rattlesnake Roundup | National Geographic,yes,5,no,1281638593,2010-08-12 18:08:13,National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,Entertainment,,en-US,250466,2755,,,0,1300,https://i.ytimg.com/vi/U6TfBBN8vqs/mqdefault.jpg,EN
A1J0aa-9ZpE,Glyphosate vs Round up | The ULTIMATE LAWN AND WEED KILLER,yes,6,yes,1595985017,2020-07-29 01:07:17,Princess Cut Lawn Care,UCq0p8LiC9_xsSi_3qrcvm1w,Howto & Style,,en,176819,3979,,,0,427,https://i.ytimg.com/vi/A1J0aa-9ZpE/mqdefault.jpg,EN
jeW1dnBXSgk,THE ROUNDUP: NO WAY OUT Official Trailer (2023) Don Lee,yes,7,no,1685740193,2023-06-02 21:06:53,Rapid Trailer,UC1cVTv6C0Unv6TtadjBvYRA,Film & Animation,en,en,184090,888,,,0,59,https://i.ytimg.com/vi/jeW1dnBXSgk/mqdefault.jpg,EN
dEKNl66m9xI,Quick Tip: Is DIY vinegar weed killer better than Roundup?,yes,8,yes,1663693215,2022-09-20 17:09:15,Alley Picked,UCnS-JZR34mTY4MrHTKgJFBw,Howto & Style,,en-US,772683,12462,,,0,829,https://i.ytimg.com/vi/dEKNl66m9xI/mqdefault.jpg,EN
K1nFOHLLyb8,Cork camogie manager & captain talk All-Ireland final; Club championship roundup,yes,9,no,1690824346,2023-07-31 17:07:46,The Southern Star,UCevuFFxE3HPzbCGXtd70m0w,Sports,,en-IE,68,1,,,0,0,https://i.ytimg.com/vi/K1nFOHLLyb8/mqdefault.jpg,EN
89yc0LxJToM,Does Roundup (Glyphosate) Kill Grass Permanently?,yes,10,yes,1676122202,2023-02-11 13:02:02,Turf Mechanic,UCMjINzGureVoSJDXqRV__9Q,People & Blogs,,en-US,11999,153,,,0,44,https://i.ytimg.com/vi/89yc0LxJToM/mqdefault.jpg,EN
1kd1_MQlPME,THE ROUNDUP: NO WAY OUT (Official Trailer) - In Cinemas 22 JUNE,yes,11,no,1685497604,2023-05-31 01:05:44,GSC Movies,UCzQod7SvgQHwpPoZxefO6jQ,Entertainment,,,209649,1024,,,0,71,https://i.ytimg.com/vi/1kd1_MQlPME/mqdefault.jpg,EN
