name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
bcri2GbZx_M,Endocrine Disrupting Chemicals,yes,1,yes,1484231826,2017-01-12 14:01:06,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,12392,175,,,0,13,https://i.ytimg.com/vi/bcri2GbZx_M/mqdefault.jpg,EN
ibfAF66JzFE,Endocrine Disrupting Chemicals (EDCs),yes,2,yes,1474917200,2016-09-26 19:09:20,Hormone Health Network,UCKQD-cc5ytcg3mAY6GRTiAQ,People & Blogs,,en,129694,1355,,,0,77,https://i.ytimg.com/vi/ibfAF66JzFE/mqdefault.jpg,EN
fdq9hpp-wyA,What Are Endocrine Disrupting Chemicals? Makeup And Medicine,yes,3,yes,1479038193,2016-11-13 11:11:33,MakeupAndMedicine,UC0wnGNYhwD3pxVKnDd07q9Q,People & Blogs,,,19534,851,,,0,90,https://i.ytimg.com/vi/fdq9hpp-wyA/mqdefault.jpg,EN
uLxFazLK2Mg,Endocrine Disruptors - Common Chemicals That Severely Alter Your Hormones - Dr. Shanna Swan,yes,4,yes,1672765616,2023-01-03 17:01:56,After Skool,UC1KmNKYC1l0stjctkGswl6g,People & Blogs,,en,1124837,48049,,,0,8106,https://i.ytimg.com/vi/uLxFazLK2Mg/mqdefault.jpg,EN
cOgz1HgHqGM,Phytoestrogens and Endocrine Disrupting Chemicals (EDCs),yes,5,yes,1641502809,2022-01-06 21:01:09,Demystifying Medicine McMaster,UCEwEYnO7yey-oBzyNu-AauQ,Education,,en,3280,94,,,0,,https://i.ytimg.com/vi/cOgz1HgHqGM/mqdefault.jpg,EN
UW8ttkEOPBc,Endocrine-Disrupting Chemicals | ENDO 2023 Press Conference,yes,6,yes,1687099147,2023-06-18 14:06:07,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,690,10,,,0,0,https://i.ytimg.com/vi/UW8ttkEOPBc/mqdefault.jpg,EN
-Jksyl17rY0,Endocrine Disrupting Chemicals and Metabolic Disruption,yes,7,yes,1593649257,2020-07-02 00:07:57,Collaborative for Health & Environment,UCdY7qeUM25ENUzgjWp5zDDQ,People & Blogs,,,1256,20,,,0,0,https://i.ytimg.com/vi/-Jksyl17rY0/mqdefault.jpg,EN
GFOVv2uHktk,Endocrine-disrupting Chemicals (EDCS) | ENDO 2022 Press Conference,yes,8,yes,1655062611,2022-06-12 19:06:51,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,en,2013,52,,,0,1,https://i.ytimg.com/vi/GFOVv2uHktk/mqdefault.jpg,EN
bbI_D6w6Y_E,How hormone-disrupting chemicals may harm our health,yes,9,yes,1546531081,2019-01-03 15:01:01,CBS Mornings,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,,en,7257,91,,,0,13,https://i.ytimg.com/vi/bbI_D6w6Y_E/mqdefault.jpg,EN
Xl_SbR394KA,ENDO 2018 - News Conference on Endocrine-Disrupting Chemicals,yes,10,yes,1521494913,2018-03-19 21:03:33,The Endocrine Society,UC-yB7B1YvqN9hwaEeyOGtuw,Nonprofits & Activism,,,5222,109,,,0,5,https://i.ytimg.com/vi/Xl_SbR394KA/mqdefault.jpg,EN
0pnqemJ1GuU,EDCs | Endocrine Disrupting Chemicals and Aging [2020],yes,11,yes,1582027200,2020-02-18 12:02:00,Lance Hitchings,UCM5hf97Y7N8cEI6bc74Mp2g,Science & Technology,,en,10632,413,,,0,23,https://i.ytimg.com/vi/0pnqemJ1GuU/mqdefault.jpg,EN
Yzkzb7coAEE,What are endocrine disruptors?,yes,12,yes,1565106908,2019-08-06 15:08:08,Environmental Working Group (EWG),UC0HuASskjV3jhgj2ONLc8VA,Howto & Style,,en,34529,672,,,0,57,https://i.ytimg.com/vi/Yzkzb7coAEE/mqdefault.jpg,EN
k9A-oTf-mxo,Endocrine Disrupting Chemicals (EDCs) | Dr. Arpitha Komanapalli,yes,13,yes,1622638441,2021-06-02 12:06:01,Dr. Arpitha Komanapalli,UCZ0yoA-VvcQJu5Q1JuSDv0g,Education,,en,3514,189,,,0,17,https://i.ytimg.com/vi/k9A-oTf-mxo/mqdefault.jpg,EN
46LcUTgoYWE,Personal Care Products Have Endocrine Disruptors in Them | Joe Rogan & Ben Greenfield,yes,14,yes,1548890497,2019-01-30 23:01:37,JRE Clips,UCnxGkOGNMqQEUMvroOWps6Q,People & Blogs,en,en,39526,697,,,0,124,https://i.ytimg.com/vi/46LcUTgoYWE/mqdefault.jpg,EN
63idGqjwwdM,Endocrine Disrupting Chemicals,yes,15,no,1370457505,2013-06-05 18:06:25,ACS Webinars,UCUHY8yQsPhIpY53Z07o2XlQ,Education,,,1339,4,,,0,0,https://i.ytimg.com/vi/63idGqjwwdM/mqdefault.jpg,EN
qGfCRnUiPnQ,How Endocrine Disrupting chemicals affect us,yes,16,no,1539961538,2018-10-19 15:10:38,Leonardo Trasande,UCRFGZI-Jmlh997J_c7SI3Dg,People & Blogs,,,220,1,,,0,0,https://i.ytimg.com/vi/qGfCRnUiPnQ/mqdefault.jpg,EN
luyVccG-4Ao,Endocrine disruptors are everywhere and affect everyone: From Hormone-Altering Chemicals,yes,17,yes,1489181878,2017-03-10 21:03:58,Harvard T.H. Chan School of Public Health,UCqiyDOiAWz7Q9yNSkgZi53A,News & Politics,,en,8161,137,,,0,,https://i.ytimg.com/vi/luyVccG-4Ao/mqdefault.jpg,EN
LVwdhrtmKqY,Limiting endocrine disrupting chemicals,yes,18,yes,1688553902,2023-07-05 10:07:02,Paul Saladino MD,UCgBg0LcHfnJDPmFTTf677Pw,Education,,en,9240,525,,,0,98,https://i.ytimg.com/vi/LVwdhrtmKqY/mqdefault.jpg,EN
7q5mjp5ICjk,Endocrine Disrupting Chemicals and COVID19,yes,19,yes,1592523585,2020-06-18 23:06:45,Collaborative for Health & Environment,UCdY7qeUM25ENUzgjWp5zDDQ,People & Blogs,,,1447,23,,,0,3,https://i.ytimg.com/vi/7q5mjp5ICjk/mqdefault.jpg,EN
