name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
uv-Tadkbl7w,Microplastics: The Silent Threat,yes,1,yes,1682954840,2023-05-01 15:05:20,Thrilling Veracity,UCWFokSeE3lD1wSNphBj8NXw,People & Blogs,,en-US,1436,36,,,0,2,https://i.ytimg.com/vi/uv-Tadkbl7w/mqdefault.jpg,EN
aiEBEGKQp_I,How microplastics affect your health,yes,2,yes,1573800884,2019-11-15 06:11:44,UN Environment Programme,UC9V3x9HelwEk3Z6EknB_1Cg,Science & Technology,,,98371,2124,,,0,182,https://i.ytimg.com/vi/aiEBEGKQp_I/mqdefault.jpg,EN
1PlK9oGQvzA,How dangerous are microplastics? | DW Documentary,yes,3,yes,1667322002,2022-11-01 17:11:02,DW Documentary,UCW39zufHfsuGgpLviKh297Q,Education,,en,112729,2228,,,0,223,https://i.ytimg.com/vi/1PlK9oGQvzA/mqdefault.jpg,EN
ZHCgA-n5wRw,Are Microplastics in Our Water Becoming a Macroproblem? | National Geographic,yes,4,yes,1445968803,2015-10-27 18:10:03,National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,Entertainment,,en-US,205529,2206,,,0,223,https://i.ytimg.com/vi/ZHCgA-n5wRw/mqdefault.jpg,EN
49OJoTsZYO0,Microplastics explained (explainity® explainer video),yes,5,yes,1552920510,2019-03-18 14:03:30,explainitychannel,UCOo8aKrwtWmlLUEpatJ2nyg,Education,en,en,59896,974,,,0,36,https://i.ytimg.com/vi/49OJoTsZYO0/mqdefault.jpg,EN
jjsrmFUmyh4,Microplastics are everywhere | Sarah Dudas | TEDxBinghamtonUniversity,yes,6,yes,1525794636,2018-05-08 15:05:36,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,en,85902,2032,,,0,116,https://i.ytimg.com/vi/jjsrmFUmyh4/mqdefault.jpg,EN
PLrk53Sl4YQ,New study reveals the dangers of inhaling microplastics,yes,7,yes,1686873147,2023-06-15 23:06:27,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,,en-CA,3582,60,,,0,43,https://i.ytimg.com/vi/PLrk53Sl4YQ/mqdefault.jpg,EN
uNt-qOuKOVU,Plastics in Food: 5 Everyday Foods High in Microplastics,yes,8,yes,1626872385,2021-07-21 12:07:45,NowThis Earth,UCFH5dQAkGIqzcFYmM4tNtXw,Science & Technology,,en,61939,2501,,,0,305,https://i.ytimg.com/vi/uNt-qOuKOVU/mqdefault.jpg,EN
_JiJOl5qddw,ANTISEPTIC TORTURE - DECAYING RESIN [GOREGRIND/MINCEGORE  2023],yes,9,no,1690739321,2023-07-30 17:07:41,marion,UCHfZ3kJDAdW8Bmur5Xq4sdw,People & Blogs,,,49,3,,,0,1,https://i.ytimg.com/vi/_JiJOl5qddw/mqdefault.jpg,EN
CwX6YpocW7c,How Microplastics Infest Your Body,yes,10,yes,1688749208,2023-07-07 17:07:08,Stirling Cooper,UC0YIbCZJoYV1BeZ5qHDIJyQ,Entertainment,en,en-US,6754,506,,,0,29,https://i.ytimg.com/vi/CwX6YpocW7c/mqdefault.jpg,EN
tG4AYagBz9Q,What Are Microplastics And How Are They Harming Our Oceans? Plastic Pollution - Behind the News,yes,11,yes,1458708492,2016-03-23 04:03:12,Behind the News,UCcbE7twlpJfQVF2dO21fB1A,Education,en-GB,en-GB,51609,240,,,0,0,https://i.ytimg.com/vi/tG4AYagBz9Q/mqdefault.jpg,EN
kCQ1tMQ4CXc,the dangers of microplastics | where they come from  how they impact the planet & how to stop them,yes,12,yes,1665072902,2022-10-06 16:10:02,Shelbizleee,UCv2LNRhF34_v1VNC08ZuooA,Howto & Style,,en,19015,2018,,,0,157,https://i.ytimg.com/vi/kCQ1tMQ4CXc/mqdefault.jpg,EN
B_RBPAhx06w,The Story of Microplastic,yes,13,yes,1628670627,2021-08-11 08:08:27,Toxics Link,UCXeSVsJ9sjNXcpEeChqn80Q,Film & Animation,,,12663,199,,,0,9,https://i.ytimg.com/vi/B_RBPAhx06w/mqdefault.jpg,EN
