name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
9W74aeuqsiU,PFAS: Last Week Tonight with John Oliver (HBO),yes,1,no,1633329003,2021-10-04 06:10:03,LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,Entertainment,,en-US,5595997,146989,,,0,9393,https://i.ytimg.com/vi/9W74aeuqsiU/mqdefault.jpg,EN
0onkOVkf5zM,PFAS  forever chemicals  found in 45% of U.S. tap water  study says,yes,2,no,1688691788,2023-07-07 01:07:08,CBS News,UC8p1vwvWtl6T73JiExfWs1g,News & Politics,,en,130800,1746,,,0,930,https://i.ytimg.com/vi/0onkOVkf5zM/mqdefault.jpg,EN
lVcOxZZGrBc,PFAS: The secret toxins in your body,yes,3,yes,1615561230,2021-03-12 15:03:30,DW Planet A,UCb72Gn5LXaLEcsOuPKGfQOg,Education,,en,1571246,33743,,,0,2580,https://i.ytimg.com/vi/lVcOxZZGrBc/mqdefault.jpg,EN
y3kzHc-eV88,The PFAS Cover-up,yes,4,yes,1688050316,2023-06-29 14:06:56,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,96337,2534,,,0,591,https://i.ytimg.com/vi/y3kzHc-eV88/mqdefault.jpg,EN
8QuvTjLZaXs,Forever Chemicals PFAS  PFOA  PFOS  BPA  Explained Clearly,yes,5,yes,1655909720,2022-06-22 14:06:20,MedCram - Medical Lectures Explained CLEARLY,UCG-iSMVtWbbwDDXgXXypARQ,Education,en,en-US,76321,2910,,,0,279,https://i.ytimg.com/vi/8QuvTjLZaXs/mqdefault.jpg,EN
XA6sAfr2GZc,EGLE Classroom - Introduction to PFAS,yes,6,no,1634664094,2021-10-19 17:10:34,Michigan EGLE,UCjvIL9Oszk-8sfVl9Wp9Dwg,Education,,en,5715,34,,,0,0,https://i.ytimg.com/vi/XA6sAfr2GZc/mqdefault.jpg,EN
JKg7Mr9M3CQ,Explained: What are PFAS compounds and how can they affect human health?,yes,7,yes,1571436823,2019-10-18 22:10:43,Alaska Public Media,UCYMhbOjuO5z77XH7bfTdmKw,Nonprofits & Activism,en,en,24089,293,,,0,15,https://i.ytimg.com/vi/JKg7Mr9M3CQ/mqdefault.jpg,EN
UBEjgIyp4FA,How 3M And DuPont Are Being Sued Over ‘Forever Chemicals’ In Water,yes,8,no,1686585615,2023-06-12 16:06:15,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,176273,3317,,,0,651,https://i.ytimg.com/vi/UBEjgIyp4FA/mqdefault.jpg,EN
EmS67hH77wo,Stuart Klawans introducing  The Lady Eve  (1941) at PFA Berkeley  July 30 2023,yes,9,no,1690703957,2023-07-30 07:07:17,dibyaduti,UCGOdYLsGNftDQmQU8T5-dPw,Entertainment,,,20,0,,,0,0,https://i.ytimg.com/vi/EmS67hH77wo/mqdefault.jpg,EN
VYo0BYV8DZ4,5 Ways to avoid Forever Chemicals PFAS  PFOS  PFOA & MILLIONS More!,yes,10,no,1689426719,2023-07-15 13:07:59,KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,Education,en,en-US,104817,10000,,,0,1193,https://i.ytimg.com/vi/VYo0BYV8DZ4/mqdefault.jpg,EN
X9GTa3a-tFo,The Hidden Chemicals Destroying American Farms | VICE Special Report,yes,11,no,1686412823,2023-06-10 16:06:23,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,News & Politics,en,en-US,732124,15386,,,0,3215,https://i.ytimg.com/vi/X9GTa3a-tFo/mqdefault.jpg,EN
zo-k1PI0asY,3M to pay more than $10 billion in PFAS case,yes,12,no,1687490079,2023-06-23 03:06:39,KARE 11,UC1JAwKeDUjN2orv5t7LWODQ,News & Politics,en,en,58397,407,,,0,129,https://i.ytimg.com/vi/zo-k1PI0asY/mqdefault.jpg,EN
LjHc19Ou1Tg,Do THIS to Remove PFAs (forever chemicals) from Water at Home,yes,13,yes,1688756841,2023-07-07 19:07:21,Water Filter Guru,UCs_wwjJQkH13dHcnDQV6aLw,Science & Technology,,en-US,3142,322,,,0,40,https://i.ytimg.com/vi/LjHc19Ou1Tg/mqdefault.jpg,EN
hkj-hA0-oas,EPA regulations on PFAS forever chemicals are ‘bittersweet’: Mark Ruffalo | ABCNL,yes,14,no,1678846516,2023-03-15 02:03:16,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,News & Politics,,,7481,72,,,0,10,https://i.ytimg.com/vi/hkj-hA0-oas/mqdefault.jpg,EN
TtfWcgEjxio,PFAS may be lurking in your water and food supply,yes,15,no,1683030967,2023-05-02 12:05:07,CBS Mornings,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,,en,4843,91,,,0,11,https://i.ytimg.com/vi/TtfWcgEjxio/mqdefault.jpg,EN
vZ1KmVmpC8o,Nonstick is prob safe — the factories aren t (PFAS contamination),yes,16,no,1668452434,2022-11-14 19:11:34,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,381964,16022,,,0,1375,https://i.ytimg.com/vi/vZ1KmVmpC8o/mqdefault.jpg,EN
