query,cluster,text,videosNumber,ids
air purifier,0,instafamous,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,0,indoorplants,4,7281730728105168000|7280885452859641000|7295839982483279000|7315376758428093000
air purifier,0,plants,3,7281730728105168000|7289016449975242000|7315376758428093000
air purifier,1,fyp,59,7103875966858055000|7098978897898900000|7098345348480962000|7097149463302639000|7096757203272551000|7109468559910112000|7108744815336099000|7104931563854466000|7153607822373146000|7248186723312733000|7313926716815101000|7309113621127253000|7169248153902812000|7166637803013443000|7173415665817226000|7172545266812243000|7204522629762469000|7202674137012194000|7202673874075454000|7202673850876792000|7200460010390851000|7200459176869613000|7200457718275050000|7199710248297352000|7195956715265789000|7195866359291481000|7225766345772764000|7220713741858573000|7220664232948305000|7220663753304509000|7220630125526699000|7220536266276851000|7219597214690102000|7232254536369343000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000|7271913801769881000|7271629302037368000|7267957247882317000|7288014754591952000|7299109827920285000|7318143742056156000|7309113621127253000|7103875966858055000|7098978897898900000|7098345348480962000|7097149463302639000|7096757203272551000|7109468559910112000|7108744815336099000|7104931563854466000|7131098968758537000|7153607822373146000|7232287834248416000|7248186723312733000|7313926716815101000|7309113621127253000
air purifier,1,smokefree,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,smokefreezone,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,smokefreelife,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,rookvrij,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,rookvrijegeneratie,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,smokefreefuture,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,smokelessashtray,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,rookvrijleven,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,smokefreeliving,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,1,smokefreespell,14,7260083491562343000|7291630522260901000|7286090568705347000|7238942821871357000|7236677306872335000|7247476200560463000|7243854603798711000|7241269362798120000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
