query,cluster,text,videosNumber,ids,querySlug
pfas,0,strasbourg,8,7100464578701708549|7226267220035276059|7225993811657248027|7221944581858823430|7221898362264521989|7294271146093006112|7285448684039376160|7296581609896037664,pfas
pfas,0,bacteria,4,7239404547557313818|7236901259280698650|7233913881414913306|7233913116713569562,pfas
pfas,0,sausheim,5,7270461899530095905|7294361173485440289|7294011391193713952|7318457060906110241|7318113789621062944,pfas
pfas,1,tiktok,15,7221294085821271302|7119970093672484102|7168178506851978501|7184021086810557701|7198481684650675461|7226277548106321179|7221944581858823430|7221898362264521989|7239360213369834778|7239355383150628123|7239687385901059355|7259767289673698587|7269466131159633185|7285384601361599777|7221294085821271302,pfas
pfas,1,tiktokacademie,4,7228877845311884571|7218227039961156870|7241850342630100251|7228877845311884571,pfas
pfas,1,apprendresurtiktok,3,7317605852041465120|7317605852041465120|7317605852041465120,pfas
pfas,1,teflon,3,7150528085107035398|7294553611151920417|7291967771464781088,pfas
pfas,1,tiktokfrance,3,7198480202219949317|7285384601361599777|7303513194067266848,pfas
pfas,1,thann,4,7226267220035276059|7225993811657248027|7318457060906110241|7318113789621062944,pfas
pfas,1,tattoomulhouse,3,7317566663371541792|7317353420027907361|7317344929410256161,pfas
pfas,1,tatouageenconscience,3,7317353420027907361|7317351092654722336|7317344929410256161,pfas
pfas,2,assemblee,3,7250195398378196251|7250195398378196251|7250195398378196251,pfas
pfas,2,assemleenationale,3,7250195398378196251|7250195398378196251|7250195398378196251,pfas
pfas,2,permisdeconduire,13,7194415854509903109|7193029577554365701|7191933120151555333|7188209553111272710|7187793645024660741|7187793266983636229|7214903349290765573|7211158572556651782|7211156914745527558|7237135082786491675|7245783826897603867|7255344646333746458|7265753570845232416,pfas
pfas,2,autoecole,19,7194415854509903109|7193029577554365701|7192986963442470149|7191933120151555333|7190818288580971781|7190806892925734149|7190699512057335046|7188209553111272710|7187793645024660741|7187793266983636229|7215504225730628870|7214903349290765573|7211158572556651782|7211156914745527558|7217473134646119686|7237135082786491675|7245783826897603867|7255344646333746458|7265753570845232416,pfas
pfas,2,conduite,4,7193029577554365701|7192986963442470149|7190818288580971781|7190806892925734149,pfas
pfas,2,moniteur,11,7193029577554365701|7191933120151555333|7190818288580971781|7190806892925734149|7190699512057335046|7215504225730628870|7214903349290765573|7211158572556651782|7211156914745527558|7217473134646119686|7265753570845232416,pfas
pfas,2,leçondeconduite,6,7192986963442470149|7187793266983636229|7214903349290765573|7211158572556651782|7211156914745527558|7255344646333746458,pfas
pfas,2,apprentissage,3,7190806892925734149|7215504225730628870|7214903349290765573,pfas
pfas,2,enseignement,3,7211158572556651782|7211156914745527558|7255344646333746458,pfas
pfas,2,meuble,7,7227016690784095515|7226277548106321179|7221944581858823430|7221898362264521989|7239360213369834778|7239355383150628123|7239687385901059355,pfas
pfas,2,alyameuble,6,7227016690784095515|7226277548106321179|7221898362264521989|7239360213369834778|7239355383150628123|7239687385901059355,pfas
pfas,3,208,4,7192986963442470149|7191933120151555333|7187793645024660741|7187793266983636229,pfas
pfas,4,écologique,3,7221294085821271302|7280862273176964385|7221294085821271302,pfas
pfas,4,polluant,7,7221294085821271302|7317605852041465120|7284549846466432288|7317605852041465120|7221294085821271302|7296167294298852640|7317605852041465120,pfas
pfas,4,pollution,34,7218580271430372613|7250195398378196251|7283909956921756960|7283876262270045473|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7296545863361465632|7136518594153762053|7152823495347457286|7208999035636665605|7223090789352525062|7218580271430372613|7218227039961156870|7250195398378196251|7242249332802538779|7283909956921756960|7283876262270045473|7294271146093006112|7305481539188477216|7296545863361465632|7218580271430372613|7250195398378196251|7283909956921756960|7283876262270045473|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7296167294298852640|7296545863361465632,pfas
pfas,4,environnement,18,7250195398378196251|7249648768528698650|7283909956921756960|7296545863361465632|7191539690837675270|7211520689067543814|7223090789352525062|7250195398378196251|7283909956921756960|7294553611151920417|7291967771464781088|7305481539188477216|7298679597216894240|7296545863361465632|7250195398378196251|7249648768528698650|7283909956921756960|7296545863361465632,pfas
pfas,4,ecologie,10,7250195398378196251|7249648768528698650|7283909956921756960|7250195398378196251|7272992101611195681|7283909956921756960|7294553611151920417|7250195398378196251|7249648768528698650|7283909956921756960,pfas
pfas,4,polluantseternels,3,7250195398378196251|7250195398378196251|7250195398378196251,pfas
pfas,4,réchauffementclimatique,5,7249648768528698650|7283909956921756960|7283909956921756960|7249648768528698650|7283909956921756960,pfas
pfas,4,polluantséternels,5,7249648768528698650|7283909956921756960|7283909956921756960|7249648768528698650|7283909956921756960,pfas
pfas,4,transitionecologique,3,7283909956921756960|7283909956921756960|7283909956921756960,pfas
pfas,4,écologie,7,7283876262270045473|7309487275996417313|7283876262270045473|7291967771464781088|7305481539188477216|7283876262270045473|7309487275996417313,pfas
pfas,4,cleanwater,4,7239404547557313818|7236901259280698650|7233913881414913306|7233913116713569562,pfas
pfas,4,cleanwaterchallenge,3,7239404547557313818|7236901259280698650|7233913881414913306,pfas
pfas,4,cleanwaterisahumanright,3,7239404547557313818|7236901259280698650|7233913881414913306,pfas
pfas,4,cleanwaterclub,3,7239404547557313818|7236901259280698650|7233913881414913306,pfas
pfas,5,eau,10,7221294085821271302|7250195398378196251|7131627435275111686|7152823495347457286|7250195398378196251|7294271146093006112|7305481539188477216|7303513194067266848|7221294085821271302|7250195398378196251,pfas
pfas,5,eaupotable,15,7250195398378196251|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7135493022648667397|7250195398378196251|7305481539188477216|7250195398378196251|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857,pfas
pfas,5,eleves,9,7193029577554365701|7192986963442470149|7190818288580971781|7190699512057335046|7188209553111272710|7187793645024660741|7187793266983636229|7215504225730628870|7265753570845232416,pfas
pfas,5,eleve,5,7190806892925734149|7214903349290765573|7237135082786491675|7245783826897603867|7255344646333746458,pfas
pfas,6,poison,3,7221294085821271302|7218227039961156870|7221294085821271302,pfas
pfas,6,nails,12,7222037342926802182|7219410357587037446|7238328201188019483|7234500207298317594|7229650109502410010|7246835931406273818|7259103156288703771|7253404112199421211|7253146356703841562|7273614067862867232|7266131362116095264|7273864629275659553,pfas
pfas,6,ongles,19,7222037342926802182|7219410357587037446|7238328201188019483|7234500207298317594|7230903789249695003|7229650109502410010|7246835931406273818|7260584016628272410|7259103156288703771|7257960253692611867|7257632447733435675|7253404112199421211|7253146356703841562|7273614067862867232|7270873306054610209|7266131362116095264|7284655314094329121|7273864629275659553|7306668377236409633,pfas
pfas,6,waterfilter,4,7239404547557313818|7236901259280698650|7233913881414913306|7233913116713569562,pfas
pfas,6,microplastics,4,7239404547557313818|7236901259280698650|7233913881414913306|7233913116713569562,pfas
pfas,6,waterfiltration,3,7236901259280698650|7233913881414913306|7233913116713569562,pfas
pfas,6,врекомендации,3,7260584016628272410|7270873306054610209|7266131362116095264,pfas
pfas,7,alsace,25,7119924827871268101|7119810049790315781|7119788392983891206|7155921025543326981|7168178506851978501|7184021086810557701|7200388730144754949|7196776374109998341|7211453805081234693|7227016690784095515|7226277548106321179|7225201549268552987|7239233794920729882|7250088892408286490|7259767289673698587|7272691846848023840|7270461899530095905|7269466131159633185|7263442020658711841|7294361173485440289|7294011391193713952|7286816529604283680|7285448684039376160|7304588484616932641|7298020221858712864,pfas
pfas,7,astuce,4,7193029577554365701|7192986963442470149|7191933120151555333|7211156914745527558,pfas
pfas,8,viral,6,7221294085821271302|7168178506851978501|7257642863465401626|7272992101611195681|7285384601361599777|7221294085821271302,pfas
pfas,8,prof,3,7218580271430372613|7218580271430372613|7218580271430372613,pfas
pfas,8,politique,4,7250195398378196251|7250195398378196251|7285384601361599777|7250195398378196251,pfas
pfas,8,actualité,4,7283909956921756960|7223090789352525062|7283909956921756960|7283909956921756960,pfas
pfas,8,santé,13,7283909956921756960|7283876262270045473|7152823495347457286|7211520689067543814|7223090789352525062|7241850342630100251|7268998312848543008|7283909956921756960|7283876262270045473|7280862273176964385|7305481539188477216|7283909956921756960|7283876262270045473,pfas
pfas,8,reportage,10,7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857,pfas
pfas,8,outdoor,3,7275355701419969825|7275355701419969825|7275355701419969825,pfas
pfas,8,marque,3,7275355701419969825|7275355701419969825|7275355701419969825,pfas
pfas,8,danger,6,7296545863361465632|7239065048339975450|7283756310703721761|7296545863361465632|7296167294298852640|7296545863361465632,pfas
pfas,8,art,3,7092383474186767621|7090434943121198342|7259767289673698587,pfas
pfas,8,miss,4,7100464578701708549|7226267220035276059|7288825801951186208|7288432244442615073,pfas
pfas,8,restaurant,4,7119970093672484102|7145512756114967814|7294361173485440289|7294011391193713952,pfas
pfas,8,fire,4,7119924827871268101|7119810049790315781|7119788392983891206|7255464596503350554,pfas
pfas,8,performance,19,7194415854509903109|7193029577554365701|7192986963442470149|7191933120151555333|7190818288580971781|7190806892925734149|7190699512057335046|7188209553111272710|7187793645024660741|7187793266983636229|7215504225730628870|7214903349290765573|7211158572556651782|7211156914745527558|7217473134646119686|7237135082786491675|7245783826897603867|7255344646333746458|7265753570845232416,pfas
pfas,8,science,3,7191539690837675270|7216772862299032837|7223090789352525062,pfas
pfas,8,immobilier,4,7190687215830273285|7187806408547618054|7198480202219949317|7286816529604283680,pfas
pfas,8,design,5,7226277548106321179|7221944581858823430|7221898362264521989|7239355383150628123|7239687385901059355,pfas
pfas,8,news,3,7223090789352525062|7285384601361599777|7303513194067266848,pfas
pfas,8,moderne,5,7221944581858823430|7221898362264521989|7239360213369834778|7239355383150628123|7239687385901059355,pfas
pfas,8,maison,3,7221898362264521989|7286816529604283680|7298020221858712864,pfas
pfas,8,trend,3,7235545528572939546|7267590985075395873|7285384601361599777,pfas
pfas,8,love,3,7259767289673698587|7285384601361599777|7299971747871264032,pfas
pfas,8,amoureux,11,7318470866956799264|7318447944976321824|7318426661395991840|7318418125265915168|7318092784919956768|7318073604552412449|7318063071006706976|7318034356872826144|7318003473528687905|7318002214813830433|7316812891536002336,pfas
pfas,10,sante,9,7250195398378196251|7296545863361465632|7191539690837675270|7218227039961156870|7250195398378196251|7283756310703721761|7296545863361465632|7250195398378196251|7296545863361465632,pfas
pfas,10,santepublique,4,7250195398378196251|7250195398378196251|7283756310703721761|7250195398378196251,pfas
pfas,10,demarrage,4,7193029577554365701|7192986963442470149|7215504225730628870|7211156914745527558,pfas
pfas,10,giratoire,3,7190818288580971781|7190806892925734149|7214903349290765573,pfas
pfas,11,pfas,49,7228877845311884571|7250195398378196251|7283909956921756960|7275355701419969825|7317605852041465120|7309487275996417313|7136518594153762053|7131627435275111686|7152823495347457286|7150528085107035398|7191539690837675270|7204020919369534725|7216772862299032837|7211520689067543814|7208999035636665605|7223708399865711899|7223090789352525062|7219342057955986694|7239404547557313818|7239065048339975450|7236901259280698650|7233913881414913306|7233913116713569562|7250195398378196251|7245525591632432410|7241850342630100251|7257642863465401626|7272992101611195681|7268998312848543008|7268951168200592672|7284549846466432288|7283909956921756960|7280862273176964385|7275355701419969825|7294553611151920417|7294271146093006112|7288293062671928609|7284990731662527777|7305481539188477216|7303513194067266848|7297203168000183584|7317605852041465120|7228877845311884571|7250195398378196251|7283909956921756960|7275355701419969825|7296167294298852640|7317605852041465120|7309487275996417313,pfas
pfas,11,stoppfas,6,7250820611734359322|7283909956921756960|7283909956921756960|7294271146093006112|7250820611734359322|7283909956921756960,pfas
pfas,11,fyp,23,7275355701419969825|7106502261282508038|7119970093672484102|7168178506851978501|7191539690837675270|7198480202219949317|7211520689067543814|7227016690784095515|7226277548106321179|7221944581858823430|7221898362264521989|7239404547557313818|7239360213369834778|7239355383150628123|7236901259280698650|7235545528572939546|7233913881414913306|7269466131159633185|7284549846466432288|7275355701419969825|7285384601361599777|7318067102135422240|7275355701419969825,pfas
pfas,11,pfastatt,112,7061639033968987398|7092383474186767621|7100464578701708549|7119924827871268101|7119810049790315781|7119788392983891206|7145512756114967814|7155921025543326981|7168178506851978501|7164423054955728133|7181391074500332805|7173568017027157254|7172301342931799302|7194415854509903109|7193029577554365701|7192986963442470149|7191933120151555333|7190818288580971781|7190806892925734149|7190699512057335046|7188209553111272710|7187806408547618054|7187793645024660741|7187793266983636229|7184021086810557701|7202311632360443141|7201012270640549126|7200388730144754949|7196776374109998341|7215504225730628870|7214903349290765573|7211158572556651782|7211156914745527558|7210155841821953286|7210084204296572166|7208236496824864006|7227016690784095515|7226277548106321179|7226267220035276059|7225993811657248027|7225279045330652443|7225201549268552987|7222037342926802182|7221898362264521989|7219410357587037446|7217473134646119686|7239360213369834778|7239355383150628123|7238328201188019483|7237135082786491675|7235607047230721307|7235220346260000026|7234500207298317594|7233017192546127130|7230903789249695003|7229650109502410010|7250088892408286490|7246835931406273818|7245783826897603867|7244161864228261146|7239687385901059355|7260584016628272410|7259767289673698587|7259103156288703771|7257960253692611867|7257632447733435675|7255464596503350554|7255445567281712410|7255344646333746458|7253404112199421211|7253146356703841562|7273614067862867232|7272691846848023840|7270873306054610209|7270461899530095905|7270132781206736161|7269466131159633185|7266131362116095264|7265753570845232416|7263442020658711841|7284655314094329121|7276128280820960545|7273864629275659553|7294361173485440289|7294011391193713952|7288825801951186208|7288432244442615073|7286816529604283680|7285448684039376160|7306668377236409633|7305707291083296033|7304588484616932641|7298020221858712864|7296581609896037664|7318470866956799264|7318457060906110241|7318447944976321824|7318426661395991840|7318418125265915168|7318113789621062944|7318092784919956768|7318073604552412449|7318063071006706976|7318034356872826144|7318003473528687905|7318002214813830433|7317566663371541792|7317353420027907361|7317351092654722336|7317344929410256161|7317340125522906401|7316812891536002336,pfas
pfas,11,fypシ,6,7090434943121198342|7168178506851978501|7198480202219949317|7226277548106321179|7269466131159633185|7285384601361599777,pfas
pfas,11,ptfe,3,7150528085107035398|7268951168200592672|7294553611151920417,pfas
pfas,11,pfasinmakeup,5,7268998312848543008|7268951168200592672|7294271146093006112|7284990731662527777|7299971747871264032,pfas
pfas,12,lutterbach,7,7173568017027157254|7172301342931799302|7270461899530095905|7294361173485440289|7294011391193713952|7318457060906110241|7318113789621062944,pfas
pfas,12,lecondeconduite,7,7193029577554365701|7214903349290765573|7211158572556651782|7211156914745527558|7237135082786491675|7245783826897603867|7265753570845232416,pfas
pfas,12,leçon,4,7192986963442470149|7190818288580971781|7190806892925734149|7190699512057335046,pfas
pfas,12,luxury,3,7226277548106321179|7221944581858823430|7221898362264521989,pfas
pfas,12,luxe,4,7226277548106321179|7221898362264521989|7239360213369834778|7239687385901059355,pfas
pfas,13,chimique,3,7221294085821271302|7136518594153762053|7221294085821271302,pfas
pfas,13,chimie,5,7218580271430372613|7203375777918749958|7223090789352525062|7218580271430372613|7218580271430372613,pfas
pfas,13,cuisine,7,7296545863361465632|7226277548106321179|7221898362264521989|7294553611151920417|7291967771464781088|7296545863361465632|7296545863361465632,pfas
pfas,13,climat,5,7317605852041465120|7135493022648667397|7191539690837675270|7317605852041465120|7317605852041465120,pfas
pfas,13,colmar,6,7100464578701708549|7226267220035276059|7225993811657248027|7221898362264521989|7259767289673698587|7318067102135422240,pfas
pfas,13,cernay,5,7190687215830273285|7200388730144754949|7225993811657248027|7318457060906110241|7318113789621062944,pfas
pfas,13,koltuk,4,7227016690784095515|7226277548106321179|7239355383150628123|7239687385901059355,pfas
pfas,13,canape,3,7227016690784095515|7226277548106321179|7239687385901059355,pfas
pfas,13,keşfet,3,7227016690784095515|7226277548106321179|7239355383150628123,pfas
pfas,13,canapé,3,7226277548106321179|7239360213369834778|7239355383150628123,pfas
pfas,13,chic,3,7239360213369834778|7239355383150628123|7239687385901059355,pfas
pfas,13,cookut,3,7235545528572939546|7256318221815532827|7267590985075395873,pfas
pfas,14,riedisheim,8,7062085159092489477|7173568017027157254|7172301342931799302|7270461899530095905|7294361173485440289|7294011391193713952|7318457060906110241|7318113789621062944,pfas
pfas,14,rixheim,4,7062085159092489477|7196776374109998341|7318457060906110241|7318113789621062944,pfas
pfas,14,kingersheim,8,7173568017027157254|7172301342931799302|7270461899530095905|7294361173485440289|7294011391193713952|7318457060906110241|7318113789621062944|7317340125522906401,pfas
pfas,14,wittenheim,8,7173568017027157254|7172301342931799302|7270461899530095905|7294361173485440289|7294011391193713952|7318457060906110241|7318113789621062944|7317340125522906401,pfas
pfas,14,reussir,3,7193029577554365701|7211156914745527558|7265753570845232416,pfas
pfas,14,reussite,4,7192986963442470149|7191933120151555333|7187793266983636229|7211158572556651782,pfas
pfas,14,wittelsheim,9,7200388730144754949|7226267220035276059|7225993811657248027|7270461899530095905|7294361173485440289|7294011391193713952|7285448684039376160|7318457060906110241|7318113789621062944,pfas
pfas,14,richwiller,6,7198480202219949317|7270461899530095905|7269466131159633185|7294361173485440289|7294011391193713952|7317340125522906401,pfas
pfas,15,directan,3,7250195398378196251|7250195398378196251|7250195398378196251,pfas
pfas,15,duo,3,7168178506851978501|7318426661395991840|7318092784919956768,pfas
pfas,16,mulhouse,77,7062085159092489477|7061639033968987398|7100464578701708549|7106502261282508038|7181391074500332805|7173568017027157254|7172301342931799302|7194415854509903109|7193029577554365701|7192986963442470149|7191933120151555333|7190818288580971781|7190806892925734149|7190699512057335046|7190687215830273285|7188209553111272710|7187806408547618054|7187793645024660741|7187793266983636229|7202311632360443141|7200388730144754949|7196776374109998341|7215504225730628870|7214903349290765573|7211158572556651782|7211156914745527558|7227016690784095515|7226277548106321179|7226267220035276059|7225993811657248027|7222037342926802182|7221944581858823430|7221898362264521989|7217473134646119686|7239360213369834778|7239355383150628123|7239233794920729882|7238328201188019483|7237135082786491675|7234500207298317594|7233017192546127130|7229650109502410010|7246835931406273818|7245783826897603867|7239687385901059355|7259767289673698587|7259103156288703771|7257960253692611867|7257632447733435675|7255344646333746458|7253404112199421211|7253146356703841562|7273614067862867232|7270873306054610209|7270461899530095905|7270132781206736161|7269466131159633185|7266131362116095264|7265753570845232416|7263442020658711841|7263336224071388448|7276128280820960545|7273864629275659553|7294361173485440289|7294011391193713952|7288825801951186208|7285448684039376160|7306668377236409633|7296581609896037664|7296570864374435105|7318457060906110241|7318113789621062944|7317566663371541792|7317353420027907361|7317351092654722336|7317344929410256161|7317340125522906401,pfas
pfas,16,mulhouse🇫🇷,5,7173568017027157254|7172301342931799302|7201012270640549126|7198481684650675461|7263336224071388448,pfas
pfas,16,hautrhin,7,7210084204296572166|7225201549268552987|7270132781206736161|7286816529604283680|7298020221858712864|7318457060906110241|7318113789621062944,pfas
pfas,16,lifestraw,4,7239404547557313818|7236901259280698650|7233913881414913306|7233913116713569562,pfas
