username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count
airer.shop,Procurez vous des purificateurs d'air Airer dans la bio #covid #purificateurdair #ioniseur #airer #hepa,"covid,hepa,airer,ioniseur,purificateurdair",7054866878258285830,17,7054866808465033990,FR,0,1642589199,2,767
airer.shop,Procurez vous des purificateurs d'air pas chère dans la bio #covid #purificateurdair #air #bienêtre #airsain #airer #ioniseur #hepa #filtre,"air,filtre,covid,hepa,airer,bienêtre,airsain,ioniseur,purificateurdair",7054607327768448262,18,7054607289013095174,FR,1,1642528765,2,794
snesfsumontpellier,Des moyens ! #greve13janvier #protocolesanitaire #FiascoBlanquer #covid19 #omicron #masques #FFP2 #greve #purificateurdair #fsu #snesfsu #CovidWatch,"fsu,greve,omicron,masques,ffp2,covid19,covidwatch,protocolesanitaire,purificateurdair,snesfsu,fiascoblanquer,greve13janvier",7051872871064341766,20,7051872763979500294,FR,4,1641892103,44,1973
airer.shop,Dites STOP à la pollution !#airer #hepa #ioniseur #purificateurdair #covid #pollution #climat #reagir #attention,"attention,pollution,climat,reagir,covid,hepa,airer,ioniseur,purificateurdair",7065408014324419845,9,7065408004434299653,FR,1,1645043496,0,304
patrickblrd,Purificateur d'air pour un intérieur plus sain 😍 #covid #airsain #purificateurdair #maison #bienchezsoi,"maison,covid,bienchezsoi,airsain,purificateurdair",7064573375598857478,2,7010331193157634050,FR,0,1644849167,0,352
patrickblrd,Oui c'est galère à filmer en ouvrant 🤣 #asmr #unboxing #purificateur #airsain #bonheur #colis #homebusiness,"unboxing,asmr,bonheur,homebusiness,colis,purificateur,airsain",7064570478706298117,5,7064570514202725126,FR,0,1644848493,0,550
bloomingfamilyz,✨Purifier sa maison✨ Une fois par semaine changement des draps et serviettes et surtout aerer et purifier.#purificateurdair #maisonpropre #house,"house,maisonpropre,purificateurdair",7062054958056705285,1,7062054933603945221,FR,0,1644262802,0,648
beauvalletpauline,"mon purificateur d air....mon allié pour éliminer les pollens, poussières,....  assainir mon interieur de maison rapidement !je recommande en étant asthmatique depuis mes 12 ans , professionnelle de Santé,  maman ! Adieu les crises d asthme depuis son arrivée 😁  #purificateurdair #asthme #assainirlair #professionnelledesante #infirmière #maman #puritii #ariix #newage","newage,maman,asthme,ariix,infirmière,puritii,assainirlair,purificateurdair,professionnelledesante",7077942965083098374,1,7077942944078007046,FR,0,1647962017,0,515
eziclean,Purificateur d'air EZIclean AIR PURE 500,,7077467595682696453,8,7077467542347975430,FR,0,1647851339,0,928
airviamedical,Test de l’ORIGIN 40 ☑️ #purificateur #purificateurdair #airpurifier #fyp #pourtoi,"fyp,pourtoi,airpurifier,purificateur,purificateurdair",7076085955270135045,4,6810180973628491777,FR,0,1647529648,0,540
