query,cluster,text,videosNumber,ids
pfas,1,hoodies,8,7134297071766588678|7183392900481371398|7183288006424448262|7174740152768662789|7186734933401079045|7185852005003414789|7185279419437600005|7206057871560281350
pfas,1,hoodie,5,7272852038613093665|7272051933588852000|7270865251237678369|7270590070351023392|7270588538679299360
pfas,1,winkelen,4,7271227692844977441|7270865251237678369|7270590070351023392|7270588538679299360
pfas,2,viral,6,7155227255537405190|7240365955484749082|7272852038613093665|7272051933588852000|7281993719169977633|7278234239743642912
pfas,2,vjp,6,7155227255537405190|7155224248989093126|7155223378754850053|7197742010009242886|7245700710808014107|7305040867360787745
pfas,2,vj,5,7155224248989093126|7155223378754850053|7197742010009242886|7245700710808014107|7252386919655427355
pfas,2,vervuiling,4,7256068712170556698|7255682148882058523|7255331107602713882|7306186584800480545
pfas,4,d66,5,7089726334074735878|7185232133458300166|7197742010009242886|7245700710808014107|7254897967226735898
pfas,4,onlineshopping,24,7134297071766588678|7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574|7186734933401079045|7185852005003414789|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858|7272852038613093665|7272051933588852000|7271227692844977441|7270865251237678369|7270590070351023392|7270588538679299360|7278234239743642912
pfas,4,foryou,10,7155224248989093126|7155223378754850053|7193612592529673477|7188526331594919174|7197742010009242886|7205990611420187909|7245700710808014107|7294894832965733665|7291582578065181985|7306186584800480545
pfas,4,foryourpage,3,7155224248989093126|7197742010009242886|7245700710808014107
pfas,4,voorjoupagina,5,7155224248989093126|7197742010009242886|7245700710808014107|7252386919655427355|7294894832965733665
pfas,4,foryoupage,6,7155223378754850053|7188526331594919174|7197742010009242886|7245700710808014107|7294894832965733665|7291582578065181985
pfas,4,joggingpak,4,7183392900481371398|7183288006424448262|7186734933401079045|7185852005003414789
pfas,4,tweedekamer,10,7197742010009242886|7223502094827916571|7222208174173064454|7245700710808014107|7256017973008239899|7282656757506182433|7291625229451840800|7287243935041342752|7287183900344913184|7308012622341836065
pfas,4,eerstekamer,4,7223502094827916571|7222208174173064454|7282656757506182433|7287183900344913184
pfas,4,lotgenotenpodcast,7,7256068712170556698|7255682148882058523|7255331107602713882|7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,4,bearhoodie,3,7270865251237678369|7270590070351023392|7270588538679299360
pfas,4,foreverchemicals,3,7277663831629794592|7293127926571109664|7291311041634422048
pfas,5,politiek,19,7183273572821912837|7183032263074958598|7178445497747721478|7189356294984256774|7188565443072855302|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7195658090618965254|7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7282656757506182433|7291625229451840800|7287243935041342752|7287183900344913184|7306186584800480545
pfas,5,health,4,7210035808017894661|7205990611420187909|7227856647262080282|7277458332485438753
pfas,5,democratie,3,7256017973008239899|7252462697441152282|7282656757506182433
pfas,5,gezondheid,4,7263095949889735969|7262727267166604576|7262369207894019361|7305040867360787745
pfas,5,tv,3,7283834184458652961|7283833771533602080|7283833346772192544
pfas,6,testosteroncrisis,4,7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,7,milieu,4,7155856189589409030|7185232133458300166|7263095949889735969|7277458332485438753
pfas,7,protest,3,7197742010009242886|7245700710808014107|7287243935041342752
pfas,7,klimaat,4,7260147537544236314|7277458332485438753|7306186584800480545|7301056738172751137
pfas,7,pollution,3,7277663831629794592|7296167294298852640|7296538290465918241
pfas,8,greenpan,5,7141798964835241222|7238527099621903643|7246760375696362779|7283124727059582241|7301590008392158497
pfas,8,gif,14,7155856189589409030|7183273572821912837|7183032263074958598|7178445497747721478|7178081613929041158|7178081502687808773|7178081006455475461|7189356294984256774|7188565443072855302|7185922692120349957|7197848147463359750|7197847597443403013|7196266423117712646|7195658090618965254
pfas,9,tshirt,3,7134297071766588678|7174740152768662789|7270588538679299360
pfas,9,herenmode,9,7134297071766588678|7177338775616507141|7175220556873157894|7174740152768662789|7186734933401079045|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858
pfas,9,herenkleding,14,7134297071766588678|7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7186734933401079045|7185852005003414789|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858
pfas,9,streetfashion,3,7129088035051851014|7174740152768662789|7173646306718567685
pfas,9,fashiontiktok,14,7155227255537405190|7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011
pfas,9,menstreetwear,14,7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7186734933401079045|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858
pfas,9,menfashion,10,7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574|7206596188546534661|7206057871560281350|7239074202731416858
pfas,9,kledingwinkel,3,7272852038613093665|7272051933588852000|7278234239743642912
pfas,10,microplastics,3,7155856189589409030|7263095949889735969|7262727267166604576
pfas,10,dordrecht,13,7183273572821912837|7183032263074958598|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7196266423117712646|7208665053820701958|7245700710808014107|7245323679964482843|7283515861242105120|7277458332485438753|7287243935041342752
pfas,10,papendrecht,19,7183273572821912837|7183032263074958598|7189356294984256774|7188565443072855302|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7196266423117712646|7195658090618965254|7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7282656757506182433|7291625229451840800|7287183900344913184|7311643386262474016|7308012622341836065
pfas,10,demonstratie,27,7183273572821912837|7183032263074958598|7178445497747721478|7178081613929041158|7178081502687808773|7178081006455475461|7189356294984256774|7185922692120349957|7197847597443403013|7197742010009242886|7195658090618965254|7223502094827916571|7222208174173064454|7245700710808014107|7256017973008239899|7252462697441152282|7266421185422904609|7263871406859947297|7283834184458652961|7283833771533602080|7283833346772192544|7282656757506182433|7291625229451840800|7289792399528758560|7287183900344913184|7300157205892975904|7308012622341836065
pfas,10,dordrecht078,27,7183273572821912837|7183032263074958598|7189356294984256774|7188565443072855302|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7196266423117712646|7195658090618965254|7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7269018854054022432|7266421185422904609|7283834184458652961|7283833771533602080|7283833346772192544|7282656757506182433|7277477898083224864|7291625229451840800|7289792399528758560|7287183900344913184|7300157205892975904|7311643386262474016|7308012622341836065
pfas,10,dordrecht_netherlands🇳🇱,24,7183273572821912837|7183032263074958598|7189356294984256774|7188565443072855302|7185922692120349957|7197848534186528006|7197848147463359750|7197847597443403013|7196266423117712646|7195658090618965254|7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7269018854054022432|7266421185422904609|7283834184458652961|7283833771533602080|7283833346772192544|7282656757506182433|7277477898083224864|7291625229451840800|7287183900344913184|7311643386262474016
pfas,10,chemours,38,7178445497747721478|7178081613929041158|7178081502687808773|7178081006455475461|7197848534186528006|7197848147463359750|7197847597443403013|7197742010009242886|7196266423117712646|7224837250884898075|7223502094827916571|7222208174173064454|7245700710808014107|7256017973008239899|7252462697441152282|7269018854054022432|7266421185422904609|7263871406859947297|7283833771533602080|7283833346772192544|7283517092274507040|7283515861242105120|7282656757506182433|7280160356931079456|7277663831629794592|7277477898083224864|7277458332485438753|7291625229451840800|7291605960697679136|7289792399528758560|7287243935041342752|7287183900344913184|7306186584800480545|7301056738172751137|7300157205892975904|7313361055588175137|7311643386262474016|7308012622341836065
pfas,10,dupont,8,7208665053820701958|7245700710808014107|7245323679964482843|7280160356931079456|7277663831629794592|7277458332485438753|7293127926571109664|7291311041634422048
pfas,10,provincialestaten,9,7208238698264038661|7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7282656757506182433|7291625229451840800|7287183900344913184|7308012622341836065
pfas,10,molenlanden,9,7223502094827916571|7222208174173064454|7256017973008239899|7252462697441152282|7282656757506182433|7291625229451840800|7287183900344913184|7311643386262474016|7308012622341836065
pfas,10,microplastic,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,10,robertnass,10,7256068712170556698|7255682148882058523|7255331107602713882|7263095949889735969|7262727267166604576|7262369207894019361|7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,10,endorcriene,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,10,pannen,3,7270117520487615776|7281993719169977633|7288381207316843809
