query,cluster,text,videosNumber,ids,querySlug
pfas,1,bridesmaiddress,3,7134619106552155419|7214890884708535558|7209276078341360923,pfas
pfas,1,bridesmaiddresses,3,7134619106552155419|7214864887623716102|7219156579738848518,pfas
pfas,6,fypシ,8,7083680025639275802|7124963814524587290|7122462737313139994|7120209812964543770|7119474426873220378|7134350217926774042|7212594200137780486|7252620673854541057,pfas
pfas,13,pfashion,9,7124963814524587290|7134619106552155419|7133184130547862810|7132492773592190234|7131409736330677531|7128925368311893274|7157892667685276954|7296010911230266629|7292236288768380166,pfas
pfas,14,foreverchemicals,3,7120607426801454363|7120209812964543770|7212968270561873157,pfas
pfas,16,tiktokph,8,7122462737313139994|7120607426801454363|7120209812964543770|7119474426873220378|7119458650682346779|7212968270561873157|7212594200137780486|7268234747036536069,pfas
pfas,16,learnontiktok,5,7122462737313139994|7120607426801454363|7120209812964543770|7119474426873220378|7119458650682346779,pfas
pfas,16,healthtok,8,7122462737313139994|7120607426801454363|7120209812964543770|7119474426873220378|7119458650682346779|7212968270561873157|7212594200137780486|7268234747036536069,pfas
pfas,17,fyp,5,7083680025639275802|7119458650682346779|7133987116001905947|7212968270561873157|7235884329367276802,pfas
pfas,17,pfas,7,7120607426801454363|7120209812964543770|7119474426873220378|7119458650682346779|7212968270561873157|7252620673854541057|7268234747036536069,pfas
pfas,17,pfashionph,6,7214890884708535558|7214864887623716102|7210300027351190790|7209276078341360923|7208772239527906566|7219156579738848518,pfas
glyphosate,3,viral,3,7210640832678989061|7249238836058787078|7292341420671732993,glyphosate
glyphosate,5,fypシ,4,7191404401561537819|7210640832678989061|7249238836058787078|7278908039237897478,glyphosate
glyphosate,7,agriculture,3,7210640832678989061|7290865934653230342|7300890147443248390,glyphosate
glyphosate,7,weedscontrol,3,7291221215300111622|7290867800028204294|7290865934653230342,glyphosate
glyphosate,11,glyphosate,9,7083755475010948379|7185455388878228738|7184111170104741121|7224610800198110465|7249238836058787078|7291221215300111622|7290867800028204294|7290865934653230342|7305404638369533186,glyphosate
glyphosate,11,drberg,3,7185455388878228738|7184111170104741121|7224610800198110465,glyphosate
glyphosate,12,fyp,5,7083755475010948379|7191404401561537819|7249238836058787078|7292341420671732993|7304923107771354373,glyphosate
glyphosate,18,supplier,4,7291221215300111622|7290867800028204294|7290865934653230342|7300890147443248390,glyphosate
glyphosate,18,manufacturers,3,7291221215300111622|7290867800028204294|7300890147443248390,glyphosate
micro plastics,0,fyp,18,7091233474492779803|7089996355980037403|7084210936021617947|7084171545165171995|7219310747699006728|7247157028957785350|7258627836041235717|7252887441994992902|7270088339317918981|7267364769286343941|7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493|7111991024813133082|7244061557234175238|7296423309057559813,micro-plastics
micro plastics,0,fypシ,3,7252887441994992902|7111991024813133082|7105005518724353306,micro-plastics
micro plastics,1,climatechange,9,7089996355980037403|7247157028957785350|7245134431550295314|7242915967280581893|7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493,micro-plastics
micro plastics,3,ecotok,7,7089996355980037403|7157647240662699291|7247157028957785350|7246598715413105938|7245134431550295314|7267725720644848901|7267364769286343941,micro-plastics
micro plastics,3,ecofriendly,3,7247157028957785350|7246598715413105938|7245134431550295314,micro-plastics
micro plastics,5,plasticpollution,9,7081070408354581786|7089996355980037403|7157647240662699291|7149490907186859291|7246598715413105938|7245134431550295314|7267725720644848901|7267364769286343941|7279306339640167685,micro-plastics
micro plastics,5,microplastics,35,7081070408354581786|7091233474492779803|7089996355980037403|7084210936021617947|7084171545165171995|7103189110692662555|7128585810277846298|7157647240662699291|7149490907186859291|7179873526894071066|7219310747699006728|7231500081260662022|7247157028957785350|7246598715413105938|7245134431550295314|7242915967280581893|7260199014367382785|7258627836041235717|7252913208158080257|7252913208158063873|7252887441994992902|7252675570415193350|7267725720644848901|7267364769286343941|7282426527654972678|7279306339640167685|7302268279651863813|7299943759364525317|7312108135441812742|7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493|7235529962541944070,micro-plastics
micro plastics,5,plasticfree,5,7089996355980037403|7157647240662699291|7246598715413105938|7267725720644848901|7267364769286343941,micro-plastics
micro plastics,5,breakfreefromplastic,4,7157647240662699291|7149490907186859291|7267725720644848901|7267364769286343941,micro-plastics
micro plastics,5,plastic,7,7231500081260662022|7252675570415193350|7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493,micro-plastics
micro plastics,9,capcut,4,7179873526894071066|7246958337630244102|7299943759364525317|7244061557234175238,micro-plastics
micro plastics,12,facts,3,7247157028957785350|7245134431550295314|7258627836041235717,micro-plastics
micro plastics,12,blue,5,7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493,micro-plastics
micro plastics,12,aquatic,5,7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493,micro-plastics
micro plastics,13,beatplasticpollution,3,7157647240662699291|7149490907186859291|7267725720644848901,micro-plastics
micro plastics,14,learnontiktok,4,7089996355980037403|7157647240662699291|7267725720644848901|7267364769286343941,micro-plastics
micro plastics,14,edutok,3,7157647240662699291|7267725720644848901|7267364769286343941,micro-plastics
micro plastics,15,foryoupage,4,7081070408354581786|7247157028957785350|7246958337630244102|7245134431550295314,micro-plastics
micro plastics,17,foryou,7,7091233474492779803|7084210936021617947|7084171545165171995|7128585810277846298|7246958337630244102|7270088339317918981|7267364769286343941,micro-plastics
micro plastics,19,thingsiwishiknewsooner,3,7247157028957785350|7246598715413105938|7245134431550295314,micro-plastics
micro plastics,19,wavesofchange,5,7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493,micro-plastics
micro plastics,19,seathedifference,5,7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493,micro-plastics
detox,0,thaikyo,3,7114911770971622682|7126327477714144539|7149079559395216666,detox
detox,1,vitabears,4,7059273292598758682|7115001651072666907|7160658941138062619|7171781851026066715,detox
detox,1,vitabearsskinvitamins,3,7092344005161241882|7092314874813910298|7160658941138062619,detox
detox,1,viral,13,7092161800610811162|7171828331623550213|7183304854721416475|7183279789300616475|7205352726602042651|7205317693765864730|7205274504229063963|7239454285711379718|7262115601319988485|7262113401554472197|7273607696505392389|7284697809771646213|7307398468543286534,detox
detox,1,vegan,7,7115021918650076442|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7273622331384171781|7296175191577677061,detox
detox,1,vitamins,3,7126559797712784666|7262110235572161797|7296175191577677061,detox
detox,2,rosmar,12,7059324838124571930|7059253609044643098|7059251089845112091|7069796075724475675|7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178|7092237222593744155|7149062101095419162|7149022979429616923|7307368280606395653,detox
detox,2,alagangrosmar,4,7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178,detox
detox,2,rosmarlangmalakas2022,3,7149062101095419162|7160786232782490906|7160661962911763738,detox
