query,querySlug,cluster,clusterLabel,text,videosNumber,ids
pfas,pfas,0,Butter,cancer,14,7088740814356057387|7115014258446077230|7112483949796068654|7146963589096623402|7157622889431256362|7238653723734510891|7238650011423116587|7273488521971846446|7283646333297167659|7295923376583937323|7307211840562597166|7318848588069555499|7307211840562597166|7318848588069555499
pfas,pfas,0,Butter,crunchymom,4,7160550540902960427|7295446642373741866|7295187666675453227|7160550540902960427
pfas,pfas,0,Butter,kerrygoldbutter,7,7205343771607698730|7205314743924559146|7205253881247468846|7204861876667190571|7205343771607698730|7205314743924559146|7205253881247468846
pfas,pfas,0,Butter,kerrygoldrecall,4,7205314743924559146|7205253881247468846|7205314743924559146|7205253881247468846
pfas,pfas,0,Butter,canorder,14,7103894490854804762|7103893827609431322|7103856432692481306|7103829030650105115|7103428880182086939|7126189526401273115|7126093134827670810|7125626835647335706|7125612696959028507|7125354243946532123|7148806722541407514|7148684773572054299|7227494172276559109|7239339818382085382
pfas,pfas,0,Butter,kurti,6,7103829030650105115|7149069707365076251|7148684773572054299|7239377679370243333|7239339818382085382|7284473725796240646
pfas,pfas,1,Detrapel and Dupont,dupont,5,7080724211219565870|7205343337153350955|7216030304480365870|7080724211219565870|7205343337153350955
pfas,pfas,1,Detrapel and Dupont,duet,6,7080203006628728106|7102167420986461486|7102026457773444398|7295430965990640926|7080203006628728106|7194591963989986565
pfas,pfas,1,Detrapel and Dupont,endocrinedisruptors,45,7097273733164977451|7123719948916084010|7146614312847691050|7160716789075250474|7160550540902960427|7159205912975084842|7158488228742384938|7158295900127808811|7171677670604934443|7170073792461442347|7169975590395661611|7169343644158446894|7168963198861757738|7182345927590513962|7179011949257149738|7194920028259732782|7194631387473775918|7194518453032668459|7205343337153350955|7216824254371761450|7216817923795602730|7216810148843621678|7216217327338147114|7227626357264600362|7226585139097226539|7250139680249826606|7273621663336500522|7273604555059825962|7284016965973183786|7307291973440785707|7160716789075250474|7160550540902960427|7171677670604934443|7182345927590513962|7194920028259732782|7194631387473775918|7194518453032668459|7205343337153350955|7216824254371761450|7216817923795602730|7216810148843621678|7227626357264600362|7273621663336500522|7273604555059825962|7307291973440785707
pfas,pfas,1,Detrapel and Dupont,detox,4,7135845997946801454|7168182001311255854|7250139680249826606|7306708606873832750
pfas,pfas,1,Hormones,hormonedisruptor,5,7194518453032668459|7205343337153350955|7250139680249826606|7194518453032668459|7205343337153350955
pfas,pfas,1,Detrapel and Dupont,detrapel,11,7205208333052284206|7204834786857192747|7216362633774189870|7227075848497646894|7239352923757481259|7238947818767977770|7250505047979904302|7205208333052284206|7216362633774189870|7239352923757481259|7250505047979904302
pfas,pfas,3,Butter,butter,6,7158862212700933418|7205343771607698730|7205209096822394158|7204954016600640811|7205343771607698730|7205209096822394158
pfas,pfas,4,Cookware,northcarolina,4,7062523234536803630|7090887193828330798|7204895056292121902|7250204516010937646
pfas,pfas,4,Cookware,nonstick,5,7080724211219565870|7205047887552679211|7080724211219565870|7205047887552679211|7261926423517039874
pfas,pfas,4,Cookware,nopfas,5,7114680834644544814|7114013172884901163|7112443060293799211|7158187172393258286|7250097834450488618
pfas,pfas,4,Cookware,nonstickpans,9,7125613119124114734|7168520933861297451|7205343337153350955|7216824254371761450|7216315406938606894|7238328677916790058|7125613119124114734|7205343337153350955|7216824254371761450
pfas,pfas,4,Cookware,nonstickpan,11,7205343337153350955|7216824254371761450|7216817923795602730|7216810148843621678|7216217327338147114|7318910803158011167|7205343337153350955|7216824254371761450|7216817923795602730|7216810148843621678|7318910803158011167
pfas,pfas,4,Cookware,nepalimuser,4,7103756711055461658|7103514567849839899|7103437218642939162|7103007705513692443
pfas,pfas,4,Cookware,nepalitiktok,6,7103756711055461658|7103514567849839899|7103437218642939162|7103435009603816731|7103195324180647194|7103007705513692443
pfas,pfas,6,Water,drinkingwater,37,7069770386723982635|7063960003270479151|7063580845105466670|7062821909699972399|7081003577505975598|7079499601937665326|7089511013707566379|7103641347428453678|7114774472296516907|7114045944512990507|7112536651968335150|7138168351066426667|7137430198609349934|7135845997946801454|7149312491883859246|7148564975236222250|7148519665818602798|7147816833280789803|7168174131886755114|7178930899390860590|7205228883426250027|7262096758619000110|7306869508466036011|7069770386723982635|7081003577505975598|7079499601937665326|7103641347428453678|7138168351066426667|7137430198609349934|7149312491883859246|7148564975236222250|7148519665818602798|7159540328909917445|7194775971243838725|7205228883426250027|7262096758619000110|7284662586451168545
pfas,pfas,6,Water,water,35,7067201049127505199|7062523234536803630|7079172230730779950|7079140962710228270|7079140174721994026|7091657755844594990|7097273733164977451|7112536651968335150|7112483949796068654|7122817364869041451|7137086360661413163|7135845997946801454|7168174131886755114|7178930899390860590|7194948325785767214|7194882678083276078|7204947108355411242|7216366656958909738|7250204516010937646|7262045459626069291|7273488521971846446|7296145183731715374|7306903153167961386|7306869508466036011|7067201049127505199|7079172230730779950|7091657755844594990|7137086360661413163|7194948325785767214|7194882678083276078|7194775971243838725|7216366656958909738|7262045459626069291|7296145183731715374|7296115621140499745
pfas,pfas,6,Water,sparklingwater,9,7067201049127505199|7183050671468416298|7194948325785767214|7194413176803298602|7307336964791897386|7067201049127505199|7183050671468416298|7194948325785767214|7307336964791897386
pfas,pfas,6,Water,waterquality,30,7063960003270479151|7063580845105466670|7062821909699972399|7081003577505975598|7080724211219565870|7079499601937665326|7091657755844594990|7089511013707566379|7086197587233099050|7085443955399380270|7103641347428453678|7114774472296516907|7114045944512990507|7113936139454647598|7138168351066426667|7137430198609349934|7149312491883859246|7148564975236222250|7147816833280789803|7306903153167961386|7081003577505975598|7080724211219565870|7079499601937665326|7091657755844594990|7103641347428453678|7138168351066426667|7137430198609349934|7149312491883859246|7148564975236222250|7194775971243838725
