query,querySlug,cluster,clusterLabel,text,videosNumber,ids
pfas,pfas,water-pollution,Water pollution,écologique,3,7221294085821271302|7280862273176964385|7221294085821271302
pfas,pfas,water-pollution,Water pollution,polluant,7,7221294085821271302|7317605852041465120|7284549846466432288|7317605852041465120|7221294085821271302|7296167294298852640|7317605852041465120
pfas,pfas,water-pollution,Water pollution,pollution,34,7218580271430372613|7250195398378196251|7283909956921756960|7283876262270045473|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7296545863361465632|7136518594153762053|7152823495347457286|7208999035636665605|7223090789352525062|7218580271430372613|7218227039961156870|7250195398378196251|7242249332802538779|7283909956921756960|7283876262270045473|7294271146093006112|7305481539188477216|7296545863361465632|7218580271430372613|7250195398378196251|7283909956921756960|7283876262270045473|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7296167294298852640|7296545863361465632
pfas,pfas,water-pollution,Water pollution,environnement,18,7250195398378196251|7249648768528698650|7283909956921756960|7296545863361465632|7191539690837675270|7211520689067543814|7223090789352525062|7250195398378196251|7283909956921756960|7294553611151920417|7291967771464781088|7305481539188477216|7298679597216894240|7296545863361465632|7250195398378196251|7249648768528698650|7283909956921756960|7296545863361465632
pfas,pfas,water-pollution,Water pollution,ecologie,10,7250195398378196251|7249648768528698650|7283909956921756960|7250195398378196251|7272992101611195681|7283909956921756960|7294553611151920417|7250195398378196251|7249648768528698650|7283909956921756960
pfas,pfas,water-pollution,Water pollution,polluantseternels,3,7250195398378196251|7250195398378196251|7250195398378196251
pfas,pfas,water-pollution,Water pollution,réchauffementclimatique,5,7249648768528698650|7283909956921756960|7283909956921756960|7249648768528698650|7283909956921756960
pfas,pfas,water-pollution,Water pollution,polluantséternels,5,7249648768528698650|7283909956921756960|7283909956921756960|7249648768528698650|7283909956921756960
pfas,pfas,water-pollution,Water pollution,transitionecologique,3,7283909956921756960|7283909956921756960|7283909956921756960
pfas,pfas,water-pollution,Water pollution,écologie,7,7283876262270045473|7309487275996417313|7283876262270045473|7291967771464781088|7305481539188477216|7283876262270045473|7309487275996417313
pfas,pfas,water-pollution,Water pollution,cleanwater,4,7239404547557313818|7236901259280698650|7233913881414913306|7233913116713569562
pfas,pfas,water-pollution,Water pollution,cleanwaterchallenge,3,7239404547557313818|7236901259280698650|7233913881414913306
pfas,pfas,water-pollution,Water pollution,cleanwaterisahumanright,3,7239404547557313818|7236901259280698650|7233913881414913306
pfas,pfas,water-pollution,Water pollution,cleanwaterclub,3,7239404547557313818|7236901259280698650|7233913881414913306
pfas,pfas,schools-and-water,Schools and water,eau,10,7221294085821271302|7250195398378196251|7131627435275111686|7152823495347457286|7250195398378196251|7294271146093006112|7305481539188477216|7303513194067266848|7221294085821271302|7250195398378196251
pfas,pfas,schools-and-water,Schools and water,eaupotable,15,7250195398378196251|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857|7135493022648667397|7250195398378196251|7305481539188477216|7250195398378196251|7278691409467641120|7278690614269529377|7278689484105895200|7278689483959094560|7278689476807789857
pfas,pfas,schools-and-water,Schools and water,eleves,9,7193029577554365701|7192986963442470149|7190818288580971781|7190699512057335046|7188209553111272710|7187793645024660741|7187793266983636229|7215504225730628870|7265753570845232416
pfas,pfas,schools-and-water,Schools and water,eleve,5,7190806892925734149|7214903349290765573|7237135082786491675|7245783826897603867|7255344646333746458
pfas,pfas,stop-pfas,Stop PFAS,pfas,49,7228877845311884571|7250195398378196251|7283909956921756960|7275355701419969825|7317605852041465120|7309487275996417313|7136518594153762053|7131627435275111686|7152823495347457286|7150528085107035398|7191539690837675270|7204020919369534725|7216772862299032837|7211520689067543814|7208999035636665605|7223708399865711899|7223090789352525062|7219342057955986694|7239404547557313818|7239065048339975450|7236901259280698650|7233913881414913306|7233913116713569562|7250195398378196251|7245525591632432410|7241850342630100251|7257642863465401626|7272992101611195681|7268998312848543008|7268951168200592672|7284549846466432288|7283909956921756960|7280862273176964385|7275355701419969825|7294553611151920417|7294271146093006112|7288293062671928609|7284990731662527777|7305481539188477216|7303513194067266848|7297203168000183584|7317605852041465120|7228877845311884571|7250195398378196251|7283909956921756960|7275355701419969825|7296167294298852640|7317605852041465120|7309487275996417313
pfas,pfas,stop-pfas,Stop PFAS,stoppfas,6,7250820611734359322|7283909956921756960|7283909956921756960|7294271146093006112|7250820611734359322|7283909956921756960
pfas,pfas,stop-pfas,Stop PFAS,pfasinmakeup,5,7268998312848543008|7268951168200592672|7294271146093006112|7284990731662527777|7299971747871264032
glyphosate,glyphosate,monsanto,Monsanto,traitementvigne,7,7058670725296655621|7064526952689847557|7060766140900969733|7058670725296655621|7064526952689847557|7060766140900969733|7058670725296655621
glyphosate,glyphosate,monsanto,Monsanto,perturbateursendocriniens,6,7144250532159376645|7235874569733688603|7315875322954583329|7144250532159376645|7235874569733688603|7315875322954583329
glyphosate,glyphosate,monsanto,Monsanto,poison,9,7223285903559626010|7223285903559626010|7065407449389468930|7079961985844235566|7137474774124481838|7170582969474665774|7227526414952615211|7250535994733169962|7261230632531922219
glyphosate,glyphosate,monsanto,Monsanto,toxic,7,7241836523023273243|7241836523023273243|7057698941634268463|7137458427676364078|7137355332971400454|7250288626049895726|7261566747117997338
glyphosate,glyphosate,monsanto,Monsanto,chemicals,4,7259672057317772570|7259672057317772570|7239072468571262254|7284530044746140961
