query,querySlug,cluster,clusterLabel,text,videosNumber,ids
pfas,pfas,13,Fashion,pfashion,9,7124963814524587290|7134619106552155419|7133184130547862810|7132492773592190234|7131409736330677531|7128925368311893274|7157892667685276954|7296010911230266629|7292236288768380166
pfas,pfas,14,Forever chemicals,foreverchemicals,3,7120607426801454363|7120209812964543770|7212968270561873157
pfas,pfas,17,PFAS,pfas,7,7120607426801454363|7120209812964543770|7119474426873220378|7119458650682346779|7212968270561873157|7252620673854541057|7268234747036536069
pfas,pfas,17,PFAS,pfashionph,6,7214890884708535558|7214864887623716102|7210300027351190790|7209276078341360923|7208772239527906566|7219156579738848518
glyphosate,glyphosate,7,Agriculture,agriculture,3,7210640832678989061|7290865934653230342|7300890147443248390
glyphosate,glyphosate,7,Agriculture,weedscontrol,3,7291221215300111622|7290867800028204294|7290865934653230342
glyphosate,glyphosate,11,Glyphosate,glyphosate,9,7083755475010948379|7185455388878228738|7184111170104741121|7224610800198110465|7249238836058787078|7291221215300111622|7290867800028204294|7290865934653230342|7305404638369533186
glyphosate,glyphosate,11,Glyphosate,drberg,3,7185455388878228738|7184111170104741121|7224610800198110465
micro plastics,micro-plastics,5,Microplastics,plasticpollution,9,7081070408354581786|7089996355980037403|7157647240662699291|7149490907186859291|7246598715413105938|7245134431550295314|7267725720644848901|7267364769286343941|7279306339640167685
micro plastics,micro-plastics,5,Microplastics,microplastics,35,7081070408354581786|7091233474492779803|7089996355980037403|7084210936021617947|7084171545165171995|7103189110692662555|7128585810277846298|7157647240662699291|7149490907186859291|7179873526894071066|7219310747699006728|7231500081260662022|7247157028957785350|7246598715413105938|7245134431550295314|7242915967280581893|7260199014367382785|7258627836041235717|7252913208158080257|7252913208158063873|7252887441994992902|7252675570415193350|7267725720644848901|7267364769286343941|7282426527654972678|7279306339640167685|7302268279651863813|7299943759364525317|7312108135441812742|7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493|7235529962541944070
micro plastics,micro-plastics,5,Microplastics,plasticfree,5,7089996355980037403|7157647240662699291|7246598715413105938|7267725720644848901|7267364769286343941
micro plastics,micro-plastics,5,Microplastics,breakfreefromplastic,4,7157647240662699291|7149490907186859291|7267725720644848901|7267364769286343941
micro plastics,micro-plastics,5,Microplastics,plastic,7,7231500081260662022|7252675570415193350|7310267140102196485|7310257339255262469|7310257084761672966|7310256691914837253|7310256192784223493
micro plastics,micro-plastics,13,Plastic pollution,beatplasticpollution,3,7157647240662699291|7149490907186859291|7267725720644848901
detox,detox,3,Detox,detox,86,7059514102145649946|7059273292598758682|7069781429059718427|7069733558226554139|7069673870441188635|7081292076507204890|7081277828318186778|7081255407565425947|7081164591060765978|7092393908629425434|7092239140925869339|7092237341045132571|7092161800610811162|7103754531342765338|7103695137087196443|7103564146662247707|7115183549136801025|7115113520944909594|7115021918650076442|7114932487788219675|7114878002139319578|7126559797712784666|7126502513200729371|7138066828613438746|7138056735113186587|7138055653809032475|7149067787980377370|7160822478397394203|7160685994503572763|7160682180467789083|7160675842375388443|7171954130318069018|7171952804162981147|7171856782279724314|7171828331623550213|7171807079416565018|7171781851026066715|7171780078114770203|7183466021074865434|7183453954221673754|7183429417866120474|7183311033094704410|7183304854721416475|7183287781135813915|7183287553787710746|7183279789300616475|7183238540644437275|7194968676557131035|7194959172948020507|7194954140802354459|7194953236015566106|7194935200667766043|7205274504229063963|7216864373548141830|7216862920120995078|7216858664953482501|7216849158941035781|7216845120962923782|7216842390878080262|7216839157467942170|7216838737752345861|7227993232184003845|7227986824289930501|7227985701252500741|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7239454285711379718|7250631584385142022|7250626098977885446|7250621796460956933|7250618109038513413|7262110235572161797|7284717009848290566|7296188603636403462|7296175191577677061|7296147280577481989|7296146743035481350|7307398468543286534|7307386044679245061|7307344821700660486|7307328278535113990|7318884535368781062|7318769340457782534|7318762682532875525
detox,detox,3,Detox,detoxdrink,33,7059324838124571930|7069770988191239451|7069753795353365786|7115025838705282331|7126545987002305818|7149048555603266843|7160784013915983131|7171907232232181018|7183289499420560666|7216837695258086661|7227996900778183942|7227983902437084421|7239486444006427909|7239482441088470278|7239454285711379718|7239444832765201670|7250621796460956933|7262135518828317957|7262133636986572038|7273607696505392389|7284756607030889733|7284725246567992582|7284708606744874246|7284669336088841478|7296268877233655046|7296242586388303110|7296163878969314561|7296146743035481350|7307404945970482438|7307402482777394437|7307368280606395653|7318766142917594374|7318749480654785798
detox,detox,3,Detox,rosmarsdetoxdrink,7,7059253609044643098|7069796075724475675|7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178|7149062101095419162
detox,detox,3,Detox,detoxifying,3,7069761746352737562|7205278742787231002|7296163878969314561
detox,detox,3,Detox,detoxtea,3,7069753795353365786|7069678024102333723|7103887042001653019
detox,detox,3,Detox,rosmarsdetoxdrinkbiggestloserchallenge,5,7081396864653757723|7081278315599891738|7081222052115500314|7081155512083025178|7227983902437084421
detox,detox,3,Detox,detoxing,4,7092362565644307738|7138055653809032475|7250621796460956933|7262117057909525765
detox,detox,3,Detox,rosmardetoxdrink,4,7092237222593744155|7160786232782490906|7171851735449881882|7227983902437084421
detox,detox,3,Detox,detoxify,5,7092195998360997146|7183238540644437275|7262118494043409670|7284753836164517125|7296163878969314561
detox,detox,3,Detox,detoxification,3,7103564146662247707|7114996665609637147|7216835474361666821
detox,detox,3,Detox,detoxcoffee,17,7114911770971622682|7126376143069990171|7126327477714144539|7149079559395216666|7205288726463859994|7216862920120995078|7216858664953482501|7216846309444128006|7227995658563734790|7227986874898369798|7262120872897465606|7262118494043409670|7273634868804848901|7284772241760570629|7284771636845251846|7284748922621398277|7284721513134132485
detox,detox,3,Detox,detoxiglow,7,7126499260752842011|7126335376976792858|7138107246466190618|7138097699240316186|7138066995571985690|7171770146644626715|7205278742787231002
detox,detox,3,Detox,detoxiglowcoffee,5,7126499260752842011|7138097699240316186|7138066995571985690|7171770146644626715|7205278742787231002
detox,detox,3,Detox,detoxiglowcreamymacchiato,3,7138097699240316186|7171770146644626715|7307399951800208646
detox,detox,3,Detox,detoxislim,3,7149104794446204186|7183453954221673754|7205313230187679003
detox,detox,3,Detox,berryglowdetoxdrink,3,7183243305906359579|7194837310867819803|7318749480654785798
detox,detox,3,Detox,detoxjuice,3,7227995658563734790|7284756607030889733|7284708606744874246
detox,detox,3,Detox,drsebi,4,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694
detox,detox,3,Detox,slimmingdetox,3,7250632672978930949|7307402482777394437|7318766142917594374
detox,detox,4,Health and wellness,nature,3,7059289321479867674|7069769109252132122|7103564146662247707
detox,detox,4,Health and wellness,antiaging,6,7069733558226554139|7081113095782812955|7126559797712784666|7183287553787710746|7216857726352100634|7262110235572161797
detox,detox,4,Health and wellness,natural,3,7103887042001653019|7103754531342765338|7296175191577677061
