query,querySlug,cluster,clusterLabel,text,videosNumber,ids
pfas,pfas,hoodies,Hoodies,hoodies,8,7134297071766588678|7183392900481371398|7183288006424448262|7174740152768662789|7186734933401079045|7185852005003414789|7185279419437600005|7206057871560281350
pfas,pfas,hoodies,Hoodies,hoodie,5,7272852038613093665|7272051933588852000|7270865251237678369|7270590070351023392|7270588538679299360
pfas,pfas,hoodies,Hoodies,winkelen,4,7271227692844977441|7270865251237678369|7270590070351023392|7270588538679299360
pfas,pfas,fashion,Fashion,tshirt,3,7134297071766588678|7174740152768662789|7270588538679299360
pfas,pfas,fashion,Fashion,herenmode,9,7134297071766588678|7177338775616507141|7175220556873157894|7174740152768662789|7186734933401079045|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858
pfas,pfas,fashion,Fashion,herenkleding,14,7134297071766588678|7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7186734933401079045|7185852005003414789|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858
pfas,pfas,fashion,Fashion,streetfashion,3,7129088035051851014|7174740152768662789|7173646306718567685
pfas,pfas,fashion,Fashion,fashiontiktok,14,7155227255537405190|7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011
pfas,pfas,fashion,Fashion,menstreetwear,14,7183392900481371398|7183288006424448262|7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7186734933401079045|7185279419437600005|7206596188546534661|7206057871560281350|7239452455728074011|7239074202731416858
pfas,pfas,fashion,Fashion,menfashion,10,7178168674262453509|7177338775616507141|7175220556873157894|7174740152768662789|7173646306718567685|7173645008761883910|7173346765205261574|7206596188546534661|7206057871560281350|7239074202731416858
pfas,pfas,fashion,Fashion,kledingwinkel,3,7272852038613093665|7272051933588852000|7278234239743642912
pfas,pfas,hormones,Hormones,testosteron,9,7256068712170556698|7255682148882058523|7255331107602713882|7262727267166604576|7262369207894019361|7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
pfas,pfas,hormones,Hormones,hormonen,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,pfas,hormones,Hormones,hormoonbalans,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,pfas,hormones,Hormones,hormoonfactor,3,7256068712170556698|7255682148882058523|7255331107602713882
pfas,pfas,hormones,Hormones,amplifier,4,7293127926571109664|7291311041634422048|7290940914275454240|7290572285310733600
glyphosate,glyphosate,glyphosate,Glyphosate,glyfosaat,5,7293569530192776481|7311322412459527457|7227066695242812715|7293569530192776481|7311322412459527457
glyphosate,glyphosate,glyphosate,Glyphosate,skal,4,7293569530192776481|7311322412459527457|7293569530192776481|7311322412459527457
micro plastics,micro-plastics,healthy-living,Healthy living,healthy,3,7111435698338581765|7256383711132847386|7317283993605508384
micro plastics,micro-plastics,healthy-living,Healthy living,health,8,7174161735895534853|7191080145900358918|7226153811692244250|7235070602082553114|7229937289982430491|7254362707221138715|7289304689634594081|7317283993605508384
micro plastics,micro-plastics,healthy-living,Healthy living,gezondheid,6,7174161735895534853|7191080145900358918|7223372214551334171|7231865060031761690|7263095949889735969|7262727267166604576
micro plastics,micro-plastics,microplastics,Microplastics,microplastics,93,7081293835501866246|7080413142957837574|7075327800906894597|7092022222189104390|7086063131386006790|7084554789157129478|7084183595228597510|7111435698338581765|7105494495839423749|7129917525814463750|7148801608539753733|7147746563689893126|7145515810918796550|7156692481927580934|7155856189589409030|7152627131271367942|7166312795993083142|7162914535349685509|7174161735895534853|7191080145900358918|7191045105191505158|7187211176730692869|7187068745393638661|7198792059354959110|7216336336364506374|7215859914743336197|7212631463622233350|7210023002677726470|7226992340731268378|7226446391692774682|7226264560049736987|7226153811692244250|7223372214551334171|7223317193792982298|7221072126529342725|7220711936256675078|7220357900793875717|7218544143742569733|7218537052487372038|7236702800904768773|7235171085367446810|7235070602082553114|7231865060031761690|7231491873297222918|7231222456793484571|7229937289982430491|7229758057889139995|7247240269425347866|7245778760828521755|7244078696238206235|7259085608541293851|7256383711132847386|7255639786390605082|7254362707221138715|7252335420401388805|7251563290726337819|7265221530655771936|7263520068032613665|7263458663883361568|7263095949889735969|7262727267166604576|7283153065895529761|7281742817116900640|7277944618300329248|7275642887356861729|7275437490775788833|7275357793857572128|7274056129582239009|7295727194725240096|7291274982728977697|7290866604567465248|7290803029039697185|7290572093484191008|7287901171015142689|7286064310273527073|7305276783463615777|7304295109888118049|7303515717586914592|7301711743858855201|7300104605612985633|7298012481216105761|7296500957859384609|7318341881421679905|7317547921468165408|7317283993605508384|7315753052542160161|7314651878221040928|7313596435759500577|7311654500442410273|7309232913428630816|7309060876626070817|7308692386165706016|7308360683064659232
micro plastics,micro-plastics,microplastics,Microplastics,plasticpollution,7,7084183595228597510|7145515810918796550|7221072126529342725|7220357900793875717|7231222456793484571|7265221530655771936|7275642887356861729
micro plastics,micro-plastics,microplastics,Microplastics,plasticfree,5,7098245031827361029|7105494495839423749|7224423885863767323|7231222456793484571|7283153065895529761
micro plastics,micro-plastics,microplastics,Microplastics,microplastic,4,7111435698338581765|7210023002677726470|7283153065895529761|7275357793857572128
micro plastics,micro-plastics,microplastics,Microplastics,plastic,5,7105494495839423749|7224423885863767323|7220357900793875717|7254362707221138715|7289304689634594081
micro plastics,micro-plastics,microplastics,Microplastics,microplasticvrij,3,7174161735895534853|7218544143742569733|7277944618300329248
micro plastics,micro-plastics,microplastics,Microplastics,plasticvrij,4,7224423885863767323|7244078696238206235|7283153065895529761|7275357793857572128
micro plastics,micro-plastics,microplastics,Microplastics,reduceplastic,3,7221072126529342725|7265221530655771936|7275642887356861729
micro plastics,micro-plastics,microplastics,Microplastics,plasticsoupfoundation,3,7283153065895529761|7304295109888118049|7315753052542160161
micro plastics,micro-plastics,skincare,Skincare,huidverzorging,6,7092022222189104390|7129917525814463750|7162914535349685509|7287901171015142689|7314018573641387296|7313956991838211360
micro plastics,micro-plastics,skincare,Skincare,natuurlijkehuidverzorging,5,7092022222189104390|7287901171015142689|7304295109888118049|7318341881421679905|7315753052542160161
micro plastics,micro-plastics,skincare,Skincare,skincare,6,7086063131386006790|7221073917035711750|7295727194725240096|7287901171015142689|7314018573641387296|7313956991838211360
micro plastics,micro-plastics,skincare,Skincare,naturalskincare,5,7086063131386006790|7221073917035711750|7295727194725240096|7314651878221040928|7311654500442410273
micro plastics,micro-plastics,sustainability,Sustainability,duurzaam,11,7084554789157129478|7216336336364506374|7218544143742569733|7259085608541293851|7256383711132847386|7251563290726337819|7283153065895529761|7277944618300329248|7275357793857572128|7305276783463615777|7300104605612985633
micro plastics,micro-plastics,sustainability,Sustainability,sustainability,8,7081293835501866246|7224423885863767323|7221072126529342725|7265221530655771936|7283153065895529761|7290866604567465248|7290572093484191008|7287901171015142689
micro plastics,micro-plastics,sustainability,Sustainability,bewustwording,5,7226153811692244250|7235070602082553114|7247240269425347866|7254362707221138715|7300104605612985633
micro plastics,micro-plastics,sustainability,Sustainability,duurzaamheid,4,7231865060031761690|7283153065895529761|7277944618300329248|7275357793857572128
micro plastics,micro-plastics,sustainability,Sustainability,sustainable,3,7259085608541293851|7256383711132847386|7283153065895529761
micro plastics,micro-plastics,skincare,Skincare,foodforskincare,4,7287901171015142689|7304295109888118049|7318341881421679905|7315753052542160161
micro plastics,micro-plastics,skincare,Skincare,beatthemicrobead,9,7075327800906894597|7086063131386006790|7283153065895529761|7304295109888118049|7317547921468165408|7314651878221040928|7311654500442410273|7308692386165706016|7308360683064659232
